# kappa, training_loss
0.000000000000000000e+00,4.754951894283294678e-01
3.461748787934927907e-01,2.810692191123962402e-01
4.394744840694483345e-01,2.137279659509658813e-01
4.956662846754910090e-01,1.840666383504867554e-01
5.360038576855804537e-01,1.709469109773635864e-01
5.674924092739134229e-01,1.667054593563079834e-01
5.933244273842043226e-01,1.590901613235473633e-01
6.152259935488804121e-01,1.602017879486083984e-01
6.342367246778889411e-01,1.515831202268600464e-01
6.510315338826601073e-01,1.468742787837982178e-01
6.660734952001691189e-01,1.435560584068298340e-01
6.796941607006855568e-01,1.471333354711532593e-01
6.921390873896309248e-01,1.473693102598190308e-01
7.035952244661879407e-01,1.491083651781082153e-01
7.142081974151786028e-01,1.378707587718963623e-01
7.240936557105758231e-01,1.446856260299682617e-01
7.333449743347298933e-01,1.281263977289199829e-01
7.420386305060945320e-01,1.317268759012222290e-01
7.502380499996544883e-01,1.407464444637298584e-01
7.579964177536373526e-01,1.277142465114593506e-01
7.653587703974251699e-01,1.293505281209945679e-01
7.723635801925405886e-01,1.316345334053039551e-01
7.790439718695421067e-01,1.286945939064025879e-01
7.854286699525481197e-01,1.246327683329582214e-01
7.915427451750025600e-01,1.289567202329635620e-01
7.974082090434286840e-01,1.196493878960609436e-01
8.030444921759004595e-01,1.243944540619850159e-01
8.084688326561741967e-01,1.181990504264831543e-01
8.136965939823357363e-01,1.240551769733428955e-01
8.187415273922761250e-01,1.209534704685211182e-01
8.236159898494334053e-01,1.246715933084487915e-01
8.283311263889507892e-01,1.170965731143951416e-01
8.328970235956880686e-01,1.090897619724273682e-01
8.373228395305001293e-01,1.121078357100486755e-01
8.416169143128630070e-01,1.152781695127487183e-01
8.457868647160581288e-01,1.119722574949264526e-01
8.498396654707933706e-01,1.222267597913742065e-01
8.537817194572604462e-01,1.166704073548316956e-01
8.576189185595506359e-01,1.125046685338020325e-01
8.613566966345046483e-01,1.078470423817634583e-01
8.650000757902642778e-01,1.117574274539947510e-01
8.685537069636252161e-01,1.204662993550300598e-01
8.720219056187804574e-01,1.031111180782318115e-01
8.754086832548243491e-01,1.056651100516319275e-01
8.787177752989867585e-01,1.079177632927894592e-01
8.819526658719755163e-01,1.067687720060348511e-01
8.851166098371194835e-01,1.149943321943283081e-01
8.882126524831369663e-01,9.832925349473953247e-02
8.912436471388979209e-01,1.066840812563896179e-01
8.942122709755545573e-01,1.030804216861724854e-01
8.971210392153702307e-01,1.053497642278671265e-01
8.999723179362177916e-01,9.950736910104751587e-02
9.027683356350845179e-01,9.930346161127090454e-02
9.055111936921712568e-01,1.063334643840789795e-01
9.082028758586809802e-01,1.015903800725936890e-01
9.108452568756071344e-01,1.004394739866256714e-01
9.134401103173168668e-01,9.706411510705947876e-02
9.159891157421232721e-01,9.628760069608688354e-02
9.184938652220472344e-01,1.002390235662460327e-01
9.209558693153476749e-01,9.491967409849166870e-02
9.233765625379242170e-01,9.804195910692214966e-02
9.257573083832180139e-01,9.326980262994766235e-02
9.280994039345976665e-01,9.491059929132461548e-02
9.304040841092920955e-01,9.742785245180130005e-02
9.326725255686377780e-01,9.036432951688766479e-02
9.349058503256363339e-01,9.188681095838546753e-02
9.371051290775122000e-01,9.050471335649490356e-02
9.392713842880477948e-01,9.102160483598709106e-02
9.414055930419091833e-01,9.470007568597793579e-02
9.435086896909073984e-01,8.537493646144866943e-02
9.455815683101329583e-01,9.183274954557418823e-02
9.476250849801250986e-01,8.760526031255722046e-02
9.496400599096556094e-01,9.012120962142944336e-02
9.516272794123000756e-01,8.497398346662521362e-02
9.535874977487180937e-01,8.338979631662368774e-02
9.555214388454450480e-01,8.418428897857666016e-02
9.574297978999956049e-01,8.636112511157989502e-02
9.593132428811871337e-01,8.419738709926605225e-02
9.611724159327835748e-01,8.633937686681747437e-02
9.630079346878411828e-01,8.571830391883850098e-02
9.648203935004884269e-01,8.536380529403686523e-02
9.666103646012864647e-01,8.765234053134918213e-02
9.683783991817895842e-01,7.868463546037673950e-02
9.701250284134486090e-01,7.518493384122848511e-02
9.718507644055726091e-01,8.094665408134460449e-02
9.735561011066662385e-01,7.922887057065963745e-02
9.752415151531177440e-01,7.800009101629257202e-02
9.769074666688815078e-01,7.605297863483428955e-02
9.785544000195135483e-01,7.584852725267410278e-02
9.801827445236528380e-01,7.995136082172393799e-02
9.817929151247941633e-01,7.650247216224670410e-02
9.833853130259877506e-01,7.904253900051116943e-02
9.849603262898893874e-01,8.004794269800186157e-02
9.865183304064102376e-01,7.814097404479980469e-02
9.880596888300400282e-01,7.846242934465408325e-02
9.895847534887696195e-01,7.436912506818771362e-02
9.910938652663952020e-01,7.323893904685974121e-02
9.925873544598556864e-01,8.027370274066925049e-02
9.940655412131410573e-01,7.589593529701232910e-02
9.955287359291956628e-01,7.392872124910354614e-02
9.969772396611414900e-01,7.151175290346145630e-02
9.984113444840575502e-01,7.439799606800079346e-02
9.998313338484609014e-01,7.309085130691528320e-02
1.001237482916561339e+00,7.166732847690582275e-02
1.002630058882285846e+00,7.097717374563217163e-02
1.004009321276006617e+00,7.645642012357711792e-02
1.005375522254836840e+00,7.117894291877746582e-02
1.006728906879313934e+00,6.689848005771636963e-02
1.008069713377221177e+00,7.568621635437011719e-02
1.009398173395264164e+00,7.563859224319458008e-02
1.010714512239266227e+00,6.752207130193710327e-02
1.012018949103501875e+00,7.682956755161285400e-02
1.013311697289757563e+00,7.097273319959640503e-02
1.014592964416662912e+00,7.223705947399139404e-02
1.015862952619809523e+00,7.004458457231521606e-02
1.017121858743137430e+00,6.177574768662452698e-02
1.018369874522042196e+00,7.096788287162780762e-02
1.019607186758632045e+00,7.029337435960769653e-02
1.020833977489531863e+00,6.707537174224853516e-02
1.022050424146612846e+00,6.747486442327499390e-02
1.023256699711002415e+00,6.485363841056823730e-02
1.024452972860707911e+00,6.960925459861755371e-02
1.025639408112172912e+00,6.653350591659545898e-02
1.026816165956055960e+00,5.819260329008102417e-02
1.027983402987520112e+00,5.902122706174850464e-02
1.029141272031291798e+00,6.214687973260879517e-02
1.030289922261742763e+00,6.592160463333129883e-02
1.031429499318226695e+00,6.530406326055526733e-02
1.032560145415899910e+00,6.513448804616928101e-02
1.033681999452229272e+00,6.408041715621948242e-02
1.034795197109394049e+00,6.024853885173797607e-02
1.035899870952765367e+00,6.645977497100830078e-02
1.036996150525644200e+00,6.471206992864608765e-02
1.038084162440428004e+00,6.055691465735435486e-02
1.039164030466363631e+00,6.169090420007705688e-02
1.040235875614041738e+00,5.991571024060249329e-02
1.041299816216775032e+00,6.726523488759994507e-02
1.042355968008997547e+00,5.609232932329177856e-02
1.043404444201815551e+00,5.692408606410026550e-02
1.044445355555832178e+00,5.337923392653465271e-02
1.045478810451364371e+00,5.895289033651351929e-02
1.046504914956162047e+00,6.452824175357818604e-02
1.047523772890736282e+00,5.339566618204116821e-02
1.048535485891397556e+00,5.611510574817657471e-02
1.049540153471097303e+00,5.527717620134353638e-02
1.050537873078167816e+00,5.963917449116706848e-02
1.051528740153042207e+00,5.624823644757270813e-02
1.052512848183042360e+00,5.599578469991683960e-02
1.053490288755310367e+00,5.341566726565361023e-02
1.054461151607957170e+00,6.025446206331253052e-02
1.055425524679503679e+00,5.670064687728881836e-02
1.056383494156678760e+00,4.989099875092506409e-02
1.057335144520643144e+00,5.818372592329978943e-02
1.058280558591695897e+00,5.196359381079673767e-02
1.059219817572526923e+00,5.048513785004615784e-02
1.060153001090070601e+00,5.438170954585075378e-02
1.061080187236015382e+00,5.402069166302680969e-02
1.062001452606017082e+00,5.367023125290870667e-02
1.062916872337672070e+00,5.203571915626525879e-02
1.063826520147289401e+00,4.997200146317481995e-02
1.064730468365513216e+00,5.114946514368057251e-02
1.065628787971836466e+00,4.665255919098854065e-02
1.066521548628044380e+00,5.015962570905685425e-02
1.067408818710632312e+00,4.837753996253013611e-02
1.068290665342230161e+00,5.619946122169494629e-02
