# kappa, training_loss
0.000000000000000000e+00,4.993995726108551025e-01
3.461644530084037052e-01,3.050851523876190186e-01
4.394635626342724422e-01,2.529796659946441650e-01
4.956551873822765963e-01,2.224729359149932861e-01
5.359926703223468758e-01,2.157890200614929199e-01
5.674811671634317767e-01,2.143486291170120239e-01
5.933131484768997543e-01,2.082493752241134644e-01
6.152146882103068926e-01,2.062475532293319702e-01
6.342253994344249080e-01,2.063668966293334961e-01
6.510201931090897620e-01,2.075055539608001709e-01
6.660621419718134595e-01,1.992980390787124634e-01
6.796827972616849012e-01,1.986335813999176025e-01
6.921277154277192256e-01,1.970066130161285400e-01
7.035838452825903255e-01,1.988319307565689087e-01
7.141968120342601090e-01,1.946816146373748779e-01
7.240822649531829525e-01,1.938780546188354492e-01
7.333335788687550538e-01,1.935959607362747192e-01
7.420272308822544183e-01,1.918049454689025879e-01
7.502266466773860332e-01,1.927647888660430908e-01
7.579850111202142138e-01,1.922263950109481812e-01
7.653473607823181313e-01,1.890991032123565674e-01
7.723521678783763500e-01,1.879523098468780518e-01
7.790325571005807248e-01,1.877394169569015503e-01
7.854172529413280257e-01,1.849048733711242676e-01
7.915313261076045714e-01,1.864173114299774170e-01
7.973967880836927424e-01,1.861042827367782593e-01
8.030330694688343485e-01,1.798152923583984375e-01
8.084574083307328740e-01,1.854691803455352783e-01
8.136851681537069503e-01,1.849786788225173950e-01
8.187301001637721232e-01,1.793055236339569092e-01
8.236045613140698940e-01,1.812423169612884521e-01
8.283196966307705411e-01,1.853028982877731323e-01
8.328855926908795837e-01,1.727516204118728638e-01
8.373114075483460983e-01,1.729149818420410156e-01
8.416054813165515514e-01,1.723839044570922852e-01
8.457754307633760238e-01,1.793368756771087646e-01
8.498282306147255660e-01,1.767873167991638184e-01
8.537702837465070971e-01,1.731183230876922607e-01
8.576074820389772979e-01,1.795530021190643311e-01
8.613452593455345196e-01,1.778967827558517456e-01
8.649886377712217023e-01,1.727436929941177368e-01
8.685422682500368863e-01,1.708387434482574463e-01
8.720104662436414245e-01,1.688127815723419189e-01
8.753972432488333899e-01,1.728179305791854858e-01
8.787063346907538763e-01,1.718819141387939453e-01
