# kappa, training_loss
0.000000000000000000e+00,2.536832988262176514e-01
3.468483063711843561e-01,1.787548065185546875e-01
4.401798475789645559e-01,1.617497503757476807e-01
4.963829774177818122e-01,1.482388973236083984e-01
5.367263526232066706e-01,1.467572003602981567e-01
5.682184308433824160e-01,1.412665545940399170e-01
5.940528192308806021e-01,1.473026722669601440e-01
6.159560879484122786e-01,1.344708204269409180e-01
6.349681012244318135e-01,1.319589167833328247e-01
6.517639107722831282e-01,1.365500390529632568e-01
6.668066743366599658e-01,1.272257417440414429e-01
6.804279975294325045e-01,1.207318827509880066e-01
6.928734731972887584e-01,1.152523010969161987e-01
7.043300754364182348e-01,1.210494115948677063e-01
7.149434475654529164e-01,1.160071864724159241e-01
7.248292521678522116e-01,1.119926199316978455e-01
7.340808740783507647e-01,1.157143041491508484e-01
7.427747980630763358e-01,9.802559018135070801e-02
7.509744557766543371e-01,1.154279038310050964e-01
7.587330368055866803e-01,1.034196615219116211e-01
7.660955815024796944e-01,1.039552763104438782e-01
7.731005651462419248e-01,9.602101892232894897e-02
7.797811149386734142e-01,9.725136309862136841e-02
7.861659574472056322e-01,1.037089824676513672e-01
7.922801651094506514e-01,9.795308858156204224e-02
7.981457508645142251e-01,9.727111458778381348e-02
8.037821465434967783e-01,9.547425806522369385e-02
8.092065912641333014e-01,9.270729869604110718e-02
8.144344494113006094e-01,8.497276157140731812e-02
8.194794729877832307e-01,8.371892571449279785e-02
8.243540196202646664e-01,8.739748597145080566e-02
8.290692349218264923e-01,8.514284342527389526e-02
8.336352059832500272e-01,8.684562891721725464e-02
8.380610913101711468e-01,7.968481630086898804e-02
8.423552314146731668e-01,8.039949089288711548e-02
8.465252434179021401e-01,7.847490161657333374e-02
8.505781023598864010e-01,7.894361019134521484e-02
8.545202113967870217e-01,7.465332746505737305e-02
8.583574626596913726e-01,7.820408791303634644e-02
8.620952902271677987e-01,7.492303103208541870e-02
8.657387164069686447e-01,7.335470616817474365e-02
8.692923923160719157e-01,6.979238986968994141e-02
8.727606335817343908e-01,6.976351886987686157e-02
8.761474518509800857e-01,6.729383021593093872e-02
8.794565826855504920e-01,6.415609270334243774e-02
8.826915103287353848e-01,6.665021926164627075e-02
8.858554897558088559e-01,6.366121768951416016e-02
8.889515663579277138e-01,6.268984824419021606e-02
8.919825935578811205e-01,6.545538455247879028e-02
8.949512486130897226e-01,5.793131142854690552e-02
8.978600468251969335e-01,5.610574781894683838e-02
9.007113543452422988e-01,5.114707350730895996e-02
9.035073997377622845e-01,5.357685685157775879e-02
9.062502844454182194e-01,5.871006846427917480e-02
9.089419922772556948e-01,5.260597541928291321e-02
9.115843980279114689e-01,5.027350783348083496e-02
9.141792753215712830e-01,5.159102380275726318e-02
9.167283037628763953e-01,5.385875701904296875e-02
9.192330754669869597e-01,4.922660812735557556e-02
9.216951010323810589e-01,4.880742356181144714e-02
9.241158150125002857e-01,5.022715404629707336e-02
9.264965809358708393e-01,4.411406069993972778e-02
9.288386959186858416e-01,4.470783472061157227e-02
9.311433949089180651e-01,4.023744165897369385e-02
9.334118545967293734e-01,3.966340050101280212e-02
9.356451970221754122e-01,3.810688853263854980e-02
9.378444929078977310e-01,3.591171652078628540e-02
9.400107647415807399e-01,3.770812973380088806e-02
9.421449896303882854e-01,4.240976274013519287e-02
9.442481019473270010e-01,3.418929874897003174e-02
9.463209957874733069e-01,3.433879464864730835e-02
9.483645272502283508e-01,3.467029333114624023e-02
9.503795165621792274e-01,3.472713381052017212e-02
9.523667500537417174e-01,3.014076501131057739e-02
