# kappa, accuracy
0.000000000000000000e+00,4.909999966621398926e-01
3.462057565923781222e-01,6.644999980926513672e-01
4.395068296032633159e-01,7.469999790191650391e-01
4.956991509609673385e-01,7.695000171661376953e-01
5.360369906858534206e-01,7.825000286102294922e-01
5.675257043910841848e-01,7.925000190734863281e-01
5.933578314635511441e-01,8.009999990463256836e-01
6.152594758960185928e-01,8.080000281333923340e-01
6.342702659669889886e-01,8.115000128746032715e-01
6.510651211591766963e-01,8.144999742507934570e-01
6.661071193575132110e-01,8.190000057220458984e-01
6.797278150935502916e-01,8.224999904632568359e-01
6.921727670203320359e-01,8.274999856948852539e-01
7.036289254815651928e-01,8.295000195503234863e-01
7.142419167819040737e-01,8.295000195503234863e-01
7.241273909979769607e-01,8.295000195503234863e-01
7.333787235650601755e-01,8.320000171661376953e-01
7.420723920485837732e-01,8.320000171661376953e-01
7.502718224938290659e-01,8.324999809265136719e-01
7.580302000527125994e-01,8.349999785423278809e-01
7.653925615257799464e-01,8.360000252723693848e-01
7.723973793132691279e-01,8.355000019073486328e-01
7.790777782593460987e-01,8.364999890327453613e-01
7.854624829820656684e-01,8.385000228881835938e-01
7.915765642932155455e-01,8.395000100135803223e-01
7.974420337651784152e-01,8.379999995231628418e-01
8.030783220717940818e-01,8.410000205039978027e-01
8.085026673443534984e-01,8.429999947547912598e-01
8.137304331217104503e-01,8.439999818801879883e-01
8.187753706769202999e-01,8.460000157356262207e-01
8.236498370039120331e-01,8.439999818801879883e-01
8.283649771643983861e-01,8.450000286102294922e-01
8.329308777664977681e-01,8.470000028610229492e-01
8.373566968915128195e-01,8.489999771118164062e-01
8.416507746769693599e-01,8.495000004768371582e-01
8.458207279121403577e-01,8.495000004768371582e-01
8.498735313419547577e-01,8.495000004768371582e-01
8.538155878592910142e-01,8.500000238418579102e-01
8.576527893595956575e-01,8.500000238418579102e-01
8.613905697099030201e-01,8.525000214576721191e-01
8.650339510275315558e-01,8.535000085830688477e-01
8.685875842575603301e-01,8.544999957084655762e-01
8.720557848716791183e-01,8.565000295639038086e-01
8.754425643757831610e-01,8.565000295639038086e-01
8.787516582032857126e-01,8.579999804496765137e-01
8.819865504805307621e-01,8.585000038146972656e-01
8.851504960759932761e-01,8.590000271797180176e-01
8.882465402831011270e-01,8.604999780654907227e-01
8.912775364350419283e-01,8.619999885559082031e-01
8.942461617069339397e-01,8.640000224113464355e-01
8.971549313246899304e-01,8.634999990463256836e-01
9.000062113695465049e-01,8.634999990463256836e-01
9.028022303415964567e-01,8.634999990463256836e-01
9.055450896239120029e-01,8.640000224113464355e-01
9.082367729703554327e-01,8.650000095367431641e-01
9.108791551243863305e-01,8.644999861717224121e-01
9.134740096626623451e-01,8.634999990463256836e-01
9.160230161456259790e-01,8.634999990463256836e-01
