# kappa, accuracy
0.000000000000000000e+00,4.895000159740447998e-01
3.460062332576208655e-01,6.135000586509704590e-01
4.392978163838141548e-01,6.645000576972961426e-01
4.954867706080716694e-01,6.895000338554382324e-01
5.358228857533248179e-01,7.100000381469726562e-01
5.673105512011104024e-01,7.145000100135803223e-01
5.931419737140866122e-01,7.250000238418579102e-01
6.150431120579930022e-01,7.250000238418579102e-01
6.340535210024543789e-01,7.300000190734863281e-01
6.508480788333426137e-01,7.330000400543212891e-01
6.658898385545285459e-01,7.330000400543212891e-01
6.795103387827514663e-01,7.335000634193420410e-01
6.919551275173910776e-01,7.350000143051147461e-01
7.034111477015489999e-01,7.360000610351562500e-01
7.140240203387547835e-01,7.370000481605529785e-01
7.239093916087950831e-01,7.360000610351562500e-01
7.331606340182710291e-01,7.375000119209289551e-01
7.418542228890134815e-01,7.415000200271606445e-01
7.500535825185299377e-01,7.410000562667846680e-01
7.578118966769927800e-01,7.410000562667846680e-01
7.651742010581776832e-01,7.425000071525573730e-01
7.721789671653690457e-01,7.400000095367431641e-01
7.788593191081246703e-01,7.435000538825988770e-01
7.852439808970961277e-01,7.455000281333923340e-01
7.913580228374830217e-01,7.465000152587890625e-01
7.972234560758110211e-01,7.470000386238098145e-01
8.028597109253287067e-01,7.475000619888305664e-01
8.082840252099600109e-01,7.460000514984130859e-01
8.135117622049450326e-01,7.485000491142272949e-01
8.185566729559612398e-01,7.505000233650207520e-01
8.234311142597763311e-01,7.520000338554382324e-01
8.281462310062998045e-01,7.510000467300415039e-01
8.327121096532560385e-01,7.530000209808349609e-01
8.371379081497276609e-01,7.540000081062316895e-01
8.414319665165300721e-01,7.535000443458557129e-01
8.456019014395271816e-01,7.540000081062316895e-01
8.496546875716959324e-01,7.555000185966491699e-01
8.535967277238774020e-01,7.575000524520874023e-01
8.574339137180931880e-01,7.570000290870666504e-01
8.611716793554645699e-01,7.590000629425048828e-01
8.648150466939715786e-01,7.585000395774841309e-01
8.683686666251303476e-01,7.595000267028808594e-01
8.718368545721560947e-01,7.600000500679016113e-01
8.752236219969689035e-01,7.590000629425048828e-01
8.785327042929956809e-01,7.585000395774841309e-01
8.817675855501397875e-01,7.605000138282775879e-01
8.849315206035981429e-01,7.620000243186950684e-01
8.880275547163463123e-01,7.625000476837158203e-01
8.910585411936526867e-01,7.615000605583190918e-01
8.940271571849901511e-01,7.615000605583190918e-01
8.969359178926734621e-01,7.625000476837158203e-01
8.997871893761891782e-01,7.600000500679016113e-01
9.025832001155492668e-01,7.615000605583190918e-01
9.053260514752582422e-01,7.630000114440917969e-01
9.080177271919832593e-01,7.615000605583190918e-01
9.106601019932371033e-01,7.615000605583190918e-01
9.132549494408678248e-01,7.610000371932983398e-01
9.158039490815454986e-01,7.610000371932983398e-01
9.183086929764506801e-01,7.620000243186950684e-01
9.207706916737351532e-01,7.615000605583190918e-01
9.231913796798637550e-01,7.630000114440917969e-01
9.255721204794610246e-01,7.610000371932983398e-01
9.279142111476469390e-01,7.620000243186950684e-01
