# kappa, accuracy
0.000000000000000000e+00,5.005000233650207520e-01
3.459720475388866068e-01,5.410000085830688477e-01
4.392620033171246163e-01,6.045000553131103516e-01
4.954503801072041025e-01,6.665000319480895996e-01
5.357861994958960095e-01,6.845000386238098145e-01
5.672736851708825023e-01,7.070000171661376953e-01
5.931049868532998204e-01,7.200000286102294922e-01
6.150060384035923589e-01,7.225000262260437012e-01
6.340163819850546112e-01,7.270000576972961426e-01
6.508108888184933605e-01,7.270000576972961426e-01
6.658526076407698113e-01,7.295000553131103516e-01
6.794730743392790595e-01,7.295000553131103516e-01
6.919178350863227633e-01,7.330000400543212891e-01
7.033738315558116794e-01,7.320000529289245605e-01
7.139866838421393691e-01,7.345000505447387695e-01
7.238720374567885196e-01,7.380000352859497070e-01
7.331232644040943658e-01,7.410000562667846680e-01
7.418168396211113347e-01,7.425000071525573730e-01
7.500161871056044705e-01,7.470000386238098145e-01
7.577744903907761564e-01,7.495000362396240234e-01
7.651367849805914556e-01,7.500000596046447754e-01
7.721415422245065940e-01,7.485000491142272949e-01
7.788218861060938192e-01,7.510000467300415039e-01
7.852065405318345848e-01,7.515000104904174805e-01
7.913205757200482138e-01,7.520000338554382324e-01
7.971860027442252417e-01,7.520000338554382324e-01
8.028222518557729392e-01,7.530000209808349609e-01
8.082465608259011836e-01,7.570000290870666504e-01
8.134742928846400156e-01,7.590000629425048828e-01
8.185191990386714300e-01,7.625000476837158203e-01
8.233936360509493957e-01,7.635000348091125488e-01
8.281087487819194237e-01,7.635000348091125488e-01
8.326746236635126364e-01,7.625000476837158203e-01
8.371004186221356891e-01,7.610000371932983398e-01
8.413944736585883266e-01,7.630000114440917969e-01
8.455644054409994226e-01,7.630000114440917969e-01
8.496171886065758683e-01,7.655000090599060059e-01
8.535592259520893288e-01,7.670000195503234863e-01
8.573964092869690301e-01,7.660000324249267578e-01
8.611341724010317389e-01,7.685000300407409668e-01
8.647775373420811817e-01,7.675000429153442383e-01
8.683311549924469519e-01,7.675000429153442383e-01
8.717993407670309169e-01,7.670000195503234863e-01
8.751861061202114156e-01,7.685000300407409668e-01
8.784951864385576181e-01,7.695000171661376953e-01
8.817300658057232177e-01,7.705000638961791992e-01
8.848939990511978104e-01,7.705000638961791992e-01
8.879900314327345834e-01,7.700000405311584473e-01
8.910210162508132026e-01,7.710000276565551758e-01
8.939896306505087376e-01,7.710000276565551758e-01
8.968983898300888491e-01,7.710000276565551758e-01
8.997496598453096350e-01,7.710000276565551758e-01
9.025456691727393732e-01,7.705000638961791992e-01
9.052885191736981252e-01,7.710000276565551758e-01
9.079801935819039604e-01,7.705000638961791992e-01
9.106225671221347406e-01,7.700000405311584473e-01
9.132174133536986593e-01,7.710000276565551758e-01
9.157664118209039028e-01,7.720000147819519043e-01
9.182711545827316746e-01,7.735000252723693848e-01
9.207331521852830658e-01,7.735000252723693848e-01
9.231538391331089999e-01,7.745000123977661133e-01
9.255345789090454467e-01,7.745000123977661133e-01
9.278766685865386110e-01,7.755000591278076172e-01
9.301813430735238475e-01,7.760000228881835938e-01
9.324497790226242699e-01,7.755000591278076172e-01
9.346830984386633734e-01,7.760000228881835938e-01
9.368823720111824072e-01,7.775000333786010742e-01
9.390486221967386804e-01,7.775000333786010742e-01
9.411828260731974760e-01,7.770000100135803223e-01
9.432859179859626186e-01,7.770000100135803223e-01
9.453587920040832371e-01,7.765000462532043457e-01
9.474023042023970165e-01,7.785000205039978027e-01
9.494172747842901661e-01,7.795000076293945312e-01
9.514044900582478981e-01,7.785000205039978027e-01
9.533647042801139948e-01,7.795000076293945312e-01
9.552986413718642655e-01,7.800000309944152832e-01
9.572069965266940539e-01,7.805000543594360352e-01
9.590904377093251165e-01,7.805000543594360352e-01
9.609496070596352801e-01,7.800000309944152832e-01
9.627851222069918613e-01,7.805000543594360352e-01
9.645975775020181331e-01,7.805000543594360352e-01
9.663875451719430298e-01,7.795000076293945312e-01
9.681555764051508195e-01,7.800000309944152832e-01
9.699022023700756279e-01,7.800000309944152832e-01
9.716279351731521574e-01,7.800000309944152832e-01
9.733332687601466970e-01,7.805000543594360352e-01
9.750186797648359160e-01,7.805000543594360352e-01
9.766846283086827452e-01,7.810000181198120117e-01
9.783315587548651049e-01,7.820000648498535156e-01
9.799599004197497853e-01,7.820000648498535156e-01
9.815700682446611980e-01,7.815000414848327637e-01
9.831624634305738963e-01,7.815000414848327637e-01
9.847374740381586999e-01,7.810000181198120117e-01
9.862954755554262931e-01,7.805000543594360352e-01
9.878368314350474133e-01,7.810000181198120117e-01
9.893618936032702038e-01,7.805000543594360352e-01
9.908710029422205245e-01,7.810000181198120117e-01
9.923644897472360116e-01,7.815000414848327637e-01
9.938426741607705450e-01,7.825000286102294922e-01
9.953058665842943187e-01,7.830000519752502441e-01
9.967543680695143404e-01,7.825000286102294922e-01
9.981884706901500426e-01,7.820000648498535156e-01
9.996084578954128608e-01,7.820000648498535156e-01
1.001014604846257150e+00,7.835000157356262207e-01
1.002407178735402971e+00,7.830000519752502441e-01
1.003786439092061222e+00,7.830000519752502441e-01
1.005152638072228211e+00,7.825000286102294922e-01
1.006506020735365103e+00,7.835000157356262207e-01
1.007846825308219563e+00,7.830000519752502441e-01
1.009175283436499759e+00,7.825000286102294922e-01
1.010491620425067127e+00,7.830000519752502441e-01
1.011796055467269140e+00,7.830000519752502441e-01
1.013088801863998523e+00,7.845000624656677246e-01
1.014370067233022699e+00,7.845000624656677246e-01
1.015640053709101265e+00,7.835000157356262207e-01
1.016898958135370901e+00,7.845000624656677246e-01
1.018146972246451787e+00,7.840000391006469727e-01
1.019384282843703193e+00,7.845000624656677246e-01
1.020611071963026806e+00,7.835000157356262207e-01
1.021827517035593935e+00,7.845000624656677246e-01
1.023033791041856100e+00,7.845000624656677246e-01
1.024230062659167606e+00,7.840000391006469727e-01
1.025416496403338762e+00,7.845000624656677246e-01
1.026593252764417263e+00,7.850000262260437012e-01
1.027760488336973532e+00,7.840000391006469727e-01
1.028918355945161567e+00,7.835000157356262207e-01
1.030067004762797334e+00,7.845000624656677246e-01
1.031206580428698061e+00,7.835000157356262207e-01
1.032337225157498928e+00,7.835000157356262207e-01
1.033459077846162311e+00,7.845000624656677246e-01
1.034572274176378537e+00,7.845000624656677246e-01
1.035676946713044666e+00,7.840000391006469727e-01
1.036773224999001819e+00,7.845000624656677246e-01
1.037861235646201585e+00,7.850000262260437012e-01
1.038941102423458496e+00,7.835000157356262207e-01
1.040012946340942657e+00,7.840000391006469727e-01
1.041076885731560209e+00,7.845000624656677246e-01
1.042133036329349283e+00,7.865000367164611816e-01
1.043181511345031787e+00,7.865000367164611816e-01
1.044222421538838041e+00,7.840000391006469727e-01
1.045255875290722170e+00,7.840000391006469727e-01
1.046281978668082369e+00,7.860000133514404297e-01
1.047300835491087545e+00,7.860000133514404297e-01
1.048312547395715111e+00,7.840000391006469727e-01
1.049317213894593870e+00,7.845000624656677246e-01
1.050314932435740145e+00,7.860000133514404297e-01
1.051305798459282403e+00,7.860000133514404297e-01
1.052289905452244767e+00,7.845000624656677246e-01
1.053267345001479560e+00,7.850000262260437012e-01
1.054238206844815506e+00,7.865000367164611816e-01
1.055202578920499734e+00,7.860000133514404297e-01
1.056160547414994433e+00,7.865000367164611816e-01
1.057112196809199878e+00,7.855000495910644531e-01
1.058057609923161779e+00,7.860000133514404297e-01
1.058996867959323573e+00,7.865000367164611816e-01
1.059930050544379831e+00,7.865000367164611816e-01
1.060857235769784079e+00,7.875000238418579102e-01
1.061778500230964761e+00,7.860000133514404297e-01
1.062693919065295312e+00,7.870000600814819336e-01
1.063603565988868072e+00,7.875000238418579102e-01
1.064507513332116240e+00,7.875000238418579102e-01
1.065405832074326486e+00,7.875000238418579102e-01
1.066298591877082869e+00,7.870000600814819336e-01
1.067185861116684231e+00,7.875000238418579102e-01
1.068067706915569959e+00,7.875000238418579102e-01
1.068944195172789158e+00,7.870000600814819336e-01
1.069815390593553683e+00,7.870000600814819336e-01
1.070681356717900989e+00,7.890000343322753906e-01
1.071542155948503217e+00,7.880000472068786621e-01
1.072397849577651385e+00,7.860000133514404297e-01
1.073248497813444002e+00,7.870000600814819336e-01
1.074094159805208060e+00,7.895000576972961426e-01
1.074934893668179736e+00,7.900000214576721191e-01
1.075770756507469450e+00,7.875000238418579102e-01
1.076601804441336796e+00,7.875000238418579102e-01
1.077428092623799349e+00,7.890000343322753906e-01
1.078249675266597762e+00,7.890000343322753906e-01
1.079066605660538025e+00,7.885000109672546387e-01
1.079878936196234207e+00,7.895000576972961426e-01
1.080686718384269440e+00,7.895000576972961426e-01
1.081490002874795797e+00,7.885000109672546387e-01
1.082288839476592157e+00,7.900000214576721191e-01
1.083083277175596493e+00,7.895000576972961426e-01
1.083873364152931451e+00,7.905000448226928711e-01
1.084659147802438328e+00,7.890000343322753906e-01
1.085440674747736756e+00,7.900000214576721191e-01
1.086217990858823867e+00,7.905000448226928711e-01
1.086991141268230932e+00,7.905000448226928711e-01
1.087760170386745662e+00,7.900000214576721191e-01
1.088525121918721084e+00,7.915000319480895996e-01
1.089286038876979168e+00,7.910000085830688477e-01
1.090042963597323666e+00,7.905000448226928711e-01
1.090795937752674361e+00,7.905000448226928711e-01
1.091545002366834050e+00,7.900000214576721191e-01
1.092290197827900045e+00,7.920000553131103516e-01
1.093031563901332159e+00,7.900000214576721191e-01
1.093769139742684526e+00,7.900000214576721191e-01
1.094502963910015669e+00,7.900000214576721191e-01
1.095233074375983495e+00,7.910000085830688477e-01
1.095959508539635419e+00,7.900000214576721191e-01
1.096682303237904499e+00,7.900000214576721191e-01
1.097401494756817808e+00,7.905000448226928711e-01
1.098117118842427020e+00,7.905000448226928711e-01
1.098829210711469884e+00,7.900000214576721191e-01
1.099537805061769014e+00,7.900000214576721191e-01
1.100242936082377332e+00,7.915000319480895996e-01
1.100944637463476816e+00,7.900000214576721191e-01
1.101642942406034997e+00,7.905000448226928711e-01
1.102337883631234972e+00,7.905000448226928711e-01
1.103029493389671822e+00,7.910000085830688477e-01
1.103717803470335879e+00,7.900000214576721191e-01
1.104402845209379258e+00,7.910000085830688477e-01
1.105084649498676130e+00,7.910000085830688477e-01
1.105763246794181587e+00,7.920000553131103516e-01
1.106438667124096664e+00,7.905000448226928711e-01
1.107110940096838636e+00,7.905000448226928711e-01
1.107780094908831447e+00,7.910000085830688477e-01
1.108446160352113852e+00,7.935000658035278320e-01
1.109109164821772131e+00,7.905000448226928711e-01
1.109769136323204730e+00,7.900000214576721191e-01
1.110426102479219246e+00,7.915000319480895996e-01
1.111080090536971099e+00,7.935000658035278320e-01
1.111731127374743888e+00,7.915000319480895996e-01
1.112379239508576978e+00,7.900000214576721191e-01
1.113024453098747424e+00,7.910000085830688477e-01
1.113666793956104017e+00,7.925000190734863281e-01
1.114306287548264773e+00,7.925000190734863281e-01
1.114942959005674306e+00,7.895000576972961426e-01
1.115576833127530199e+00,7.920000553131103516e-01
1.116207934387579703e+00,7.930000424385070801e-01
1.116836286939788314e+00,7.935000658035278320e-01
1.117461914623888219e+00,7.915000319480895996e-01
1.118084840970804184e+00,7.920000553131103516e-01
1.118705089207965298e+00,7.935000658035278320e-01
1.119322682264501045e+00,7.940000295639038086e-01
1.119937642776327458e+00,7.920000553131103516e-01
1.120549993091126240e+00,7.915000319480895996e-01
1.121159755273216652e+00,7.935000658035278320e-01
1.121766951108326582e+00,7.950000166893005371e-01
1.122371602108262145e+00,7.920000553131103516e-01
1.122973729515482688e+00,7.915000319480895996e-01
1.123573354307576100e+00,7.945000529289245605e-01
1.124170497201646191e+00,7.955000400543212891e-01
1.124765178658606812e+00,7.930000424385070801e-01
1.125357418887388272e+00,7.915000319480895996e-01
1.125947237849058924e+00,7.930000424385070801e-01
1.126534655260861495e+00,7.955000400543212891e-01
1.127119690600168367e+00,7.955000400543212891e-01
1.127702363108356032e+00,7.905000448226928711e-01
1.128282691794603609e+00,7.935000658035278320e-01
1.128860695439612982e+00,7.950000166893005371e-01
1.129436392599255878e+00,7.960000634193420410e-01
1.130009801608148123e+00,7.925000190734863281e-01
1.130580940583154392e+00,7.905000448226928711e-01
1.131149827426821242e+00,7.935000658035278320e-01
1.131716479830745747e+00,7.955000400543212891e-01
1.132280915278875311e+00,7.935000658035278320e-01
1.132843151050745512e+00,7.900000214576721191e-01
1.133403204224654681e+00,7.920000553131103516e-01
1.133961091680775191e+00,7.955000400543212891e-01
1.134516830104207674e+00,7.955000400543212891e-01
1.135070435987974413e+00,7.915000319480895996e-01
1.135621925635956764e+00,7.915000319480895996e-01
1.136171315165775519e+00,7.925000190734863281e-01
1.136718620511618871e+00,7.955000400543212891e-01
1.137263857427013525e+00,7.920000553131103516e-01
1.137807041487546522e+00,7.910000085830688477e-01
1.138348188093535107e+00,7.910000085830688477e-01
1.138887312472646407e+00,7.945000529289245605e-01
1.139424429682468487e+00,7.935000658035278320e-01
1.139959554613033887e+00,7.925000190734863281e-01
1.140492701989296309e+00,7.920000553131103516e-01
1.141023886373562002e+00,7.920000553131103516e-01
1.141553122167876522e+00,7.940000295639038086e-01
1.142080423616367080e+00,7.915000319480895996e-01
1.142605804807543590e+00,7.915000319480895996e-01
1.143129279676557308e+00,7.920000553131103516e-01
1.143650862007418167e+00,7.935000658035278320e-01
1.144170565435172593e+00,7.925000190734863281e-01
1.144688403448042457e+00,7.920000553131103516e-01
1.145204389389526067e+00,7.920000553131103516e-01
1.145718536460460291e+00,7.920000553131103516e-01
1.146230857721047602e+00,7.905000448226928711e-01
1.146741366092846492e+00,7.920000553131103516e-01
1.147250074360727234e+00,7.935000658035278320e-01
1.147756995174792571e+00,7.920000553131103516e-01
1.148262141052265761e+00,7.920000553131103516e-01
1.148765524379344205e+00,7.920000553131103516e-01
1.149267157413023543e+00,7.920000553131103516e-01
1.149767052282885782e+00,7.920000553131103516e-01
1.150265220992862103e+00,7.925000190734863281e-01
1.150761675422960151e+00,7.930000424385070801e-01
1.151256427330965115e+00,7.925000190734863281e-01
1.151749488354110174e+00,7.920000553131103516e-01
1.152240870010718732e+00,7.925000190734863281e-01
1.152730583701819578e+00,7.925000190734863281e-01
1.153218640712733389e+00,7.925000190734863281e-01
1.153705052214634152e+00,7.925000190734863281e-01
1.154189829266081713e+00,7.925000190734863281e-01
1.154672982814532567e+00,7.920000553131103516e-01
1.155154523697820901e+00,7.925000190734863281e-01
1.155634462645619642e+00,7.935000658035278320e-01
1.156112810280873093e+00,7.935000658035278320e-01
1.156589577121208468e+00,7.925000190734863281e-01
1.157064773580323669e+00,7.940000295639038086e-01
1.157538409969352200e+00,7.930000424385070801e-01
1.158010496498204089e+00,7.940000295639038086e-01
1.158481043276889721e+00,7.935000658035278320e-01
1.158950060316815023e+00,7.935000658035278320e-01
1.159417557532062881e+00,7.950000166893005371e-01
1.159883544740647920e+00,7.935000658035278320e-01
1.160348031665756174e+00,7.950000166893005371e-01
1.160811027936960338e+00,7.940000295639038086e-01
1.161272543091418363e+00,7.935000658035278320e-01
1.161732586575052961e+00,7.940000295639038086e-01
1.162191167743710674e+00,7.960000634193420410e-01
1.162648295864303627e+00,7.955000400543212891e-01
1.163103980115933300e+00,7.930000424385070801e-01
1.163558229590997417e+00,7.935000658035278320e-01
1.164011053296276632e+00,7.935000658035278320e-01
1.164462460154007006e+00,7.955000400543212891e-01
1.164912459002935607e+00,7.950000166893005371e-01
1.165361058599358124e+00,7.940000295639038086e-01
1.165808267618140714e+00,7.940000295639038086e-01
1.166254094653728091e+00,7.935000658035278320e-01
1.166698548221132059e+00,7.940000295639038086e-01
1.167141636756910961e+00,7.950000166893005371e-01
1.167583368620126683e+00,7.950000166893005371e-01
1.168023752093294121e+00,7.955000400543212891e-01
1.168462795383310215e+00,7.940000295639038086e-01
1.168900506622373658e+00,7.945000529289245605e-01
1.169336893868888172e+00,7.940000295639038086e-01
1.169771965108352241e+00,7.945000529289245605e-01
1.170205728254236410e+00,7.955000400543212891e-01
1.170638191148845930e+00,7.940000295639038086e-01
1.171069361564173406e+00,7.950000166893005371e-01
1.171499247202734795e+00,7.955000400543212891e-01
1.171927855698396970e+00,7.950000166893005371e-01
1.172355194617188845e+00,7.950000166893005371e-01
1.172781271458104957e+00,7.940000295639038086e-01
1.173206093653894166e+00,7.945000529289245605e-01
1.173629668571836815e+00,7.950000166893005371e-01
1.174052003514512554e+00,7.945000529289245605e-01
1.174473105720555743e+00,7.930000424385070801e-01
1.174892982365398630e+00,7.950000166893005371e-01
1.175311640562006321e+00,7.945000529289245605e-01
1.175729087361599090e+00,7.935000658035278320e-01
1.176145329754365365e+00,7.945000529289245605e-01
1.176560374670163611e+00,7.955000400543212891e-01
1.176974228979214443e+00,7.955000400543212891e-01
1.177386899492783856e+00,7.910000085830688477e-01
1.177798392963855356e+00,7.950000166893005371e-01
1.178208716087792540e+00,7.935000658035278320e-01
1.178617875502993684e+00,7.955000400543212891e-01
1.179025877791535004e+00,7.945000529289245605e-01
1.179432729479807263e+00,7.940000295639038086e-01
1.179838437039140819e+00,7.940000295639038086e-01
1.180243006886425139e+00,7.950000166893005371e-01
1.180646445384715415e+00,7.935000658035278320e-01
1.181048758843834756e+00,7.930000424385070801e-01
1.181449953520965934e+00,7.935000658035278320e-01
1.181850035621234474e+00,7.945000529289245605e-01
1.182249011298286190e+00,7.930000424385070801e-01
1.182646886654852958e+00,7.935000658035278320e-01
1.183043667743315153e+00,7.935000658035278320e-01
1.183439360566251652e+00,7.935000658035278320e-01
1.183833971076986735e+00,7.940000295639038086e-01
1.184227505180126538e+00,7.935000658035278320e-01
1.184619968732088857e+00,7.940000295639038086e-01
1.185011367541627392e+00,7.920000553131103516e-01
1.185401707370345781e+00,7.930000424385070801e-01
1.185790993933208526e+00,7.940000295639038086e-01
1.186179232899040814e+00,7.935000658035278320e-01
1.186566429891025898e+00,7.930000424385070801e-01
1.186952590487192483e+00,7.920000553131103516e-01
1.187337720220897452e+00,7.935000658035278320e-01
1.187721824581301266e+00,7.930000424385070801e-01
1.188104909013837807e+00,7.930000424385070801e-01
1.188486978920677117e+00,7.930000424385070801e-01
1.188868039661183040e+00,7.940000295639038086e-01
1.189248096552363076e+00,7.915000319480895996e-01
1.189627154869316028e+00,7.920000553131103516e-01
1.190005219845667872e+00,7.915000319480895996e-01
1.190382296674008300e+00,7.915000319480895996e-01
1.190758390506317488e+00,7.915000319480895996e-01
1.191133506454388202e+00,7.915000319480895996e-01
1.191507649590242801e+00,7.940000295639038086e-01
1.191880824946544903e+00,7.910000085830688477e-01
1.192253037517005954e+00,7.910000085830688477e-01
1.192624292256785346e+00,7.925000190734863281e-01
1.192994594082886772e+00,7.925000190734863281e-01
1.193363947874549025e+00,7.925000190734863281e-01
1.193732358473631017e+00,7.925000190734863281e-01
1.194099830684993480e+00,7.935000658035278320e-01
1.194466369276875106e+00,7.915000319480895996e-01
1.194831978981262477e+00,7.915000319480895996e-01
1.195196664494257988e+00,7.910000085830688477e-01
1.195560430476441338e+00,7.920000553131103516e-01
1.195923281553226580e+00,7.915000319480895996e-01
1.196285222315214947e+00,7.925000190734863281e-01
1.196646257318544349e+00,7.910000085830688477e-01
1.197006391085231991e+00,7.915000319480895996e-01
1.197365628103515878e+00,7.915000319480895996e-01
1.197723972828188765e+00,7.915000319480895996e-01
1.198081429680930565e+00,7.910000085830688477e-01
1.198438003050635858e+00,7.925000190734863281e-01
1.198793697293736971e+00,7.920000553131103516e-01
1.199148516734522607e+00,7.925000190734863281e-01
1.199502465665454487e+00,7.925000190734863281e-01
1.199855548347478651e+00,7.915000319480895996e-01
1.200207769010332104e+00,7.915000319480895996e-01
1.200559131852848793e+00,7.915000319480895996e-01
1.200909641043258258e+00,7.925000190734863281e-01
1.201259300719482503e+00,7.930000424385070801e-01
1.201608114989430653e+00,7.925000190734863281e-01
1.201956087931286277e+00,7.920000553131103516e-01
1.202303223593795378e+00,7.925000190734863281e-01
1.202649525996547508e+00,7.915000319480895996e-01
1.202994999130256648e+00,7.915000319480895996e-01
1.203339646957035880e+00,7.920000553131103516e-01
1.203683473410670723e+00,7.925000190734863281e-01
1.204026482396887587e+00,7.930000424385070801e-01
1.204368677793620890e+00,7.910000085830688477e-01
1.204710063451276625e+00,7.920000553131103516e-01
1.205050643192990822e+00,7.930000424385070801e-01
1.205390420814887120e+00,7.945000529289245605e-01
1.205729400086331227e+00,7.920000553131103516e-01
1.206067584750180943e+00,7.920000553131103516e-01
1.206404978523034632e+00,7.940000295639038086e-01
1.206741585095476132e+00,7.910000085830688477e-01
1.207077408132317231e+00,7.915000319480895996e-01
1.207412451272836140e+00,7.935000658035278320e-01
1.207746718131015529e+00,7.935000658035278320e-01
1.208080212295775668e+00,7.930000424385070801e-01
1.208412937331205361e+00,7.930000424385070801e-01
1.208744896776790867e+00,7.940000295639038086e-01
