# kappa, accuracy
0.000000000000000000e+00,5.335000157356262207e-01
3.459761943776894499e-01,6.015000343322753906e-01
4.392663475800541728e-01,6.615000367164611816e-01
4.954547944228861467e-01,6.920000314712524414e-01
5.357906496920595840e-01,7.025000452995300293e-01
5.672781571766852826e-01,7.125000357627868652e-01
5.931094735180127975e-01,7.165000438690185547e-01
6.150105355979315069e-01,7.260000109672546387e-01
6.340208871091043141e-01,7.305000424385070801e-01
6.508154001294558233e-01,7.320000529289245605e-01
6.658571239135108177e-01,7.365000247955322266e-01
6.794775946797826371e-01,7.390000224113464355e-01
6.919223588222300769e-01,7.440000176429748535e-01
7.033783581687395037e-01,7.465000152587890625e-01
7.139912129239993632e-01,7.460000514984130859e-01
7.238765686805689326e-01,7.445000410079956055e-01
7.331277975037179262e-01,7.470000386238098145e-01
7.418213743771806534e-01,7.465000152587890625e-01
7.500207233350867364e-01,7.460000514984130859e-01
7.577790279393872286e-01,7.480000257492065430e-01
7.651413237170744397e-01,7.500000596046447754e-01
7.721460820362670008e-01,7.490000128746032715e-01
7.788264268958211556e-01,7.475000619888305664e-01
7.852110822148563596e-01,7.495000362396240234e-01
7.913251182222320601e-01,7.510000467300415039e-01
7.971905460002993715e-01,7.500000596046447754e-01
8.028267958079677857e-01,7.535000443458557129e-01
8.082511054228425085e-01,7.555000185966491699e-01
8.134788380804383046e-01,7.540000081062316895e-01
8.185237447921681619e-01,7.565000653266906738e-01
8.233981823250882126e-01,7.580000162124633789e-01
8.281132955432183307e-01,7.605000138282775879e-01
8.326791708816189130e-01,7.620000243186950684e-01
8.371049662694478588e-01,7.625000476837158203e-01
8.413990217099330815e-01,7.625000476837158203e-01
8.455689538733547339e-01,7.650000452995300293e-01
8.496217373988332877e-01,7.655000090599060059e-01
8.535637750848469318e-01,7.655000090599060059e-01
8.574009587423528922e-01,7.660000324249267578e-01
8.611387221625391719e-01,7.670000195503234863e-01
8.647820873944440656e-01,7.655000090599060059e-01
8.683357053215118304e-01,7.675000429153442383e-01
8.718038913596529715e-01,7.670000195503234863e-01
8.751906569641604294e-01,7.655000090599060059e-01
8.784997375224355975e-01,7.670000195503234863e-01
8.817346171188902293e-01,7.660000324249267578e-01
8.848985505837063670e-01,7.680000066757202148e-01
8.879945831752709129e-01,7.655000090599060059e-01
8.910255681946442907e-01,7.675000429153442383e-01
8.939941827874351432e-01,7.655000090599060059e-01
8.969029421524021828e-01,7.660000324249267578e-01
8.997542123457540342e-01,7.665000557899475098e-01
9.025502218444769742e-01,7.680000066757202148e-01
9.052930720102769779e-01,7.710000276565551758e-01
9.079847465772301618e-01,7.700000405311584473e-01
9.106271202704462331e-01,7.715000510215759277e-01
9.132219666495413612e-01,7.725000381469726562e-01
9.157709652591105032e-01,7.705000638961791992e-01
