# kappa, training_loss
0.000000000000000000e+00,4.510876834392547607e-01
3.459470965640704110e-01,3.345954120159149170e-01
4.392358643422229481e-01,3.189802765846252441e-01
4.954238195869781203e-01,3.022787868976593018e-01
5.357594230628387466e-01,2.899404764175415039e-01
5.672467774969002230e-01,2.801356315612792969e-01
5.930779909682922790e-01,2.729751467704772949e-01
6.149789791557794816e-01,2.667053639888763428e-01
6.339892750195974536e-01,2.614899277687072754e-01
6.507837446228009748e-01,2.567888200283050537e-01
6.658254335871750529e-01,2.524358928203582764e-01
6.794458758075901939e-01,2.484283149242401123e-01
6.918906161225100160e-01,2.447600066661834717e-01
7.033465952792860021e-01,2.412239164113998413e-01
7.139594327086072889e-01,2.378035038709640503e-01
7.238447734340668349e-01,2.345463335514068604e-01
7.330959890933259615e-01,2.314251959323883057e-01
7.417895543425364613e-01,2.284525334835052490e-01
7.499888929606389754e-01,2.256025373935699463e-01
7.577471883078386039e-01,2.228682488203048706e-01
7.651094757495303655e-01,2.202716767787933350e-01
7.721142265228696511e-01,2.177516072988510132e-01
7.787945645194536137e-01,2.153100222349166870e-01
7.851792135697156505e-01,2.129393815994262695e-01
7.912932438285483761e-01,2.106289565563201904e-01
7.971586663161243091e-01,2.083869576454162598e-01
8.027949112387032793e-01,2.061758786439895630e-01
8.082192163290119469e-01,2.040298283100128174e-01
8.134469447840750878e-01,2.019544839859008789e-01
8.184918475821060246e-01,1.999254822731018066e-01
8.233662814613738057e-01,1.979420185089111328e-01
8.280813912608134819e-01,1.959836184978485107e-01
8.326472633935261269e-01,1.940569728612899780e-01
8.370730557693644158e-01,1.921675652265548706e-01
8.413671083745153378e-01,1.903136223554611206e-01
8.455370378641602347e-01,1.884857416152954102e-01
8.495898188639938731e-01,1.866885572671890259e-01
8.535318541605160236e-01,1.849336326122283936e-01
8.573690355539631547e-01,1.832085102796554565e-01
8.611067968258991900e-01,1.815178245306015015e-01
8.647501600166985769e-01,1.798457652330398560e-01
8.683037760019848283e-01,1.781972050666809082e-01
8.717719601905904447e-01,1.765578389167785645e-01
8.751587240313878358e-01,1.749422103166580200e-01
8.784678029059397320e-01,1.733579337596893311e-01
8.817026808933373649e-01,1.717976331710815430e-01
8.848666128189038860e-01,1.702598333358764648e-01
8.879626439365796431e-01,1.687484085559844971e-01
8.909936275433486541e-01,1.672589629888534546e-01
8.939622407810750015e-01,1.657854020595550537e-01
8.968709988450720427e-01,1.643295139074325562e-01
8.997222677883723874e-01,1.628940999507904053e-01
9.025182760850305463e-01,1.614810973405838013e-01
9.052611250940412191e-01,1.600947529077529907e-01
9.079527985469699747e-01,1.587308943271636963e-01
9.105951711665980497e-01,1.573902070522308350e-01
9.131900165103792322e-01,1.560665518045425415e-01
9.157390141208976431e-01,1.547601222991943359e-01
9.182437560555285483e-01,1.534660905599594116e-01
9.207057528588762363e-01,1.521897614002227783e-01
9.231264390340943038e-01,1.509175002574920654e-01
9.255071780627127653e-01,1.496511697769165039e-01
9.278492670169562473e-01,1.483989506959915161e-01
9.301539408036156864e-01,1.471777111291885376e-01
9.324223760742412770e-01,1.459644287824630737e-01
9.346556948326496528e-01,1.447750926017761230e-01
9.368549677674360421e-01,1.436288356781005859e-01
9.390212173342680213e-01,1.424567550420761108e-01
9.411554206101736542e-01,1.413391381502151489e-01
9.432585119397680629e-01,1.402515172958374023e-01
9.453313853913558606e-01,1.391621083021163940e-01
9.473748970390729607e-01,1.381029188632965088e-01
9.493898670856428801e-01,1.370996981859207153e-01
9.513770818389234440e-01,1.360625624656677246e-01
9.533372955541657978e-01,1.350316554307937622e-01
9.552712321527845329e-01,1.340477019548416138e-01
9.571795868274426411e-01,1.330712139606475830e-01
9.590630275423579487e-01,1.321191787719726562e-01
9.609221964369296654e-01,1.311580836772918701e-01
9.627577111400709153e-01,1.302675753831863403e-01
9.645701660019733170e-01,1.293047517538070679e-01
9.663601332494556884e-01,1.284200102090835571e-01
9.681281640705118319e-01,1.275433450937271118e-01
9.698747896332043927e-01,1.266494095325469971e-01
9.716005220436141343e-01,1.258237510919570923e-01
9.733058552471703928e-01,1.249401569366455078e-01
9.749912658773282059e-01,1.241431087255477905e-01
9.766572140552436387e-01,1.232874467968940735e-01
9.783041441438016239e-01,1.225129365921020508e-01
9.799324854590896194e-01,1.217003539204597473e-01
9.815426529421643620e-01,1.209022700786590576e-01
9.831350477937451648e-01,1.201471909880638123e-01
9.847100580742580433e-01,1.194038540124893188e-01
9.862680592714803129e-01,1.186421588063240051e-01
9.878094148378581130e-01,1.178983598947525024e-01
9.893344766994253137e-01,1.171372309327125549e-01
9.908435857381020506e-01,1.164439022541046143e-01
9.923370722490286733e-01,1.156934797763824463e-01
9.938152563744704349e-01,1.150492876768112183e-01
9.952784485157152305e-01,1.142883300781250000e-01
9.967269497242960963e-01,1.136392056941986084e-01
9.981610520737655978e-01,1.129246279597282410e-01
9.995810390131738554e-01,1.123086884617805481e-01
1.000987185703320792e+00,1.115854009985923767e-01
1.002379759336777809e+00,1.109826639294624329e-01
1.003759019442612921e+00,1.102780476212501526e-01
1.005125218176684543e+00,1.096886470913887024e-01
1.006478600598322171e+00,1.090010255575180054e-01
1.007819404934145346e+00,1.084146946668624878e-01
1.009147862829739228e+00,1.077572479844093323e-01
1.010464199589847345e+00,1.071496903896331787e-01
1.011768634407702594e+00,1.065927222371101379e-01
1.013061380584088012e+00,1.059453561902046204e-01
1.014342645736664661e+00,1.053476259112358093e-01
1.015612632000089777e+00,1.047488152980804443e-01
1.016871536217400784e+00,1.042208969593048096e-01
1.018119550123122830e+00,1.035845577716827393e-01
1.019356860518522812e+00,1.030749753117561340e-01
1.020583649439413154e+00,1.024470552802085876e-01
1.021800094316879237e+00,1.019428446888923645e-01
1.023006368131289534e+00,1.013541221618652344e-01
1.024202639559917527e+00,1.008118391036987305e-01
1.025389073118495809e+00,1.003478914499282837e-01
1.026565829296996801e+00,9.975297003984451294e-02
