# kappa, training_loss
0.000000000000000000e+00,3.763330280780792236e-01
3.459825158439031600e-01,2.583619952201843262e-01
4.392729699893650475e-01,2.483399361371994019e-01
4.954615236167292935e-01,2.382358610630035400e-01
5.357974335800685939e-01,2.318550199270248413e-01
5.672849743100517594e-01,2.270955741405487061e-01
5.931163129965701941e-01,2.233196943998336792e-01
6.150173911272351912e-01,2.200204581022262573e-01
6.340277547259937085e-01,2.169231921434402466e-01
6.508222771773106707e-01,2.140430659055709839e-01
6.658640085248080931e-01,2.113110721111297607e-01
6.794844854917364563e-01,2.087208926677703857e-01
6.919292548099362783e-01,2.062714099884033203e-01
7.033852585420051762e-01,2.039280682802200317e-01
7.139981170607579974e-01,2.016638517379760742e-01
7.238834760823438241e-01,1.994507312774658203e-01
7.331347077649162935e-01,1.973123848438262939e-01
7.418282871633666842e-01,1.952683478593826294e-01
7.500276383672555003e-01,1.932809203863143921e-01
7.577859449823571847e-01,1.913389861583709717e-01
7.651482425707654134e-01,1.894488185644149780e-01
7.721530025290465060e-01,1.875917017459869385e-01
7.788333488793554027e-01,1.857860237360000610e-01
7.852180055600752606e-01,1.840197741985321045e-01
7.913320428161327857e-01,1.822824329137802124e-01
7.971974717433851776e-01,1.805733442306518555e-01
8.028337226121783354e-01,1.788954734802246094e-01
8.082580332098660003e-01,1.772420555353164673e-01
8.134857667803236936e-01,1.756052672863006592e-01
8.185306743421755238e-01,1.739951521158218384e-01
8.234051126687310651e-01,1.724056899547576904e-01
8.281202266294590553e-01,1.708393245935440063e-01
8.326861026641897423e-01,1.692956686019897461e-01
8.371118987062742267e-01,1.677734553813934326e-01
8.414059547626422386e-01,1.662690788507461548e-01
8.455758875068537517e-01,1.647810488939285278e-01
8.496286715809452383e-01,1.633127331733703613e-01
8.535707097859971393e-01,1.618649065494537354e-01
8.574078939352951512e-01,1.604343056678771973e-01
8.611456578221178271e-01,1.590224057435989380e-01
8.647890234973856227e-01,1.576298177242279053e-01
8.683426418462413254e-01,1.562490910291671753e-01
8.718108282861329883e-01,1.548784673213958740e-01
8.751975942737482139e-01,1.535221934318542480e-01
8.785066751977564925e-01,1.521802395582199097e-01
8.817415551437256527e-01,1.508563756942749023e-01
8.849054889428930037e-01,1.495444327592849731e-01
8.880015218546112310e-01,1.482445299625396729e-01
8.910325071808261610e-01,1.469560563564300537e-01
8.940011220679600079e-01,1.456789821386337280e-01
8.969098817155197745e-01,1.444139927625656128e-01
8.997611521804040891e-01,1.431623101234436035e-01
9.025571619402358303e-01,1.419232189655303955e-01
9.053000123573100577e-01,1.406932026147842407e-01
9.079916871662482292e-01,1.394782513380050659e-01
9.106340610926658696e-01,1.382762044668197632e-01
9.132289076966486618e-01,1.370853483676910400e-01
9.157779065232284355e-01,1.359050422906875610e-01
9.182826496320598553e-01,1.347351670265197754e-01
9.207446475698718436e-01,1.335759013891220093e-01
9.231653348418016325e-01,1.324292272329330444e-01
9.255460749312330870e-01,1.312979459762573242e-01
9.278881649121245578e-01,1.301791667938232422e-01
9.301928396928919041e-01,1.290707439184188843e-01
9.324612759266079909e-01,1.280011236667633057e-01
9.346945956185187532e-01,1.269066929817199707e-01
9.368938694585623450e-01,1.258551180362701416e-01
9.390601199036692215e-01,1.248090043663978577e-01
9.411943240320560511e-01,1.237987428903579712e-01
9.432974161894577270e-01,1.227613762021064758e-01
9.453702904452349065e-01,1.217865347862243652e-01
9.474138028745202611e-01,1.207807362079620361e-01
9.494287736809781109e-01,1.198366805911064148e-01
9.514159891733562358e-01,1.188579052686691284e-01
9.533762036077476631e-01,1.179278567433357239e-01
9.553101409063633476e-01,1.170232146978378296e-01
9.572184962626220095e-01,1.161032468080520630e-01
9.591019376414566810e-01,1.151741147041320801e-01
9.609611071829460283e-01,1.143140867352485657e-01
9.627966225166479930e-01,1.134149730205535889e-01
9.646090779933668147e-01,1.125469952821731567e-01
9.663990458405035122e-01,1.117424294352531433e-01
9.681670772466061115e-01,1.108432859182357788e-01
9.699137033802646135e-01,1.100364476442337036e-01
9.716394363480620466e-01,1.091812252998352051e-01
9.733447700959065862e-01,1.084117367863655090e-01
