# kappa, training_loss
0.000000000000000000e+00,4.174523949623107910e-01
3.459827003933945155e-01,2.905944883823394775e-01
4.392731633244105760e-01,2.683091163635253906e-01
4.954617200691744938e-01,2.501823306083679199e-01
5.357976316292196728e-01,2.374879568815231323e-01
5.672851733297457066e-01,2.285063415765762329e-01
5.931165126685946642e-01,2.211466729640960693e-01
6.150175912678345069e-01,2.148544341325759888e-01
6.340279552194699741e-01,2.093837559223175049e-01
6.508224779461079246e-01,2.044961601495742798e-01
6.658642095144073902e-01,2.001824975013732910e-01
6.794846866623535098e-01,1.963999420404434204e-01
6.919294561316506886e-01,1.930215805768966675e-01
7.033854599917486183e-01,1.898086816072463989e-01
7.139983186203703314e-01,1.867491900920867920e-01
7.238836777372729125e-01,1.838507205247879028e-01
7.331349095033212748e-01,1.810894459486007690e-01
7.418284889754843681e-01,1.784534603357315063e-01
7.500278402449409576e-01,1.759218573570251465e-01
7.577861469187445742e-01,1.734222173690795898e-01
7.651484445600138518e-01,1.709985882043838501e-01
7.721532045661452237e-01,1.686308979988098145e-01
7.788335509599740858e-01,1.662509739398956299e-01
7.852182076804462563e-01,1.638607829809188843e-01
7.913322449729567332e-01,1.616572886705398560e-01
7.971976739337577333e-01,1.594999283552169800e-01
8.028339248335286671e-01,1.574017256498336792e-01
8.082582354599079366e-01,1.553705036640167236e-01
8.134859690570150903e-01,1.533969342708587646e-01
8.185308766436848460e-01,1.514629870653152466e-01
8.234053149934092986e-01,1.495664119720458984e-01
8.281204289758160586e-01,1.476991921663284302e-01
8.326863050308749292e-01,1.458574384450912476e-01
8.371121010920593575e-01,1.440374106168746948e-01
8.414061571664069872e-01,1.422298550605773926e-01
8.455760899275736042e-01,1.404350996017456055e-01
8.496288740176809462e-01,1.386529207229614258e-01
8.535709122378852820e-01,1.368781179189682007e-01
8.574080964015403650e-01,1.351149082183837891e-01
8.611458603019858105e-01,1.333682388067245483e-01
8.647892259901966971e-01,1.316251903772354126e-01
8.683428443513657724e-01,1.298987269401550293e-01
8.718110308029858313e-01,1.281864643096923828e-01
8.751977968017853327e-01,1.264982372522354126e-01
8.785068777364706261e-01,1.248312965035438538e-01
8.817417576926431799e-01,1.231780499219894409e-01
8.849056915015713898e-01,1.215333938598632812e-01
8.880017244226358075e-01,1.199130713939666748e-01
8.910327097578084610e-01,1.183287054300308228e-01
8.940013246535352121e-01,1.167681887745857239e-01
8.969100843093449349e-01,1.152315661311149597e-01
8.997613547821561308e-01,1.137077584862709045e-01
9.025573645496104414e-01,1.122156009078025818e-01
9.053002149740202453e-01,1.107430160045623779e-01
9.079918897900227659e-01,1.093032658100128174e-01
9.106342637232482939e-01,1.079182103276252747e-01
9.132291103337962790e-01,1.065398752689361572e-01
9.157781091667113182e-01,1.052036359906196594e-01
9.182828522816598449e-01,1.038964316248893738e-01
9.207448502253821054e-01,1.026148647069931030e-01
9.231655375030254351e-01,1.013514772057533264e-01
9.255462775979832468e-01,1.001297309994697571e-01
9.278883675842233281e-01,9.891016781330108643e-02
9.301930423701696427e-01,9.773005545139312744e-02
9.324614786089029383e-01,9.657200425863265991e-02
9.346947983056770326e-01,9.544649720191955566e-02
