# kappa, accuracy
0.000000000000000000e+00,4.875000119209289551e-01
3.460140385559383192e-01,7.615000605583190918e-01
4.393059931822885233e-01,7.955000400543212891e-01
4.954950792252352243e-01,7.935000658035278320e-01
5.358312618865773702e-01,8.070000410079956055e-01
5.673189683732891009e-01,8.165000677108764648e-01
5.931504184696934079e-01,8.195000290870666504e-01
6.150515766269922802e-01,8.240000605583190918e-01
6.340620004926195152e-01,8.310000300407409668e-01
6.508565699652781866e-01,8.385000228881835938e-01
6.658983390229218369e-01,8.460000157356262207e-01
6.795188469053499158e-01,8.475000262260437012e-01
6.919636420290317114e-01,8.485000133514404297e-01
7.034196676268016368e-01,8.515000343322753906e-01
7.140325449097284505e-01,8.535000681877136230e-01
7.239179202101602151e-01,8.515000343322753906e-01
7.331691661493564549e-01,8.590000271797180176e-01
7.418627581369852120e-01,8.600000143051147461e-01
7.500621205389798041e-01,8.635000586509704590e-01
7.578204371796077865e-01,8.645000457763671875e-01
7.651827437959758393e-01,8.675000667572021484e-01
7.721875119264841603e-01,8.680000305175781250e-01
7.788678657094506574e-01,8.680000305175781250e-01
7.852525291793069906e-01,8.690000176429748535e-01
7.913665726610860096e-01,8.700000643730163574e-01
7.972320073179858246e-01,8.720000386238098145e-01
8.028682634773721682e-01,8.700000643730163574e-01
8.082925789752027912e-01,8.720000386238098145e-01
8.135203170970380926e-01,8.740000128746032715e-01
8.185652288974579749e-01,8.725000619888305664e-01
8.234396711809485181e-01,8.710000514984130859e-01
8.281547888441459504e-01,8.745000362396240234e-01
8.327206683506621632e-01,8.760000467300415039e-01
8.371464676547565320e-01,8.765000700950622559e-01
8.414405267818139134e-01,8.755000233650207520e-01
8.456104624217465338e-01,8.735000491142272949e-01
8.496632492311313456e-01,8.745000362396240234e-01
8.536052900240209684e-01,8.760000467300415039e-01
8.574424766253121444e-01,8.760000467300415039e-01
8.611802428387063113e-01,8.765000700950622559e-01
8.648236107245068638e-01,8.765000700950622559e-01
8.683772311763267027e-01,8.760000467300415039e-01
8.718454196192790828e-01,8.775000572204589844e-01
8.752321875170054888e-01,8.775000572204589844e-01
8.785412702644987970e-01,8.775000572204589844e-01
8.817761519530884495e-01,8.785000443458557129e-01
8.849400874192746569e-01,8.755000233650207520e-01
8.880361219272252526e-01,8.765000700950622559e-01
8.910671087833011983e-01,8.780000209808349609e-01
8.940357251379797976e-01,8.765000700950622559e-01
8.969444861944997349e-01,8.790000677108764648e-01
8.997957580131987765e-01,8.765000700950622559e-01
