# kappa, accuracy
0.000000000000000000e+00,4.995000362396240234e-01
3.460300502692040814e-01,7.710000276565551758e-01
4.393227669214765929e-01,8.080000281333923340e-01
4.955121233511829426e-01,8.055000305175781250e-01
5.358484445013701469e-01,8.155000209808349609e-01
5.673362351669356540e-01,8.230000138282775879e-01
5.931677418422975911e-01,8.300000429153442383e-01
6.150689406406845139e-01,8.355000615119934082e-01
6.340793951124886751e-01,8.385000228881835938e-01
6.508739884646476126e-01,8.440000414848327637e-01
6.659157766731496064e-01,8.520000576972961426e-01
6.795363002558120202e-01,8.515000343322753906e-01
6.919811084846352323e-01,8.570000529289245605e-01
7.034371451867524883e-01,8.590000271797180176e-01
7.140500319989351308e-01,8.570000529289245605e-01
7.239354155664647905e-01,8.635000586509704590e-01
7.331866687457864185e-01,8.625000119209289551e-01
7.418802671267390458e-01,8.675000667572021484e-01
7.500796352156104962e-01,8.660000562667846680e-01
7.578379569476292321e-01,8.660000562667846680e-01
7.652002681487803937e-01,8.665000200271606445e-01
7.722050404294940051e-01,8.710000514984130859e-01
7.788853979870804523e-01,8.640000224113464355e-01
7.852700649047491543e-01,8.700000643730163574e-01
7.913841115482141975e-01,8.715000152587890625e-01
7.972495491148721136e-01,8.730000257492065430e-01
8.028858079610463605e-01,8.725000619888305664e-01
8.083101259473775002e-01,8.725000619888305664e-01
8.135378663805954425e-01,8.780000209808349609e-01
8.185827803335393726e-01,8.755000233650207520e-01
8.234572246265292605e-01,8.795000314712524414e-01
8.281723441699972987e-01,8.755000233650207520e-01
8.327382254396331618e-01,8.780000209808349609e-01
8.371640264003141763e-01,8.805000185966491699e-01
8.414580870867973683e-01,8.800000548362731934e-01
8.456280241972994327e-01,8.815000653266906738e-01
8.496808123957816372e-01,8.795000314712524414e-01
8.536228545028846648e-01,8.810000419616699219e-01
8.574600423494015411e-01,8.825000524520874023e-01
8.611978097443268032e-01,8.820000290870666504e-01
8.648411787527290340e-01,8.825000524520874023e-01
8.683948002725229154e-01,8.830000162124633789e-01
8.718629897327139222e-01,8.845000267028808594e-01
8.752497586004754915e-01,8.870000243186950684e-01
8.785588422740111536e-01,8.845000267028808594e-01
8.817937248475771206e-01,8.840000629425048828e-01
8.849576611603455767e-01,8.835000395774841309e-01
8.880536964789302878e-01,8.860000371932983398e-01
8.910846841119339778e-01,8.840000629425048828e-01
8.940533012118936362e-01,8.860000371932983398e-01
8.969620629839427650e-01,8.850000500679016113e-01
8.998133354901659553e-01,8.870000243186950684e-01
9.026093472129742556e-01,8.855000138282775879e-01
9.053521995190900729e-01,8.850000500679016113e-01
9.080438761472343634e-01,8.855000138282775879e-01
9.106862518268251661e-01,8.865000605583190918e-01
9.132811001214794500e-01,8.870000243186950684e-01
9.158301005795126404e-01,8.870000243186950684e-01
9.183348452636372894e-01,8.865000605583190918e-01
9.207968447234331499e-01,8.860000371932983398e-01
9.232175334666983257e-01,8.870000243186950684e-01
9.255982749793035813e-01,8.860000371932983398e-01
9.279403663375339617e-01,8.865000605583190918e-01
9.302450424519842498e-01,8.900000452995300293e-01
9.325134799777708983e-01,8.865000605583190918e-01
9.347468009220570861e-01,8.860000371932983398e-01
9.369460759765827484e-01,8.880000710487365723e-01
9.391123275999725406e-01,8.865000605583190918e-01
9.412465328720378555e-01,8.890000581741333008e-01
9.433496261400157179e-01,8.870000243186950684e-01
9.454225014746836520e-01,8.875000476837158203e-01
9.474660149525111486e-01,8.880000710487365723e-01
9.494809867784252955e-01,8.880000710487365723e-01
9.514682032623678065e-01,8.875000476837158203e-01
9.534284186615604728e-01,8.890000581741333008e-01
9.553623568992838377e-01,8.885000348091125488e-01
9.572707131699690342e-01,8.890000581741333008e-01
9.591541554395098812e-01,8.865000605583190918e-01
9.610133258488960939e-01,8.885000348091125488e-01
9.628488420285503668e-01,8.875000476837158203e-01
9.646612983300991706e-01,8.885000348091125488e-01
9.664512669817247881e-01,8.875000476837158203e-01
9.682192991727186504e-01,8.875000476837158203e-01
9.699659260723779708e-01,8.880000710487365723e-01
9.716916597879599049e-01,8.885000348091125488e-01
9.733969942660144481e-01,8.900000452995300293e-01
9.750824061410654497e-01,8.910000324249267578e-01
9.767483555352886038e-01,8.895000219345092773e-01
9.783952868125423974e-01,8.895000219345092773e-01
9.800236292898437673e-01,8.895000219345092773e-01
9.816337979091382948e-01,8.905000686645507812e-01
9.832261938719941696e-01,8.895000219345092773e-01
9.848012052396504235e-01,8.900000452995300293e-01
9.863592075006615278e-01,8.905000686645507812e-01
9.879005641082184708e-01,8.920000195503234863e-01
9.894256269890683297e-01,8.915000557899475098e-01
9.909347370258146936e-01,8.900000452995300293e-01
9.924282245142534986e-01,8.915000557899475098e-01
9.939064095972782731e-01,8.920000195503234863e-01
9.953696026767807625e-01,8.915000557899475098e-01
9.968181048048729842e-01,8.930000662803649902e-01
9.982522080556632815e-01,8.925000429153442383e-01
9.996721958787370133e-01,8.925000429153442383e-01
1.001078343435407358e+00,8.920000195503234863e-01
1.002470917918740101e+00,8.930000662803649902e-01
1.003850178858277875e+00,8.935000300407409668e-01
1.005216378410337175e+00,8.940000534057617188e-01
1.006569761634686921e+00,8.935000300407409668e-01
1.007910566758370763e+00,8.940000534057617188e-01
1.009239025427382863e+00,8.935000300407409668e-01
