# kappa, accuracy
0.000000000000000000e+00,4.945000112056732178e-01
3.467217363603892766e-01,6.690000295639038086e-01
4.400472871522303486e-01,7.560000419616699219e-01
4.962482921571835792e-01,7.725000381469726562e-01
5.365905791947964687e-01,7.815000414848327637e-01
5.680819960331622287e-01,7.890000343322753906e-01
5.939159399080859991e-01,7.950000166893005371e-01
6.158188893391343122e-01,8.010000586509704590e-01
6.348306621710653186e-01,8.090000152587890625e-01
6.516262841233974035e-01,8.130000233650207520e-01
6.666688972422351034e-01,8.155000209808349609e-01
6.802900970983352114e-01,8.200000524520874023e-01
6.927354698168234348e-01,8.230000138282775879e-01
7.041919848248131553e-01,8.280000686645507812e-01
7.148052820964806431e-01,8.300000429153442383e-01
7.246910217568159895e-01,8.305000662803649902e-01
7.339425867929081360e-01,8.335000276565551758e-01
7.426364605554536258e-01,8.370000123977661133e-01
7.508360735964597632e-01,8.385000228881835938e-01
7.585946146307330773e-01,8.375000357627868652e-01
7.659571233126617473e-01,8.400000333786010742e-01
7.729620743553038409e-01,8.390000462532043457e-01
7.796425944970281074e-01,8.380000591278076172e-01
7.860274099220851962e-01,8.435000181198120117e-01
7.921415927485059294e-01,8.450000286102294922e-01
7.980071556467457361e-01,8.470000624656677246e-01
8.036435302204281150e-01,8.500000238418579102e-01
8.090679553933882717e-01,8.530000448226928711e-01
8.142957953842042684e-01,8.495000600814819336e-01
8.193408020522224833e-01,8.560000658035278320e-01
8.242153328997492423e-01,8.555000424385070801e-01
8.289305334314869267e-01,8.500000238418579102e-01
8.334964906433428578e-01,8.585000634193420410e-01
8.379223629575442978e-01,8.570000529289245605e-01
8.422164908125504557e-01,8.570000529289245605e-01
8.463864912642734550e-01,8.590000271797180176e-01
8.504393392947354746e-01,8.605000376701354980e-01
8.543814380083462057e-01,8.565000295639038086e-01
8.582186794898748472e-01,8.575000166893005371e-01
8.619564977763098934e-01,8.600000143051147461e-01
8.655999151379714096e-01,8.610000610351562500e-01
8.691535826580487623e-01,8.610000610351562500e-01
8.726218159332198576e-01,8.600000143051147461e-01
8.760086265827681240e-01,8.635000586509704590e-01
8.793177501432105636e-01,8.615000247955322266e-01
8.825526708348498950e-01,8.620000481605529785e-01
8.857166436119675579e-01,8.630000352859497070e-01
8.888127138465103938e-01,8.650000691413879395e-01
8.918437349436553196e-01,8.670000433921813965e-01
8.948123841446455895e-01,8.630000352859497070e-01
8.977211767362386352e-01,8.650000691413879395e-01
9.005724788557538663e-01,8.645000457763671875e-01
9.033685190550601041e-01,8.645000457763671875e-01
9.061113987651059354e-01,8.635000586509704590e-01
9.088031017840901837e-01,8.650000691413879395e-01
9.114455028965898764e-01,8.685000538825988770e-01
9.140403757174485611e-01,8.660000562667846680e-01
9.165893998426198896e-01,8.680000305175781250e-01
9.190941673791743760e-01,8.685000538825988770e-01
9.215561889180479138e-01,8.685000538825988770e-01
9.239768990056421716e-01,8.685000538825988770e-01
9.263576611639039449e-01,8.715000152587890625e-01
9.286997725028708350e-01,8.710000514984130859e-01
9.310044679647505594e-01,8.730000257492065430e-01
9.332729242342994169e-01,8.700000643730163574e-01
9.355062633464999999e-01,8.715000152587890625e-01
9.377055560192271155e-01,8.725000619888305664e-01
9.398718247356830924e-01,8.720000386238098145e-01
9.420060465988131515e-01,8.725000619888305664e-01
9.441091559776491060e-01,8.735000491142272949e-01
9.461820469635194852e-01,8.755000233650207520e-01
9.482255756522882661e-01,8.750000596046447754e-01
9.502405622672018826e-01,8.750000596046447754e-01
