# kappa, accuracy
0.000000000000000000e+00,5.110000371932983398e-01
3.462409318437192907e-01,5.085000395774841309e-01
4.395436764622939751e-01,6.025000214576721191e-01
4.957365908968763279e-01,6.280000209808349609e-01
5.360747343777890750e-01,6.595000028610229492e-01
5.675636327140519688e-01,6.715000271797180176e-01
5.933958838806688840e-01,6.795000433921813965e-01
6.152976174501372242e-01,6.925000548362731934e-01
6.343084746483925729e-01,6.950000524520874023e-01
6.511033822142698879e-01,6.990000605583190918e-01
6.661454224150492598e-01,7.000000476837158203e-01
6.797661525853759823e-01,7.015000581741333008e-01
6.922111332547288276e-01,6.985000371932983398e-01
7.036673160702828778e-01,7.015000581741333008e-01
7.142803282703766854e-01,7.025000452995300293e-01
7.241658206179859558e-01,7.030000090599060059e-01
7.334171690642109498e-01,7.070000171661376953e-01
7.421108515696436259e-01,7.085000276565551758e-01
7.503102944873973890e-01,7.090000510215759277e-01
7.580686832127532249e-01,7.070000171661376953e-01
7.654310547411891097e-01,7.090000510215759277e-01
7.724358816309216946e-01,7.100000381469726562e-01
7.791162888555017707e-01,7.140000462532043457e-01
7.855010011399641279e-01,7.160000205039978027e-01
7.916150893853209913e-01,7.145000100135803223e-01
7.974805652389593824e-01,7.140000462532043457e-01
8.031168594382295245e-01,7.145000100135803223e-01
8.085412101685577335e-01,7.150000333786010742e-01
8.137689810152270997e-01,7.135000228881835938e-01
8.188139232913405063e-01,7.150000333786010742e-01
8.236883940255523839e-01,7.170000076293945312e-01
8.284035383098342642e-01,7.170000076293945312e-01
8.329694427787932565e-01,7.165000438690185547e-01
8.373952655370193732e-01,7.190000414848327637e-01
8.416893467425937692e-01,7.160000205039978027e-01
8.458593032030032877e-01,7.165000438690185547e-01
8.499121096793713637e-01,7.200000286102294922e-01
8.538541690790257821e-01,7.195000052452087402e-01
8.576913733103449511e-01,7.145000100135803223e-01
8.614291562519721390e-01,7.190000414848327637e-01
8.650725400316768843e-01,7.230000495910644531e-01
8.686261756039723725e-01,7.145000100135803223e-01
8.720943784490856610e-01,7.120000123977661133e-01
8.754811600806572391e-01,7.230000495910644531e-01
8.787902559391431723e-01,7.230000495910644531e-01
8.820251501573053154e-01,7.155000567436218262e-01
8.851890976094798358e-01,7.195000052452087402e-01
8.882851435944579821e-01,7.235000133514404297e-01
8.913161414503448787e-01,7.245000600814819336e-01
8.942847683567757278e-01,7.200000286102294922e-01
8.971935395438189742e-01,7.210000157356262207e-01
9.000448210965423801e-01,7.215000391006469727e-01
9.028408415185753544e-01,7.285000085830688477e-01
9.055837021962604982e-01,7.200000286102294922e-01
9.082753868864884561e-01,7.200000286102294922e-01
9.109177703355275657e-01,7.265000343322753906e-01
9.135126261226433897e-01,7.270000576972961426e-01
9.160616338107048229e-01,7.265000343322753906e-01
9.185663854759746894e-01,7.280000448226928711e-01
9.210283916806666360e-01,7.265000343322753906e-01
9.234490869443717775e-01,7.260000109672546387e-01
9.258298347639811743e-01,7.250000238418579102e-01
9.281719322260912897e-01,7.265000343322753906e-01
9.304766142509539595e-01,7.270000576972961426e-01
9.327450575027401714e-01,7.280000448226928711e-01
9.349783839971117505e-01,7.260000109672546387e-01
9.371776644337923567e-01,7.260000109672546387e-01
9.393439212789148618e-01,7.280000448226928711e-01
9.414781316193576721e-01,7.285000085830688477e-01
9.435812298090159311e-01,7.290000319480895996e-01
9.456541099249450300e-01,7.265000343322753906e-01
9.476976280495394978e-01,7.290000319480895996e-01
9.497126043933225015e-01,7.305000424385070801e-01
9.516998252715256346e-01,7.305000424385070801e-01
9.536600449463753515e-01,7.325000166893005371e-01
9.555939873458896283e-01,7.325000166893005371e-01
9.575023476689887847e-01,7.325000166893005371e-01
9.593857938858222356e-01,7.310000061988830566e-01
9.612449681414180214e-01,7.295000553131103516e-01
9.630804880700323256e-01,7.310000061988830566e-01
9.648929480269340386e-01,7.320000529289245605e-01
9.666829202437680069e-01,7.295000553131103516e-01
9.684509559131196932e-01,7.310000061988830566e-01
9.701975862074216916e-01,7.310000061988830566e-01
9.719233232369174358e-01,7.305000424385070801e-01
9.736286609510027557e-01,7.310000061988830566e-01
9.753140759869154408e-01,7.305000424385070801e-01
9.769800284694200032e-01,7.310000061988830566e-01
9.786269627648465086e-01,7.335000634193420410e-01
9.802553081925726719e-01,7.330000400543212891e-01
9.818654796967994924e-01,7.320000529289245605e-01
9.834578784812521013e-01,7.330000400543212891e-01
9.850328926092325466e-01,7.330000400543212891e-01
9.865908975712696094e-01,7.305000424385070801e-01
9.881322568224450986e-01,7.355000376701354980e-01
9.896573222913165324e-01,7.335000634193420410e-01
9.911664348622235554e-01,7.330000400543212891e-01
9.926599248326258840e-01,7.335000634193420410e-01
9.941381123470135472e-01,7.350000143051147461e-01
9.956013078088099544e-01,7.325000166893005371e-01
9.970498122715975020e-01,7.340000271797180176e-01
9.984839178108976254e-01,7.370000481605529785e-01
9.999039078776520428e-01,7.355000376701354980e-01
1.001310057634478667e+00,7.365000247955322266e-01
1.002702634275697724e+00,7.360000610351562500e-01
1.004081897332058215e+00,7.360000610351562500e-01
1.005448098961037706e+00,7.370000481605529785e-01
1.006801484223522669e+00,7.395000457763671875e-01
1.008142291347633890e+00,7.370000481605529785e-01
1.009470751980401593e+00,7.380000352859497070e-01
1.010787091427961526e+00,7.365000247955322266e-01
1.012091528884889735e+00,7.380000352859497070e-01
1.013384277653263554e+00,7.405000329017639160e-01
1.014665545351993492e+00,7.400000095367431641e-01
1.015935534116941596e+00,7.385000586509704590e-01
1.017194440792308585e+00,7.385000586509704590e-01
1.018442457113742705e+00,7.405000329017639160e-01
1.019679769883595988e+00,7.415000200271606445e-01
1.020906561138728463e+00,7.415000200271606445e-01
1.022123008311238923e+00,7.430000305175781250e-01
1.023329284382474391e+00,7.420000433921813965e-01
1.024525558030655592e+00,7.430000305175781250e-01
1.025711993772430608e+00,7.430000305175781250e-01
1.026888752098658042e+00,7.440000176429748535e-01
1.028055989604692799e+00,7.455000281333923340e-01
1.029213859115448271e+00,7.450000643730163574e-01
1.030362509805476279e+00,7.450000643730163574e-01
1.031502087314305705e+00,7.405000329017639160e-01
1.032632733857261842e+00,7.405000329017639160e-01
1.033754588331975866e+00,7.460000514984130859e-01
1.034867786420786029e+00,7.445000410079956055e-01
1.035972460689217778e+00,7.445000410079956055e-01
1.037068740680721746e+00,7.440000176429748535e-01
1.038156753007840161e+00,7.450000643730163574e-01
1.039236621439960873e+00,7.430000305175781250e-01
1.040308466987810654e+00,7.440000176429748535e-01
1.041372407984835213e+00,7.460000514984130859e-01
1.042428560165597373e+00,7.465000152587890625e-01
