# kappa, training_loss
0.000000000000000000e+00,4.929278790950775146e-01
3.461712960651462945e-01,2.759679257869720459e-01
4.394707310195880567e-01,1.916847676038742065e-01
4.956624711951730378e-01,1.738662868738174438e-01
5.360000132543362161e-01,1.622032225131988525e-01
5.674885460297779405e-01,1.530300676822662354e-01
5.933205514955157689e-01,1.453769952058792114e-01
6.152221085775725351e-01,1.387558132410049438e-01
6.342328328666322346e-01,1.327576339244842529e-01
6.510276367347690440e-01,1.271600127220153809e-01
6.660695937724212534e-01,1.219318434596061707e-01
6.796902557642383602e-01,1.169151067733764648e-01
6.921351795244432559e-01,1.121410652995109558e-01
7.035913141194015674e-01,1.076214686036109924e-01
7.142042849387978398e-01,1.032324209809303284e-01
7.240897413866692611e-01,9.953281283378601074e-02
7.333410583928066107e-01,9.585316479206085205e-02
7.420347131353979275e-01,9.252055734395980835e-02
7.502341313580616067e-01,8.941178023815155029e-02
7.579924979742277413e-01,8.640057593584060669e-02
7.653548495934151541e-01,8.452557027339935303e-02
7.723596584610499249e-01,8.176615089178085327e-02
7.790400492945059874e-01,7.914716750383377075e-02
7.854247466070014561e-01,7.694221287965774536e-02
7.915388211228886473e-01,7.489048689603805542e-02
7.974042843410479309e-01,7.287757098674774170e-02
8.030405668730821178e-01,7.082695513963699341e-02
8.084649067972313752e-01,6.881258636713027954e-02
8.136926676068505504e-01,6.767617911100387573e-02
8.187376005357498432e-01,6.545402854681015015e-02
8.236120625438292375e-01,6.340061873197555542e-02
8.283271986631483008e-01,6.186473369598388672e-02
8.328930954758682059e-01,6.028883531689643860e-02
8.373189110404704039e-01,5.881030112504959106e-02
8.416129854743371608e-01,5.753002688288688660e-02
8.457829355488931666e-01,5.595717579126358032e-02
8.498357359931968391e-01,5.463445186614990234e-02
8.537777896859671811e-01,5.339502915740013123e-02
8.576149885099777492e-01,5.231740698218345642e-02
8.613527663208864205e-01,5.094220861792564392e-02
8.649961452257702854e-01,4.970765858888626099e-02
8.685497761604635825e-01,4.889910295605659485e-02
8.720179745882892242e-01,4.839599505066871643e-02
8.754047520075526334e-01,4.657666012644767761e-02
8.787138438447656963e-01,4.567860066890716553e-02
8.819487342199827662e-01,4.478565230965614319e-02
8.851126779959349600e-01,4.380949959158897400e-02
8.882087204607945763e-01,4.290179163217544556e-02
8.912397149429299725e-01,4.203900694847106934e-02
8.942083386130336153e-01,4.115616530179977417e-02
8.971171066929449767e-01,4.050265252590179443e-02
8.999683852601468859e-01,3.949044272303581238e-02
9.027644028112660202e-01,3.876208513975143433e-02
9.055072607261700490e-01,3.831339627504348755e-02
9.081989427557534134e-01,3.747228533029556274e-02
9.108413236407232327e-01,3.647145256400108337e-02
9.134361769551812005e-01,3.573226928710937500e-02
9.159851822571926094e-01,3.500842303037643433e-02
9.184899316185489715e-01,3.464965894818305969e-02
9.209519355972942689e-01,3.363633900880813599e-02
9.233726287091275076e-01,3.316764906048774719e-02
9.257533744473031012e-01,3.231111541390419006e-02
9.280954698950145687e-01,3.196419775485992432e-02
9.304001499693266286e-01,3.103891573846340179e-02
9.326685913314219922e-01,3.059931471943855286e-02
9.349019159941580615e-01,2.990875765681266785e-02
9.371011946546232707e-01,2.926943264901638031e-02
9.392674497764730290e-01,2.866129018366336823e-02
9.414016584442531643e-01,2.837284095585346222e-02
9.435047550096616886e-01,2.758748084306716919e-02
9.455776335476822059e-01,2.707942388951778412e-02
