# kappa, training_loss
0.000000000000000000e+00,3.440034687519073486e-01
3.462542738896016714e-01,2.893144488334655762e-01
4.395576524407732166e-01,2.630569338798522949e-01
4.957507917885921045e-01,2.454982399940490723e-01
5.360890504627634501e-01,2.311856448650360107e-01
5.675780188164044615e-01,2.197627872228622437e-01
5.934103170430097274e-01,2.111324220895767212e-01
6.153120844156986236e-01,2.043370008468627930e-01
6.343229670704615408e-01,1.988573223352432251e-01
6.511178944978668337e-01,1.940422058105468750e-01
6.661599506271083104e-01,1.894793659448623657e-01
6.797806938558441647e-01,1.852505803108215332e-01
6.922256854251496172e-01,1.814052760601043701e-01
7.036818774765121187e-01,1.780780404806137085e-01
7.142948976023493213e-01,1.749914735555648804e-01
7.241803968259183932e-01,1.721148937940597534e-01
7.334317512939342310e-01,1.693632453680038452e-01
7.421254391168452536e-01,1.667588651180267334e-01
7.503248867645032627e-01,1.642474830150604248e-01
7.580832797244793086e-01,1.618487685918807983e-01
7.654456550661753456e-01,1.595318615436553955e-01
7.724504854077175464e-01,1.572645753622055054e-01
7.791308957717232309e-01,1.550057828426361084e-01
7.855156109237965145e-01,1.528539210557937622e-01
7.916297017987860007e-01,1.507382094860076904e-01
7.974951800725228468e-01,1.486688703298568726e-01
8.031314765064413441e-01,1.466622948646545410e-01
8.085558293064979418e-01,1.446635276079177856e-01
8.137836020755828681e-01,1.426772177219390869e-01
8.188285461419858580e-01,1.407253742218017578e-01
8.237030185475304744e-01,1.388402879238128662e-01
8.284181643956629593e-01,1.369886994361877441e-01
8.329840703310358307e-01,1.351631283760070801e-01
8.374098944670699263e-01,1.333716064691543579e-01
8.417039769696420537e-01,1.316135674715042114e-01
8.458739346531457537e-01,1.298830062150955200e-01
8.499267422848461040e-01,1.281829625368118286e-01
8.538688027775502842e-01,1.265371590852737427e-01
8.577060080445411128e-01,1.249386966228485107e-01
8.614437919688640033e-01,1.233843490481376648e-01
8.650871766822519904e-01,1.218590512871742249e-01
8.686408131427956203e-01,1.203604191541671753e-01
8.721090168339599158e-01,1.190242394804954529e-01
8.754957992723220173e-01,1.175527349114418030e-01
8.788048959010096306e-01,1.161682307720184326e-01
8.820397908552177757e-01,1.148135438561439514e-01
8.852037390115055082e-01,1.134945675730705261e-01
8.882997856706981166e-01,1.121815890073776245e-01
8.913307841727654557e-01,1.108841523528099060e-01
8.942994116990555797e-01,1.096286103129386902e-01
8.972081834812133394e-01,1.083541214466094971e-01
9.000594656057587795e-01,1.071569547057151794e-01
9.028554865776629024e-01,1.059461012482643127e-01
9.055983477845080953e-01,1.047692596912384033e-01
9.082900329843339726e-01,1.035616323351860046e-01
9.109324169244734648e-01,1.024732664227485657e-01
9.135272731851818984e-01,1.012958809733390808e-01
9.160762813302474328e-01,1.002112850546836853e-01
9.185810334367897623e-01,9.908945113420486450e-02
9.210430400678211171e-01,9.800241142511367798e-02
9.234637357436777938e-01,9.691296517848968506e-02
9.258444839619476285e-01,9.589843451976776123e-02
9.281865818098788967e-01,9.482092410326004028e-02
9.304912642083338348e-01,9.384417533874511719e-02
9.327597078220556392e-01,9.279323369264602661e-02
9.349930346672434833e-01,9.186485409736633301e-02
9.371923154441256232e-01,9.083864837884902954e-02
9.393585726193094398e-01,8.991654962301254272e-02
9.414927832801200935e-01,8.895143866539001465e-02
9.435958817808735022e-01,8.807682991027832031e-02
9.456687621990221837e-01,8.710065484046936035e-02
9.477122806173345904e-01,8.624202013015747070e-02
9.497272572466883833e-01,8.530220389366149902e-02
9.517144784026490001e-01,8.453045785427093506e-02
9.536746983477591977e-01,8.358329534530639648e-02
9.556086410103368234e-01,8.271241933107376099e-02
9.575170015895855258e-01,8.191525936126708984e-02
9.594004480559239489e-01,8.105148375034332275e-02
9.612596225546352624e-01,8.023303002119064331e-02
9.630951427202180115e-01,7.956324517726898193e-02
9.649076029081713468e-01,7.868043333292007446e-02
9.666975753503591617e-01,7.789322733879089355e-02
9.684656112395746419e-01,7.711058109998703003e-02
9.702122417484491113e-01,7.635397464036941528e-02
9.719379789874145192e-01,7.561540603637695312e-02
9.736433169060464410e-01,7.491411268711090088e-02
9.753287321417544176e-01,7.413244247436523438e-02
9.769946848194666078e-01,7.345920056104660034e-02
9.786416193056691748e-01,7.271719723939895630e-02
9.802699649198890475e-01,7.203496992588043213e-02
9.818801366064697778e-01,7.134574651718139648e-02
9.834725355692729432e-01,7.063581049442291260e-02
9.850475498717310430e-01,6.999094784259796143e-02
9.866055550044976474e-01,6.927751004695892334e-02
9.881469144227736923e-01,6.861088424921035767e-02
9.896719800552318258e-01,6.816248595714569092e-02
9.911810927863208276e-01,6.739166378974914551e-02
9.926745829136058852e-01,6.669931113719940186e-02
9.941527705816778360e-01,6.603968888521194458e-02
9.956159661940567895e-01,6.537949293851852417e-02
9.970644708044185123e-01,6.474137306213378906e-02
9.984985764883731463e-01,6.410437077283859253e-02
9.999185666969486741e-01,6.348148733377456665e-02
1.001324716592845165e+00,6.308200955390930176e-02
1.002717293370462226e+00,6.234796717762947083e-02
1.004096556560625242e+00,6.169971823692321777e-02
1.005462758320884831e+00,6.109062209725379944e-02
1.006816143712198741e+00,6.048168614506721497e-02
1.008156950962755039e+00,5.990247800946235657e-02
1.009485411719649894e+00,5.932018905878067017e-02
1.010801751289082118e+00,5.879627540707588196e-02
1.012106188865688816e+00,5.817339941859245300e-02
1.013398937751605944e+00,5.763597413897514343e-02
1.014680205565800630e+00,5.710471048951148987e-02
1.015950194444189325e+00,5.655374005436897278e-02
1.017209101231026036e+00,5.597262457013130188e-02
