# kappa, accuracy
0.000000000000000000e+00,4.995000064373016357e-01
3.459563984481149879e-01,5.005000233650207520e-01
4.392456091455121947e-01,5.285000205039978027e-01
4.954337215545572826e-01,5.515000224113464355e-01
5.357694055290781465e-01,5.845000147819519043e-01
5.672568088936573716e-01,5.995000004768371582e-01
5.930880552527569849e-01,6.265000104904174805e-01
6.149890670638004098e-01,6.324999928474426270e-01
6.339993807181931729e-01,6.399999856948852539e-01
6.507938642019520659e-01,6.395000219345092773e-01
6.658355642982548561e-01,6.470000147819519043e-01
6.794560156448448129e-01,6.529999971389770508e-01
6.919007635774797604e-01,6.535000205039978027e-01
7.033567491889605172e-01,6.549999713897705078e-01
7.139695921574250592e-01,6.564999818801879883e-01
7.238549376883662845e-01,6.635000109672546387e-01
7.331061575561526045e-01,6.669999957084655762e-01
7.417997265216648151e-01,6.700000166893005371e-01
7.499990684454275192e-01,6.784999966621398926e-01
7.577573667521451117e-01,6.765000224113464355e-01
7.651196568588749525e-01,6.804999709129333496e-01
7.721244100446422731e-01,6.790000200271606445e-01
7.788047502353350193e-01,6.800000071525573730e-01
7.851894012897392416e-01,6.809999942779541016e-01
7.913034333863957492e-01,6.850000023841857910e-01
7.971688575653550490e-01,6.855000257492065430e-01
8.028051040497093949e-01,6.850000023841857910e-01
8.082294105865333034e-01,6.859999895095825195e-01
8.134571403851567073e-01,6.899999976158142090e-01
8.185020444344071056e-01,6.905000209808349609e-01
8.233764794817569621e-01,6.919999718666076660e-01
8.280915903741605799e-01,6.915000081062316895e-01
8.326574635317400830e-01,6.955000162124633789e-01
8.370832568705193211e-01,6.965000033378601074e-01
8.413773103821339250e-01,6.949999928474426270e-01
8.455472407265920420e-01,6.965000033378601074e-01
8.496000225338808942e-01,6.970000267028808594e-01
8.535420585943296334e-01,7.014999985694885254e-01
8.573792407116023195e-01,6.999999880790710449e-01
8.611170026703394154e-01,7.020000219345092773e-01
8.647603665136854856e-01,7.064999938011169434e-01
8.683139831197643765e-01,7.059999704360961914e-01
8.717821678996712231e-01,7.080000042915344238e-01
8.751689323043313484e-01,7.049999833106994629e-01
8.784780117171739899e-01,7.120000123977661133e-01
8.817128902189912409e-01,7.049999833106994629e-01
8.848768226366600098e-01,7.120000123977661133e-01
8.879728542255418411e-01,7.085000276565551758e-01
8.910038382839240434e-01,7.085000276565551758e-01
8.939724519548680748e-01,7.139999866485595703e-01
8.968812104347886338e-01,7.080000042915344238e-01
