# kappa, training_loss
0.000000000000000000e+00,4.580954313278198242e-01
3.459611599305902341e-01,4.436011910438537598e-01
4.392505973395364194e-01,4.060971736907958984e-01
4.954387901940531802e-01,4.135224521160125732e-01
5.357745153722383025e-01,3.776020705699920654e-01
5.672619437821441180e-01,3.999403119087219238e-01
5.930932069749721425e-01,4.047927558422088623e-01
6.149942308778405531e-01,3.747439980506896973e-01
6.340045536384181224e-01,3.913270235061645508e-01
6.507990442269998566e-01,3.364744782447814941e-01
6.658407500212282226e-01,3.386076688766479492e-01
6.794612060390894381e-01,3.482226729393005371e-01
6.919059578708839364e-01,3.387126624584197998e-01
7.033619467862322061e-01,3.438392281532287598e-01
7.139747925899302405e-01,3.391774296760559082e-01
7.238601405805767941e-01,3.341760337352752686e-01
7.331113626025149710e-01,3.259490728378295898e-01
7.418049334702310205e-01,2.900900840759277344e-01
7.500042770860094743e-01,2.972616553306579590e-01
7.577625769075680973e-01,3.229033350944519043e-01
7.651248683784086513e-01,3.163654804229736328e-01
7.721296227989866701e-01,3.326968848705291748e-01
7.788099641127426143e-01,3.021502792835235596e-01
7.851946161929752588e-01,3.135452866554260254e-01
7.913086492303288422e-01,3.145261704921722412e-01
7.971740742750295095e-01,3.297674357891082764e-01
8.028103215587847341e-01,3.107633590698242188e-01
8.082346288360131581e-01,3.111625611782073975e-01
8.134623593223432314e-01,2.946338355541229248e-01
8.185072640120352183e-01,2.902917563915252686e-01
8.233816996572723701e-01,3.001298010349273682e-01
8.280968111091139283e-01,2.978980243206024170e-01
8.326626847912752538e-01,2.953410446643829346e-01
8.370884786229397800e-01,2.807844281196594238e-01
8.413825325985313519e-01,2.885548174381256104e-01
8.455524633805290291e-01,2.911200821399688721e-01
8.496052456011169429e-01,2.946616113185882568e-01
8.535472820525844551e-01,2.875335514545440674e-01
8.573844645403498888e-01,2.720402479171752930e-01
8.611222268506288913e-01,2.867906987667083740e-01
8.647655910279835600e-01,2.825757563114166260e-01
8.683192079518174955e-01,2.742598950862884521e-01
8.717873930343842392e-01,2.845322787761688232e-01
8.751741577276596074e-01,2.724516093730926514e-01
8.784832374160282953e-01,2.688455283641815186e-01
8.817181161811534773e-01,2.658126056194305420e-01
8.848820488507064264e-01,2.748591303825378418e-01
8.879780806807769933e-01,2.868499159812927246e-01
8.910090649703191756e-01,2.603870332241058350e-01
8.939776788630072746e-01,2.847804129123687744e-01
8.968864375558199820e-01,2.662012577056884766e-01
8.997377071033246798e-01,2.598415911197662354e-01
9.025337159809931897e-01,2.585004866123199463e-01
9.052765655491306074e-01,2.549524307250976562e-01
9.079682395405160866e-01,2.691327035427093506e-01
9.106106126790560751e-01,2.592728734016418457e-01
9.132054585232495247e-01,2.645864188671112061e-01
9.157544566166527789e-01,2.537693381309509277e-01
9.182591990175459351e-01,2.485962659120559692e-01
9.207211962713770514e-01,2.500321567058563232e-01
9.231418828820874278e-01,2.522003054618835449e-01
9.255226223319432677e-01,2.589716911315917969e-01
9.278647116938574246e-01,2.549756467342376709e-01
9.301693858752664301e-01,2.459272891283035278e-01
9.324378215283247728e-01,2.563929259777069092e-01
9.346711406574169656e-01,2.549285292625427246e-01
9.368704139516711438e-01,2.636298537254333496e-01
9.390366638672564825e-01,2.361619025468826294e-01
9.411708674816732234e-01,2.609259784221649170e-01
9.432739591399807999e-01,2.491091191768646240e-01
9.453468329109036006e-01,2.688088715076446533e-01
9.473903448689728890e-01,2.704902291297912598e-01
9.494053152172861054e-01,2.316874265670776367e-01
9.513925302640543480e-01,2.362868338823318481e-01
9.533527442648629391e-01,2.476161867380142212e-01
9.552866811414428838e-01,2.555631399154663086e-01
9.571950360867572671e-01,2.428971230983734131e-01
9.590784770653077995e-01,2.309208661317825317e-01
9.609376462167635857e-01,2.420952469110488892e-01
9.627731611702934345e-01,2.472131401300430298e-01
9.645856162763328800e-01,2.516089975833892822e-01
9.663755837619315558e-01,2.442882359027862549e-01
9.681436148153033106e-01,2.338810414075851440e-01
9.698902406047201774e-01,2.173119932413101196e-01
9.716159732364626489e-01,2.154674828052520752e-01
9.733213066561499094e-01,2.447982728481292725e-01
9.750067174974180739e-01,2.221117168664932251e-01
9.766726658815964024e-01,2.406334429979324341e-01
9.783195961717348066e-01,2.397728562355041504e-01
9.799479376840783962e-01,2.635058462619781494e-01
9.815581053598346761e-01,2.249380797147750854e-01
9.831505003998667336e-01,2.328952997922897339e-01
9.847255108647388067e-01,2.326045483350753784e-01
9.862835122423595502e-01,2.192389667034149170e-01
9.878248679853017800e-01,2.313888818025588989e-01
9.893499300197202695e-01,2.328052073717117310e-01
9.908590392276506176e-01,2.376576811075210571e-01
9.923525259043451952e-01,2.535308003425598145e-01
9.938307101921748377e-01,2.223502695560455322e-01
9.952939024925304690e-01,2.262929081916809082e-01
9.967424038570432687e-01,2.529109716415405273e-01
9.981765063593598386e-01,2.195731401443481445e-01
9.995964934486211151e-01,2.457938790321350098e-01
1.001002640285713952e+00,2.358108162879943848e-01
1.002395214063294127e+00,2.031418383121490479e-01
1.003774474310509479e+00,2.300065904855728149e-01
1.005140673183296585e+00,2.333821803331375122e-01
1.006494055741058880e+00,2.244813740253448486e-01
1.007834860210488515e+00,2.421945780515670776e-01
1.009163318237239704e+00,2.192586958408355713e-01
1.010479655126122145e+00,2.261875122785568237e-01
1.011784090070434017e+00,2.270405590534210205e-01
1.013076836371019862e+00,2.105123102664947510e-01
1.014358101645600474e+00,2.340679615736007690e-01
1.015628088028891041e+00,2.355777621269226074e-01
1.016886992363984721e+00,2.218525558710098267e-01
1.018135006385460395e+00,2.371538132429122925e-01
1.019372316894637143e+00,2.449743002653121948e-01
1.020599105927377570e+00,2.231083959341049194e-01
1.021815550914815240e+00,2.212182581424713135e-01
1.023021824837365923e+00,2.267990708351135254e-01
1.024218096372348175e+00,2.188620269298553467e-01
1.025404530035538775e+00,2.375010699033737183e-01
1.026581286316952335e+00,2.296120673418045044e-01
1.027748521811127747e+00,2.287334650754928589e-01
1.028906389342187699e+00,2.427695989608764648e-01
1.030055038083919072e+00,2.165079712867736816e-01
1.031194613675109562e+00,2.294716536998748779e-01
1.032325258330366591e+00,2.261356413364410400e-01
1.033447110946625447e+00,2.228312194347381592e-01
1.034560307205550256e+00,2.136614918708801270e-01
1.035664979672012542e+00,2.257167696952819824e-01
1.036761257888829002e+00,2.033856362104415894e-01
1.037849268467926800e+00,2.051448076963424683e-01
1.038929135178097152e+00,2.095150202512741089e-01
1.040000979029488404e+00,2.270099073648452759e-01
1.041064918354984048e+00,2.208011448383331299e-01
1.042121068888600899e+00,2.230955660343170166e-01
1.043169543841040880e+00,2.097157090902328491e-01
1.044210453972513886e+00,2.317080050706863403e-01
1.045243907662954719e+00,2.173835933208465576e-01
1.046270010979742482e+00,2.130094319581985474e-01
1.047288867743027652e+00,2.080489546060562134e-01
1.048300579588770098e+00,2.373332083225250244e-01
1.049305246029580418e+00,2.183994501829147339e-01
1.050302964513459392e+00,2.220396399497985840e-01
1.051293830480517943e+00,2.193021476268768311e-01
1.052277937417764653e+00,1.908477991819381714e-01
1.053255376912035857e+00,2.194315344095230103e-01
1.054226238701146068e+00,2.105262875556945801e-01
1.055190610723326650e+00,2.286254912614822388e-01
1.056148579165026025e+00,2.205981314182281494e-01
1.057100228507130257e+00,2.072644531726837158e-01
1.058045641569671735e+00,2.021330446004867554e-01
1.058984899555080350e+00,1.959350705146789551e-01
1.059918082090037794e+00,2.223080098628997803e-01
1.060845267265985381e+00,2.223406136035919189e-01
1.061766531678338898e+00,2.079613655805587769e-01
1.062681950464460012e+00,2.177229970693588257e-01
1.063591597340429518e+00,2.161998152732849121e-01
1.064495544636668845e+00,1.917433887720108032e-01
1.065393863332453783e+00,2.051731050014495850e-01
1.066286623089357732e+00,2.015621215105056763e-01
1.067173892283669101e+00,2.311709225177764893e-01
1.068055738037816615e+00,2.150679826736450195e-01
1.068932226250839612e+00,2.033075243234634399e-01
1.069803421627940176e+00,2.133056521415710449e-01
1.070669387709145992e+00,1.751836240291595459e-01
1.071530186897120096e+00,2.029953598976135254e-01
1.072385880484144183e+00,1.911074370145797729e-01
1.073236528678308099e+00,1.937782019376754761e-01
1.074082190628930178e+00,2.023411244153976440e-01
1.074922924451237938e+00,2.002189904451370239e-01
1.075758787250333581e+00,2.190588861703872681e-01
1.076589835144468266e+00,2.129600048065185547e-01
1.077416123287652461e+00,2.031894475221633911e-01
1.078237705891618159e+00,1.909200996160507202e-01
1.079054636247164689e+00,2.082142382860183716e-01
1.079866966744898127e+00,1.957481354475021362e-01
1.080674748895394499e+00,2.069269120693206787e-01
1.081478033348798773e+00,2.088549137115478516e-01
1.082276869913883166e+00,1.856883913278579712e-01
1.083071307576578768e+00,1.865762472152709961e-01
1.083861394518001564e+00,2.158896774053573608e-01
1.084647178131986189e+00,2.014553546905517578e-01
1.085428705042146058e+00,1.950265914201736450e-01
1.086206021118472975e+00,1.963590085506439209e-01
1.086979171493490881e+00,2.144146263599395752e-01
1.087748200577981939e+00,1.928915232419967651e-01
1.088513152076293844e+00,1.890683621168136597e-01
1.089274069001242573e+00,2.005018293857574463e-01
1.090030993688626326e+00,2.094077765941619873e-01
1.090783967811359334e+00,2.018604278564453125e-01
1.091533032393239067e+00,1.845785081386566162e-01
1.092278227822357950e+00,1.987345814704895020e-01
1.093019593864170469e+00,1.951168179512023926e-01
1.093757169674225649e+00,2.126000672578811646e-01
1.094490993810577129e+00,2.049749493598937988e-01
1.095221104245878152e+00,2.169535011053085327e-01
1.095947538379171249e+00,1.876369267702102661e-01
1.096670333047385038e+00,2.209318280220031738e-01
1.097389524536541705e+00,2.075805813074111938e-01
1.098105148592688929e+00,1.963860094547271729e-01
1.098817240432559794e+00,1.860134601593017578e-01
1.099525834753972919e+00,1.902090907096862793e-01
1.100230965745977230e+00,2.049396634101867676e-01
1.100932667098749596e+00,1.982463747262954712e-01
1.101630972013254883e+00,1.907077282667160034e-01
1.102325913210671082e+00,2.095385491847991943e-01
1.103017522941590167e+00,1.909408420324325562e-01
1.103705832994998470e+00,1.815340369939804077e-01
1.104390874707043890e+00,2.002616822719573975e-01
1.105072678969597488e+00,1.890067160129547119e-01
1.105751276238611247e+00,1.974058300256729126e-01
1.106426696542281540e+00,1.822189688682556152e-01
1.107098969489022755e+00,2.019986808300018311e-01
1.107768124275255728e+00,2.119932919740676880e-01
1.108434189693015659e+00,1.843279451131820679e-01
1.109097194137385056e+00,1.918646246194839478e-01
1.109757165613759700e+00,1.981887817382812500e-01
1.110414131744944299e+00,1.793707311153411865e-01
1.111068119778090946e+00,1.966426968574523926e-01
1.111719156591479685e+00,1.920848786830902100e-01
