# kappa, training_loss
0.000000000000000000e+00,4.823245108127593994e-01
3.460120932236692703e-01,4.034519791603088379e-01
4.393039552621595401e-01,3.760714232921600342e-01
4.954930084523762046e-01,3.740191757678985596e-01
5.358291742869186747e-01,3.457394540309906006e-01
5.673168705456446137e-01,2.987637519836425781e-01
5.931483137675302997e-01,3.025037646293640137e-01
6.150494669868091790e-01,3.097945749759674072e-01
6.340598871336886599e-01,2.691271901130676270e-01
6.508544537049116840e-01,2.740096747875213623e-01
6.658962204356643211e-01,2.723297178745269775e-01
6.795167264104630123e-01,2.753469347953796387e-01
6.919615199418274187e-01,2.738173604011535645e-01
7.034175441903829373e-01,2.716904580593109131e-01
7.140304203154740348e-01,2.324159592390060425e-01
7.239157946114264108e-01,2.425365895032882690e-01
7.331670396709236703e-01,2.426805794239044189e-01
7.418606308817422557e-01,2.366621047258377075e-01
7.500599925927625700e-01,2.434585541486740112e-01
7.578183086147698422e-01,2.334215939044952393e-01
7.651806146740716130e-01,2.205951213836669922e-01
7.721853823003161921e-01,2.370966523885726929e-01
7.788657356246538876e-01,2.166236042976379395e-01
7.852503986755895449e-01,2.209326028823852539e-01
7.913644417732130787e-01,2.293535619974136353e-01
7.972298760765675896e-01,2.246348559856414795e-01
8.028661319095002913e-01,2.162435054779052734e-01
8.082904471049697781e-01,2.135115861892700195e-01
8.135181849459643955e-01,2.120423018932342529e-01
8.185630964848452651e-01,1.985580176115036011e-01
8.234375385241751166e-01,1.822299361228942871e-01
8.281526559589131864e-01,2.035928219556808472e-01
8.327185352512046501e-01,1.992220133543014526e-01
8.371443343540181381e-01,2.038628160953521729e-01
8.414383932916001951e-01,2.152957469224929810e-01
8.456083287528535219e-01,1.880777478218078613e-01
8.496611153934583438e-01,1.763316541910171509e-01
8.536031560266666984e-01,2.041133493185043335e-01
8.574403424766587900e-01,2.007744759321212769e-01
8.611781085464930152e-01,1.879947036504745483e-01
8.648214762958936763e-01,1.833655983209609985e-01
8.683750966179510922e-01,1.670980006456375122e-01
8.718432849373054516e-01,1.685134321451187134e-01
8.752300527171695821e-01,1.644495278596878052e-01
8.785391353521453395e-01,1.736432313919067383e-01
8.817740169332075606e-01,1.742020845413208008e-01
8.849379522965311606e-01,1.648163199424743652e-01
8.880339867059869885e-01,1.760625541210174561e-01
8.910649734676635569e-01,1.672818213701248169e-01
8.940335897317879255e-01,1.580781787633895874e-01
8.969423507013687402e-01,1.776655167341232300e-01
8.997936224365312707e-01,1.652679741382598877e-01
9.025896334178782343e-01,1.583283245563507080e-01
9.053324850104594868e-01,1.639855206012725830e-01
9.080241609514480006e-01,1.549361348152160645e-01
9.106665359688249639e-01,1.527263224124908447e-01
9.132613836248737460e-01,1.561064422130584717e-01
9.158103834666696530e-01,1.656914353370666504e-01
9.183151275557697168e-01,1.610440611839294434e-01
9.207771264406773293e-01,1.478128135204315186e-01
9.231978146281855091e-01,1.399713307619094849e-01
9.255785556032252170e-01,1.632095873355865479e-01
9.279206464412030897e-01,1.556597948074340820e-01
9.302253220518907906e-01,1.468097418546676636e-01
9.324937590896327233e-01,1.606543958187103271e-01
9.347270795608679794e-01,1.409970670938491821e-01
9.369263541566559272e-01,1.488862931728363037e-01
9.390926053349811786e-01,1.482514292001724243e-01
9.412268101750528304e-01,1.456418186426162720e-01
9.433299030235405835e-01,1.472966670989990234e-01
9.454027779506868345e-01,1.586752682924270630e-01
9.474462910324558118e-01,1.367603838443756104e-01
9.494612624732979844e-01,1.594954282045364380e-01
9.514484785827039826e-01,1.376737356185913086e-01
9.534086936174689386e-01,1.400431841611862183e-01
9.553426315004699410e-01,1.438819319009780884e-01
9.572509874257553175e-01,1.353793889284133911e-01
9.591344293588559555e-01,1.467603594064712524e-01
9.609935994404176229e-01,1.388510167598724365e-01
9.628291153005362757e-01,1.320644170045852661e-01
9.646415712905279660e-01,1.369166374206542969e-01
9.664315396382797685e-01,1.309724599123001099e-01
9.681995715328021168e-01,1.456411182880401611e-01
9.699461981431253266e-01,1.477649509906768799e-01
9.716719315762519793e-01,1.358440220355987549e-01
9.733772657784893756e-01,1.473420113325119019e-01
9.750626773841302164e-01,1.365167498588562012e-01
9.767286265151293723e-01,1.262830495834350586e-01
9.783755575351347211e-01,1.316299438476562500e-01
9.800038997609621383e-01,1.289193034172058105e-01
9.816140681343648033e-01,1.237812042236328125e-01
9.832064638567270531e-01,1.278917044401168823e-01
9.847814749891120600e-01,1.270806342363357544e-01
9.863394770199060968e-01,1.356642693281173706e-01
9.878808334021391691e-01,1.295498013496398926e-01
9.894058960624037002e-01,1.316305398941040039e-01
9.909150058831555086e-01,1.153853312134742737e-01
9.924084931600487547e-01,1.289395838975906372e-01
9.938866780358408537e-01,1.312286704778671265e-01
9.953498709122927668e-01,1.158012896776199341e-01
9.967983728413915001e-01,1.259278655052185059e-01
9.982324758971249379e-01,1.392727643251419067e-01
9.996524635289625316e-01,1.217782646417617798e-01
1.001058610898106549e+00,1.187002435326576233e-01
1.002451185197515748e+00,1.242176964879035950e-01
1.003830445956630069e+00,1.219886541366577148e-01
1.005196645331666749e+00,1.132575199007987976e-01
1.006550028382299677e+00,1.336495429277420044e-01
1.007890833335481018e+00,1.103222519159317017e-01
1.009219291837115895e+00,1.227041110396385193e-01
1.010535629192255591e+00,1.196753159165382385e-01
1.011840064594431432e+00,1.124797537922859192e-01
1.013132811344712003e+00,1.149600222706794739e-01
1.014414077061035480e+00,1.199542507529258728e-01
1.015684063878325771e+00,1.081333607435226440e-01
1.016942968639877876e+00,1.220794990658760071e-01
1.018190983080465628e+00,1.016204282641410828e-01
1.019428294001596402e+00,1.136604622006416321e-01
1.020655083439313993e+00,1.327441930770874023e-01
1.021871528824928710e+00,1.093725413084030151e-01
1.023077803139025521e+00,1.226537898182868958e-01
1.024274075059087297e+00,1.147278323769569397e-01
1.025460509101050022e+00,1.043566763401031494e-01
1.026637265755081518e+00,1.185057088732719421e-01
1.027804501615869892e+00,1.083598509430885315e-01
1.028962369507681718e+00,1.108804270625114441e-01
1.030111018604443318e+00,1.323549747467041016e-01
1.031250594545077393e+00,1.083088666200637817e-01
1.032381239544322149e+00,1.182249113917350769e-01
1.033503092499239884e+00,1.048672571778297424e-01
1.034616289091617292e+00,1.078945323824882507e-01
1.035720961886445135e+00,9.947567433118820190e-02
1.036817240426655573e+00,1.256476938724517822e-01
1.037905251324288125e+00,9.982034564018249512e-02
1.038985118348242587e+00,1.128299385309219360e-01
1.040056962508772775e+00,1.063408628106117249e-01
1.041120902138864324e+00,1.008321940898895264e-01
1.042177052972633744e+00,9.988576918840408325e-02
1.043225528220879550e+00,1.029836609959602356e-01
1.044266438643904893e+00,9.550316631793975830e-02
1.045299892621736282e+00,1.082494333386421204e-01
1.046325996221840970e+00,1.004855632781982422e-01
1.047344853264455589e+00,1.022164821624755859e-01
1.048356565385623274e+00,1.104574427008628845e-01
1.049361232098036334e+00,1.060294583439826965e-01
1.050358950849774153e+00,1.048964709043502808e-01
1.051349817081024929e+00,1.052082329988479614e-01
1.052333924278871846e+00,1.046353131532669067e-01
1.053311364030224073e+00,9.834753721952438354e-02
1.054282226072966733e+00,9.934636950492858887e-02
1.055246598345400466e+00,1.007951647043228149e-01
