# kappa, training_loss
0.000000000000000000e+00,3.480074405670166016e-01
3.459628369156486083e-01,2.579442262649536133e-01
4.392523541701039980e-01,2.301589697599411011e-01
4.954405753566595849e-01,2.078125476837158203e-01
5.357763150463283885e-01,1.892940402030944824e-01
5.672637522769239382e-01,1.741580665111541748e-01
5.930950213984054198e-01,1.614695191383361816e-01
6.149960495598807420e-01,1.506604403257369995e-01
6.340063755275553437e-01,1.413917541503906250e-01
6.508008686183767155e-01,1.330859214067459106e-01
6.658425764193509622e-01,1.256008744239807129e-01
6.794630340823816228e-01,1.189110651612281799e-01
6.919077872874166424e-01,1.128174066543579102e-01
7.033637773663500292e-01,1.071831136941909790e-01
7.139766241685853165e-01,1.019473969936370850e-01
7.238619730255126949e-01,9.704778343439102173e-02
7.331131958061187781e-01,9.252382069826126099e-02
7.418067673437699350e-01,8.832731097936630249e-02
7.500061115554571556e-01,8.442908525466918945e-02
7.577644119105257925e-01,8.076353371143341064e-02
7.651267038617906024e-01,7.732790708541870117e-02
7.721314587172553034e-01,7.411549985408782959e-02
7.788118004265414118e-01,7.110057771205902100e-02
7.851964528680592803e-01,6.825737655162811279e-02
7.913104862367159598e-01,6.558638811111450195e-02
7.971759115863207290e-01,6.305125355720520020e-02
8.028121591516160782e-01,6.064774841070175171e-02
8.082364666896064698e-01,5.835192650556564331e-02
8.134641974181391344e-01,5.617592483758926392e-02
8.185091023333873617e-01,5.410110950469970703e-02
8.233835381891937422e-01,5.213174596428871155e-02
8.280986498380630279e-01,5.025555938482284546e-02
8.326645237049763448e-01,4.846818745136260986e-02
8.370903177102294590e-01,4.676587134599685669e-02
8.413843718492283186e-01,4.514786973595619202e-02
8.455543027853225091e-01,4.360748454928398132e-02
8.496070851514696542e-01,4.214402288198471069e-02
8.535491217406495634e-01,4.075334966182708740e-02
8.573863043588985100e-01,3.942736610770225525e-02
8.611240667929865866e-01,3.815949708223342896e-02
8.647674310879751580e-01,3.694425895810127258e-02
8.683210481237189082e-01,3.577690199017524719e-02
8.717892333128790527e-01,3.465398773550987244e-02
8.751759981078014450e-01,3.357273340225219727e-02
8.784850778932074000e-01,3.253220766782760620e-02
8.817199567510665137e-01,3.152783960103988647e-02
8.848838895093302792e-01,3.055845946073532104e-02
8.879799214243446759e-01,2.962307631969451904e-02
8.910109057952988465e-01,2.872697822749614716e-02
8.939795197660829196e-01,2.787029184401035309e-02
8.968882785338736507e-01,2.705115266144275665e-02
8.997395481534220529e-01,2.626784704625606537e-02
9.025355571003684796e-01,2.551578730344772339e-02
9.052784067351745678e-01,2.479486726224422455e-02
9.079700807907640225e-01,2.410304173827171326e-02
9.106124539911777394e-01,2.343725785613059998e-02
9.132072998950389042e-01,2.279715240001678467e-02
9.157562980460198787e-01,2.218141034245491028e-02
9.182610405025087852e-01,2.158947102725505829e-02
9.207230378100543788e-01,2.102057822048664093e-02
9.231437244726915514e-01,2.047231420874595642e-02
9.255244639727745470e-01,1.994328573346138000e-02
9.278665533832982648e-01,1.943327859044075012e-02
9.301712276117759526e-01,1.894030719995498657e-02
