# Iterations, training_loss
0.000000000000000000e+00,7.200629333965480328e-04
1.935483870967741950e+03,6.614414451178163290e-05
3.870967741935483900e+03,4.690055357059463859e-05
5.806451612903225396e+03,1.500381767982617021e-05
7.741935483870967801e+03,5.845930445502744988e-06
9.677419354838710206e+03,2.500642722225165926e-06
1.161290322580645079e+04,2.739147646479977993e-07
1.354838709677419320e+04,3.472247840363706928e-07
1.548387096774193560e+04,1.626558656653287471e-07
1.741935483870967801e+04,7.522923795022506965e-08
1.935483870967742041e+04,3.489114419608085882e-08
2.129032258064516282e+04,2.312965641237951786e-08
2.322580645161290158e+04,1.536162663740014978e-08
2.516129032258064399e+04,1.118167425318006281e-08
2.709677419354838639e+04,7.776669086467791203e-09
2.903225806451612880e+04,7.090819931221403749e-09
3.096774193548387120e+04,5.978848083287857662e-09
3.290322580645161361e+04,5.165680327934296656e-09
3.483870967741935601e+04,4.545444021175626403e-09
3.677419354838709842e+04,4.057412628100109941e-09
3.870967741935484082e+04,3.662979697338641927e-09
4.064516129032258323e+04,3.337079279575050350e-09
4.258064516129032563e+04,2.994753556251339432e-09
4.451612903225806804e+04,2.834553480823842619e-09
4.645161290322580317e+04,2.539480625785017764e-09
4.838709677419354557e+04,1.773452495967831055e-09
5.032258064516128798e+04,2.258690123824180773e-09
5.225806451612903038e+04,2.167870549740769093e-09
5.419354838709677279e+04,2.055313474969011622e-09
5.612903225806451519e+04,1.947871863805517023e-09
5.806451612903225760e+04,1.851618192105775051e-09
6.000000000000000000e+04,1.763553858502575622e-09
