# kappa, training_loss
0.000000000000000000e+00,2.577588558197021484e-01
3.459628369156486083e-01,2.429123073816299438e-01
4.392523541701039980e-01,2.360280603170394897e-01
4.954405753566595849e-01,2.308465391397476196e-01
5.357763150463283885e-01,2.264203280210494995e-01
5.672637522769239382e-01,2.226032763719558716e-01
5.930950213984054198e-01,2.193038314580917358e-01
6.149960495598807420e-01,2.162251472473144531e-01
6.340063755275553437e-01,2.133978754281997681e-01
6.508008686183767155e-01,2.107735574245452881e-01
6.658425764193509622e-01,2.082527577877044678e-01
6.794630340823816228e-01,2.058447599411010742e-01
6.919077872874166424e-01,2.035294771194458008e-01
7.033637773663500292e-01,2.012826502323150635e-01
7.139766241685853165e-01,1.990831345319747925e-01
7.238619730255126949e-01,1.969275772571563721e-01
7.331131958061187781e-01,1.948289722204208374e-01
7.418067673437699350e-01,1.927637010812759399e-01
7.500061115554571556e-01,1.907569020986557007e-01
7.577644119105257925e-01,1.887809634208679199e-01
7.651267038617906024e-01,1.868273913860321045e-01
7.721314587172553034e-01,1.849090903997421265e-01
7.788118004265414118e-01,1.830184310674667358e-01
7.851964528680592803e-01,1.811629235744476318e-01
7.913104862367159598e-01,1.793450266122817993e-01
7.971759115863207290e-01,1.775579005479812622e-01
8.028121591516160782e-01,1.757912188768386841e-01
8.082364666896064698e-01,1.740554571151733398e-01
8.134641974181391344e-01,1.723502427339553833e-01
8.185091023333873617e-01,1.706732809543609619e-01
8.233835381891937422e-01,1.690198630094528198e-01
8.280986498380630279e-01,1.673903316259384155e-01
8.326645237049763448e-01,1.657820492982864380e-01
8.370903177102294590e-01,1.641947329044342041e-01
8.413843718492283186e-01,1.626231670379638672e-01
8.455543027853225091e-01,1.610735952854156494e-01
8.496070851514696542e-01,1.595432758331298828e-01
8.535491217406495634e-01,1.580355614423751831e-01
8.573863043588985100e-01,1.565517634153366089e-01
8.611240667929865866e-01,1.550921052694320679e-01
8.647674310879751580e-01,1.536502391099929810e-01
8.683210481237189082e-01,1.522255390882492065e-01
8.717892333128790527e-01,1.508224308490753174e-01
8.751759981078014450e-01,1.494401395320892334e-01
8.784850778932074000e-01,1.480770409107208252e-01
8.817199567510665137e-01,1.467317044734954834e-01
8.848838895093302792e-01,1.454035937786102295e-01
8.879799214243446759e-01,1.440935283899307251e-01
8.910109057952988465e-01,1.428011804819107056e-01
8.939795197660829196e-01,1.415266543626785278e-01
8.968882785338736507e-01,1.402678191661834717e-01
8.997395481534220529e-01,1.390223950147628784e-01
9.025355571003684796e-01,1.377926617860794067e-01
9.052784067351745678e-01,1.365799456834793091e-01
9.079700807907640225e-01,1.353807151317596436e-01
9.106124539911777394e-01,1.341952979564666748e-01
9.132072998950389042e-01,1.330222338438034058e-01
9.157562980460198787e-01,1.318616271018981934e-01
9.182610405025087852e-01,1.307136267423629761e-01
9.207230378100543788e-01,1.295783519744873047e-01
9.231437244726915514e-01,1.284567713737487793e-01
9.255244639727745470e-01,1.273479163646697998e-01
9.278665533832982648e-01,1.262521147727966309e-01
9.301712276117759526e-01,1.251697093248367310e-01
9.324396633104344856e-01,1.240970790386199951e-01
9.346729824837258782e-01,1.230438649654388428e-01
9.368722558208421036e-01,1.219973936676979065e-01
9.390385057780117339e-01,1.209657415747642517e-01
9.411727094327915211e-01,1.199545711278915405e-01
9.432758011302940782e-01,1.189509555697441101e-01
9.453486749392934207e-01,1.179515197873115540e-01
9.473921869343682189e-01,1.169781833887100220e-01
9.494071573186603219e-01,1.160070151090621948e-01
9.513943724004232383e-01,1.150650456547737122e-01
9.533545864352821475e-01,1.141232922673225403e-01
9.552885233450053581e-01,1.131955683231353760e-01
9.571968783225919264e-01,1.122973784804344177e-01
9.590803193325774245e-01,1.113814637064933777e-01
9.609394885146632648e-01,1.105134412646293640e-01
9.627750034980490090e-01,1.096172705292701721e-01
9.645874586331985023e-01,1.087569594383239746e-01
9.663774261471894667e-01,1.079061701893806458e-01
9.681454572282619520e-01,1.070564687252044678e-01
9.698920830447127495e-01,1.062398254871368408e-01
9.716178157028463325e-01,1.054086685180664062e-01
9.733231491483043119e-01,1.046006083488464355e-01
9.750085600147447851e-01,1.038095429539680481e-01
9.766745084235173291e-01,1.030038148164749146e-01
9.783214387376916177e-01,1.022499278187751770e-01
9.799497802735314123e-01,1.014685705304145813e-01
9.815599479722626475e-01,1.006955355405807495e-01
9.831523430347650638e-01,9.997128695249557495e-02
9.847273535216196638e-01,9.921511262655258179e-02
9.862853549207505344e-01,9.848479926586151123e-02
9.878267106847458123e-01,9.777697175741195679e-02
9.893517727397744821e-01,9.705285727977752686e-02
9.908608819678863533e-01,9.637069702148437500e-02
9.923543686643463424e-01,9.567003697156906128e-02
9.938325529715387185e-01,9.497801959514617920e-02
9.952957452908665070e-01,9.431921690702438354e-02
9.967442466739721008e-01,9.363300353288650513e-02
9.981783491945136477e-01,9.300025552511215210e-02
9.995983363016430756e-01,9.232492744922637939e-02
1.001004483156257452e+00,9.168028086423873901e-02
1.002397056951022103e+00,9.105598181486129761e-02
1.003776317215095304e+00,9.041126072406768799e-02
1.005142516104422512e+00,8.980795741081237793e-02
1.006495898678415823e+00,8.918485045433044434e-02
1.007836703163776271e+00,8.857534825801849365e-02
1.009165161206166283e+00,8.798975497484207153e-02
1.010481498110403553e+00,8.738072216510772705e-02
1.011785933069793808e+00,8.681771159172058105e-02
1.013078679385188696e+00,8.622110635042190552e-02
1.014359944674316782e+00,8.566015958786010742e-02
1.015629931071899694e+00,8.509950339794158936e-02
1.016888835421037696e+00,8.452270179986953735e-02
1.018136849456315440e+00,8.399764448404312134e-02
1.019374159979058669e+00,8.342790603637695312e-02
1.020600949025135540e+00,8.288308233022689819e-02
1.021817394025686054e+00,8.236625790596008301e-02
1.023023667961131089e+00,8.181507140398025513e-02
1.024219939508794530e+00,8.130577206611633301e-02
1.025406373184459152e+00,8.077438175678253174e-02
1.026583129478143341e+00,8.027159422636032104e-02
1.027750364984392206e+00,7.976190000772476196e-02
1.028908232527332434e+00,7.924547791481018066e-02
1.030056881280755565e+00,7.876680791378021240e-02
1.031196456883453960e+00,7.825072854757308960e-02
1.032327101550039039e+00,7.777803391218185425e-02
1.033448954177450752e+00,7.728704810142517090e-02
1.034562150447356776e+00,7.679531723260879517e-02
1.035666822924632635e+00,7.634263485670089722e-02
1.036763101152098798e+00,7.584968209266662598e-02
