# kappa, training_loss
0.000000000000000000e+00,3.482916951179504395e-01
3.459490639723691863e-01,2.942602038383483887e-01
4.392379254332852145e-01,2.672818303108215332e-01
4.954259139202382145e-01,2.464777529239654541e-01
5.357615344225755694e-01,2.277607321739196777e-01
5.672488992060591428e-01,2.115989625453948975e-01
5.930801196336180636e-01,1.969750225543975830e-01
6.149811128177874453e-01,1.845587939023971558e-01
6.339914124445384935e-01,1.733467578887939453e-01
6.507858849836564152e-01,1.632897853851318359e-01
6.658275763025752747e-01,1.540082395076751709e-01
6.794480204532930001e-01,1.455197632312774658e-01
6.918927623794568493e-01,1.378096342086791992e-01
7.033487429014856351e-01,1.308377981185913086e-01
7.139615815024065171e-01,1.244469732046127319e-01
7.238469232442868995e-01,1.185574606060981750e-01
7.330981397937035293e-01,1.130668222904205322e-01
7.417917058289594801e-01,1.080429553985595703e-01
7.499910451462514782e-01,1.033260226249694824e-01
7.577493411194270445e-01,9.884664416313171387e-02
7.651116291248085677e-01,9.455897659063339233e-02
7.721163804084072435e-01,9.049251675605773926e-02
7.787967188690735343e-01,8.666464686393737793e-02
7.851813683432372626e-01,8.302970230579376221e-02
7.912953989907932639e-01,7.961519062519073486e-02
7.971608218361185827e-01,7.641582936048507690e-02
8.027970670890330895e-01,7.338465750217437744e-02
8.082213724852981285e-01,7.050672173500061035e-02
8.134491012245415043e-01,6.776434183120727539e-02
8.184940042872215216e-01,6.516579538583755493e-02
8.233684384135537826e-01,6.270755827426910400e-02
8.280835484441693151e-01,6.036695465445518494e-02
8.326494207936544489e-01,5.812292546033859253e-02
8.370752133731670375e-01,5.598400160670280457e-02
8.413692661700467035e-01,5.396232753992080688e-02
8.455391958404957498e-01,5.203411728143692017e-02
8.495919770111163283e-01,5.019360035657882690e-02
8.535340124692187835e-01,4.842276126146316528e-02
8.573711940157643374e-01,4.671807587146759033e-02
8.611089554329676155e-01,4.507089033722877502e-02
8.647523187617890406e-01,4.349766299128532410e-02
8.683059348783809250e-01,4.199218750000000000e-02
8.717741191920542754e-01,4.055927693843841553e-02
8.751608831521159315e-01,3.919481486082077026e-02
8.784699621405231973e-01,3.789300471544265747e-02
8.817048402367273496e-01,3.665414825081825256e-02
8.848687722663797217e-01,3.547665476799011230e-02
8.879648034837216430e-01,3.436286747455596924e-02
8.909957871860125778e-01,3.330749273300170898e-02
8.939644005153701833e-01,3.230511397123336792e-02
8.968731586673402978e-01,3.135570511221885681e-02
8.997244276951708031e-01,3.044970333576202393e-02
9.025204360731137188e-01,2.958415448665618896e-02
9.052632851603480413e-01,2.875750511884689331e-02
9.079549586886085377e-01,2.797079831361770630e-02
9.105973313808339853e-01,2.721807360649108887e-02
9.131921767946242774e-01,2.649617381393909454e-02
9.157411744726996483e-01,2.580466121435165405e-02
9.182459164725620404e-01,2.513851970434188843e-02
9.207079133389337589e-01,2.450040355324745178e-02
9.231285995750785345e-01,2.388484030961990356e-02
9.255093386626294105e-01,2.329164370894432068e-02
9.278514276739070477e-01,2.271969243884086609e-02
9.301561015157931989e-01,2.216607704758644104e-02
9.324245368399223244e-01,2.163446322083473206e-02
9.346578556501904389e-01,2.112308144569396973e-02
9.368571286352674887e-01,2.062712423503398895e-02
9.390233782508911053e-01,2.014907076954841614e-02
9.411575815741555218e-01,1.968800462782382965e-02
9.432606729497378106e-01,1.924355886876583099e-02
9.453335464460014270e-01,1.881217956542968750e-02
9.473770581371377952e-01,1.839647814631462097e-02
9.493920282259225019e-01,1.799258217215538025e-02
9.513792430202629991e-01,1.760003902018070221e-02
9.533394567754569504e-01,1.722004637122154236e-02
9.552733934129632454e-01,1.685168966650962830e-02
9.571817481254869531e-01,1.649579778313636780e-02
9.590651888772854239e-01,1.615195907652378082e-02
9.609243578077962811e-01,1.581895723938941956e-02
9.627598725459676210e-01,1.549595501273870468e-02
9.645723274420254789e-01,1.518310606479644775e-02
9.663622947228209803e-01,1.487798057496547699e-02
9.681303255763787918e-01,1.458228565752506256e-02
9.698769511707906466e-01,1.429535448551177979e-02
9.716026836121656185e-01,1.401671953499317169e-02
9.733080168459593562e-01,1.374630443751811981e-02
9.749934275056520994e-01,1.348357647657394409e-02
9.766593757124242270e-01,1.322910189628601074e-02
9.783063058291839864e-01,1.298219524323940277e-02
9.799346471720404850e-01,1.274175569415092468e-02
9.815448146820721087e-01,1.250799559056758881e-02
9.831372095600177108e-01,1.228101737797260284e-02
9.847122198663231796e-01,1.205955911427736282e-02
9.862702210887834831e-01,1.184403896331787109e-02
9.878115766798633013e-01,1.163359452039003372e-02
9.893366385656129358e-01,1.142851542681455612e-02
9.908457476279686205e-01,1.122923381626605988e-02
9.923392341620868029e-01,1.103501860052347183e-02
9.938174183102469472e-01,1.084613241255283356e-02
9.952806104737519366e-01,1.066037639975547791e-02
9.967291117041482407e-01,1.047943346202373505e-02
9.981632140750014148e-01,1.030344702303409576e-02
9.995832010353746799e-01,1.013167854398488998e-02
1.000989347746079616e+00,9.962990880012512207e-03
1.002381921399700060e+00,9.798574261367321014e-03
1.003761181525314683e+00,9.638290852308273315e-03
1.005127380278793003e+00,9.481671266257762909e-03
1.006480762719474953e+00,9.329186752438545227e-03
1.007821567073989844e+00,9.179113432765007019e-03
1.009150024987933270e+00,9.032645262777805328e-03
1.010466361766057197e+00,8.889874443411827087e-03
1.011770796601604072e+00,8.750202134251594543e-03
1.013063542795365368e+00,8.613595739006996155e-03
1.014344807965010808e+00,8.479703217744827271e-03
1.015614794245205399e+00,8.348222821950912476e-03
1.016873698478994559e+00,8.219337090849876404e-03
1.018121712400910761e+00,8.093395270407199860e-03
1.019359022812228677e+00,7.970161736011505127e-03
1.020585811748767169e+00,7.849358022212982178e-03
1.021802256641618722e+00,7.731732446700334549e-03
1.023008530471158029e+00,7.616308052092790604e-03
1.024204801914665230e+00,7.503684610128402710e-03
1.025391235487879138e+00,7.392700761556625366e-03
1.026567991680777947e+00,7.284058257937431335e-03
1.027735227087865022e+00,7.178062107414007187e-03
1.028893094533229080e+00,7.073910906910896301e-03
1.030041743190623471e+00,6.972438655793666840e-03
1.031181318698804139e+00,6.873004138469696045e-03
1.032311963272347421e+00,6.775817833840847015e-03
1.033433815808158629e+00,6.680094636976718903e-03
1.034547011987872134e+00,6.586507894098758698e-03
1.035651684376331705e+00,6.494499277323484421e-03
1.036747962516326282e+00,6.404038053005933762e-03
1.037835973019756608e+00,6.315350532531738281e-03
1.038915839655388140e+00,6.228383630514144897e-03
1.039987683433343912e+00,6.143061909824609756e-03
1.041051622686483213e+00,6.059138104319572449e-03
1.042107773148799543e+00,5.977436900138854980e-03
1.043156248030971289e+00,5.897099152207374573e-03
1.044197158093186140e+00,5.818929523229598999e-03
1.045230611715358027e+00,5.742347799241542816e-03
1.046256714964844070e+00,5.667034536600112915e-03
1.047275571661775206e+00,5.593022331595420837e-03
1.048287283442090656e+00,5.520409904420375824e-03
1.049291949818382363e+00,5.448979325592517853e-03
1.050289668238631791e+00,5.379122216254472733e-03
1.051280534142931877e+00,5.310963839292526245e-03
1.052264641018273439e+00,5.243480205535888672e-03
1.053242080451475493e+00,5.177485756576061249e-03
1.054212942180335455e+00,5.112564656883478165e-03
1.055177314143069145e+00,5.048608407378196716e-03
1.056135282526107888e+00,4.985965788364410400e-03
1.057086931810323316e+00,4.924415610730648041e-03
1.058032344815731829e+00,4.864157177507877350e-03
1.058971602744749108e+00,4.804882220923900604e-03
1.059904785224042634e+00,4.746711812913417816e-03
1.060831970345039288e+00,4.689107649028301239e-03
1.061753234703141313e+00,4.632520955055952072e-03
1.062668653435697497e+00,4.577281884849071503e-03
1.063578300258775089e+00,4.522792994976043701e-03
1.064482247502783530e+00,4.469200037419795990e-03
1.065380566146985730e+00,4.416563082486391068e-03
1.066273325852943543e+00,4.364773631095886230e-03
1.067160594996933609e+00,4.313995130360126495e-03
1.068042440701372886e+00,4.263636656105518341e-03
1.068918928865289830e+00,4.214353859424591064e-03
1.069790124193875869e+00,4.165675491094589233e-03
1.070656090227147583e+00,4.118081182241439819e-03
