# kappa, training_loss
0.000000000000000000e+00,3.090432286262512207e-01
3.459490639723691863e-01,2.341776788234710693e-01
4.392379254332852145e-01,2.081363499164581299e-01
4.954259139202382145e-01,1.838550567626953125e-01
5.357615344225755694e-01,1.652364432811737061e-01
5.672488992060591428e-01,1.503501236438751221e-01
5.930801196336180636e-01,1.375293582677841187e-01
6.149811128177874453e-01,1.265776455402374268e-01
6.339914124445384935e-01,1.171899586915969849e-01
6.507858849836564152e-01,1.090439260005950928e-01
6.658275763025752747e-01,1.018627360463142395e-01
6.794480204532930001e-01,9.550002217292785645e-02
6.918927623794568493e-01,8.964411914348602295e-02
7.033487429014856351e-01,8.422899246215820312e-02
7.139615815024065171e-01,7.919437438249588013e-02
7.238469232442868995e-01,7.452644407749176025e-02
7.330981397937035293e-01,7.022775709629058838e-02
7.417917058289594801e-01,6.625682115554809570e-02
7.499910451462514782e-01,6.260934472084045410e-02
7.577493411194270445e-01,5.925211310386657715e-02
7.651116291248085677e-01,5.613708496093750000e-02
7.721163804084072435e-01,5.323768407106399536e-02
7.787967188690735343e-01,5.051251128315925598e-02
7.851813683432372626e-01,4.795129969716072083e-02
7.912953989907932639e-01,4.558214917778968811e-02
7.971608218361185827e-01,4.338405281305313110e-02
8.027970670890330895e-01,4.134297370910644531e-02
8.082213724852981285e-01,3.945183753967285156e-02
8.134491012245415043e-01,3.767058253288269043e-02
8.184940042872215216e-01,3.596860915422439575e-02
8.233684384135537826e-01,3.434905782341957092e-02
8.280835484441693151e-01,3.283926472067832947e-02
8.326494207936544489e-01,3.141928091645240784e-02
8.370752133731670375e-01,3.009123727679252625e-02
8.413692661700467035e-01,2.883214317262172699e-02
8.455391958404957498e-01,2.762084826827049255e-02
8.495919770111163283e-01,2.649052441120147705e-02
8.535340124692187835e-01,2.542890608310699463e-02
8.573711940157643374e-01,2.442422509193420410e-02
8.611089554329676155e-01,2.347922325134277344e-02
8.647523187617890406e-01,2.258494868874549866e-02
8.683059348783809250e-01,2.174133434891700745e-02
8.717741191920542754e-01,2.094638906419277191e-02
8.751608831521159315e-01,2.019376307725906372e-02
8.784699621405231973e-01,1.947792805731296539e-02
8.817048402367273496e-01,1.879771053791046143e-02
8.848687722663797217e-01,1.815161854028701782e-02
8.879648034837216430e-01,1.753401197493076324e-02
8.909957871860125778e-01,1.694396324455738068e-02
8.939644005153701833e-01,1.638198085129261017e-02
8.968731586673402978e-01,1.584439165890216827e-02
8.997244276951708031e-01,1.533118449151515961e-02
9.025204360731137188e-01,1.484081149101257324e-02
9.052632851603480413e-01,1.437077205628156662e-02
9.079549586886085377e-01,1.392203755676746368e-02
9.105973313808339853e-01,1.349365524947643280e-02
9.131921767946242774e-01,1.308672688901424408e-02
9.157411744726996483e-01,1.269690506160259247e-02
9.182459164725620404e-01,1.232161931693553925e-02
9.207079133389337589e-01,1.196073554456233978e-02
9.231285995750785345e-01,1.161510311067104340e-02
9.255093386626294105e-01,1.128490269184112549e-02
9.278514276739070477e-01,1.096648629754781723e-02
9.301561015157931989e-01,1.065852586179971695e-02
9.324245368399223244e-01,1.036250963807106018e-02
9.346578556501904389e-01,1.007904019206762314e-02
9.368571286352674887e-01,9.806588292121887207e-03
9.390233782508911053e-01,9.546962566673755646e-03
9.411575815741555218e-01,9.298883378505706787e-03
9.432606729497378106e-01,9.060084819793701172e-03
9.453335464460014270e-01,8.829813450574874878e-03
9.473770581371377952e-01,8.606940507888793945e-03
9.493920282259225019e-01,8.392970077693462372e-03
9.513792430202629991e-01,8.187090046703815460e-03
9.533394567754569504e-01,7.988122291862964630e-03
9.552733934129632454e-01,7.796156220138072968e-03
9.571817481254869531e-01,7.611643522977828979e-03
9.590651888772854239e-01,7.432250306010246277e-03
9.609243578077962811e-01,7.259592413902282715e-03
9.627598725459676210e-01,7.092082872986793518e-03
9.645723274420254789e-01,6.930385716259479523e-03
9.663622947228209803e-01,6.773448549211025238e-03
9.681303255763787918e-01,6.622116547077894211e-03
9.698769511707906466e-01,6.475200876593589783e-03
9.716026836121656185e-01,6.333461962640285492e-03
9.733080168459593562e-01,6.196120753884315491e-03
9.749934275056520994e-01,6.062877830117940903e-03
9.766593757124242270e-01,5.933431442826986313e-03
9.783063058291839864e-01,5.807394161820411682e-03
9.799346471720404850e-01,5.685200449079275131e-03
9.815448146820721087e-01,5.566221661865711212e-03
9.831372095600177108e-01,5.450356751680374146e-03
9.847122198663231796e-01,5.337105132639408112e-03
9.862702210887834831e-01,5.227286368608474731e-03
9.878115766798633013e-01,5.120480433106422424e-03
