# Iterations, training_loss
0.000000000000000000e+00,9.112621910389862023e-07
8.333333333333333940e+03,2.784542402878287248e-06
1.666666666666666788e+04,1.207920519163963036e-07
2.500000000000000000e+04,3.278782756410691945e-08
3.333333333333333576e+04,1.733652865709700563e-08
4.166666666666667152e+04,1.137208371915221505e-08
5.000000000000000000e+04,8.885713498330005677e-09
5.833333333333333576e+04,4.383941210051034432e-09
6.666666666666667152e+04,4.412498810779652558e-09
7.500000000000000000e+04,3.423991756790201180e-09
8.333333333333334303e+04,3.761985389871824736e-09
9.166666666666667152e+04,3.452138130910498148e-09
1.000000000000000000e+05,3.198074693955277326e-09
1.083333333333333430e+05,2.919025021697052580e-09
1.166666666666666715e+05,2.628925965808548426e-09
1.250000000000000146e+05,2.436663759652901717e-09
1.333333333333333430e+05,2.270933663339747000e-09
1.416666666666666861e+05,2.146667288371872928e-09
1.500000000000000000e+05,2.018018419036593514e-09
1.583333333333333430e+05,1.904067348235116697e-09
1.666666666666666861e+05,1.802746174561775661e-09
1.750000000000000000e+05,1.725512732697609408e-09
1.833333333333333430e+05,1.556087592113897244e-09
1.916666666666666861e+05,1.395629167788570157e-09
2.000000000000000000e+05,1.262987825434436218e-09
