# kappa, training_loss
0.000000000000000000e+00,5.054784417152404785e-01
3.459490639723691863e-01,4.465899169445037842e-01
4.392379254332852145e-01,3.210366368293762207e-01
4.954259139202382145e-01,2.792733311653137207e-01
5.357615344225755694e-01,2.589400708675384521e-01
5.672488992060591428e-01,2.325051724910736084e-01
5.930801196336180636e-01,2.136105597019195557e-01
6.149811128177874453e-01,1.979367285966873169e-01
6.339914124445384935e-01,1.838750690221786499e-01
6.507858849836564152e-01,1.710925251245498657e-01
6.658275763025752747e-01,1.596847474575042725e-01
6.794480204532930001e-01,1.491883248090744019e-01
6.918927623794568493e-01,1.394107341766357422e-01
7.033487429014856351e-01,1.301024258136749268e-01
7.139615815024065171e-01,1.210532784461975098e-01
7.238469232442868995e-01,1.126621961593627930e-01
7.330981397937035293e-01,1.050770506262779236e-01
7.417917058289594801e-01,9.822414070367813110e-02
7.499910451462514782e-01,9.194874018430709839e-02
7.577493411194270445e-01,8.630804717540740967e-02
7.651116291248085677e-01,8.118423819541931152e-02
7.721163804084072435e-01,7.648957520723342896e-02
7.787967188690735343e-01,7.213404774665832520e-02
7.851813683432372626e-01,6.808857619762420654e-02
7.912953989907932639e-01,6.429315358400344849e-02
7.971608218361185827e-01,6.074242666363716125e-02
8.027970670890330895e-01,5.739437416195869446e-02
8.082213724852981285e-01,5.425497516989707947e-02
8.134491012245415043e-01,5.132789164781570435e-02
8.184940042872215216e-01,4.861378669738769531e-02
8.233684384135537826e-01,4.608807340264320374e-02
8.280835484441693151e-01,4.371711239218711853e-02
8.326494207936544489e-01,4.148994758725166321e-02
8.370752133731670375e-01,3.939194232225418091e-02
8.413692661700467035e-01,3.741624951362609863e-02
8.455391958404957498e-01,3.557492047548294067e-02
8.495919770111163283e-01,3.384984657168388367e-02
8.535340124692187835e-01,3.223329782485961914e-02
8.573711940157643374e-01,3.072033263742923737e-02
8.611089554329676155e-01,2.929386310279369354e-02
8.647523187617890406e-01,2.795230038464069366e-02
8.683059348783809250e-01,2.669124305248260498e-02
8.717741191920542754e-01,2.549940347671508789e-02
8.751608831521159315e-01,2.437446266412734985e-02
8.784699621405231973e-01,2.332149818539619446e-02
8.817048402367273496e-01,2.233315072953701019e-02
8.848687722663797217e-01,2.140321396291255951e-02
8.879648034837216430e-01,2.052548527717590332e-02
