# kappa, training_loss
0.000000000000000000e+00,4.083217978477478027e-01
3.459490639723691863e-01,3.164677619934082031e-01
4.392379254332852145e-01,2.819806635379791260e-01
4.954259139202382145e-01,2.583865523338317871e-01
5.357615344225755694e-01,2.386778891086578369e-01
5.672488992060591428e-01,2.221404612064361572e-01
5.930801196336180636e-01,2.081711292266845703e-01
6.149811128177874453e-01,1.955474317073822021e-01
6.339914124445384935e-01,1.840817481279373169e-01
6.507858849836564152e-01,1.731487810611724854e-01
6.658275763025752747e-01,1.632320582866668701e-01
6.794480204532930001e-01,1.540388166904449463e-01
6.918927623794568493e-01,1.453149318695068359e-01
7.033487429014856351e-01,1.370693445205688477e-01
7.139615815024065171e-01,1.294565200805664062e-01
7.238469232442868995e-01,1.222861111164093018e-01
7.330981397937035293e-01,1.155490353703498840e-01
7.417917058289594801e-01,1.092610806226730347e-01
7.499910451462514782e-01,1.034480482339859009e-01
7.577493411194270445e-01,9.807788580656051636e-02
7.651116291248085677e-01,9.313181042671203613e-02
7.721163804084072435e-01,8.852453529834747314e-02
7.787967188690735343e-01,8.420634269714355469e-02
7.851813683432372626e-01,8.012972772121429443e-02
7.912953989907932639e-01,7.628227770328521729e-02
7.971608218361185827e-01,7.264700531959533691e-02
8.027970670890330895e-01,6.923013925552368164e-02
8.082213724852981285e-01,6.603480130434036255e-02
8.134491012245415043e-01,6.304296851158142090e-02
8.184940042872215216e-01,6.024851649999618530e-02
8.233684384135537826e-01,5.761814862489700317e-02
8.280835484441693151e-01,5.512901395559310913e-02
8.326494207936544489e-01,5.277365446090698242e-02
8.370752133731670375e-01,5.055648088455200195e-02
8.413692661700467035e-01,4.845259711146354675e-02
8.455391958404957498e-01,4.644780606031417847e-02
8.495919770111163283e-01,4.452761262655258179e-02
8.535340124692187835e-01,4.269459098577499390e-02
8.573711940157643374e-01,4.093962162733078003e-02
8.611089554329676155e-01,3.924287855625152588e-02
8.647523187617890406e-01,3.757408261299133301e-02
8.683059348783809250e-01,3.596534952521324158e-02
8.717741191920542754e-01,3.441683575510978699e-02
8.751608831521159315e-01,3.296935558319091797e-02
8.784699621405231973e-01,3.161621466279029846e-02
8.817048402367273496e-01,3.034691885113716125e-02
8.848687722663797217e-01,2.914324402809143066e-02
8.879648034837216430e-01,2.798984199762344360e-02
8.909957871860125778e-01,2.687195688486099243e-02
8.939644005153701833e-01,2.578508108854293823e-02
8.968731586673402978e-01,2.474071644246578217e-02
8.997244276951708031e-01,2.375218272209167480e-02
9.025204360731137188e-01,2.283249050378799438e-02
9.052632851603480413e-01,2.197988703846931458e-02
9.079549586886085377e-01,2.118051052093505859e-02
9.105973313808339853e-01,2.042522840201854706e-02
9.131921767946242774e-01,1.970646902918815613e-02
9.157411744726996483e-01,1.901796087622642517e-02
9.182459164725620404e-01,1.836133748292922974e-02
9.207079133389337589e-01,1.772970333695411682e-02
9.231285995750785345e-01,1.712448522448539734e-02
9.255093386626294105e-01,1.654889807105064392e-02
9.278514276739070477e-01,1.599362492561340332e-02
9.301561015157931989e-01,1.545988395810127258e-02
9.324245368399223244e-01,1.494570635259151459e-02
9.346578556501904389e-01,1.445696130394935608e-02
9.368571286352674887e-01,1.398465409874916077e-02
9.390233782508911053e-01,1.353149116039276123e-02
9.411575815741555218e-01,1.309569552540779114e-02
9.432606729497378106e-01,1.267657615244388580e-02
9.453335464460014270e-01,1.227250322699546814e-02
9.473770581371377952e-01,1.188155636191368103e-02
9.493920282259225019e-01,1.150107011198997498e-02
9.513792430202629991e-01,1.113417930901050568e-02
9.533394567754569504e-01,1.077416352927684784e-02
9.552733934129632454e-01,1.042339485138654709e-02
9.571817481254869531e-01,1.007990539073944092e-02
9.590651888772854239e-01,9.744809940457344055e-03
9.609243578077962811e-01,9.419027715921401978e-03
9.627598725459676210e-01,9.103102609515190125e-03
9.645723274420254789e-01,8.799457922577857971e-03
9.663622947228209803e-01,8.511422201991081238e-03
9.681303255763787918e-01,8.239643648266792297e-03
9.698769511707906466e-01,7.980812340974807739e-03
9.716026836121656185e-01,7.735602557659149170e-03
9.733080168459593562e-01,7.502094376832246780e-03
9.749934275056520994e-01,7.280431687831878662e-03
9.766593757124242270e-01,7.069139741361141205e-03
9.783063058291839864e-01,6.865558214485645294e-03
9.799346471720404850e-01,6.670885719358921051e-03
9.815448146820721087e-01,6.484920158982276917e-03
9.831372095600177108e-01,6.306780502200126648e-03
9.847122198663231796e-01,6.135825999081134796e-03
9.862702210887834831e-01,5.970932543277740479e-03
9.878115766798633013e-01,5.812928080558776855e-03
9.893366385656129358e-01,5.660466849803924561e-03
9.908457476279686205e-01,5.512462463229894638e-03
9.923392341620868029e-01,5.370576865971088409e-03
9.938174183102469472e-01,5.233299452811479568e-03
9.952806104737519366e-01,5.101312883198261261e-03
9.967291117041482407e-01,4.974016919732093811e-03
9.981632140750014148e-01,4.850639961659908295e-03
9.995832010353746799e-01,4.731252789497375488e-03
1.000989347746079616e+00,4.615597426891326904e-03
1.002381921399700060e+00,4.504459444433450699e-03
1.003761181525314683e+00,4.397083539515733719e-03
1.005127380278793003e+00,4.293615464121103287e-03
1.006480762719474953e+00,4.193427972495555878e-03
1.007821567073989844e+00,4.096757154911756516e-03
1.009150024987933270e+00,4.002932459115982056e-03
1.010466361766057197e+00,3.912206739187240601e-03
1.011770796601604072e+00,3.824232611805200577e-03
1.013063542795365368e+00,3.738976316526532173e-03
1.014344807965010808e+00,3.656427375972270966e-03
1.015614794245205399e+00,3.576297312974929810e-03
1.016873698478994559e+00,3.498960286378860474e-03
1.018121712400910761e+00,3.423463553190231323e-03
1.019359022812228677e+00,3.350250422954559326e-03
1.020585811748767169e+00,3.279160009697079659e-03
1.021802256641618722e+00,3.209657967090606689e-03
1.023008530471158029e+00,3.142185742035508156e-03
1.024204801914665230e+00,3.076447406783699989e-03
1.025391235487879138e+00,3.012871369719505310e-03
1.026567991680777947e+00,2.951187081634998322e-03
1.027735227087865022e+00,2.890875795856118202e-03
1.028893094533229080e+00,2.832332858815789223e-03
1.030041743190623471e+00,2.775205997750163078e-03
1.031181318698804139e+00,2.719848416745662689e-03
1.032311963272347421e+00,2.665517618879675865e-03
1.033433815808158629e+00,2.612483687698841095e-03
1.034547011987872134e+00,2.561132190749049187e-03
1.035651684376331705e+00,2.510986989364027977e-03
1.036747962516326282e+00,2.462472766637802124e-03
1.037835973019756608e+00,2.414682414382696152e-03
1.038915839655388140e+00,2.367826178669929504e-03
1.039987683433343912e+00,2.322716172784566879e-03
1.041051622686483213e+00,2.278799889609217644e-03
1.042107773148799543e+00,2.235734835267066956e-03
1.043156248030971289e+00,2.193956403061747551e-03
1.044197158093186140e+00,2.153191016986966133e-03
1.045230611715358027e+00,2.113313414156436920e-03
1.046256714964844070e+00,2.074336633086204529e-03
1.047275571661775206e+00,2.035438781604170799e-03
1.048287283442090656e+00,1.997063634917140007e-03
1.049291949818382363e+00,1.960007473826408386e-03
1.050289668238631791e+00,1.924187527038156986e-03
1.051280534142931877e+00,1.889208797365427017e-03
1.052264641018273439e+00,1.855222275480628014e-03
1.053242080451475493e+00,1.821978017687797546e-03
1.054212942180335455e+00,1.789605012163519859e-03
1.055177314143069145e+00,1.758232479915022850e-03
1.056135282526107888e+00,1.727479859255254269e-03
1.057086931810323316e+00,1.697745174169540405e-03
1.058032344815731829e+00,1.668614684604108334e-03
1.058971602744749108e+00,1.640115748159587383e-03
1.059904785224042634e+00,1.612514490261673927e-03
1.060831970345039288e+00,1.585322897881269455e-03
1.061753234703141313e+00,1.558929448947310448e-03
1.062668653435697497e+00,1.532991649582982063e-03
1.063578300258775089e+00,1.507588662207126617e-03
1.064482247502783530e+00,1.482838997617363930e-03
1.065380566146985730e+00,1.458700746297836304e-03
1.066273325852943543e+00,1.434949459508061409e-03
1.067160594996933609e+00,1.411787699908018112e-03
1.068042440701372886e+00,1.388970878906548023e-03
1.068918928865289830e+00,1.366732991300523281e-03
1.069790124193875869e+00,1.344904536381363869e-03
1.070656090227147583e+00,1.323578879237174988e-03
