# kappa, accuracy
0.000000000000000000e+00,5.650555491447448730e-01
3.459603343515004203e-01,7.289444804191589355e-01
4.392497324521764668e-01,7.403333187103271484e-01
4.954379113587070171e-01,7.516666650772094727e-01
5.357736293928239135e-01,7.593889236450195312e-01
5.672610534602643417e-01,7.654444575309753418e-01
5.930923137343891982e-01,7.727222442626953125e-01
6.149933355407257718e-01,7.811666727066040039e-01
6.340036567224346387e-01,7.959444522857666016e-01
6.507981460791522066e-01,8.048333525657653809e-01
6.658398508854505016e-01,8.048889040946960449e-01
6.794603060933870342e-01,8.181666731834411621e-01
6.919050572491288742e-01,8.245000243186950684e-01
7.033610455916388116e-01,8.259444832801818848e-01
7.139738909037520731e-01,8.325555920600891113e-01
7.238592384679246594e-01,8.322222232818603516e-01
7.331104601163669354e-01,8.377222418785095215e-01
7.418040306542710294e-01,8.372777700424194336e-01
7.500033739766807095e-01,8.377777934074401855e-01
7.577616735355898747e-01,8.406666517257690430e-01
7.651239647699151769e-01,8.412777781486511230e-01
7.721287189763966774e-01,8.420555591583251953e-01
7.788090600954311604e-01,8.423889279365539551e-01
7.851937119978014135e-01,8.445555567741394043e-01
7.913077448720530205e-01,8.456666469573974609e-01
7.971731697666477601e-01,8.445555567741394043e-01
8.028094169117996337e-01,8.467222452163696289e-01
8.082337240606535245e-01,8.481667041778564453e-01
8.134614544277462000e-01,8.422222137451171875e-01
8.185063590063957895e-01,8.483889102935791016e-01
8.233807945479687529e-01,8.482778072357177734e-01
8.280959059028125679e-01,8.492777943611145020e-01
8.326617794940197603e-01,8.479444384574890137e-01
8.370875732402257574e-01,8.456110954284667969e-01
8.413816271353710130e-01,8.525000214576721191e-01
8.455515578415063738e-01,8.527222275733947754e-01
8.496043399904347204e-01,8.473333716392517090e-01
8.535463763741056864e-01,8.528333306312561035e-01
8.573835587976336159e-01,8.531666994094848633e-01
8.611213210469609303e-01,8.523333668708801270e-01
8.647646851664038126e-01,8.519444465637207031e-01
8.683183020351439296e-01,8.546666502952575684e-01
8.717864870652343168e-01,8.523889183998107910e-01
8.751732517084683804e-01,8.527222275733947754e-01
8.784823313490652819e-01,8.502777814865112305e-01
8.817172100685369829e-01,8.507778048515319824e-01
8.848811426944171998e-01,8.513333201408386230e-01
8.879771744826693292e-01,8.499444723129272461e-01
8.910081587321322383e-01,8.499444723129272461e-01
8.939767725863733139e-01,8.527777791023254395e-01
8.968855312422737702e-01,8.527222275733947754e-01
8.997368007543112833e-01,8.551666736602783203e-01
9.025328095978737419e-01,8.533889055252075195e-01
9.052756591331899694e-01,8.537777662277221680e-01
9.079673330929673991e-01,8.526111245155334473e-01
9.106097062010467535e-01,8.527777791023254395e-01
9.132045520158655894e-01,8.536111116409301758e-01
9.157535500809229623e-01,8.512777686119079590e-01
9.182582924544460123e-01,8.504444360733032227e-01
9.207202896818332816e-01,8.484444618225097656e-01
9.231409762669798846e-01,8.548333644866943359e-01
9.255217156921087263e-01,8.529999852180480957e-01
9.278638050300922480e-01,8.519444465637207031e-01
9.301684791883289005e-01,8.547778129577636719e-01
9.324369148189382006e-01,8.527222275733947754e-01
9.346702339262706882e-01,8.535000085830688477e-01
9.368695071994237455e-01,8.485555648803710938e-01
9.390357570945371268e-01,8.537222146987915039e-01
9.411699606890828740e-01,8.536111116409301758e-01
9.432730523280946633e-01,8.543333411216735840e-01
9.453459260802721253e-01,8.530555367469787598e-01
9.473894380201234311e-01,8.523333668708801270e-01
