# kappa, training_loss
0.000000000000000000e+00,2.500286698341369629e-01
3.461704176273217026e-01,2.471282929182052612e-01
4.394698108204941889e-01,2.449606657028198242e-01
4.956615361790717711e-01,2.433900237083435059e-01
5.359990706493418244e-01,2.417201399803161621e-01
5.674875988120281489e-01,2.418434917926788330e-01
5.933196011774323209e-01,2.423667609691619873e-01
6.152211560325102635e-01,2.393564283847808838e-01
6.342318786444741674e-01,2.387184202671051025e-01
6.510266812041147766e-01,2.363098263740539551e-01
6.660686371923832949e-01,2.361239641904830933e-01
6.796892983238979058e-01,2.350750118494033813e-01
6.921342213660011122e-01,2.342071533203125000e-01
7.035903553524930354e-01,2.345689237117767334e-01
7.142033256497312133e-01,2.307665944099426270e-01
7.240887816446053282e-01,2.327384650707244873e-01
7.333400982540189128e-01,2.312054485082626343e-01
7.420337526462876809e-01,2.300588637590408325e-01
7.502331705573385134e-01,2.278662323951721191e-01
7.579915368945218113e-01,2.272336781024932861e-01
7.653538882624861817e-01,2.267324924468994141e-01
7.723586969027105287e-01,2.250528931617736816e-01
7.790390875293365935e-01,2.271270751953125000e-01
7.854237846529096290e-01,2.243742495775222778e-01
7.915378589955526234e-01,2.257977277040481567e-01
7.974033220542720013e-01,2.238377779722213745e-01
8.030396044390841759e-01,2.195129096508026123e-01
8.084639442268765075e-01,2.205555438995361328e-01
8.136917049098438826e-01,2.172612547874450684e-01
8.187366377207961898e-01,2.146119475364685059e-01
8.236110996187655520e-01,2.163017392158508301e-01
8.283262356350555855e-01,2.156830579042434692e-01
8.328921323511657704e-01,2.143413275480270386e-01
8.373179478249958008e-01,2.137724459171295166e-01
8.416120221734142426e-01,2.124660611152648926e-01
8.457819721673908164e-01,2.164229452610015869e-01
8.498347725355791527e-01,2.102555334568023682e-01
8.537768261563376537e-01,2.068079560995101929e-01
8.576140249121164683e-01,2.098507732152938843e-01
8.613518026582835940e-01,2.094672769308090210e-01
8.649951815016547751e-01,2.061838060617446899e-01
8.685488123778287717e-01,2.038262039422988892e-01
8.720170107499152223e-01,2.050989121198654175e-01
8.754037881160260381e-01,2.027059197425842285e-01
8.787128799024970238e-01,2.000913470983505249e-01
8.819477702292221055e-01,2.004140168428421021e-01
8.851117139587861837e-01,2.056539803743362427e-01
8.882077563792273311e-01,2.011431604623794556e-01
8.912387508187913365e-01,1.984247118234634399e-01
8.942073744480576458e-01,1.995184272527694702e-01
8.971161424887618141e-01,1.956328898668289185e-01
8.999674210182910805e-01,1.979693621397018433e-01
9.027634385331837485e-01,1.948074996471405029e-01
9.055062964132257752e-01,1.908631324768066406e-01
9.081979784092359953e-01,1.938150078058242798e-01
9.108403592618512512e-01,1.912996023893356323e-01
9.134352125451081772e-01,1.906503736972808838e-01
9.159842178170114479e-01,1.904577314853668213e-01
9.184889671492958430e-01,1.896197497844696045e-01
9.209509710999531640e-01,1.893975287675857544e-01
9.233716641846332340e-01,1.847285628318786621e-01
9.257524098965445036e-01,1.863537877798080444e-01
9.280945053188374150e-01,1.836705803871154785e-01
9.303991853685366076e-01,1.830496191978454590e-01
9.326676267067869341e-01,1.813457906246185303e-01
9.349009513464104915e-01,1.797653138637542725e-01
9.371002299844628514e-01,1.813634186983108521e-01
9.392664850845674485e-01,1.787558346986770630e-01
9.414006937312412449e-01,1.764941364526748657e-01
9.435037902761542750e-01,1.767794638872146606e-01
9.455766687942640525e-01,1.752975583076477051e-01
9.476201853659850238e-01,1.727872043848037720e-01
9.496351601999701852e-01,1.740455478429794312e-01
9.516223796096833221e-01,1.717235594987869263e-01
9.535825978556785598e-01,1.679470539093017578e-01
9.555165388643904745e-01,1.723386496305465698e-01
9.574248978332392523e-01,1.696958690881729126e-01
9.593083427309523348e-01,1.728103011846542358e-01
9.611675157012078419e-01,1.679114997386932373e-01
9.630030343769812040e-01,1.660581529140472412e-01
9.648154931123239519e-01,1.679114848375320435e-01
9.666054641377239687e-01,1.659138053655624390e-01
9.683734986446653759e-01,1.658519208431243896e-01
9.701201278045336052e-01,1.648643314838409424e-01
9.718458637265738886e-01,1.642617732286453247e-01
9.735512003592309282e-01,1.636393666267395020e-01
9.752366143388355724e-01,1.552797555923461914e-01
9.769025657892872472e-01,1.591124683618545532e-01
9.785494990760901235e-01,1.552653163671493530e-01
9.801778435178327697e-01,1.553296595811843872e-01
9.817880140579626769e-01,1.548632532358169556e-01
9.833804118994842192e-01,1.534649729728698730e-01
9.849554251050097742e-01,1.516183167695999146e-01
9.865134291644084286e-01,1.537936776876449585e-01
9.880547875321301632e-01,1.524642258882522583e-01
9.895798521361274247e-01,1.506078690290451050e-01
9.910889638601597662e-01,1.502889394760131836e-01
9.925824530011307933e-01,1.479779034852981567e-01
9.940606397029970731e-01,1.485751867294311523e-01
9.955238343686700908e-01,1.485918462276458740e-01
9.969723380512411914e-01,1.488979458808898926e-01
9.984064428257590773e-01,1.467910408973693848e-01
9.998264321427123846e-01,1.443456411361694336e-01
1.001232581164283042e+00,1.427276879549026489e-01
1.002625157084372054e+00,1.425341814756393433e-01
1.004004419433325301e+00,1.431137323379516602e-01
1.005370620368232437e+00,1.389632523059844971e-01
1.006724004949606455e+00,1.398839205503463745e-01
1.008064811405207761e+00,1.366274356842041016e-01
1.009393271381720858e+00,1.369360238313674927e-01
1.010709610184947094e+00,1.400629431009292603e-01
1.012014047009141215e+00,1.398632824420928955e-01
1.013306795156069473e+00,1.342543214559555054e-01
1.014588062244343059e+00,1.367103010416030884e-01
1.015858050409535140e+00,1.336672753095626831e-01
1.017116956495567770e+00,1.331363618373870850e-01
1.018364972237819854e+00,1.320414394140243530e-01
1.019602284438382966e+00,1.322657167911529541e-01
1.020829075133866226e+00,1.316172927618026733e-01
1.022045521756125508e+00,1.262534111738204956e-01
1.023251797286272913e+00,1.286233514547348022e-01
1.024448070402302013e+00,1.270198374986648560e-01
1.025634505620642178e+00,1.282097101211547852e-01
1.026811263431938626e+00,1.250738799571990967e-01
1.027978500431341091e+00,1.252073645591735840e-01
1.029136369443564014e+00,1.255458295345306396e-01
1.030285019642966260e+00,1.249392777681350708e-01
1.031424596668890414e+00,1.235404685139656067e-01
1.032555242736480805e+00,1.182042285799980164e-01
1.033677096743193413e+00,1.231217756867408752e-01
1.034790294371196628e+00,1.218556016683578491e-01
1.035894968185851361e+00,1.179164797067642212e-01
1.036991247730448373e+00,1.190354377031326294e-01
1.038079259617375127e+00,1.190504282712936401e-01
1.039159127615869371e+00,1.183714270591735840e-01
1.040230972736512438e+00,1.148344203829765320e-01
1.041294913312607706e+00,1.139277741312980652e-01
