# kappa, training_loss
0.000000000000000000e+00,2.507706284523010254e-01
3.465938397578881558e-01,2.425919622182846069e-01
4.399133317539308807e-01,2.395700216293334961e-01
4.961121875487216615e-01,2.374504953622817993e-01
5.364533739103033438e-01,2.333233356475830078e-01
5.679441217562798405e-01,2.296610921621322632e-01
5.937776160001168035e-01,2.232384532690048218e-01
6.156802424664143958e-01,2.250555008649826050e-01
6.346917720833260557e-01,2.223243266344070435e-01
6.514872042776803651e-01,2.162133753299713135e-01
6.665296652163988922e-01,2.106158733367919922e-01
6.801507403135630403e-01,2.045754045248031616e-01
6.925960088953528881e-01,2.032827287912368774e-01
7.040524356660361471e-01,1.961817443370819092e-01
7.146656572168094135e-01,1.984779536724090576e-01
7.245513311858687855e-01,1.921907514333724976e-01
7.338028386913675316e-01,1.876499503850936890e-01
7.424966616522575835e-01,1.859807372093200684e-01
7.506962295052193035e-01,1.739274263381958008e-01
7.584547300833153205e-01,1.788637191057205200e-01
7.658172023346656587e-01,1.723511368036270142e-01
7.728221203999536826e-01,1.687976717948913574e-01
7.795026105487732337e-01,1.596607863903045654e-01
7.858873985777750093e-01,1.641222685575485229e-01
7.920015562817231958e-01,1.546553522348403931e-01
7.978670960593244876e-01,1.555846184492111206e-01
8.035034492841016673e-01,1.473212838172912598e-01
8.089278546837530559e-01,1.408292800188064575e-01
8.141556763086404969e-01,1.388962268829345703e-01
8.192006658730168756e-01,1.351456493139266968e-01
8.240751807533768236e-01,1.389594376087188721e-01
8.287903663447931946e-01,1.286969184875488281e-01
8.333563095472045212e-01,1.262968778610229492e-01
8.377821686984675553e-01,1.243432536721229553e-01
8.420762841625675232e-01,1.139023005962371826e-01
8.462462729294295549e-01,1.094145104289054871e-01
8.502991099224013194e-01,1.224018409848213196e-01
8.542411981935432719e-01,1.263165026903152466e-01
8.580784297807720895e-01,1.071750447154045105e-01
8.618162386790166885e-01,1.030508279800415039e-01
8.654596471207329778e-01,9.698394685983657837e-02
8.690133061549315530e-01,9.722221642732620239e-02
8.724815313473585077e-01,1.017190217971801758e-01
8.758683342892367163e-01,9.289985895156860352e-02
8.791774504915677024e-01,1.048660948872566223e-01
8.824123641514015626e-01,8.615628629922866821e-02
8.855763302017848337e-01,8.366835117340087891e-02
8.886723939952327900e-01,9.761009365320205688e-02
8.917034089191069324e-01,8.105758577585220337e-02
8.946720521982862717e-01,7.956136018037796021e-02
8.975808391044705070e-01,7.785451412200927734e-02
9.004321357611001497e-01,8.041079342365264893e-02
9.032281707072308263e-01,7.486134767532348633e-02
9.059710453619628234e-01,7.840932905673980713e-02
9.086627435125226304e-01,6.502170115709304810e-02
9.113051399333121916e-01,7.087083905935287476e-02
9.139000082297247252e-01,7.252100855112075806e-02
9.164490279889259128e-01,7.191807776689529419e-02
9.189537913098031474e-01,5.882556363940238953e-02
9.214158087756633142e-01,5.749944224953651428e-02
9.238365149257865561e-01,8.615196496248245239e-02
9.262172732754645477e-01,5.807682499289512634e-02
9.285593809285085376e-01,6.100922077894210815e-02
9.308640728212943527e-01,5.197018012404441833e-02
9.331325256331104434e-01,5.363423749804496765e-02
9.353658613938073962e-01,5.396381020545959473e-02
9.375651508164388748e-01,4.976911470293998718e-02
9.397314163796731679e-01,4.571223631501197815e-02
9.418656351821880213e-01,4.696668684482574463e-02
9.439687415889943534e-01,4.424495995044708252e-02
9.460416296876298370e-01,4.432031884789466858e-02
9.480851555703806444e-01,4.036600142717361450e-02
9.501001394571134684e-01,5.361345037817955017e-02
9.520873676718921708e-01,4.029792547225952148e-02
9.540475944852979673e-01,5.182478949427604675e-02
9.559815438332596171e-01,5.398772284388542175e-02
9.578899109221914454e-01,3.724114224314689636e-02
9.597733637293490716e-01,3.709727525711059570e-02
9.616325444065016992e-01,3.521122783422470093e-02
9.634680705943066137e-01,3.185994178056716919e-02
9.652805366541138410e-01,3.491414338350296021e-02
9.670705148233496029e-01,3.433066606521606445e-02
9.688385563000984080e-01,3.390009328722953796e-02
9.705851922620282179e-01,3.200754523277282715e-02
9.723109348243681449e-01,2.942202799022197723e-02
9.740162779412656624e-01,2.675405330955982208e-02
9.757016982544888251e-01,2.646153792738914490e-02
9.773676558931253533e-01,3.006777912378311157e-02
9.790145952276316788e-01,2.905131503939628601e-02
9.806429455813262530e-01,2.629982121288776398e-02
9.822531219021767290e-01,2.959252707660198212e-02
9.838455253975089132e-01,2.547585964202880859e-02
9.854205441340692095e-01,2.461800538003444672e-02
9.869785536056830955e-01,4.754548147320747375e-02
9.885199172705882997e-01,8.673088252544403076e-02
9.900449870603665881e-01,1.729827374219894409e-01
9.915541038622546210e-01,9.371627122163772583e-02
9.930475979764908923e-01,6.519805639982223511e-02
9.945257895502301881e-01,3.570843860507011414e-02
9.959889889894536497e-01,3.469866514205932617e-02
9.974374973501991537e-01,2.326199039816856384e-02
9.988716067103456941e-01,2.631777897477149963e-02
1.000291600523101287e+00,2.137189731001853943e-02
1.001697753953261216e+00,1.939869858324527740e-02
1.003090334197240363e+00,1.998932659626007080e-02
1.004469600787802008e+00,1.877081952989101410e-02
1.005835805884362166e+00,1.934074237942695618e-02
1.007189194549673594e+00,1.901370100677013397e-02
1.008530005013653863e+00,1.630485057830810547e-02
1.009858468925064923e+00,1.637136377394199371e-02
1.011174811591710077e+00,4.319036006927490234e-02
1.012479252209774305e+00,1.704211719334125519e-02
1.013772004082885481e+00,4.805520921945571899e-02
1.015053274831449803e+00,4.339369386434555054e-02
1.016323266592773278e+00,2.009104005992412567e-02
1.017582176212449729e+00,1.959092915058135986e-02
1.018830195427473218e+00,2.059974521398544312e-02
1.020067511041494734e+00,1.436917297542095184e-02
1.021294305092629973e+00,1.351610198616981506e-02
1.022510755014190753e+00,1.568092964589595795e-02
1.023717033788696940e+00,1.391245331615209579e-02
1.024913310095503682e+00,1.406623329967260361e-02
1.026099748452355742e+00,1.331211347132921219e-02
1.027276509351172873e+00,1.321932580322027206e-02
1.028443749388337380e+00,1.586133614182472229e-02
1.029601621389756971e+00,1.494827773422002792e-02
1.030750274530945587e+00,1.281126029789447784e-02
1.031889854452365141e+00,1.591292768716812134e-02
1.033020503370243981e+00,1.183616835623979568e-02
1.034142360183088805e+00,1.163409370929002762e-02
1.035255560574086076e+00,1.091093569993972778e-02
1.036360237109583471e+00,1.052599307149648666e-02
1.037456519333829652e+00,1.112777367234230042e-02
1.038544533860140451e+00,1.071173325181007385e-02
1.039624404458654006e+00,1.195310056209564209e-02
1.040696252140825839e+00,1.106698159128427505e-02
1.041760195240807985e+00,9.143522940576076508e-03
1.042816349493850048e+00,8.465943858027458191e-03
1.043864828111848997e+00,8.680962026119232178e-03
1.044905741856176906e+00,9.268932044506072998e-03
1.045939199107897455e+00,1.015811879187822342e-02
1.046965305935485979e+00,9.566142223775386810e-03
1.047984166160158770e+00,7.739271502941846848e-03
1.048995881418911313e+00,1.088004186749458313e-02
1.050000551225361844e+00,9.129418060183525085e-03
1.050998273028490360e+00,8.574385195970535278e-03
1.051989142269360133e+00,7.270817644894123077e-03
1.052973252435906781e+00,9.238428436219692230e-03
1.053950695115868141e+00,9.159900248050689697e-03
1.054921560047935802e+00,7.812016177922487259e-03
1.055885935171196000e+00,1.014485862106084824e-02
1.056843906672928046e+00,1.487689465284347534e-02
1.057795559034827804e+00,6.955505814403295517e-03
1.058740975077715918e+00,1.087826211005449295e-02
1.059680236004790777e+00,1.041770540177822113e-02
1.060613421443481696e+00,9.877931326627731323e-02
1.061540609485959186e+00,1.898054778575897217e-02
1.062461876728349575e+00,7.562267780303955078e-02
1.063377298308706642e+00,2.810532413423061371e-02
1.064286947943786643e+00,1.787881366908550262e-02
1.065190897964669148e+00,1.164727192372083664e-02
1.066089219351271655e+00,8.882278576493263245e-03
1.066981981765793730e+00,7.613112218677997589e-03
1.067869253585134404e+00,7.345750462263822556e-03
1.068751101932317704e+00,7.154882885515689850e-03
1.069627592706965169e+00,6.334382109344005585e-03
1.070498790614845541e+00,7.049398496747016907e-03
1.071364759196540728e+00,6.764795631170272827e-03
1.072225560855254001e+00,5.367096979171037674e-03
1.073081256883795076e+00,5.872964859008789062e-03
1.073931907490769166e+00,5.572415422648191452e-03
1.074777571825997979e+00,6.292769219726324081e-03
1.075618308005200197e+00,6.069772411137819290e-03
1.076454173133958747e+00,6.221013609319925308e-03
1.077285223330994191e+00,6.596061866730451584e-03
1.078111513750774852e+00,6.225775461643934250e-03
1.078933098605481700e+00,4.550030920654535294e-03
1.079750031186351267e+00,4.718905780464410782e-03
1.080562363884418176e+00,5.203723907470703125e-03
1.081370148210677229e+00,4.681760910898447037e-03
1.082173434815682178e+00,4.621654748916625977e-03
