# Iterations, training_loss
0.000000000000000000e+00,4.553227871656417847e-02
1.956521739130434753e+03,3.341815993189811707e-02
3.913043478260869506e+03,1.920237205922603607e-02
5.869565217391304031e+03,1.468903385102748871e-02
7.826086956521739012e+03,9.793180041015148163e-03
9.782608695652173992e+03,6.202919408679008484e-03
1.173913043478260806e+04,4.443818237632513046e-03
1.369565217391304395e+04,4.196339286863803864e-03
1.565217391304347802e+04,4.527075216174125671e-03
1.760869565217391209e+04,2.116418210789561272e-03
1.956521739130434798e+04,2.514015184715390205e-03
2.152173913043478387e+04,2.011572010815143585e-03
2.347826086956521613e+04,1.863462384790182114e-03
2.543478260869565202e+04,1.669550896622240543e-03
2.739130434782608791e+04,1.030980492942035198e-03
2.934782608695652016e+04,1.407616888172924519e-03
3.130434782608695605e+04,3.060463350266218185e-03
3.326086956521739194e+04,2.023539040237665176e-03
3.521739130434782419e+04,2.831736928783357143e-04
3.717391304347826372e+04,1.450058422051370144e-03
3.913043478260869597e+04,1.423802925273776054e-03
4.108695652173912822e+04,2.238204702734947205e-03
4.304347826086956775e+04,2.501565031707286835e-03
4.500000000000000000e+04,2.252107020467519760e-03
