# kappa, training_loss
0.000000000000000000e+00,2.503371238708496094e-01
3.459693961276305574e-01,2.418343871831893921e-01
4.392592256734548783e-01,2.394053190946578979e-01
4.954475576719394314e-01,2.352860867977142334e-01
5.357833541187069226e-01,2.313259989023208618e-01
5.672708258486391930e-01,2.312231212854385376e-01
5.931021181581669355e-01,2.262587398290634155e-01
6.150031629758282437e-01,2.273930609226226807e-01
6.340135014870416086e-01,2.238951027393341064e-01
6.508080043645746438e-01,2.184736877679824829e-01
6.658497200142946548e-01,2.138468921184539795e-01
6.794701841118802044e-01,2.155001610517501831e-01
6.919149426879057652e-01,2.131725549697875977e-01
7.033709373178302915e-01,2.075960636138916016e-01
7.139837880255250901e-01,2.049747556447982788e-01
7.238691402706319833e-01,2.052814811468124390e-01
7.331203660185253712e-01,1.965725719928741455e-01
7.418139401764122232e-01,1.933045089244842529e-01
7.500132867188061825e-01,1.935217231512069702e-01
7.577715891605280030e-01,1.935518682003021240e-01
7.651338829908188588e-01,1.844828873872756958e-01
7.721386395472026321e-01,1.815634518861770630e-01
7.788189828034784989e-01,1.788076758384704590e-01
7.852036366580472659e-01,1.772909611463546753e-01
7.913176713224893133e-01,1.737083643674850464e-01
7.971830978646295973e-01,1.683128625154495239e-01
8.028193465310781152e-01,1.679590046405792236e-01
8.082436550889560145e-01,1.638009697198867798e-01
8.134713867647860308e-01,1.618155688047409058e-01
8.185162925622254670e-01,1.576308161020278931e-01
8.233907292416055013e-01,1.546140313148498535e-01
8.281058416610854733e-01,1.518874317407608032e-01
8.326717162505962166e-01,1.492087841033935547e-01
8.370975109347853493e-01,1.494048982858657837e-01
8.413915657129000802e-01,1.420487314462661743e-01
8.455614972516931616e-01,1.408977359533309937e-01
8.496142801871486849e-01,1.360519230365753174e-01
8.535563173149464111e-01,1.319610774517059326e-01
8.573935004435392360e-01,1.343213766813278198e-01
8.611312633618666279e-01,1.317894309759140015e-01
8.647746281169431670e-01,1.287924200296401978e-01
8.683282455903857944e-01,1.237182468175888062e-01
8.717964311964516710e-01,1.211142987012863159e-01
8.751831963889339372e-01,1.222067102789878845e-01
8.784922765538697442e-01,1.179552897810935974e-01
8.817271557744279509e-01,1.211351826786994934e-01
8.848910888796557295e-01,1.117249578237533569e-01
8.879871211269009246e-01,1.078697219491004944e-01
8.910181058162718326e-01,1.060946881771087646e-01
8.939867200925022406e-01,1.087886765599250793e-01
8.968954791535460602e-01,1.032013893127441406e-01
8.997467490548699542e-01,1.004595980048179626e-01
9.025427582727750808e-01,1.011050269007682800e-01
9.052856081683342548e-01,9.764511883258819580e-02
9.079772824750370619e-01,9.344792366027832031e-02
9.106196559174494221e-01,9.314343333244323730e-02
9.132145020546817982e-01,9.204857796430587769e-02
9.157635004308597448e-01,8.746962994337081909e-02
9.182682431047937133e-01,8.908104896545410156e-02
9.207302406224256996e-01,8.326321095228195190e-02
9.231509274881583016e-01,8.370178937911987305e-02
9.255316671846884891e-01,7.976824045181274414e-02
9.278737567853326818e-01,8.139831572771072388e-02
9.301784311979048869e-01,7.471899688243865967e-02
9.324468670749138655e-01,7.510289549827575684e-02
9.346801864210764199e-01,7.489949464797973633e-02
9.368794599258332134e-01,7.118242233991622925e-02
9.390457100456467421e-01,6.917639076709747314e-02
9.411799138582938040e-01,6.764765828847885132e-02
9.432830057090941800e-01,6.853491067886352539e-02
9.453558796670179509e-01,6.661084294319152832e-02
9.473993918068278619e-01,6.691494584083557129e-02
9.494143623318404002e-01,6.318074464797973633e-02
9.514015775504736094e-01,6.169828400015830994e-02
9.533617917185083224e-01,6.074064224958419800e-02
9.552957287578609513e-01,6.158800795674324036e-02
9.572040838616699965e-01,5.752541497349739075e-02
9.590875249946040348e-01,5.590812861919403076e-02
9.609466942964897118e-01,5.765966698527336121e-02
9.627822093966461603e-01,5.499247461557388306e-02
9.645946646456508011e-01,5.515209585428237915e-02
9.663846322706890479e-01,5.001259967684745789e-02
9.681526634601037573e-01,4.963493347167968750e-02
9.698992893822893091e-01,4.817346483469009399e-02
9.716250221436431023e-01,4.744396731257438660e-02
9.733303556898953435e-01,4.577111080288887024e-02
9.750157666547888402e-01,4.647858068346977234e-02
9.766817151597535496e-01,4.340767487883567810e-02
9.783286455679365279e-01,4.221166670322418213e-02
9.799569871956747003e-01,4.407924413681030273e-02
9.815671549842643895e-01,4.333221167325973511e-02
9.831595501346526156e-01,4.355014860630035400e-02
9.847345607074844409e-01,4.588066041469573975e-02
9.862925621907455698e-01,4.013901203870773315e-02
9.878339180370830919e-01,3.826267644762992859e-02
9.893589801727221689e-01,3.865924477577209473e-02
9.908680894797669003e-01,3.792344033718109131e-02
9.923615762535339391e-01,3.601944074034690857e-02
9.938397606364572923e-01,3.659831732511520386e-02
9.953029530299875027e-01,3.526059165596961975e-02
9.967514544858131487e-01,3.535611927509307861e-02
9.981855570776360098e-01,3.391831368207931519e-02
9.996055442546505354e-01,3.237842395901679993e-02
1.001011691177794427e+00,3.487253934144973755e-02
1.002404265039772202e+00,3.299602866172790527e-02
1.003783525369779106e+00,3.196871280670166016e-02
1.005149724323797011e+00,2.872384898364543915e-02
1.006503106961273541e+00,2.981678768992424011e-02
1.007843911508942147e+00,2.918638847768306732e-02
1.009172369612498343e+00,3.120839037001132965e-02
1.010488706576790685e+00,2.815359830856323242e-02
1.011793141595154877e+00,2.951188385486602783e-02
1.013085887968471654e+00,2.636175043880939484e-02
1.014367153314497116e+00,2.556437626481056213e-02
1.015637139767980424e+00,2.589237876236438751e-02
1.016896044172046931e+00,2.494446747004985809e-02
1.018144058261307494e+00,2.421104907989501953e-02
1.019381368837111390e+00,2.654601261019706726e-02
1.020608157935350091e+00,2.463455311954021454e-02
1.021824602987186914e+00,2.309744060039520264e-02
1.023030876973063830e+00,2.330904453992843628e-02
1.024227148570326706e+00,2.300836890935897827e-02
1.025413582294777859e+00,2.224053069949150085e-02
1.026590338636456323e+00,2.114981599152088165e-02
1.027757574189925638e+00,2.174610272049903870e-02
1.028915441779331585e+00,2.046213857829570770e-02
1.030064090578483471e+00,2.085132896900177002e-02
1.031203666226190974e+00,2.075036056339740753e-02
1.032334310937082611e+00,1.939124241471290588e-02
1.033456163608114320e+00,1.968006975948810577e-02
1.034569359920969767e+00,2.062367461621761322e-02
1.035674032440540016e+00,2.065258286893367767e-02
1.036770310709660192e+00,1.817444711923599243e-02
1.037858321340276113e+00,1.971079967916011810e-02
1.038938188101196092e+00,1.898349449038505554e-02
1.040010032002585794e+00,1.796751283109188080e-02
1.041073971377344698e+00,1.678457483649253845e-02
1.042130121959506717e+00,1.703836210072040558e-02
1.043178596959788651e+00,1.660651713609695435e-02
1.044219507138415493e+00,1.656882278621196747e-02
1.045252960875337367e+00,1.571385562419891357e-02
1.046279064237946921e+00,1.587574556469917297e-02
1.047297921046409508e+00,1.556028798222541809e-02
1.048309632936697433e+00,1.483745500445365906e-02
1.049314299421435281e+00,1.515994872897863388e-02
1.050312017948636267e+00,1.508810278028249741e-02
1.051302883958423751e+00,1.426442898809909821e-02
1.052286990937818301e+00,1.470798067748546600e-02
1.053264430473668467e+00,1.303578913211822510e-02
1.054235292303799643e+00,1.386168412864208221e-02
1.055199664366454737e+00,1.341323461383581161e-02
1.056157632848092831e+00,1.334220916032791138e-02
1.057109282229610869e+00,1.381335686892271042e-02
1.058054695331050787e+00,1.286119595170021057e-02
1.058993953354853579e+00,1.333837211132049561e-02
1.059927135927709818e+00,1.191670354455709457e-02
1.060854321141070367e+00,1.201445609331130981e-02
