# kappa, training_loss
0.000000000000000000e+00,2.501710355281829834e-01
3.459693961276305574e-01,2.433190643787384033e-01
4.392592256734548783e-01,2.405930161476135254e-01
4.954475576719394314e-01,2.366676032543182373e-01
5.357833541187069226e-01,2.367621809244155884e-01
5.672708258486391930e-01,2.340236455202102661e-01
5.931021181581669355e-01,2.344722598791122437e-01
6.150031629758282437e-01,2.298385351896286011e-01
6.340135014870416086e-01,2.272002696990966797e-01
6.508080043645746438e-01,2.260606586933135986e-01
6.658497200142946548e-01,2.261599451303482056e-01
6.794701841118802044e-01,2.245277613401412964e-01
6.919149426879057652e-01,2.236133515834808350e-01
7.033709373178302915e-01,2.236692011356353760e-01
7.139837880255250901e-01,2.194005846977233887e-01
7.238691402706319833e-01,2.212839871644973755e-01
7.331203660185253712e-01,2.199212312698364258e-01
7.418139401764122232e-01,2.186132967472076416e-01
7.500132867188061825e-01,2.189655303955078125e-01
7.577715891605280030e-01,2.179752588272094727e-01
7.651338829908188588e-01,2.153011858463287354e-01
7.721386395472026321e-01,2.158505022525787354e-01
7.788189828034784989e-01,2.134579122066497803e-01
7.852036366580472659e-01,2.153937816619873047e-01
7.913176713224893133e-01,2.116348296403884888e-01
7.971830978646295973e-01,2.092594057321548462e-01
8.028193465310781152e-01,2.109590768814086914e-01
8.082436550889560145e-01,2.093321382999420166e-01
8.134713867647860308e-01,2.113396227359771729e-01
8.185162925622254670e-01,2.080499678850173950e-01
8.233907292416055013e-01,2.063493430614471436e-01
8.281058416610854733e-01,2.046182304620742798e-01
8.326717162505962166e-01,2.041482627391815186e-01
8.370975109347853493e-01,2.028464078903198242e-01
8.413915657129000802e-01,2.036389857530593872e-01
8.455614972516931616e-01,2.045229524374008179e-01
8.496142801871486849e-01,2.025949507951736450e-01
8.535563173149464111e-01,2.016245424747467041e-01
8.573935004435392360e-01,2.017494589090347290e-01
8.611312633618666279e-01,1.994983702898025513e-01
8.647746281169431670e-01,1.998955607414245605e-01
8.683282455903857944e-01,2.022791951894760132e-01
8.717964311964516710e-01,2.008827030658721924e-01
8.751831963889339372e-01,1.992975771427154541e-01
8.784922765538697442e-01,1.998792290687561035e-01
8.817271557744279509e-01,1.965267956256866455e-01
8.848910888796557295e-01,1.995017230510711670e-01
8.879871211269009246e-01,1.925469636917114258e-01
8.910181058162718326e-01,1.974223107099533081e-01
8.939867200925022406e-01,1.955763995647430420e-01
8.968954791535460602e-01,1.969435513019561768e-01
8.997467490548699542e-01,1.952694207429885864e-01
9.025427582727750808e-01,1.941073089838027954e-01
9.052856081683342548e-01,1.956567466259002686e-01
9.079772824750370619e-01,1.912838518619537354e-01
9.106196559174494221e-01,1.907272040843963623e-01
9.132145020546817982e-01,1.920541375875473022e-01
9.157635004308597448e-01,1.944505572319030762e-01
9.182682431047937133e-01,1.876059472560882568e-01
9.207302406224256996e-01,1.917972564697265625e-01
9.231509274881583016e-01,1.890819668769836426e-01
9.255316671846884891e-01,1.862012147903442383e-01
9.278737567853326818e-01,1.891237795352935791e-01
9.301784311979048869e-01,1.876674592494964600e-01
9.324468670749138655e-01,1.861589550971984863e-01
9.346801864210764199e-01,1.893617808818817139e-01
9.368794599258332134e-01,1.860778331756591797e-01
9.390457100456467421e-01,1.828776299953460693e-01
9.411799138582938040e-01,1.851089000701904297e-01
9.432830057090941800e-01,1.850755959749221802e-01
9.453558796670179509e-01,1.856432408094406128e-01
9.473993918068278619e-01,1.839293092489242554e-01
9.494143623318404002e-01,1.845320016145706177e-01
9.514015775504736094e-01,1.863295584917068481e-01
9.533617917185083224e-01,1.827388852834701538e-01
9.552957287578609513e-01,1.846982836723327637e-01
9.572040838616699965e-01,1.841185837984085083e-01
9.590875249946040348e-01,1.841783374547958374e-01
9.609466942964897118e-01,1.813808232545852661e-01
9.627822093966461603e-01,1.804228574037551880e-01
9.645946646456508011e-01,1.797325313091278076e-01
9.663846322706890479e-01,1.769295334815979004e-01
9.681526634601037573e-01,1.807418465614318848e-01
9.698992893822893091e-01,1.801601499319076538e-01
9.716250221436431023e-01,1.753900796175003052e-01
9.733303556898953435e-01,1.800287216901779175e-01
9.750157666547888402e-01,1.756991893053054810e-01
9.766817151597535496e-01,1.776037514209747314e-01
9.783286455679365279e-01,1.734204888343811035e-01
9.799569871956747003e-01,1.793954968452453613e-01
9.815671549842643895e-01,1.762960702180862427e-01
9.831595501346526156e-01,1.762717068195343018e-01
