# Iterations, accuracy
0.000000000000000000e+00,6.133333444595336914e-01
1.956521739130434753e+03,6.140000224113464355e-01
3.913043478260869506e+03,6.149444580078125000e-01
5.869565217391304031e+03,6.146110892295837402e-01
7.826086956521739012e+03,6.150555610656738281e-01
9.782608695652173992e+03,6.154444217681884766e-01
1.173913043478260806e+04,6.155555844306945801e-01
1.369565217391304395e+04,6.132222414016723633e-01
1.565217391304347802e+04,6.135555505752563477e-01
1.760869565217391209e+04,6.133333444595336914e-01
1.956521739130434798e+04,6.112777590751647949e-01
2.152173913043478387e+04,6.115555763244628906e-01
2.347826086956521613e+04,6.105555891990661621e-01
2.543478260869565202e+04,6.104444265365600586e-01
2.739130434782608791e+04,6.100555658340454102e-01
2.934782608695652016e+04,6.097778081893920898e-01
3.130434782608695605e+04,6.094999909400939941e-01
3.326086956521739194e+04,6.090000271797180176e-01
3.521739130434782419e+04,6.090000271797180176e-01
3.717391304347826372e+04,6.085555553436279297e-01
3.913043478260869597e+04,6.095555424690246582e-01
4.108695652173912822e+04,6.087777614593505859e-01
4.304347826086956775e+04,6.083889007568359375e-01
4.500000000000000000e+04,6.090000271797180176e-01
