# Iterations, accuracy
0.000000000000000000e+00,8.549444675445556641e-01
5.217391304347826008e+03,8.506667017936706543e-01
1.043478260869565202e+04,8.497222065925598145e-01
1.565217391304347802e+04,8.493888974189758301e-01
2.086956521739130403e+04,8.483333587646484375e-01
2.608695652173912822e+04,8.483333587646484375e-01
3.130434782608695605e+04,8.482778072357177734e-01
3.652173913043478387e+04,8.479444384574890137e-01
4.173913043478260806e+04,8.472222089767456055e-01
4.695652173913043225e+04,8.473889231681823730e-01
5.217391304347825644e+04,8.471111059188842773e-01
5.739130434782608791e+04,8.472222089767456055e-01
6.260869565217391209e+04,8.471111059188842773e-01
6.782608695652174356e+04,8.475000262260437012e-01
7.304347826086956775e+04,8.469444513320922852e-01
7.826086956521739194e+04,8.468888998031616211e-01
8.347826086956521613e+04,8.467222452163696289e-01
8.869565217391304031e+04,8.469444513320922852e-01
9.391304347826086450e+04,8.478333353996276855e-01
9.913043478260868869e+04,8.468888998031616211e-01
1.043478260869565129e+05,8.470000028610229492e-01
1.095652173913043516e+05,8.470000028610229492e-01
1.147826086956521758e+05,8.467222452163696289e-01
1.200000000000000000e+05,8.470000028610229492e-01
