# Iterations, training_loss
0.000000000000000000e+00,8.784182369709014893e-02
5.217391304347826008e+03,4.341059923171997070e-02
1.043478260869565202e+04,5.293687339872121811e-03
1.565217391304347802e+04,7.457866449840366840e-04
2.086956521739130403e+04,3.133360296487808228e-04
2.608695652173912822e+04,3.448510775342583656e-03
3.130434782608695605e+04,2.132891444489359856e-03
3.652173913043478387e+04,1.555479946546256542e-03
4.173913043478260806e+04,8.737765019759535789e-04
4.695652173913043225e+04,1.271977438591420650e-03
5.217391304347825644e+04,8.133093942888081074e-04
5.739130434782608791e+04,3.750969481188803911e-04
6.260869565217391209e+04,3.905145276803523302e-04
6.782608695652174356e+04,4.290741344448179007e-04
7.304347826086956775e+04,7.452955469489097595e-04
7.826086956521739194e+04,9.457608684897422791e-04
8.347826086956521613e+04,3.424982714932411909e-04
8.869565217391304031e+04,2.942972059827297926e-04
9.391304347826086450e+04,1.142780296504497528e-03
9.913043478260868869e+04,5.917538655921816826e-04
1.043478260869565129e+05,4.413088390720076859e-05
1.095652173913043516e+05,8.401264203712344170e-04
1.147826086956521758e+05,3.080119204241782427e-04
1.200000000000000000e+05,2.826574782375246286e-04
