# Iterations, accuracy
0.000000000000000000e+00,7.328333258628845215e-01
5.217391304347826008e+03,7.339444756507873535e-01
1.043478260869565202e+04,7.320555448532104492e-01
1.565217391304347802e+04,7.321666479110717773e-01
2.086956521739130403e+04,7.312222123146057129e-01
2.608695652173912822e+04,7.322222590446472168e-01
3.130434782608695605e+04,7.320555448532104492e-01
3.652173913043478387e+04,7.322778105735778809e-01
4.173913043478260806e+04,7.318888902664184570e-01
4.695652173913043225e+04,7.320555448532104492e-01
5.217391304347825644e+04,7.322222590446472168e-01
5.739130434782608791e+04,7.322222590446472168e-01
6.260869565217391209e+04,7.322222590446472168e-01
6.782608695652174356e+04,7.322222590446472168e-01
7.304347826086956775e+04,7.318333387374877930e-01
7.826086956521739194e+04,7.322778105735778809e-01
8.347826086956521613e+04,7.318888902664184570e-01
8.869565217391304031e+04,7.318333387374877930e-01
9.391304347826086450e+04,7.315000295639038086e-01
9.913043478260868869e+04,7.317222356796264648e-01
1.043478260869565129e+05,7.317222356796264648e-01
1.095652173913043516e+05,7.315000295639038086e-01
1.147826086956521758e+05,7.319444417953491211e-01
1.200000000000000000e+05,7.314444780349731445e-01
