# kappa, training_loss
0.000000000000000000e+00,2.496942579746246338e-01
3.459529989052302357e-01,2.279312312602996826e-01
4.392420477331941964e-01,2.247668206691741943e-01
4.954301027049947126e-01,2.210230976343154907e-01
5.357657572604992424e-01,2.152811288833618164e-01
5.672531427429510220e-01,2.131530344486236572e-01
5.930843770829244965e-01,2.097137123346328735e-01
6.149853802605150799e-01,2.117621898651123047e-01
6.339956874131742470e-01,2.070743143558502197e-01
6.507901658241531662e-01,2.022037804126739502e-01
6.658318618521880117e-01,1.990486532449722290e-01
6.794523098635315561e-01,2.023262083530426025e-01
6.918970550122011121e-01,1.975579857826232910e-01
7.033530382647495971e-01,1.985446959733963013e-01
7.139658792088824368e-01,1.908755004405975342e-01
7.238512229836153722e-01,1.949190348386764526e-01
7.331024413133562234e-01,1.908259093761444092e-01
7.417960089207111807e-01,1.898382902145385742e-01
7.499953496363896965e-01,1.908936649560928345e-01
7.577536468615237997e-01,1.873136907815933228e-01
7.651159359942906191e-01,1.929044574499130249e-01
7.721206882984135156e-01,1.844391375780105591e-01
7.788010276872487925e-01,1.868284195661544800e-01
7.851856780092205668e-01,1.881034374237060547e-01
7.912997094342272275e-01,1.834135651588439941e-01
7.971651329950548703e-01,1.862157881259918213e-01
8.028013789086438923e-01,1.843425333499908447e-01
8.082256849168252266e-01,1.842626035213470459e-01
8.134534142244321808e-01,1.817207932472229004e-01
8.184983178164128015e-01,1.795366406440734863e-01
8.233727524368762429e-01,1.809516400098800659e-01
8.280878629298460414e-01,1.775797456502914429e-01
8.326537357128782624e-01,1.802088767290115356e-01
8.370795286997417817e-01,1.760720312595367432e-01
8.413735818800809341e-01,1.759537905454635620e-01
8.455435119121397225e-01,1.718364953994750977e-01
8.495962934243364018e-01,1.718342453241348267e-01
8.535383292056011317e-01,1.742478162050247192e-01
8.573755110583449746e-01,1.690955609083175659e-01
8.611132727660842923e-01,1.728442013263702393e-01
8.647566363709511261e-01,1.772112846374511719e-01
8.683102527501554979e-01,1.669289171695709229e-01
8.717784373139659815e-01,1.688782125711441040e-01
8.751652015125571671e-01,1.660465896129608154e-01
8.784742807286763933e-01,1.682168245315551758e-01
8.817091590424943615e-01,1.659452319145202637e-01
8.848730912803197679e-01,1.645679473876953125e-01
8.879691226969949058e-01,1.647545695304870605e-01
8.910001065903309092e-01,1.623302400112152100e-01
8.939687201029515862e-01,1.634032279253005981e-01
8.968774784308689574e-01,1.640917062759399414e-01
8.997287476277603391e-01,1.621758341789245605e-01
9.025247561682743225e-01,1.636297702789306641e-01
9.052676054119563887e-01,1.644731163978576660e-01
9.079592790908810329e-01,1.601188629865646362e-01
9.106016519283018917e-01,1.614275872707366943e-01
9.131964974821112913e-01,1.600367575883865356e-01
9.157454952953014704e-01,1.601450294256210327e-01
9.182502374256273914e-01,1.559897810220718384e-01
9.207122344180477258e-01,1.585808992385864258e-01
9.231329207760463618e-01,1.633258908987045288e-01
9.255136599814626219e-01,1.590156406164169312e-01
9.278557491068095686e-01,1.578689664602279663e-01
9.301604230591494771e-01,1.551242768764495850e-01
9.324288584902861166e-01,1.539045274257659912e-01
9.346621774042743747e-01,1.569967418909072876e-01
9.368614504899331896e-01,1.512475311756134033e-01
9.390277002031405251e-01,1.529393196105957031e-01
9.411619036211228417e-01,1.556139141321182251e-01
9.432649950886814461e-01,1.560108512639999390e-01
9.453378686742974768e-01,1.541559994220733643e-01
9.473813804522726034e-01,1.476663202047348022e-01
9.493963506254873286e-01,1.496491134166717529e-01
9.513835655019478033e-01,1.475933045148849487e-01
9.533437793370453939e-01,1.522289365530014038e-01
9.552777160523271416e-01,1.521538048982620239e-01
9.571860708405824925e-01,1.548975557088851929e-01
9.590695116661481778e-01,1.451993137598037720e-01
9.609286806685369831e-01,1.470237374305725098e-01
9.627641954767689469e-01,1.502096205949783325e-01
9.645766504411380504e-01,1.525067239999771118e-01
9.663666177885603670e-01,1.485070884227752686e-01
9.681346487071217366e-01,1.447215080261230469e-01
9.698812743649728452e-01,1.454860121011734009e-01
9.716070068682783889e-01,1.462970674037933350e-01
9.733123401625469739e-01,1.475484222173690796e-01
9.749977508813100213e-01,1.478419154882431030e-01
9.766636991457959827e-01,1.467880606651306152e-01
9.783106293189595126e-01,1.455168426036834717e-01
9.799389707169536834e-01,1.470360755920410156e-01
9.815491382808988474e-01,1.416383087635040283e-01
9.831415332115747141e-01,1.471241414546966553e-01
9.847165435694651414e-01,1.383128166198730469e-01
9.862745448424025119e-01,1.398498564958572388e-01
9.878159004828862555e-01,1.477556079626083374e-01
9.893409624170008687e-01,1.431550532579421997e-01
9.908500715267151149e-01,1.356693506240844727e-01
9.923435581072161948e-01,1.435797512531280518e-01
9.938217423008138818e-01,1.364590227603912354e-01
9.952849345088391475e-01,1.383739411830902100e-01
9.967334357828663283e-01,1.395574957132339478e-01
9.981675381964872917e-01,1.410870403051376343e-01
