# kappa, training_loss
0.000000000000000000e+00,2.502429187297821045e-01
3.459768928973513402e-01,1.782910078763961792e-01
4.392670793544951047e-01,1.683811694383621216e-01
4.954555379972339080e-01,1.607868075370788574e-01
5.357913993102262351e-01,1.609991043806076050e-01
5.672789104685340700e-01,1.598291099071502686e-01
5.931102292790526587e-01,1.539744436740875244e-01
6.150112931326130461e-01,1.494929641485214233e-01
6.340216459794901782e-01,1.459271609783172607e-01
6.508161600419836157e-01,1.503741592168807983e-01
6.658578846618153912e-01,1.440875679254531860e-01
6.794783561132732297e-01,1.435474306344985962e-01
6.919231208276525047e-01,1.463786214590072632e-01
7.033791206587758360e-01,1.434499472379684448e-01
7.139919758299098085e-01,1.400915831327438354e-01
7.238773319472707746e-01,1.347995400428771973e-01
7.331285610863922386e-01,1.361209601163864136e-01
7.418221382388717755e-01,1.385915279388427734e-01
7.500214874449637747e-01,1.330695301294326782e-01
7.577797922714620826e-01,1.346471458673477173e-01
7.651420882492380171e-01,1.330039203166961670e-01
7.721468467495533616e-01,1.317400485277175903e-01
7.788271917738393002e-01,1.281200200319290161e-01
7.852118472433436969e-01,1.232879310846328735e-01
7.913258833887013566e-01,1.256652176380157471e-01
7.971913112937561996e-01,1.276841014623641968e-01
8.028275612186811516e-01,1.249624937772750854e-01
8.082518709421588898e-01,1.267437487840652466e-01
8.134796037006279956e-01,1.266530603170394897e-01
8.185245105062981530e-01,1.273737549781799316e-01
8.233989481269167188e-01,1.174044758081436157e-01
8.281140614271055300e-01,1.266153007745742798e-01
8.326799368424521175e-01,1.180130988359451294e-01
8.371057323025777874e-01,1.181360259652137756e-01
8.413997878111193485e-01,1.202088594436645508e-01
8.455697200387194412e-01,1.141297593712806702e-01
8.496225036248209461e-01,1.178796589374542236e-01
8.535645413681895999e-01,1.162165328860282898e-01
8.574017250800395340e-01,1.184366866946220398e-01
8.611394885517903441e-01,1.172703951597213745e-01
8.647828538326878256e-01,1.194427162408828735e-01
8.683364718063639742e-01,1.196397244930267334e-01
