# kappa, training_loss
0.000000000000000000e+00,2.502995431423187256e-01
3.459768928973513402e-01,1.918521225452423096e-01
4.392670793544951047e-01,1.751913875341415405e-01
4.954555379972339080e-01,1.680159270763397217e-01
5.357913993102262351e-01,1.592223644256591797e-01
5.672789104685340700e-01,1.569298803806304932e-01
5.931102292790526587e-01,1.549598574638366699e-01
6.150112931326130461e-01,1.457689553499221802e-01
6.340216459794901782e-01,1.482073962688446045e-01
6.508161600419836157e-01,1.389937400817871094e-01
6.658578846618153912e-01,1.379583626985549927e-01
6.794783561132732297e-01,1.351279020309448242e-01
6.919231208276525047e-01,1.369969397783279419e-01
7.033791206587758360e-01,1.310912966728210449e-01
7.139919758299098085e-01,1.229398623108863831e-01
7.238773319472707746e-01,1.236593201756477356e-01
7.331285610863922386e-01,1.248093023896217346e-01
7.418221382388717755e-01,1.164928749203681946e-01
7.500214874449637747e-01,1.165193468332290649e-01
7.577797922714620826e-01,1.166294217109680176e-01
7.651420882492380171e-01,1.129667609930038452e-01
7.721468467495533616e-01,1.118086948990821838e-01
7.788271917738393002e-01,1.034947037696838379e-01
7.852118472433436969e-01,1.022049635648727417e-01
7.913258833887013566e-01,9.678968042135238647e-02
7.971913112937561996e-01,1.012374237179756165e-01
8.028275612186811516e-01,9.795875102281570435e-02
8.082518709421588898e-01,9.086848050355911255e-02
8.134796037006279956e-01,9.396892040967941284e-02
8.185245105062981530e-01,9.448290616273880005e-02
8.233989481269167188e-01,8.887490630149841309e-02
8.281140614271055300e-01,9.271440654993057251e-02
8.326799368424521175e-01,8.346059918403625488e-02
8.371057323025777874e-01,8.536761254072189331e-02
8.413997878111193485e-01,8.630049228668212891e-02
8.455697200387194412e-01,7.847229391336441040e-02
8.496225036248209461e-01,8.029858022928237915e-02
8.535645413681895999e-01,8.149117231369018555e-02
8.574017250800395340e-01,7.828208059072494507e-02
8.611394885517903441e-01,7.831295579671859741e-02
8.647828538326878256e-01,7.391567528247833252e-02
8.683364718063639742e-01,7.433088868856430054e-02
8.718046578888993814e-01,7.010097801685333252e-02
8.751914235357411975e-01,7.518260180950164795e-02
8.785005041344305932e-01,6.169788166880607605e-02
8.817353837695073304e-01,6.342685967683792114e-02
8.848993172712700250e-01,6.360181421041488647e-02
8.879953498982122717e-01,6.600835174322128296e-02
8.910263349514923048e-01,6.427510082721710205e-02
8.939949495768086951e-01,6.095324456691741943e-02
8.969037089730028667e-01,5.947725102305412292e-02
8.997549791963597166e-01,5.897991731762886047e-02
9.025509887239356877e-01,5.732440203428268433e-02
9.052938389175020362e-01,5.894717946648597717e-02
9.079855135111951636e-01,5.985860899090766907e-02
9.106278872301805105e-01,5.537278205156326294e-02
9.132227336341262047e-01,5.025338008999824524e-02
9.157717322676753868e-01,5.431613698601722717e-02
9.182764751901208999e-01,4.897300153970718384e-02
9.207384729478547136e-01,5.099936202168464661e-02
9.231591600456988678e-01,5.443703010678291321e-02
9.255398999667429072e-01,4.634960368275642395e-02
9.278819897846701803e-01,5.058915540575981140e-02
9.301866644076385304e-01,4.713990166783332825e-02
9.324551004884792382e-01,4.305045679211616516e-02
9.346884200322113090e-01,4.778738692402839661e-02
9.368876937285596229e-01,4.505580663681030273e-02
9.390539440342541289e-01,3.989876061677932739e-02
9.411881480273230904e-01,3.931748494505882263e-02
9.432912400533232100e-01,4.528072103857994080e-02
9.453641141814481674e-01,4.410053044557571411e-02
9.474076264866718722e-01,3.960977494716644287e-02
9.494225971725094304e-01,3.870580717921257019e-02
9.514098125475676238e-01,3.481117263436317444e-02
9.533700268678054757e-01,3.830631822347640991e-02
9.553039640553077083e-01,3.696096315979957581e-02
9.572123193033730271e-01,3.492510691285133362e-02
9.590957605768208882e-01,3.747446462512016296e-02
9.609549300156224882e-01,3.727103397250175476e-02
9.627904452492327403e-01,3.443811833858489990e-02
9.646029006283590723e-01,3.800508379936218262e-02
9.663928683803102437e-01,3.148952499032020569e-02
9.681608996935460176e-01,3.201783448457717896e-02
9.699075257365726843e-01,3.479032218456268311e-02
9.716332586158936691e-01,2.838770113885402679e-02
9.733385922773408749e-01,2.959740906953811646e-02
9.750240033547533658e-01,2.703535743057727814e-02
9.766899519696535803e-01,2.875343523919582367e-02
9.783368824852761714e-01,2.768554911017417908e-02
9.799652242180425521e-01,2.729882672429084778e-02
9.815753921093287593e-01,2.944298833608627319e-02
9.831677873601589734e-01,2.942333370447158813e-02
9.847427980312516427e-01,2.571258880198001862e-02
9.863007996106629705e-01,2.531323768198490143e-02
9.878421555511067709e-01,2.563941106200218201e-02
9.893672177788732647e-01,2.600361779332160950e-02
9.908763271761280578e-01,2.541416138410568237e-02
9.923698140382470889e-01,2.469166927039623260e-02
9.938479985077210976e-01,2.572270110249519348e-02
9.953111909860552498e-01,2.513415925204753876e-02
9.967596925249904150e-01,2.415247634053230286e-02
9.981937951982788881e-01,2.220391854643821716e-02
9.996137824551629691e-01,2.259422279894351959e-02
1.001019929456627100e+00,2.295158058404922485e-02
1.002412503395420540e+00,1.981392875313758850e-02
1.003791763800781167e+00,2.129891514778137207e-02
1.005157962828732598e+00,2.294128201901912689e-02
1.006511345538761759e+00,2.064047940075397491e-02
1.007852150157640958e+00,2.077867835760116577e-02
1.009180608331102125e+00,2.043611183762550354e-02
1.010496945364029564e+00,2.121478505432605743e-02
1.011801380449793397e+00,1.880239136517047882e-02
1.013094126889307223e+00,2.015354298055171967e-02
1.014375392300359335e+00,1.841566339135169983e-02
1.015645378817729094e+00,1.768801361322402954e-02
1.016904283284572275e+00,1.660767942667007446e-02
1.018152297435527931e+00,1.890583336353302002e-02
1.019389608071973319e+00,1.618570089340209961e-02
1.020616397229826777e+00,1.797926053404808044e-02
1.021832842340276937e+00,1.666918769478797913e-02
1.023039116383791081e+00,1.746153645217418671e-02
1.024235388037739503e+00,1.759886741638183594e-02
1.025421821817947610e+00,1.735913753509521484e-02
1.026598578214477087e+00,1.579438522458076477e-02
1.027765813821913454e+00,1.338159851729869843e-02
1.028923681464423812e+00,1.625773124396800995e-02
1.030072330315837670e+00,1.543961837887763977e-02
1.031211906014984914e+00,1.366107910871505737e-02
1.032342550776512935e+00,1.578894630074501038e-02
1.033464403497396544e+00,1.524564530700445175e-02
1.034577599859337838e+00,1.403213106095790863e-02
1.035682272427244976e+00,1.202261820435523987e-02
1.036778550743970184e+00,1.229011267423629761e-02
1.037866561421475931e+00,1.320466212928295135e-02
1.038946428228586294e+00,1.325153745710849762e-02
1.040018272175482483e+00,1.331127621233463287e-02
1.041082211595079521e+00,1.182196848094463348e-02
1.042138362221425307e+00,1.513771153986454010e-02
1.043186837265251077e+00,1.284678932279348373e-02
1.044227747486796032e+00,1.330504659563302994e-02
1.045261201266022733e+00,1.219226699322462082e-02
1.046287304670338036e+00,9.879874065518379211e-03
1.047306161519918843e+00,9.860883466899394989e-03
1.048317873450751003e+00,1.160708814859390259e-02
1.049322539975469981e+00,1.352796889841556549e-02
1.050320258542100982e+00,1.019875798374414444e-02
1.051311124590778689e+00,1.074348576366901398e-02
1.052295231608534776e+00,1.087582483887672424e-02
1.053272671182228448e+00,9.584414772689342499e-03
1.054243533049695314e+00,1.025915145874023438e-02
1.055207905149188941e+00,1.248359307646751404e-02
1.056165873667177735e+00,8.825263939797878265e-03
1.057117523084568411e+00,9.676109068095684052e-03
1.058062936221412675e+00,1.013474166393280029e-02
1.059002194280159959e+00,1.022734306752681732e-02
1.059935376887510161e+00,1.008767914026975632e-02
1.060862562134923026e+00,9.676759131252765656e-03
1.061783826617832105e+00,8.837950415909290314e-03
1.062699245473616161e+00,8.911076001822948456e-03
1.063608892418372864e+00,8.794894441962242126e-03
1.064512839782540299e+00,8.832096122205257416e-03
1.065411158545409798e+00,8.428589440882205963e-03
1.066303918368570525e+00,8.767630904912948608e-03
1.067191187628326432e+00,7.951432839035987854e-03
1.068073033447120679e+00,1.001980062574148178e-02
1.068949521724007479e+00,7.252668030560016632e-03
1.069820717164202906e+00,6.641308311372995377e-03
1.070686683307748410e+00,7.061323616653680801e-03
1.071547482557320352e+00,7.796028163284063339e-03
1.072403176205213748e+00,8.188559673726558685e-03
1.073253824459531325e+00,7.809911388903856277e-03
1.074099486469603848e+00,8.293906226754188538e-03
1.074940220350671272e+00,6.998969241976737976e-03
1.075776083207847567e+00,9.030250832438468933e-03
1.076607131159395880e+00,6.852092687040567398e-03
1.077433419359337785e+00,8.026972413063049316e-03
1.078255002019416819e+00,6.909869145601987839e-03
1.079071932430442526e+00,8.122828789055347443e-03
1.079884262983032306e+00,9.481403976678848267e-03
1.080692045187772621e+00,7.705741561949253082e-03
1.081495329694818430e+00,7.755788508802652359e-03
1.082294166312951944e+00,7.739639375358819962e-03
1.083088604028113799e+00,6.094719283282756805e-03
1.083878691021429974e+00,7.016384508460760117e-03
1.084664474686744207e+00,6.717818323522806168e-03
1.085446001647679237e+00,6.934013217687606812e-03
1.086223317774235309e+00,7.353812456130981445e-03
1.086996468198945465e+00,6.797033362090587616e-03
1.087765497332600750e+00,5.512041971087455750e-03
1.088530448879556634e+00,6.582301575690507889e-03
1.089291365852637750e+00,6.728698499500751495e-03
1.090048290587650071e+00,5.370500497519969940e-03
1.090801264757515598e+00,6.334535777568817139e-03
1.091550329386040019e+00,5.434397608041763306e-03
1.092295524861322642e+00,5.338122602552175522e-03
1.093036890948825723e+00,4.525189287960529327e-03
1.093774466804105616e+00,7.064050063490867615e-03
1.094508290985222843e+00,6.290792021900415421e-03
1.095238401464837530e+00,6.766909733414649963e-03
1.095964835641999313e+00,7.578507531434297562e-03
1.096687630353643250e+00,6.959482561796903610e-03
1.097406821885798189e+00,5.436899606138467789e-03
1.098122445984518025e+00,6.744721438735723495e-03
1.098834537866542727e+00,5.017057992517948151e-03
1.099543132229696241e+00,5.739362444728612900e-03
1.100248263263033932e+00,4.573085810989141464e-03
1.100949964656738445e+00,5.134954582899808884e-03
1.101648269611780639e+00,4.123751539736986160e-03
1.102343210849344501e+00,4.578349646180868149e-03
1.103034820620026890e+00,5.366518162190914154e-03
1.103723130712820133e+00,6.734602153301239014e-03
1.104408172463877458e+00,4.433384630829095840e-03
1.105089976765075033e+00,4.974389914423227310e-03
1.105768574072369947e+00,3.732400480657815933e-03
1.106443994413963683e+00,5.503738299012184143e-03
1.107116267398275955e+00,3.366499906405806541e-03
1.107785422221732263e+00,5.642969161272048950e-03
1.108451487676372471e+00,5.950664170086383820e-03
1.109114492157284415e+00,5.577430129051208496e-03
1.109774463669867650e+00,4.618493374437093735e-03
1.110431429836931549e+00,4.467094317078590393e-03
1.111085417905633088e+00,3.495968878269195557e-03
1.111736454754256975e+00,3.027278231456875801e-03
1.112384566898843685e+00,4.044230096042156219e-03
1.113029780499671828e+00,5.510634277015924454e-03
1.113672121367591528e+00,4.159658681601285934e-03
1.114311614970221909e+00,4.309860058128833771e-03
1.114948286438008695e+00,4.793552216142416000e-03
1.115582160570151027e+00,3.210311057046055794e-03
1.116213261840397042e+00,4.947239533066749573e-03
1.116841614402713789e+00,5.591807421296834946e-03
1.117467242096834124e+00,3.529655747115612030e-03
1.118090168453684363e+00,4.159861244261264801e-03
1.118710416700694266e+00,5.433107260614633560e-03
1.119328009766994647e+00,4.426719155162572861e-03
1.119942970288502870e+00,4.330450203269720078e-03
1.120555320612901307e+00,4.596187267452478409e-03
1.121165082804510327e+00,6.274988409131765366e-03
1.121772278649059151e+00,2.819355344399809837e-03
1.122376929658354561e+00,3.419714514166116714e-03
1.122979057074856790e+00,2.882656175643205643e-03
1.123578681876155061e+00,5.242249462753534317e-03
1.124175824779354071e+00,4.229125101119279861e-03
1.124770506245368340e+00,6.236690562218427658e-03
1.125362746483129284e+00,4.469187930226325989e-03
1.125952565453706367e+00,2.821376081556081772e-03
1.126539982874342760e+00,4.218320827931165695e-03
1.127125018222411956e+00,4.388354718685150146e-03
1.127707690739291335e+00,3.678243607282638550e-03
1.128288019434160905e+00,5.042322911322116852e-03
1.128866023087723214e+00,4.879919346421957016e-03
1.129441720255850878e+00,3.735987702384591103e-03
1.130015129273160834e+00,3.694489831104874611e-03
1.130586268256517979e+00,3.595717949792742729e-03
1.131155155108470423e+00,4.405644256621599197e-03
1.131721807520615020e+00,4.445625934749841690e-03
1.132286242976900725e+00,4.793623927980661392e-03
1.132848478756863786e+00,3.087435383349657059e-03
1.133408531938802755e+00,5.085965618491172791e-03
1.133966419402891335e+00,5.276797804981470108e-03
1.134522157834230605e+00,3.948191646486520767e-03
1.135075763725843512e+00,4.028177354484796524e-03
1.135627253381612078e+00,3.796652192249894142e-03
1.136176642919158208e+00,4.537457600235939026e-03
1.136723948272670093e+00,2.945347689092159271e-03
1.137269185195675325e+00,3.197394078597426414e-03
1.137812369263761836e+00,3.725141985341906548e-03
1.138353515877247535e+00,3.324464662000536919e-03
1.138892640263799994e+00,2.274234313517808914e-03
1.139429757481007721e+00,2.240513684228062630e-03
1.139964882418904146e+00,4.033152014017105103e-03
1.140498029802443636e+00,2.983453450724482536e-03
1.141029214193932884e+00,2.670955145731568336e-03
1.141558449995417890e+00,3.320897463709115982e-03
1.142085751451026532e+00,3.923582844436168671e-03
1.142611132649269834e+00,4.383738618344068527e-03
1.143134607525298829e+00,1.738411840051412582e-03
1.143656189863124339e+00,3.452796256169676781e-03
1.144175893297793456e+00,2.825951669365167618e-03
1.144693731317528496e+00,4.600103944540023804e-03
1.145209717265827987e+00,2.075547585263848305e-03
1.145723864343529685e+00,3.431613789871335030e-03
1.146236185610836733e+00,3.768770024180412292e-03
1.146746693989307619e+00,2.089491812512278557e-03
1.147255402263813728e+00,2.521362388506531715e-03
1.147762323084457581e+00,3.920353017747402191e-03
