# kappa, training_loss
0.000000000000000000e+00,2.502046823501586914e-01
3.459768928973513402e-01,2.318705618381500244e-01
4.392670793544951047e-01,2.237504124641418457e-01
4.954555379972339080e-01,2.187162637710571289e-01
5.357913993102262351e-01,2.133896201848983765e-01
5.672789104685340700e-01,2.156830430030822754e-01
5.931102292790526587e-01,2.038906067609786987e-01
6.150112931326130461e-01,2.073106467723846436e-01
6.340216459794901782e-01,2.034111022949218750e-01
6.508161600419836157e-01,1.992051601409912109e-01
6.658578846618153912e-01,1.942604184150695801e-01
6.794783561132732297e-01,1.901485174894332886e-01
6.919231208276525047e-01,1.922344118356704712e-01
7.033791206587758360e-01,1.901517063379287720e-01
7.139919758299098085e-01,1.827881038188934326e-01
7.238773319472707746e-01,1.800777614116668701e-01
7.331285610863922386e-01,1.788929998874664307e-01
7.418221382388717755e-01,1.770420819520950317e-01
7.500214874449637747e-01,1.671763956546783447e-01
7.577797922714620826e-01,1.666437089443206787e-01
7.651420882492380171e-01,1.660067588090896606e-01
7.721468467495533616e-01,1.613953709602355957e-01
7.788271917738393002e-01,1.631177067756652832e-01
7.852118472433436969e-01,1.628721803426742554e-01
7.913258833887013566e-01,1.588336080312728882e-01
7.971913112937561996e-01,1.565529108047485352e-01
8.028275612186811516e-01,1.507258415222167969e-01
8.082518709421588898e-01,1.496190577745437622e-01
8.134796037006279956e-01,1.500083208084106445e-01
8.185245105062981530e-01,1.444563567638397217e-01
8.233989481269167188e-01,1.462857872247695923e-01
8.281140614271055300e-01,1.407268196344375610e-01
8.326799368424521175e-01,1.410321891307830811e-01
8.371057323025777874e-01,1.357180029153823853e-01
8.413997878111193485e-01,1.366363018751144409e-01
8.455697200387194412e-01,1.358955204486846924e-01
8.496225036248209461e-01,1.299496293067932129e-01
8.535645413681895999e-01,1.308992058038711548e-01
8.574017250800395340e-01,1.273544579744338989e-01
8.611394885517903441e-01,1.264977157115936279e-01
8.647828538326878256e-01,1.262139230966567993e-01
8.683364718063639742e-01,1.227646172046661377e-01
8.718046578888993814e-01,1.195296794176101685e-01
8.751914235357411975e-01,1.177290529012680054e-01
8.785005041344305932e-01,1.208145543932914734e-01
8.817353837695073304e-01,1.150553077459335327e-01
8.848993172712700250e-01,1.105519458651542664e-01
8.879953498982122717e-01,1.067961677908897400e-01
8.910263349514923048e-01,1.083463057875633240e-01
8.939949495768086951e-01,1.047394275665283203e-01
8.969037089730028667e-01,1.043367087841033936e-01
8.997549791963597166e-01,1.051406189799308777e-01
9.025509887239356877e-01,1.007746905088424683e-01
9.052938389175020362e-01,9.975309669971466064e-02
9.079855135111951636e-01,1.007881835103034973e-01
9.106278872301805105e-01,9.614588320255279541e-02
9.132227336341262047e-01,9.426671266555786133e-02
9.157717322676753868e-01,9.126673638820648193e-02
9.182764751901208999e-01,8.677283674478530884e-02
9.207384729478547136e-01,9.186818450689315796e-02
9.231591600456988678e-01,8.795212954282760620e-02
9.255398999667429072e-01,8.637013286352157593e-02
9.278819897846701803e-01,8.864663541316986084e-02
9.301866644076385304e-01,8.420722186565399170e-02
9.324551004884792382e-01,8.261035382747650146e-02
9.346884200322113090e-01,8.328749984502792358e-02
9.368876937285596229e-01,7.743236422538757324e-02
9.390539440342541289e-01,8.387256413698196411e-02
9.411881480273230904e-01,7.673379778861999512e-02
9.432912400533232100e-01,7.291683554649353027e-02
9.453641141814481674e-01,7.279000431299209595e-02
9.474076264866718722e-01,7.304552197456359863e-02
9.494225971725094304e-01,7.042004168033599854e-02
9.514098125475676238e-01,7.153718918561935425e-02
9.533700268678054757e-01,7.106451690196990967e-02
9.553039640553077083e-01,6.854259967803955078e-02
9.572123193033730271e-01,6.656294316053390503e-02
9.590957605768208882e-01,6.507113575935363770e-02
9.609549300156224882e-01,6.920301169157028198e-02
9.627904452492327403e-01,6.497168540954589844e-02
9.646029006283590723e-01,6.466429680585861206e-02
9.663928683803102437e-01,6.580461561679840088e-02
9.681608996935460176e-01,6.154376268386840820e-02
9.699075257365726843e-01,6.141533330082893372e-02
9.716332586158936691e-01,6.155941262841224670e-02
9.733385922773408749e-01,5.841654166579246521e-02
9.750240033547533658e-01,6.096540763974189758e-02
9.766899519696535803e-01,5.614458769559860229e-02
9.783368824852761714e-01,5.472212657332420349e-02
9.799652242180425521e-01,5.330202728509902954e-02
9.815753921093287593e-01,5.650713667273521423e-02
9.831677873601589734e-01,4.963264614343643188e-02
9.847427980312516427e-01,5.011867359280586243e-02
9.863007996106629705e-01,5.112362280488014221e-02
9.878421555511067709e-01,5.175222828984260559e-02
9.893672177788732647e-01,4.972881823778152466e-02
9.908763271761280578e-01,4.547737911343574524e-02
9.923698140382470889e-01,4.747612401843070984e-02
9.938479985077210976e-01,4.870571941137313843e-02
9.953111909860552498e-01,4.723343253135681152e-02
9.967596925249904150e-01,4.362995177507400513e-02
9.981937951982788881e-01,4.341123998165130615e-02
9.996137824551629691e-01,4.437190666794776917e-02
1.001019929456627100e+00,4.351793974637985229e-02
1.002412503395420540e+00,4.303380474448204041e-02
1.003791763800781167e+00,4.290966689586639404e-02
1.005157962828732598e+00,4.042670130729675293e-02
1.006511345538761759e+00,4.293178394436836243e-02
1.007852150157640958e+00,4.130971431732177734e-02
1.009180608331102125e+00,4.058846458792686462e-02
1.010496945364029564e+00,3.838785737752914429e-02
1.011801380449793397e+00,3.800931572914123535e-02
1.013094126889307223e+00,4.084318876266479492e-02
1.014375392300359335e+00,3.587487712502479553e-02
1.015645378817729094e+00,3.258407115936279297e-02
1.016904283284572275e+00,3.486853092908859253e-02
1.018152297435527931e+00,3.306051716208457947e-02
1.019389608071973319e+00,3.462873399257659912e-02
1.020616397229826777e+00,3.412951529026031494e-02
1.021832842340276937e+00,3.396037966012954712e-02
1.023039116383791081e+00,3.406748175621032715e-02
1.024235388037739503e+00,3.041930869221687317e-02
1.025421821817947610e+00,3.085048682987689972e-02
1.026598578214477087e+00,2.974955365061759949e-02
1.027765813821913454e+00,3.105279430747032166e-02
1.028923681464423812e+00,2.892223373055458069e-02
1.030072330315837670e+00,2.958932332694530487e-02
1.031211906014984914e+00,2.817546576261520386e-02
1.032342550776512935e+00,2.878602780401706696e-02
1.033464403497396544e+00,2.715441398322582245e-02
1.034577599859337838e+00,2.685710974037647247e-02
