# Iterations, training_loss
0.000000000000000000e+00,1.399680674076080322e-01
7.826086956521738784e+02,1.063284724950790405e-01
1.565217391304347757e+03,8.889141678810119629e-02
2.347826086956521522e+03,7.953701913356781006e-02
3.130434782608695514e+03,1.086941361427307129e-01
3.913043478260869506e+03,9.288886189460754395e-02
4.695652173913043043e+03,8.686581254005432129e-02
5.478260869565217035e+03,8.571553975343704224e-02
6.260869565217391028e+03,7.549720257520675659e-02
7.043478260869565020e+03,7.194937020540237427e-02
7.826086956521739012e+03,6.501687318086624146e-02
8.608695652173912094e+03,5.764478445053100586e-02
9.391304347826086087e+03,5.363857746124267578e-02
1.017391304347826008e+04,5.106850713491439819e-02
1.095652173913043407e+04,2.366413362324237823e-02
1.173913043478260806e+04,4.310989007353782654e-02
1.252173913043478206e+04,2.582172118127346039e-02
1.330434782608695605e+04,3.018246032297611237e-02
1.408695652173913004e+04,2.262677624821662903e-02
1.486956521739130403e+04,1.969364657998085022e-02
1.565217391304347802e+04,1.419280655682086945e-02
1.643478260869565202e+04,1.503231935203075409e-02
1.721739130434782419e+04,1.831396855413913727e-02
1.800000000000000000e+04,2.482789382338523865e-02
