# kappa, training_loss
0.000000000000000000e+00,2.494882941246032715e-01
3.459768928973513402e-01,1.753629297018051147e-01
4.392670793544951047e-01,1.697753071784973145e-01
4.954555379972339080e-01,1.574381887912750244e-01
5.357913993102262351e-01,1.573502421379089355e-01
5.672789104685340700e-01,1.497608274221420288e-01
5.931102292790526587e-01,1.476349532604217529e-01
6.150112931326130461e-01,1.491210311651229858e-01
6.340216459794901782e-01,1.417568773031234741e-01
6.508161600419836157e-01,1.341341584920883179e-01
6.658578846618153912e-01,1.323261111974716187e-01
6.794783561132732297e-01,1.302423775196075439e-01
6.919231208276525047e-01,1.233895570039749146e-01
7.033791206587758360e-01,1.226714774966239929e-01
7.139919758299098085e-01,1.218998357653617859e-01
7.238773319472707746e-01,1.191207095980644226e-01
7.331285610863922386e-01,1.124648749828338623e-01
7.418221382388717755e-01,1.093210875988006592e-01
7.500214874449637747e-01,1.114855930209159851e-01
7.577797922714620826e-01,1.070750951766967773e-01
7.651420882492380171e-01,1.034421250224113464e-01
7.721468467495533616e-01,1.032169759273529053e-01
7.788271917738393002e-01,9.805532544851303101e-02
7.852118472433436969e-01,9.497556835412979126e-02
7.913258833887013566e-01,9.906095266342163086e-02
7.971913112937561996e-01,9.557727724313735962e-02
8.028275612186811516e-01,8.878909796476364136e-02
8.082518709421588898e-01,8.863950520753860474e-02
8.134796037006279956e-01,8.971428871154785156e-02
8.185245105062981530e-01,8.519985526800155640e-02
8.233989481269167188e-01,8.202645182609558105e-02
8.281140614271055300e-01,8.784674108028411865e-02
8.326799368424521175e-01,8.182309567928314209e-02
8.371057323025777874e-01,7.960226386785507202e-02
8.413997878111193485e-01,8.128556609153747559e-02
8.455697200387194412e-01,8.387785404920578003e-02
8.496225036248209461e-01,7.461579889059066772e-02
8.535645413681895999e-01,7.673974335193634033e-02
8.574017250800395340e-01,7.389264553785324097e-02
8.611394885517903441e-01,7.379033416509628296e-02
8.647828538326878256e-01,7.205842435359954834e-02
8.683364718063639742e-01,6.635280698537826538e-02
8.718046578888993814e-01,7.463856041431427002e-02
8.751914235357411975e-01,7.174295932054519653e-02
8.785005041344305932e-01,7.150994241237640381e-02
8.817353837695073304e-01,6.835231930017471313e-02
8.848993172712700250e-01,6.474957615137100220e-02
8.879953498982122717e-01,6.674248725175857544e-02
8.910263349514923048e-01,6.156904622912406921e-02
8.939949495768086951e-01,6.398809701204299927e-02
8.969037089730028667e-01,6.477171182632446289e-02
8.997549791963597166e-01,5.943932756781578064e-02
9.025509887239356877e-01,6.159820780158042908e-02
9.052938389175020362e-01,5.618875473737716675e-02
9.079855135111951636e-01,5.649921298027038574e-02
9.106278872301805105e-01,5.804913491010665894e-02
9.132227336341262047e-01,5.378444492816925049e-02
9.157717322676753868e-01,5.422630533576011658e-02
9.182764751901208999e-01,5.614520609378814697e-02
9.207384729478547136e-01,5.171208083629608154e-02
9.231591600456988678e-01,4.956739395856857300e-02
9.255398999667429072e-01,4.945385456085205078e-02
9.278819897846701803e-01,5.252159386873245239e-02
9.301866644076385304e-01,4.559501633048057556e-02
9.324551004884792382e-01,4.797346517443656921e-02
9.346884200322113090e-01,4.693078994750976562e-02
9.368876937285596229e-01,4.815315455198287964e-02
9.390539440342541289e-01,5.170583352446556091e-02
9.411881480273230904e-01,4.571951925754547119e-02
9.432912400533232100e-01,4.345452412962913513e-02
9.453641141814481674e-01,4.368979483842849731e-02
9.474076264866718722e-01,4.403145238757133484e-02
9.494225971725094304e-01,4.266089573502540588e-02
9.514098125475676238e-01,4.025743901729583740e-02
9.533700268678054757e-01,4.343115910887718201e-02
9.553039640553077083e-01,4.112520813941955566e-02
9.572123193033730271e-01,4.167299345135688782e-02
9.590957605768208882e-01,4.052624851465225220e-02
9.609549300156224882e-01,4.097674041986465454e-02
9.627904452492327403e-01,3.653193637728691101e-02
9.646029006283590723e-01,3.835126012563705444e-02
