# kappa, accuracy
0.000000000000000000e+00,5.369444489479064941e-01
3.460160473376902024e-01,7.316666841506958008e-01
4.393080975703984592e-01,7.434444427490234375e-01
4.954972175370917498e-01,7.542777657508850098e-01
5.358334175737902161e-01,7.627778053283691406e-01
5.673211346219199092e-01,7.675555348396301270e-01
5.931525918169510136e-01,7.760555744171142578e-01
6.150537550732481096e-01,7.853888869285583496e-01
6.340641827788530138e-01,7.915555834770202637e-01
6.508587552475333382e-01,8.041111230850219727e-01
6.659005267079237678e-01,8.156666755676269531e-01
6.795210365601691560e-01,8.198333382606506348e-01
6.919658333280770401e-01,8.229444622993469238e-01
7.034218603190451891e-01,8.282777667045593262e-01
7.140347387975526372e-01,8.308889269828796387e-01
7.239201151352094854e-01,8.351666927337646484e-01
7.331713619827825434e-01,8.376111388206481934e-01
7.418649547725446602e-01,8.379999995231628418e-01
7.500643178880389561e-01,8.396111130714416504e-01
7.578226351674546279e-01,8.391111493110656738e-01
7.651849423590491028e-01,8.413888812065124512e-01
7.721897110102596828e-01,8.436111211776733398e-01
7.788700652668061331e-01,8.457778096199035645e-01
7.852547291692397735e-01,8.471666574478149414e-01
7.913687730476973714e-01,8.446111083030700684e-01
7.972342080696677158e-01,8.492222428321838379e-01
8.028704645661500772e-01,8.460000157356262207e-01
8.082947803761985073e-01,8.465555906295776367e-01
8.135225187880299469e-01,8.488333225250244141e-01
8.185674308585144665e-01,8.506111502647399902e-01
8.234418733941254454e-01,8.500555753707885742e-01
8.281569912932296162e-01,8.523333668708801270e-01
8.327228710209544360e-01,8.498333692550659180e-01
8.371486705328913258e-01,8.484444618225097656e-01
8.414427298556008683e-01,8.510555624961853027e-01
8.456126656800374564e-01,8.510555624961853027e-01
8.496654526637041904e-01,8.537777662277221680e-01
8.536074936214808062e-01,8.533333539962768555e-01
8.574446803790033433e-01,8.531666994094848633e-01
8.611824467406373751e-01,8.511111140251159668e-01
8.648258147672843732e-01,8.507778048515319824e-01
8.683794353530969179e-01,8.526666760444641113e-01
8.718476239236764291e-01,8.522222042083740234e-01
8.752343919431075925e-01,8.521666526794433594e-01
8.785434748067860733e-01,8.547778129577636719e-01
8.817783566064086864e-01,8.513888716697692871e-01
8.849422921788108187e-01,8.537222146987915039e-01
8.880383267884669474e-01,8.528888821601867676e-01
8.910693137420195864e-01,8.557222485542297363e-01
8.940379301902043885e-01,8.531666994094848633e-01
8.969466913364975147e-01,8.563889265060424805e-01
8.997979632414564444e-01,8.547778129577636719e-01
9.025939743860815767e-01,8.548333644866943359e-01
9.053368261357911395e-01,8.523333668708801270e-01
9.080285022280990548e-01,8.523889183998107910e-01
9.106708773913030353e-01,8.534444570541381836e-01
9.132657251879798821e-01,8.535000085830688477e-01
9.158147251654782384e-01,8.557778000831604004e-01
9.183194693856093771e-01,8.539444804191589355e-01
9.207814683971138336e-01,8.559444546699523926e-01
9.232021567070058943e-01,8.558333516120910645e-01
9.255828978004236873e-01,8.551111221313476562e-01
9.279249887529670282e-01,8.496111035346984863e-01
9.302296644745888798e-01,8.542222380638122559e-01
9.324981016198036210e-01,8.565000295639038086e-01
9.347314221952101043e-01,8.506111502647399902e-01
9.369306968920173562e-01,8.559444546699523926e-01
9.390969481683507647e-01,8.568333387374877930e-01
9.412311531035523204e-01,8.550000190734863281e-01
9.433342460444165134e-01,8.544999957084655762e-01
