# kappa, training_loss
0.000000000000000000e+00,2.501435875892639160e-01
3.459768928973513402e-01,2.437312901020050049e-01
4.392670793544951047e-01,2.431709468364715576e-01
4.954555379972339080e-01,2.359908372163772583e-01
5.357913993102262351e-01,2.332050651311874390e-01
5.672789104685340700e-01,2.288057208061218262e-01
5.931102292790526587e-01,2.252823710441589355e-01
6.150112931326130461e-01,2.214001119136810303e-01
6.340216459794901782e-01,2.135192900896072388e-01
6.508161600419836157e-01,2.091076076030731201e-01
6.658578846618153912e-01,2.112132161855697632e-01
6.794783561132732297e-01,2.134720534086227417e-01
6.919231208276525047e-01,1.960653215646743774e-01
7.033791206587758360e-01,1.846320033073425293e-01
7.139919758299098085e-01,1.842854470014572144e-01
7.238773319472707746e-01,1.835754811763763428e-01
7.331285610863922386e-01,1.725149005651473999e-01
7.418221382388717755e-01,1.710602939128875732e-01
7.500214874449637747e-01,1.714084595441818237e-01
7.577797922714620826e-01,1.617762893438339233e-01
7.651420882492380171e-01,1.500420123338699341e-01
7.721468467495533616e-01,1.470741927623748779e-01
7.788271917738393002e-01,1.386996507644653320e-01
7.852118472433436969e-01,1.307797878980636597e-01
7.913258833887013566e-01,1.258310079574584961e-01
7.971913112937561996e-01,1.211086213588714600e-01
8.028275612186811516e-01,1.098778247833251953e-01
8.082518709421588898e-01,1.131280064582824707e-01
8.134796037006279956e-01,1.077826768159866333e-01
8.185245105062981530e-01,1.113718897104263306e-01
8.233989481269167188e-01,9.727814048528671265e-02
8.281140614271055300e-01,8.671683818101882935e-02
8.326799368424521175e-01,1.017605587840080261e-01
8.371057323025777874e-01,8.766524493694305420e-02
8.413997878111193485e-01,9.240356832742691040e-02
8.455697200387194412e-01,7.685703784227371216e-02
8.496225036248209461e-01,7.539568096399307251e-02
8.535645413681895999e-01,6.624593585729598999e-02
8.574017250800395340e-01,6.258097290992736816e-02
8.611394885517903441e-01,5.252696573734283447e-02
8.647828538326878256e-01,1.755523085594177246e-01
8.683364718063639742e-01,1.016620248556137085e-01
8.718046578888993814e-01,7.153273373842239380e-02
8.751914235357411975e-01,5.873791128396987915e-02
8.785005041344305932e-01,5.390840768814086914e-02
8.817353837695073304e-01,4.840679839253425598e-02
8.848993172712700250e-01,4.658936336636543274e-02
