# kappa, training_loss
0.000000000000000000e+00,2.504004240036010742e-01
3.460087604470611367e-01,2.303843945264816284e-01
4.393004638594020239e-01,2.163209766149520874e-01
4.954894607646131988e-01,2.098967432975769043e-01
5.358255977705936868e-01,2.041192650794982910e-01
5.673132765061897897e-01,1.877813488245010376e-01
5.931447079502824016e-01,1.766447424888610840e-01
6.150458527094804229e-01,1.752796769142150879e-01
6.340562664852009700e-01,1.691486090421676636e-01
6.508508280855277439e-01,1.645991355180740356e-01
6.658925908297250729e-01,1.588459759950637817e-01
6.795130935362699853e-01,1.590119898319244385e-01
6.919578843395901568e-01,1.449279487133026123e-01
7.034139062765984995e-01,1.437819749116897583e-01
7.140267804180223665e-01,1.361324191093444824e-01
7.239121529930457877e-01,1.286054551601409912e-01
7.331633965453948631e-01,1.173423603177070618e-01
7.418569864253405921e-01,1.155629009008407593e-01
7.500563469525460825e-01,1.097540706396102905e-01
7.578146619146984841e-01,1.069310531020164490e-01
7.651769670196039153e-01,1.094572544097900391e-01
7.721817337819164573e-01,1.015687510371208191e-01
7.788620863205062417e-01,8.349116891622543335e-02
7.852467486537241248e-01,7.812952995300292969e-02
7.913607910931920175e-01,7.325270026922225952e-02
7.972262247908332711e-01,7.409659773111343384e-02
8.028624800644678094e-01,6.912411004304885864e-02
8.082867947419158927e-01,6.771368533372879028e-02
8.135145321017589470e-01,5.522427707910537720e-02
8.185594431925570236e-01,5.087045207619667053e-02
8.234338848135772659e-01,4.384185746312141418e-02
8.281490018569067635e-01,6.118865683674812317e-02
8.327148807821762588e-01,6.214914098381996155e-02
8.371406795401445944e-01,4.831613600254058838e-02
8.414347381531067649e-01,4.751703143119812012e-02
8.456046733082374089e-01,5.102939903736114502e-02
8.496574596596789819e-01,2.964462898671627045e-02
8.535995000193126181e-01,3.544840961694717407e-02
8.574366862100908371e-01,4.271446913480758667e-02
8.611744520339701392e-01,3.693855553865432739e-02
8.648178195496830645e-01,2.955281361937522888e-02
8.683714396494245369e-01,2.500094659626483917e-02
8.718396277570242825e-01,2.135202847421169281e-02
8.752263953349598280e-01,1.995196938514709473e-02
8.785354777771650081e-01,1.775839366018772125e-02
8.817703591740051472e-01,1.754064299166202545e-02
8.849342943610988277e-01,1.513848267495632172e-02
8.880303286018079723e-01,1.381714362651109695e-02
8.910613152017544669e-01,1.443978026509284973e-02
8.940299313107366030e-01,1.571240834891796112e-02
8.969386921313683425e-01,1.212810166180133820e-02
8.997899637234116899e-01,1.296561397612094879e-02
9.025859745671332979e-01,1.046760194003582001e-02
9.053288260272730481e-01,1.043561473488807678e-02
9.080205018407159212e-01,9.508155286312103271e-03
9.106628767351770959e-01,7.688172627240419388e-03
9.132577242726921396e-01,9.153119288384914398e-03
9.158067240001058762e-01,1.083002611994743347e-01
9.183114679787615087e-01,9.961509704589843750e-02
9.207734667569620335e-01,3.935124352574348450e-02
9.231941548413140630e-01,3.995404765009880066e-02
9.255748957165744750e-01,2.147093228995800018e-02
9.279169864579864813e-01,1.235367264598608017e-02
9.302216619751688675e-01,1.083829347044229507e-02
9.324900989223231518e-01,9.130500257015228271e-03
9.347234193057537555e-01,7.204380817711353302e-03
9.369226938163938145e-01,7.507622707635164261e-03
9.390889449121090360e-01,6.478739902377128601e-03
9.412231496719969392e-01,4.614253528416156769e-03
9.433262424426215320e-01,6.806419696658849716e-03
9.453991172941261789e-01,6.462328135967254639e-03
9.474426303023814055e-01,4.963454790413379669e-03
9.494576016717489741e-01,4.902539774775505066e-03
9.514448177116359151e-01,5.661451257765293121e-03
9.534050326787582019e-01,4.264039453119039536e-03
9.553389704959178719e-01,4.964024294167757034e-03
9.572473263570921986e-01,5.501498468220233917e-03
9.591307682277451230e-01,7.459612563252449036e-03
9.609899382484581309e-01,5.890262313187122345e-03
9.628254540492666713e-01,5.015451926738023758e-03
9.646379099814290647e-01,5.052783992141485214e-03
9.664278782727777628e-01,2.695493400096893311e-03
9.681959101122710187e-01,4.904349800199270248e-03
9.699425366688896322e-01,3.624310484156012535e-03
9.716682700495886671e-01,2.405404578894376755e-03
9.733736042006306821e-01,4.234004765748977661e-03
9.750590157562651905e-01,7.491249591112136841e-03
9.767249648384065397e-01,3.856611903756856918e-03
9.783718958106631947e-01,4.503918346017599106e-03
9.800002379898135052e-01,4.530929960310459137e-03
9.816104063175752348e-01,4.447574261575937271e-03
9.832028019952986364e-01,4.312536679208278656e-03
9.847778130840142419e-01,3.698476823046803474e-03
9.863358150720769046e-01,4.454778041690587997e-03
9.878771714124866543e-01,5.309561733156442642e-03
9.894022340318076036e-01,2.846867777407169342e-03
9.909113438124680373e-01,5.847401451319456100e-03
9.924048310500953596e-01,3.550771623849868774e-03
9.938830158874222276e-01,3.869344713166356087e-03
9.953462087261852886e-01,2.471056999638676643e-03
9.967947106183480122e-01,4.097858909517526627e-03
9.982288136378762999e-01,5.206760019063949585e-03
9.996488012342179541e-01,4.369026515632867813e-03
1.001054948568554481e+00,2.710846252739429474e-03
