# kappa, accuracy
0.000000000000000000e+00,5.116666555404663086e-01
3.460527808220381640e-01,5.876111388206481934e-01
4.393465791096091144e-01,5.932222008705139160e-01
4.955363193285318713e-01,5.953333377838134766e-01
5.358728370502642280e-01,5.993333458900451660e-01
5.673607471993625806e-01,6.019999980926513672e-01
5.931923341828474472e-01,6.039444804191589355e-01
6.150935906671123332e-01,6.060000061988830566e-01
6.341040885812362360e-01,6.079444289207458496e-01
6.508987158278737306e-01,6.107777953147888184e-01
6.659405312190264103e-01,6.116111278533935547e-01
6.795610770865316841e-01,6.127777695655822754e-01
6.920059039167300030e-01,6.126111149787902832e-01
7.034619563803015119e-01,6.134444475173950195e-01
7.140748567182590989e-01,6.140555739402770996e-01
7.239602520200614233e-01,6.152777671813964844e-01
7.332115154759754061e-01,6.146667003631591797e-01
7.419051229315745122e-01,6.162778139114379883e-01
7.501044990923649847e-01,6.159444451332092285e-01
7.578628280510723014e-01,6.173889040946960449e-01
7.652251457598356899e-01,6.177222132682800293e-01
7.722299239313241692e-01,6.189444661140441895e-01
7.789102868465819229e-01,6.179444789886474609e-01
7.852949586580526553e-01,6.193333268165588379e-01
7.914090097891940401e-01,6.197777986526489258e-01
7.972744514859432252e-01,6.209999918937683105e-01
8.029107141457259011e-01,6.209999918937683105e-01
8.083350356642173828e-01,6.215555667877197266e-01
8.135627793781957662e-01,6.216111183166503906e-01
8.186076963864178380e-01,6.226666569709777832e-01
8.234821435316768135e-01,6.224444508552551270e-01
8.281972657439877761e-01,6.251666545867919922e-01
8.327631495161832431e-01,6.255000233650207520e-01
8.371889528282113746e-01,5.916666984558105469e-01
8.414830157281324441e-01,6.151666641235351562e-01
8.456529549259503842e-01,6.248888969421386719e-01
8.497057450961073011e-01,6.253333687782287598e-01
8.536477890685951753e-01,6.215000152587890625e-01
8.574849786825762266e-01,6.338333487510681152e-01
8.612227477545582044e-01,6.386111378669738770e-01
8.648661183563731703e-01,6.432222127914428711e-01
8.684197413920413666e-01,6.430000066757202148e-01
8.718879322960936262e-01,6.326666474342346191e-01
8.752747025407157100e-01,6.405555605888366699e-01
8.785837875286689469e-01,6.420000195503234863e-01
8.818186713583635594e-01,6.388333439826965332e-01
8.849826088727646978e-01,6.382222175598144531e-01
8.880786453419573512e-01,6.416110992431640625e-01
8.911096340777264757e-01,6.423888802528381348e-01
8.940782522355322781e-01,6.416666507720947266e-01
8.969870150231983308e-01,6.392222046852111816e-01
8.998382885052881308e-01,6.481666564941406250e-01
9.026343011665015625e-01,6.413333415985107422e-01
9.053771543756775619e-01,6.448888778686523438e-01
9.080688318734975173e-01,6.489444375038146973e-01
9.107112083911965694e-01,6.503888964653015137e-01
9.133060574940798926e-01,6.517778038978576660e-01
9.158550587320328784e-01,6.457777619361877441e-01
9.183598041692299097e-01,6.492778062820434570e-01
9.208218043566133160e-01,6.485555768013000488e-01
9.232424938032534056e-01,6.386111378669738770e-01
9.256232359962098810e-01,6.434444785118103027e-01
9.279653280128800086e-01,6.499444246292114258e-01
9.302700047649004045e-01,6.525000333786010742e-01
9.325384429083638516e-01,6.448888778686523438e-01
