# kappa, training_loss
0.000000000000000000e+00,1.266032457351684570e-01
3.460418226735320069e-01,1.192954629659652710e-01
4.393350995389574409e-01,1.162889301776885986e-01
4.955246547457318740e-01,1.173808351159095764e-01
5.358610777068913977e-01,1.162840500473976135e-01
5.673489302570042803e-01,1.166466474533081055e-01
5.931804785266626689e-01,1.159465536475181580e-01
6.150817072025260845e-01,1.142762452363967896e-01
6.340921841745879028e-01,1.151637360453605652e-01
6.508867950818544301e-01,1.151293963193893433e-01
6.659285973691806415e-01,1.157625243067741394e-01
6.795491324939261224e-01,1.143700182437896729e-01
6.919939503570389228e-01,1.139412447810173035e-01
7.034499952225539143e-01,1.143245398998260498e-01
7.140628890401996554e-01,1.146550327539443970e-01
7.239482786853121965e-01,1.149395927786827087e-01
7.331995371872340739e-01,1.142935752868652344e-01
7.418931402682581444e-01,1.127674132585525513e-01
7.500925125378541392e-01,1.137964725494384766e-01
7.578508380128236022e-01,1.140045523643493652e-01
7.652131525844911852e-01,1.134928241372108459e-01
7.722179279162397769e-01,1.134184896945953369e-01
7.788982882487488490e-01,1.128613501787185669e-01
7.852829577010862483e-01,1.128541231155395508e-01
7.913970066688734706e-01,1.128791123628616333e-01
7.972624463746480483e-01,1.137516573071479797e-01
8.028987071960215216e-01,1.118408888578414917e-01
8.083230270117802707e-01,1.129964739084243774e-01
8.135507691442172007e-01,1.123271435499191284e-01
8.185956846795952035e-01,1.123703047633171082e-01
8.234701304498736052e-01,1.126545593142509460e-01
8.281852513756274847e-01,1.127300709486007690e-01
8.327511339414253033e-01,1.123265475034713745e-01
8.371769361199499215e-01,1.252240687608718872e-01
8.414709979528491868e-01,1.152248233556747437e-01
8.456409361444442441e-01,1.124508455395698547e-01
8.496937253641246857e-01,1.124339997768402100e-01
8.536357684373749866e-01,1.130949854850769043e-01
8.574729571993225941e-01,1.095278263092041016e-01
8.612107254628533770e-01,1.097951009869575500e-01
8.648540952965392270e-01,1.076393350958824158e-01
8.684077176014566302e-01,1.074114665389060974e-01
8.718759078094733272e-01,1.090584322810173035e-01
8.752626773903584567e-01,1.077101975679397583e-01
8.785717617446764383e-01,1.080961301922798157e-01
8.818066449688348740e-01,1.084229573607444763e-01
8.849705819039704879e-01,1.075077354907989502e-01
8.880666178184946080e-01,1.057490259408950806e-01
8.910976060226587503e-01,1.069398671388626099e-01
8.940662236705133603e-01,1.063763275742530823e-01
8.969749859685856030e-01,1.064393818378448486e-01
8.998262589802439315e-01,1.033798530697822571e-01
9.026222711890846684e-01,1.047053635120391846e-01
9.053651239629264547e-01,1.052200645208358765e-01
9.080568010415058788e-01,1.041902527213096619e-01
9.106991771551818937e-01,1.046016365289688110e-01
9.132940258684458801e-01,1.054388284683227539e-01
9.158430267304266126e-01,1.046219542622566223e-01
9.183477718045934823e-01,1.022120490670204163e-01
9.208097716412320111e-01,1.018838286399841309e-01
9.232304607487994419e-01,1.062014997005462646e-01
9.256112026137820470e-01,1.041403636336326599e-01
9.279532943130410771e-01,1.026609316468238831e-01
9.302579707577109946e-01,1.015363410115242004e-01
9.325264086034138478e-01,1.038193926215171814e-01
9.347597298577878799e-01,1.018868386745452881e-01
9.369590052130190028e-01,1.027537956833839417e-01
9.391252571281512029e-01,1.026095598936080933e-01
9.412594626833910016e-01,1.010314375162124634e-01
9.433625562263471265e-01,1.017486676573753357e-01
9.454354318281480429e-01,1.023084521293640137e-01
9.474789455655941994e-01,1.017198041081428528e-01
9.494939176439254336e-01,1.015138626098632812e-01
9.514811343733790006e-01,9.972120076417922974e-02
9.534413500114561346e-01,1.010496914386749268e-01
9.553752884817023894e-01,1.016464903950691223e-01
9.572836449787992530e-01,9.915591776371002197e-02
9.591670874688785764e-01,1.003023460507392883e-01
9.610262580931557830e-01,1.002752557396888733e-01
9.628617744822677293e-01,1.013816520571708679e-01
9.646742309880441679e-01,1.012831330299377441e-01
9.664641998388610045e-01,9.872535616159439087e-02
9.682322322241935231e-01,9.895591437816619873e-02
9.699788593135143522e-01,9.950115531682968140e-02
9.717045932142476250e-01,9.885922074317932129e-02
9.734099278731017657e-01,1.001319140195846558e-01
9.750953399247528353e-01,9.766679257154464722e-02
9.767612894915208566e-01,9.662207961082458496e-02
9.784082209374026506e-01,1.031876802444458008e-01
9.800365635795467156e-01,9.834577888250350952e-02
9.816467323600247541e-01,9.746000170707702637e-02
9.832391284805257481e-01,9.907767921686172485e-02
9.848141400024036374e-01,9.935816377401351929e-02
9.863721424143233607e-01,9.843506664037704468e-02
9.879134991695815993e-01,9.674070775508880615e-02
9.894385621950263499e-01,9.956119209527969360e-02
9.909476723733584569e-01,9.679370373487472534e-02
9.924411600004667822e-01,9.825073182582855225e-02
9.939193452193338940e-01,9.911945462226867676e-02
9.953825384319372471e-01,9.693625569343566895e-02
9.968310406904706822e-01,9.624595195055007935e-02
9.982651440691221456e-01,9.739105403423309326e-02
9.996851320175522693e-01,9.804592281579971313e-02
1.001091279697147174e+00,1.002322807908058167e-01
1.002483854301042809e+00,9.738408774137496948e-02
1.003863115358849534e+00,9.739831089973449707e-02
1.005229315026948012e+00,9.548484534025192261e-02
1.006582698365170225e+00,9.460466355085372925e-02
1.007923503600619775e+00,9.792657196521759033e-02
1.009251962379348555e+00,9.400244802236557007e-02
1.010568300006548847e+00,9.858125448226928711e-02
1.011872735675887425e+00,9.560789912939071655e-02
1.013165482688564323e+00,9.546062350273132324e-02
1.014446748662643838e+00,9.471976757049560547e-02
1.015716735733172227e+00,9.415509551763534546e-02
1.016975640743562392e+00,9.562803804874420166e-02
1.018223655428701191e+00,9.580232948064804077e-02
1.019460966590206130e+00,9.629947692155838013e-02
1.020687756264227808e+00,9.827224165201187134e-02
1.021904201882178009e+00,9.286299347877502441e-02
1.023110476424741178e+00,9.504599869251251221e-02
1.024306748569496328e+00,9.646148979663848877e-02
1.025493182832472039e+00,9.379861503839492798e-02
1.026669939703925616e+00,9.372502565383911133e-02
1.027837175778632206e+00,9.402626007795333862e-02
1.028995043880942095e+00,9.372270107269287109e-02
1.030143693184863096e+00,9.436053782701492310e-02
1.031283269329396957e+00,9.437078237533569336e-02
1.032413914529358046e+00,9.575194120407104492e-02
1.033535767681882600e+00,9.418395161628723145e-02
1.034648964468829035e+00,9.381334483623504639e-02
1.035753637455257614e+00,9.118588268756866455e-02
1.036849916184167997e+00,9.417004138231277466e-02
1.037937927267665206e+00,9.766282886266708374e-02
1.039017794474711875e+00,9.503985941410064697e-02
1.040089638815623996e+00,9.488227963447570801e-02
1.041153578623446929e+00,9.244466572999954224e-02
1.042209729632354920e+00,9.039162844419479370e-02
1.043258205053202881e+00,9.412035346031188965e-02
1.044299115646348586e+00,9.482447803020477295e-02
1.045332569791871835e+00,9.247450530529022217e-02
1.046358673557291397e+00,9.334706515073776245e-02
1.047377530762894082e+00,9.234002232551574707e-02
1.048389243044772101e+00,9.216202050447463989e-02
1.049393909915665057e+00,9.193054586648941040e-02
1.050391628823698298e+00,9.314350783824920654e-02
1.051382495209104651e+00,9.497516602277755737e-02
1.052366602559011266e+00,9.365178644657135010e-02
1.053344042460369945e+00,9.124323725700378418e-02
1.054314904651106666e+00,9.149207174777984619e-02
1.055279277069562482e+00,9.074367582798004150e-02
1.056237245902291955e+00,9.134384989738464355e-02
1.057188895630284398e+00,9.281801432371139526e-02
1.058134309073673007e+00,8.820486813783645630e-02
1.059073567434986041e+00,9.373790025711059570e-02
1.060006750341000670e+00,9.188042581081390381e-02
1.060933935883251245e+00,8.734546601772308350e-02
1.061855200657244591e+00,9.433577209711074829e-02
1.062770619800430749e+00,9.087647497653961182e-02
1.063680267028976445e+00,8.790837973356246948e-02
1.064584214673387708e+00,8.769932389259338379e-02
1.065482533713022040e+00,8.805028349161148071e-02
1.066375293809532998e+00,8.838859945535659790e-02
1.067262563339287151e+00,8.933841437101364136e-02
1.068144409424788721e+00,8.562915772199630737e-02
1.069020897965152095e+00,9.041697531938552856e-02
1.069892093665651522e+00,8.801147341728210449e-02
1.070758060066385520e+00,9.230025112628936768e-02
1.071618859570086180e+00,8.727756142616271973e-02
1.072474553469102698e+00,9.221119433641433716e-02
1.073325201971590426e+00,9.018439799547195435e-02
1.074170864226932531e+00,9.148923307657241821e-02
1.075011598350419151e+00,9.076175838708877563e-02
1.075847461447213549e+00,8.901516348123550415e-02
1.076678509635627501e+00,8.774764090776443481e-02
1.077504798069729208e+00,8.920755982398986816e-02
1.078326380961308839e+00,8.994923532009124756e-02
1.079143311601221011e+00,9.187254309654235840e-02
1.079955642380126868e+00,9.159429371356964111e-02
1.080763424808655948e+00,8.931849151849746704e-02
1.081566709537005178e+00,9.248292446136474609e-02
1.082365546373998288e+00,8.559250086545944214e-02
1.083159984305616108e+00,8.543014526367187500e-02
1.083950071513023694e+00,9.188100695610046387e-02
1.084735855390103865e+00,8.784946054220199585e-02
1.085517382560516442e+00,8.809261769056320190e-02
1.086294698894298749e+00,8.851779997348785400e-02
1.087067849524020247e+00,8.574644476175308228e-02
1.087836878860506840e+00,8.590081334114074707e-02
1.088601830608148857e+00,8.342543989419937134e-02
1.089362747779804463e+00,8.575525879859924316e-02
1.090119672711313381e+00,8.666572719812393188e-02
1.090872647075629809e+00,8.497058600187301636e-02
1.091621711896590963e+00,8.807191997766494751e-02
1.092366907562327460e+00,8.985343575477600098e-02
1.093108273838332201e+00,8.863608539104461670e-02
1.093845849880191068e+00,9.029369801282882690e-02
1.094579674245994116e+00,8.871363848447799683e-02
1.095309784908429895e+00,8.528710156679153442e-02
1.096036219266576461e+00,8.577086776494979858e-02
1.096759014157396184e+00,8.607161790132522583e-02
1.097478205866945000e+00,8.430426567792892456e-02
1.098193830141303229e+00,8.526290208101272583e-02
1.098905922197236595e+00,8.867520093917846680e-02
1.099614516732594804e+00,8.556262403726577759e-02
1.100319647936457645e+00,8.824726939201354980e-02
1.101021349499033075e+00,8.590375632047653198e-02
1.101719654621315048e+00,8.665862679481506348e-02
1.102414596024511084e+00,8.607698976993560791e-02
1.103106205959242025e+00,9.151830524206161499e-02
1.103794516214521737e+00,8.400970697402954102e-02
1.104479558126526317e+00,8.571794629096984863e-02
1.105161362587153473e+00,8.508948981761932373e-02
1.105839960052381388e+00,8.845667541027069092e-02
1.106515380550433081e+00,8.805666118860244751e-02
1.107187653689748696e+00,8.759771287441253662e-02
1.107856808666773718e+00,9.003262221813201904e-02
1.108522874273567771e+00,8.612023293972015381e-02
1.109185878905238232e+00,8.231461048126220703e-02
1.109845850567203973e+00,8.612128347158432007e-02
1.110502816882293020e+00,8.392506837844848633e-02
1.111156805097680556e+00,8.321761339902877808e-02
1.111807842091669496e+00,8.722132444381713867e-02
1.112455954380318524e+00,8.603439480066299438e-02
1.113101168123922902e+00,8.410058915615081787e-02
1.113743509133350296e+00,8.586205542087554932e-02
1.114383002876236706e+00,8.618123829364776611e-02
1.115019674483044509e+00,8.231177926063537598e-02
1.115653548752988833e+00,7.706238329410552979e-02
1.116284650159833802e+00,8.399296551942825317e-02
