# kappa, accuracy
0.000000000000000000e+00,5.001666545867919922e-01
3.460706872888889007e-01,6.120555400848388672e-01
4.393653375315088594e-01,6.211110949516296387e-01
4.955553800410397169e-01,6.217777729034423828e-01
5.358920525912970190e-01,6.291111111640930176e-01
5.673800568507758602e-01,6.316111087799072266e-01
5.932117070883217158e-01,6.263333559036254883e-01
6.151130090083753998e-01,6.315000057220458984e-01
6.341235411394496868e-01,6.356111168861389160e-01
6.509181950827540586e-01,6.367777585983276367e-01
6.659600318840576127e-01,6.368889212608337402e-01
6.795805953039976144e-01,6.356666684150695801e-01
6.920254367853797550e-01,6.384444236755371094e-01
7.034815016632980367e-01,6.418333649635314941e-01
7.140944126546907578e-01,6.406666636466979980e-01
7.239798171988687248e-01,6.387777924537658691e-01
7.332310887490307572e-01,6.398888826370239258e-01
7.419247033521771950e-01,6.438333392143249512e-01
7.501240858707267645e-01,6.438333392143249512e-01
7.578824205214562681e-01,6.405555605888366699e-01
7.652447433558688950e-01,6.420000195503234863e-01
7.722495261671608047e-01,6.440555453300476074e-01
7.789298933023287574e-01,6.452777981758117676e-01
7.853145689683480590e-01,6.461666822433471680e-01
7.914286236341571135e-01,6.492222547531127930e-01
7.972940685839264852e-01,6.458333134651184082e-01
8.029303342474545246e-01,6.464999914169311523e-01
8.083546585480121394e-01,6.491667032241821289e-01
8.135824048460442715e-01,6.481111049652099609e-01
8.186273242607211564e-01,6.477777957916259766e-01
8.235017736525372944e-01,6.478333473205566406e-01
8.282168979669318754e-01,6.478333473205566406e-01
8.327827837102396158e-01,6.436111330986022949e-01
8.372085888742790694e-01,6.467778086662292480e-01
8.415026535175891276e-01,6.487777829170227051e-01
8.456725943594571859e-01,6.516667008399963379e-01
8.497253860825808580e-01,6.513888835906982422e-01
8.536674315243175659e-01,6.478888988494873047e-01
8.575046225304212566e-01,6.506111025810241699e-01
8.612423929233172792e-01,6.522222161293029785e-01
8.648857647801655446e-01,6.532222032546997070e-01
8.684393890097942270e-01,6.506111025810241699e-01
8.719075810510868996e-01,6.513333320617675781e-01
8.752943523801769432e-01,6.525555849075317383e-01
8.786034384034159261e-01,6.534444689750671387e-01
8.818383232224855650e-01,6.538333296775817871e-01
8.850022616833387312e-01,6.517222523689270020e-01
8.880982990587941162e-01,6.487777829170227051e-01
8.911292886631434484e-01,6.551111340522766113e-01
8.940979076541495374e-01,6.579999923706054688e-01
8.970066712417541499e-01,6.583889126777648926e-01
8.998579454924736654e-01,6.585555672645568848e-01
9.026539588928109703e-01,6.589999794960021973e-01
9.053968128132718896e-01,6.558333635330200195e-01
9.080884909960813545e-01,6.501111388206481934e-01
9.107308681739063605e-01,6.557778120040893555e-01
9.133257179133817960e-01,6.568333506584167480e-01
9.158747197656295080e-01,6.597777605056762695e-01
9.183794657959748475e-01,6.579999923706054688e-01
9.208414665564340629e-01,6.577777862548828125e-01
9.232621565570792166e-01,6.576111316680908203e-01
9.256428992859061511e-01,6.574444770812988281e-01
9.279849918211885429e-01,6.552777886390686035e-01
9.302896690753833520e-01,6.566666960716247559e-01
9.325581077053527457e-01,6.638333201408386230e-01
9.347914297198992584e-01,6.610555648803710938e-01
9.369907058123020382e-01,6.617222428321838379e-01
9.391569584426336936e-01,6.610555648803710938e-01
9.412911646920681941e-01,6.588333249092102051e-01
9.433942589091267594e-01,6.607778072357177734e-01
9.454671351657977230e-01,6.571111083030700684e-01
9.475106495396924400e-01,6.572777628898620605e-01
9.495256222368178012e-01,6.640555858612060547e-01
9.515128395681352602e-01,6.565555334091186523e-01
9.534730557918317251e-01,6.572777628898620605e-01
9.554069948321014527e-01,6.616111397743225098e-01
9.573153518842411058e-01,6.602222323417663574e-01
9.591987949149650694e-01,6.591666936874389648e-01
9.610579660660419909e-01,6.639444231986999512e-01
9.628934829686335295e-01,6.653888821601867676e-01
9.647059399750688158e-01,6.588888764381408691e-01
9.664959093141978208e-01,6.633889079093933105e-01
9.682639421759471343e-01,6.635555624961853027e-01
9.700105697302183749e-01,6.660555601119995117e-01
9.717363040848447930e-01,6.653888821601867676e-01
9.734416391869252783e-01,6.575000286102294922e-01
9.751270516715065950e-01,6.587777733802795410e-01
9.767930016612641486e-01,6.671666502952575684e-01
9.784399335205327120e-01,6.604444384574890137e-01
9.800682765667846352e-01,6.658889055252075195e-01
9.816784457424002630e-01,6.638888716697692871e-01
9.832708422493640077e-01,6.666111350059509277e-01
9.848458541493122498e-01,6.669444441795349121e-01
9.864038569311807114e-01,6.657222509384155273e-01
9.879452140485246447e-01,6.620555520057678223e-01
9.894702774284405145e-01,6.547777652740478516e-01
9.909793879538663086e-01,6.620555520057678223e-01
9.924728759209191509e-01,6.627222299575805664e-01
9.939510614728003235e-01,6.665555834770202637e-01
9.954142550116967803e-01,6.634444594383239746e-01
9.968627575900042004e-01,6.616666913032531738e-01
9.982968612821037091e-01,6.632778048515319824e-01
9.997168495378416786e-01,6.603888869285583496e-01
1.001122997518783198e+00,6.587777733802795410e-01
1.002515572418235967e+00,6.685000061988830566e-01
1.003894833765975214e+00,6.636111140251159668e-01
1.005261033718541253e+00,6.624444723129272461e-01
1.006614417335918610e+00,6.616111397743225098e-01
1.007955222845358767e+00,6.631110906600952148e-01
1.009283681893055284e+00,6.603333353996276855e-01
1.010600019784337444e+00,6.625555753707885742e-01
1.011904455713003692e+00,6.650000214576721191e-01
1.013197202980381739e+00,6.696666479110717773e-01
1.014478469204658673e+00,6.627777814865112305e-01
1.015748456520998655e+00,6.610555648803710938e-01
1.017007361772928942e+00,6.658333539962768555e-01
1.018255376695447412e+00,6.635555624961853027e-01
1.019492688090277488e+00,6.571111083030700684e-01
