# kappa, accuracy
0.000000000000000000e+00,5.007777810096740723e-01
3.460975598922600427e-01,5.995000004768371582e-01
4.393934884735154478e-01,5.991666913032531738e-01
4.955839845585003345e-01,5.996666550636291504e-01
5.359208894220958141e-01,6.026666760444641113e-01
5.674090348897241620e-01,6.041111350059509277e-01
5.932407800368504347e-01,6.053888797760009766e-01
6.151421501309868312e-01,6.085000038146972656e-01
6.341527336028137674e-01,6.096666455268859863e-01
6.509474276030556839e-01,6.137222051620483398e-01
6.659892965291457356e-01,6.117222309112548828e-01
6.796098862855661782e-01,6.147778034210205078e-01
6.920547497502531620e-01,6.173889040946960449e-01
7.035108332552186816e-01,6.180000305175781250e-01
7.141237602315044786e-01,6.177222132682800293e-01
7.240091786433558996e-01,6.188333630561828613e-01
7.332604623384874065e-01,6.190000176429748535e-01
7.419540876661303574e-01,6.220555901527404785e-01
7.501534797241422581e-01,6.218333244323730469e-01
7.579118229154315767e-01,6.226666569709777832e-01
7.652741534405926860e-01,6.259999871253967285e-01
7.722789432136484278e-01,6.263889074325561523e-01
7.789593166805534041e-01,6.278889179229736328e-01
7.853439981301045814e-01,6.269444227218627930e-01
7.914580580994825532e-01,6.307777762413024902e-01
7.973235079302235517e-01,6.307222247123718262e-01
8.029597781007009605e-01,6.310555338859558105e-01
8.083841065755906774e-01,6.315000057220458984e-01
8.136118567508480171e-01,6.342777609825134277e-01
8.186567797762733800e-01,6.330555677413940430e-01
8.235312325389201327e-01,6.343889236450195312e-01
8.282463600073709520e-01,6.335555911064147949e-01
8.328122487082199044e-01,6.342222094535827637e-01
8.372380566510965183e-01,6.355000138282775879e-01
8.415321239102616646e-01,6.332777738571166992e-01
8.457020672189327071e-01,6.368889212608337402e-01
8.497548612721941286e-01,6.351666450500488281e-01
8.536969089184541781e-01,6.368889212608337402e-01
8.575341020133578906e-01,6.370000243186950684e-01
8.612718743882096240e-01,6.375555396080017090e-01
8.649152481281626725e-01,6.360555887222290039e-01
8.684688741492607722e-01,6.358888745307922363e-01
8.719370678969169397e-01,6.387777924537658691e-01
8.753238408531889281e-01,6.397777795791625977e-01
8.786329284298145526e-01,6.423333287239074707e-01
8.818678147333842698e-01,6.376667022705078125e-01
8.850317546143339209e-01,6.363888978958129883e-01
8.881277933495843602e-01,6.385555863380432129e-01
8.911587842571881968e-01,6.402778029441833496e-01
8.941274044983629210e-01,6.388888955116271973e-01
8.970361692862290903e-01,6.389999985694885254e-01
8.998874446902332958e-01,6.414444446563720703e-01
9.026834591995832602e-01,6.396111249923706055e-01
9.054263141872856968e-01,6.416666507720947266e-01
9.081179933978824614e-01,6.369444727897644043e-01
9.107603715661884980e-01,6.429444551467895508e-01
9.133552222608335436e-01,6.394444704055786133e-01
9.159042250347947389e-01,6.390555500984191895e-01
9.184089719551249420e-01,6.414999961853027344e-01
9.208709735754511128e-01,6.409444808959960938e-01
9.232916644073486667e-01,6.452777981758117676e-01
9.256724079402182115e-01,6.458889245986938477e-01
9.280145012536483717e-01,6.429444551467895508e-01
9.303191792613266786e-01,6.453333497047424316e-01
9.325876186212699315e-01,6.448333263397216797e-01
9.348209413433641313e-01,6.368333697319030762e-01
9.370202181219060567e-01,6.424999833106994629e-01
9.391864714179256612e-01,6.416666507720947266e-01
9.413206783134978606e-01,6.457222104072570801e-01
9.434237731579924180e-01,6.413888931274414062e-01
9.454966500241981375e-01,6.455000042915344238e-01
9.475401649904818813e-01,6.436666846275329590e-01
9.495551382635638582e-01,6.421111226081848145e-01
9.515423561550798714e-01,6.433333158493041992e-01
9.535025729238546521e-01,6.457222104072570801e-01
9.554365124946866406e-01,6.436111330986022949e-01
9.573448700634447084e-01,6.458333134651184082e-01
9.592283135973858066e-01,6.420555710792541504e-01
9.610874852387933931e-01,6.459444761276245117e-01
9.629230026193179581e-01,6.422777771949768066e-01
9.647354600917527057e-01,6.420000195503234863e-01
9.665254298853892534e-01,6.420555710792541504e-01
9.682934631905738554e-01,6.468889117240905762e-01
9.700400911776083657e-01,6.411111354827880859e-01
9.717658259547062860e-01,6.429444551467895508e-01
9.734711614693292159e-01,6.430000066757202148e-01
9.751565743568703093e-01,6.471666693687438965e-01
9.768225247403348188e-01,6.458889245986938477e-01
9.784694569843725986e-01,6.454444527626037598e-01
9.800978004067568694e-01,6.436666846275329590e-01
9.817079699501555234e-01,6.470000147819519043e-01
9.833003668168280864e-01,6.442221999168395996e-01
9.848753790686740617e-01,6.448888778686523438e-01
9.864333821948804149e-01,6.418333649635314941e-01
9.879747396492438716e-01,6.462777853012084961e-01
9.894998033590913789e-01,6.463888883590698242e-01
9.910089142075825253e-01,6.473888754844665527e-01
9.925024024910464870e-01,6.442778110504150391e-01
9.939805883528877173e-01,6.447222232818603516e-01
