# kappa, training_loss
0.000000000000000000e+00,1.253587305545806885e-01
3.460842874156385696e-01,1.176559627056121826e-01
4.393795846519640835e-01,1.199377626180648804e-01
4.955698567261231924e-01,1.142600700259208679e-01
5.359066468554674056e-01,1.183095127344131470e-01
5.673947225836618591e-01,1.147468090057373047e-01
5.932264208571643715e-01,1.158127114176750183e-01
6.151277572817243078e-01,1.130443885922431946e-01
6.341383153975658216e-01,1.130746155977249146e-01
6.509329896146354155e-01,1.132576912641525269e-01
6.659748426750565775e-01,1.118230521678924561e-01
6.795954194245161784e-01,1.104045584797859192e-01
6.920402720321732204e-01,1.127022579312324524e-01
7.034963463376850967e-01,1.094730123877525330e-01
7.141092654194144407e-01,1.095189154148101807e-01
7.239946769823539796e-01,1.105203330516815186e-01
7.332459546793760330e-01,1.092209145426750183e-01
7.419395747104473582e-01,1.108580976724624634e-01
7.501389620571478067e-01,1.098626405000686646e-01
7.578973010304597135e-01,1.083442866802215576e-01
7.652596277573449068e-01,1.124132573604583740e-01
7.722644140921528511e-01,1.111503392457962036e-01
7.789447844319653536e-01,1.100316196680068970e-01
7.853294630251692610e-01,1.112203001976013184e-01
7.914435203752421266e-01,1.068394184112548828e-01
7.973089677953887344e-01,1.080676391720771790e-01
8.029452357399925466e-01,1.076653599739074707e-01
8.083695621532801523e-01,1.079628393054008484e-01
8.135973104136694500e-01,1.067592054605484009e-01
8.186422316558332746e-01,1.093698814511299133e-01
8.235166827537081513e-01,1.106230542063713074e-01
8.282318086644465671e-01,1.074420735239982605e-01
8.327976959046372585e-01,1.083073094487190247e-01
8.372235024751133459e-01,1.062848865985870361e-01
8.415175684423708002e-01,1.045963540673255920e-01
8.456875105327473774e-01,1.047985404729843140e-01
8.497403034352101203e-01,1.051293238997459412e-01
8.536823499927091996e-01,1.079546436667442322e-01
8.575195420560050019e-01,1.078571081161499023e-01
8.612573134520168372e-01,1.070770621299743652e-01
8.649006862619497138e-01,1.057830229401588440e-01
8.684543113982844398e-01,1.070110797882080078e-01
8.719225043032090561e-01,1.046542450785636902e-01
8.753092764558551009e-01,1.068471819162368774e-01
8.786183632653006281e-01,1.059584096074104309e-01
8.818532488357117005e-01,1.041905879974365234e-01
8.850171880153100412e-01,1.056830212473869324e-01
8.881132260789904587e-01,1.063419952988624573e-01
8.911442163429486030e-01,1.047318056225776672e-01
8.941128359666951075e-01,1.041650697588920593e-01
8.970216001617812296e-01,1.044475659728050232e-01
8.998728749962059403e-01,1.046090200543403625e-01
9.026688889578413644e-01,1.025659888982772827e-01
9.054117434184590918e-01,1.035000309348106384e-01
9.081034221214564495e-01,1.047413647174835205e-01
9.107457998005878963e-01,1.018225625157356262e-01
9.133406500234979575e-01,1.091664806008338928e-01
9.158896523422470626e-01,1.020931154489517212e-01
9.183943988230353073e-01,1.022814959287643433e-01
9.208564000186940657e-01,1.015764474868774414e-01
9.232770904400561252e-01,1.016851812601089478e-01
9.256578335758285370e-01,1.044381856918334961e-01
9.279999265049502233e-01,1.022924035787582397e-01
9.303046041405013122e-01,1.025796160101890564e-01
9.325730431399281706e-01,9.960634261369705200e-02
9.348063655125817828e-01,1.004654988646507263e-01
9.370056419522561075e-01,1.011639088392257690e-01
9.391718949195084765e-01,1.008776202797889709e-01
9.413061014959690498e-01,1.039083525538444519e-01
9.434091960305881486e-01,1.002539619803428650e-01
9.454820725957593375e-01,9.991005808115005493e-02
9.475255872694766657e-01,1.022673323750495911e-01
9.495405602581074023e-01,1.038629487156867981e-01
9.515277778729549496e-01,9.973039478063583374e-02
9.534879943725288465e-01,1.002585366368293762e-01
9.554219336813289942e-01,1.033255457878112793e-01
9.573302909949416017e-01,1.008620932698249817e-01
9.592137342803560562e-01,9.978260844945907593e-02
9.610729056796011305e-01,1.015326380729675293e-01
9.629084228240861743e-01,1.015345975756645203e-01
9.647208800663751305e-01,1.004673466086387634e-01
9.665108496355414580e-01,9.981892257928848267e-02
9.682788827217240213e-01,1.000251173973083496e-01
9.700255104950271656e-01,9.778015315532684326e-02
9.717512450634766541e-01,1.049549579620361328e-01
9.734565803743548962e-01,9.760008007287979126e-02
9.751419930628840715e-01,9.945687651634216309e-02
9.768079432519062300e-01,1.106426119804382324e-01
9.784548753059157944e-01,1.053923815488815308e-01
9.800832185425373266e-01,1.169578433036804199e-01
9.816933879042969435e-01,1.085973381996154785e-01
9.832857845933180574e-01,1.004200950264930725e-01
9.848607966713702755e-01,1.058738753199577332e-01
9.864187996275164405e-01,1.130518093705177307e-01
9.879601569154340401e-01,1.058265715837478638e-01
9.894852204623363345e-01,1.108713299036026001e-01
9.909943311512733333e-01,1.074447855353355408e-01
9.924878192784695186e-01,1.101331859827041626e-01
9.939660049872289793e-01,1.056842729449272156e-01
9.954291986798379233e-01,9.917957335710525513e-02
9.968777014087863986e-01,1.014339774847030640e-01
9.983118052485470129e-01,9.672251343727111816e-02
9.997317936490536239e-01,1.017357930541038513e-01
1.001137941771955475e+00,1.111645847558975220e-01
1.002530516810641092e+00,1.036487594246864319e-01
1.003909778294963751e+00,9.887363761663436890e-02
1.005275978381538593e+00,1.000773459672927856e-01
1.006629362130422090e+00,9.869145601987838745e-02
1.007970167768935443e+00,9.440311789512634277e-02
1.009298626943339050e+00,9.733888506889343262e-02
1.010614964959026585e+00,9.756971895694732666e-02
1.011919401009858888e+00,9.827207773923873901e-02
1.013212148397223178e+00,9.771265834569931030e-02
1.014493414739364496e+00,9.889074414968490601e-02
1.015763402171503182e+00,9.576310962438583374e-02
1.017022307537219783e+00,9.971208870410919189e-02
1.018270322571564357e+00,1.038080602884292603e-01
1.019507634076310731e+00,9.743834286928176880e-02
1.020734424087760939e+00,1.018665954470634460e-01
1.021950870037473535e+00,9.640385955572128296e-02
1.023157144906274407e+00,9.623318910598754883e-02
1.024353417371879349e+00,9.530215710401535034e-02
1.025539851950449055e+00,9.981749206781387329e-02
