# kappa, accuracy
0.000000000000000000e+00,4.666666686534881592e-01
3.460642136446939188e-01,6.018888950347900391e-01
4.393585558966322524e-01,6.087222099304199219e-01
4.955484891252183721e-01,6.094999909400939941e-01
5.358851057035403098e-01,6.108333468437194824e-01
5.673730759412700664e-01,6.190555691719055176e-01
5.932047033119119961e-01,6.197222471237182617e-01
6.151059888065290027e-01,6.355000138282775879e-01
6.341165085678772684e-01,6.253333687782287598e-01
6.509111528601050356e-01,6.312222480773925781e-01
6.659529819214544677e-01,6.311111450195312500e-01
6.795735389960382289e-01,6.278333663940429688e-01
6.920183751808918204e-01,6.341666579246520996e-01
7.034744355709176000e-01,6.353889107704162598e-01
7.140873427110026039e-01,6.367777585983276367e-01
7.239727439139830301e-01,6.317222118377685547e-01
7.332240125380055096e-01,6.395555734634399414e-01
7.419176245572528527e-01,6.359999775886535645e-01
7.501170047774186056e-01,6.501666903495788574e-01
7.578753373704338880e-01,6.346111297607421875e-01
7.652376583518809561e-01,6.292777657508850098e-01
7.722424394858447005e-01,6.416110992431640625e-01
7.789228050954795091e-01,6.437777876853942871e-01
7.853074793680469012e-01,6.375555396080017090e-01
7.914215327560437663e-01,6.306666731834411621e-01
7.972869765298188360e-01,6.348888874053955078e-01
8.029232411074677112e-01,6.466666460037231445e-01
8.083475644022850570e-01,6.472777724266052246e-01
8.135753097661598821e-01,6.447777748107910156e-01
8.186202283108832134e-01,6.364444494247436523e-01
8.234946768905498926e-01,6.527777910232543945e-01
8.282098004450236806e-01,6.498333215713500977e-01
8.327756854757577543e-01,6.480000019073486328e-01
8.372014899702796553e-01,6.471111178398132324e-01
8.414955539833398612e-01,6.428889036178588867e-01
8.456654942308700074e-01,6.489444375038146973e-01
8.497182853925832058e-01,6.423333287239074707e-01
8.536603303031741197e-01,6.485555768013000488e-01
8.574975208060138243e-01,6.567222476005554199e-01
8.612352907213883801e-01,6.527777910232543945e-01
8.648786621245315720e-01,6.495000123977661133e-01
8.684322859225335201e-01,6.518333554267883301e-01
8.719004775527041673e-01,6.549444794654846191e-01
8.752872484897499250e-01,6.466666460037231445e-01
8.785963341387245107e-01,6.416110992431640625e-01
8.818312186001268094e-01,6.448333263397216797e-01
8.849951567188297785e-01,6.448333263397216797e-01
8.880911937666634559e-01,6.416110992431640625e-01
8.911221830570137392e-01,6.652777791023254395e-01
8.940908017468109925e-01,6.627777814865112305e-01
8.969995650452311509e-01,6.576111316680908203e-01
8.998508390180846028e-01,6.542778015136718750e-01
9.026468521512224230e-01,6.616111397743225098e-01
9.053897058145479182e-01,6.457777619361877441e-01
9.080813837497277996e-01,6.341666579246520996e-01
9.107237606889119208e-01,6.514999866485595703e-01
9.133186101982539995e-01,6.661666631698608398e-01
9.158676118284290180e-01,6.550000309944152832e-01
9.183723576443462155e-01,6.675000190734863281e-01
9.208343581976337067e-01,6.383333206176757812e-01
9.232550479980013991e-01,6.491110920906066895e-01
9.256357905331067393e-01,6.621111035346984863e-01
9.279778828809064350e-01,6.716111302375793457e-01
9.302825599535609058e-01,6.420000195503234863e-01
9.325509984076544301e-01,6.435000300407409668e-01
9.347843202517283068e-01,6.397777795791625977e-01
9.369835961788163248e-01,6.586666703224182129e-01
9.391498486487607211e-01,6.431111097335815430e-01
9.412840547425185278e-01,6.715555787086486816e-01
9.433871488084059065e-01,6.393333673477172852e-01
9.454600249182187888e-01,6.372777819633483887e-01
9.475035391493865644e-01,6.372222304344177246e-01
9.495185117077440395e-01,6.660555601119995117e-01
9.515057289040903532e-01,6.403889060020446777e-01
9.534659449964586475e-01,6.707777976989746094e-01
