# kappa, accuracy
0.000000000000000000e+00,5.021666884422302246e-01
3.460507133105542588e-01,5.988888740539550781e-01
4.393444132227951049e-01,6.166111230850219727e-01
4.955341185360370160e-01,6.166111230850219727e-01
5.358706183795935996e-01,6.131111383438110352e-01
5.673585176616792181e-01,6.242777705192565918e-01
5.931900973411549094e-01,6.151666641235351562e-01
6.150913485789016866e-01,6.306666731834411621e-01
6.341018425419574500e-01,6.283888816833496094e-01
6.508964667059011777e-01,6.367777585983276367e-01
6.659382796247997893e-01,6.331666707992553711e-01
6.795588234655053350e-01,6.370000243186950684e-01
6.920036486039142787e-01,6.309444308280944824e-01
7.034596996339865793e-01,6.407777667045593262e-01
7.140725987417794185e-01,6.349999904632568359e-01
7.239579929763536592e-01,6.462777853012084961e-01
7.332092554976150645e-01,6.432222127914428711e-01
7.419028621278782598e-01,6.442778110504150391e-01
7.501022375545306486e-01,6.403889060020446777e-01
7.578605658559731673e-01,6.493889093399047852e-01
7.652228829728716653e-01,6.418333649635314941e-01
7.722276606085962669e-01,6.381666660308837891e-01
7.789080230365758029e-01,6.392777562141418457e-01
7.852926944029571255e-01,6.483889222145080566e-01
7.914067451259459984e-01,6.468889117240905762e-01
7.972721864470651010e-01,6.492222547531127930e-01
8.029084487600014475e-01,6.472777724266052246e-01
8.083327699572442349e-01,6.462777853012084961e-01
8.135605133728387450e-01,6.474444270133972168e-01
8.186054301031845393e-01,6.429444551467895508e-01
8.234798769890306902e-01,6.443333625793457031e-01
8.281949989586114835e-01,6.500000357627868652e-01
8.327608825032002393e-01,6.475555896759033203e-01
8.371866856013739921e-01,6.504444479942321777e-01
8.414807482999839827e-01,6.443889141082763672e-01
8.456506873079612241e-01,6.531666517257690430e-01
8.497034772987952511e-01,6.526111364364624023e-01
8.536455211016271694e-01,6.485555768013000488e-01
8.574827105548579187e-01,6.550555825233459473e-01
8.612204794743121283e-01,6.545555591583251953e-01
8.648638499312071293e-01,6.520000100135803223e-01
8.684174728290070533e-01,6.535000205039978027e-01
8.718856636017405792e-01,6.482777595520019531e-01
8.752724337211378325e-01,6.465555429458618164e-01
8.785815185895453627e-01,6.555555462837219238e-01
8.818164023049954725e-01,6.555555462837219238e-01
8.849803397101086988e-01,6.545000076293945312e-01
8.880763760746539504e-01,6.460000276565551758e-01
8.911073647101270812e-01,6.474999785423278809e-01
8.940759827717222885e-01,6.556110978126525879e-01
8.969847454670182296e-01,6.545555591583251953e-01
8.998360188603534704e-01,6.511111259460449219e-01
9.026320314362193953e-01,6.577222347259521484e-01
9.053748845632625386e-01,6.581666469573974609e-01
9.080665619819856538e-01,6.560555696487426758e-01
9.107089384234591245e-01,6.522222161293029785e-01
9.133037874528343592e-01,6.585555672645568848e-01
9.158527886198539747e-01,6.615555882453918457e-01
9.183575339885592381e-01,6.606110930442810059e-01
9.208195341097690223e-01,6.511111259460449219e-01
9.232402234924375062e-01,6.597777605056762695e-01
9.256209656235162564e-01,6.513888835906982422e-01
9.279630575803016201e-01,6.572777628898620605e-01
9.302677342743351785e-01,6.565555334091186523e-01
9.325361723616212295e-01,6.618333458900451660e-01
9.347694938501565076e-01,6.570000052452087402e-01
9.369687694324638771e-01,6.592777967453002930e-01
9.391350215679040714e-01,6.582222580909729004e-01
9.412692273369817064e-01,6.597777605056762695e-01
9.433723210875862852e-01,6.595000028610229492e-01
9.454451968911115056e-01,6.620555520057678223e-01
9.474887108246075051e-01,6.598889231681823730e-01
9.495036830935503769e-01,6.610555648803710938e-01
9.514909000084004198e-01,6.626666784286499023e-01
9.534511158268700326e-01,6.627222299575805664e-01
9.553850544727044980e-01,6.547222137451171875e-01
9.572934111407752633e-01,6.617222428321838379e-01
9.591768537973932585e-01,6.612222194671630859e-01
9.610360245839442150e-01,6.610555648803710938e-01
9.628715411312270822e-01,6.552777886390686035e-01
9.646839977912249342e-01,6.622222065925598145e-01
9.664739667924601152e-01,6.612777709960937500e-01
9.682419993245466872e-01,6.572777628898620605e-01
9.699886265570896171e-01,6.616111397743225098e-01
9.717143605976388265e-01,6.625555753707885742e-01
9.734196953930231988e-01,6.579444408416748047e-01
9.751051075780327038e-01,6.603888869285583496e-01
9.767710572750973874e-01,6.643888950347900391e-01
9.784179888483175436e-01,6.631667017936706543e-01
9.800463316149419235e-01,6.628333330154418945e-01
9.816565005171370428e-01,6.635000109672546387e-01
9.832488967566828109e-01,6.649444699287414551e-01
9.848239083950204309e-01,6.667777895927429199e-01
9.863819109208981084e-01,6.660000085830688477e-01
9.879232677876922386e-01,6.613333225250244141e-01
9.894483309223272016e-01,6.653333306312561035e-01
9.909574412075771166e-01,6.599444746971130371e-01
9.924509289394009004e-01,6.675555706024169922e-01
9.939291142608488450e-01,6.669444441795349121e-01
9.953923075739624649e-01,6.598889231681823730e-01
9.968408099309983283e-01,6.588333249092102051e-01
9.982749134062034457e-01,6.472222208976745605e-01
9.996949014492957364e-01,6.633333563804626465e-01
1.001101049221716721e+00,6.604444384574890137e-01
1.002493623916654863e+00,6.610000133514404297e-01
1.003872885063771481e+00,6.676666736602783203e-01
1.005239084819496531e+00,6.675555706024169922e-01
1.006592468243708849e+00,6.620555520057678223e-01
1.007933273563557774e+00,6.629999876022338867e-01
1.009261732425138725e+00,6.697778105735778809e-01
1.010578070133685724e+00,6.662777662277221680e-01
1.011882505882907068e+00,6.650000214576721191e-01
1.013175252974041207e+00,6.679444313049316406e-01
1.014456519025191072e+00,6.517778038978576660e-01
1.015726506171438670e+00,6.637222170829772949e-01
1.016985411256231986e+00,6.607222557067871094e-01
1.018233426014492515e+00,6.663888692855834961e-01
1.019470737247870407e+00,6.692222356796264648e-01
1.020697526992547566e+00,6.677222251892089844e-01
1.021913972679967086e+00,6.620555520057678223e-01
1.023120247290842499e+00,6.553888916969299316e-01
1.024316519502781686e+00,6.557778120040893555e-01
1.025502953831840980e+00,6.702222228050231934e-01
1.026679710768304554e+00,6.577222347259521484e-01
1.027846946906973313e+00,6.697778105735778809e-01
1.029004815072223078e+00,6.595555543899536133e-01
1.030153464438085420e+00,6.592777967453002930e-01
1.031293040643586068e+00,6.667777895927429199e-01
1.032423685903562038e+00,6.672222018241882324e-01
1.033545539115171774e+00,6.657778024673461914e-01
1.034658735960295006e+00,6.530555486679077148e-01
1.035763409004012869e+00,6.685555577278137207e-01
1.036859687789345230e+00,6.623889207839965820e-01
1.037947698928416429e+00,6.635555624961853027e-01
1.039027566190208640e+00,6.657778024673461914e-01
1.040099410585055617e+00,6.592777967453002930e-01
1.041163350446020708e+00,6.625555753707885742e-01
1.042219501507295920e+00,6.637777686119079590e-01
1.043267976979752376e+00,6.585000157356262207e-01
1.044308887623764948e+00,6.701666712760925293e-01
1.045342341819428311e+00,6.644444465637207031e-01
1.046368445634277888e+00,6.701666712760925293e-01
1.047387302888614480e+00,6.707222461700439453e-01
1.048399015218545394e+00,6.652777791023254395e-01
1.049403682136824223e+00,6.593333482742309570e-01
1.050401401091590303e+00,6.693333387374877930e-01
1.051392267523089785e+00,6.621111035346984863e-01
1.052376374918462920e+00,6.582222580909729004e-01
1.053353814864673943e+00,6.725555658340454102e-01
1.054324677099661489e+00,6.721110939979553223e-01
1.055289049561778603e+00,6.701111197471618652e-01
1.056247018437591167e+00,6.677222251892089844e-01
1.057198668208100489e+00,6.648333668708801270e-01
1.058144081693450422e+00,6.675555706024169922e-01
1.059083340096180104e+00,6.683889031410217285e-01
1.060016523043077585e+00,6.686111092567443848e-01
1.060943708625686988e+00,6.688888669013977051e-01
1.061864973439525128e+00,6.663888692855834961e-01
1.062780392622052261e+00,6.520000100135803223e-01
1.063690039889444439e+00,6.606666445732116699e-01
1.064593987572217015e+00,6.510000228881835938e-01
1.065492306649736376e+00,6.612222194671630859e-01
1.066385066783664959e+00,6.672222018241882324e-01
1.067272336350377548e+00,6.607222557067871094e-01
