# kappa, training_loss
0.000000000000000000e+00,1.547154486179351807e-01
3.462470649689206592e-01,1.191525384783744812e-01
4.395501010038023182e-01,1.174504458904266357e-01
4.957431188302760527e-01,1.160671114921569824e-01
5.360813152651930924e-01,1.159100234508514404e-01
5.675702457882511043e-01,1.143247783184051514e-01
5.934025185882193520e-01,1.158062741160392761e-01
6.153042676969404656e-01,1.151614040136337280e-01
6.343151365974876166e-01,1.140410453081130981e-01
6.511100532936596741e-01,1.145174354314804077e-01
6.661521008167136104e-01,1.138058677315711975e-01
6.797728369899590506e-01,1.132673844695091248e-01
6.922178226699935433e-01,1.133479252457618713e-01
7.036740097312266240e-01,1.124285236001014709e-01
7.142870255747655328e-01,1.126904189586639404e-01
7.241725210832372639e-01,1.132780089974403381e-01
7.334238722976651470e-01,1.129810959100723267e-01
7.421175572475301463e-01,1.124562248587608337e-01
7.503170023396097399e-01,1.120553165674209595e-01
7.580753930116106432e-01,1.126683652400970459e-01
7.654377662929932047e-01,1.126224324107170105e-01
7.724425947695146011e-01,1.106018647551536560e-01
7.791230034372813584e-01,1.116617247462272644e-01
7.855077170399777930e-01,1.113243177533149719e-01
7.916218064941706878e-01,1.116062328219413757e-01
7.974872834603228267e-01,1.110585406422615051e-01
8.031235786868555770e-01,1.110600084066390991e-01
8.085479303686331498e-01,1.105808839201927185e-01
8.137757020990324941e-01,1.098886132240295410e-01
8.188206451981379086e-01,1.100953966379165649e-01
8.236951167006576480e-01,1.104591414332389832e-01
8.284102617038381355e-01,1.099911406636238098e-01
8.329761668469041203e-01,1.099422648549079895e-01
8.374019902385053671e-01,1.092846021056175232e-01
8.416960720403068308e-01,1.089940816164016724e-01
8.458660290629699263e-01,1.106356158852577209e-01
8.499188360704416079e-01,1.093666329979896545e-01
8.538608959725685343e-01,1.113535761833190918e-01
8.576981006799835328e-01,1.079163253307342529e-01
8.614358840733536971e-01,1.086938455700874329e-01
8.650792682822705526e-01,1.087499558925628662e-01
8.686329042628917474e-01,1.079463288187980652e-01
8.721011074969325927e-01,1.100773811340332031e-01
8.754878894993840532e-01,1.075697168707847595e-01
8.787969857119297679e-01,1.080569550395011902e-01
8.820318802684505854e-01,1.094387173652648926e-01
8.851958280443044114e-01,1.096345558762550354e-01
8.882918743392175243e-01,1.094310507178306580e-01
8.913228724921520296e-01,1.079246103763580322e-01
8.942914996835308328e-01,1.080780401825904846e-01
8.972002711441469103e-01,1.084524840116500854e-01
9.000515529597356013e-01,1.073789373040199280e-01
9.028475736345431546e-01,1.066623255610466003e-01
9.055904345554819379e-01,1.076090037822723389e-01
9.082821194799708397e-01,1.062956154346466064e-01
9.109245031547676952e-01,1.067837402224540710e-01
9.135193591595930362e-01,1.077033132314682007e-01
9.160683670577383086e-01,1.079046875238418579e-01
9.185731189258600216e-01,1.075178459286689758e-01
9.210351253265393057e-01,1.074929237365722656e-01
9.234558207797094465e-01,1.062309443950653076e-01
9.258365687825822476e-01,1.059621050953865051e-01
9.281786664220533778e-01,1.074814647436141968e-01
9.304833486186555591e-01,1.068238466978073120e-01
9.327517920368229021e-01,1.076216176152229309e-01
9.349851186924638125e-01,1.070345267653465271e-01
9.371843992855344307e-01,1.078382954001426697e-01
9.393506562823853434e-01,1.067711934447288513e-01
9.414848667701004592e-01,1.073465049266815186e-01
9.435879651027684334e-01,1.061667352914810181e-01
9.456608453576271778e-01,1.070453077554702759e-01
9.477043636172431951e-01,1.068234145641326904e-01
9.497193400923024109e-01,1.058828383684158325e-01
9.517065610981900736e-01,1.071476116776466370e-01
9.536667808972778548e-01,1.061723530292510986e-01
9.556007234177219534e-01,1.067351177334785461e-01
9.575090838585723629e-01,1.065630540251731873e-01
9.593925301901027325e-01,1.056631729006767273e-01
9.612517045574581198e-01,1.056506708264350891e-01
9.630872245950062860e-01,1.063045486807823181e-01
9.648996846581220366e-01,1.061156764626502991e-01
9.666896569785505822e-01,1.066690608859062195e-01
9.684576927489730869e-01,1.043973714113235474e-01
9.702043231419136271e-01,1.048393771052360535e-01
9.719300602677021228e-01,1.060560420155525208e-01
9.736353980758171156e-01,1.050207614898681641e-01
9.753208132035751099e-01,1.068079397082328796e-01
9.769867657758162238e-01,1.056381538510322571e-01
9.786337001589420215e-01,1.057074069976806641e-01
9.802620456723988296e-01,1.072049289941787720e-01
9.818722172604534837e-01,1.051039397716522217e-01
9.834646161268935094e-01,1.047282665967941284e-01
9.850396303350809069e-01,1.047929003834724426e-01
9.865976353756018558e-01,1.048489585518836975e-01
9.881389947035931209e-01,1.050767228007316589e-01
9.896640602476649562e-01,1.054727509617805481e-01
9.911731728922072993e-01,1.043239086866378784e-01
9.926666629347283832e-01,1.054059639573097229e-01
9.941448505197643115e-01,1.042307317256927490e-01
9.956080460507831242e-01,1.054987236857414246e-01
9.970565505814102947e-01,1.042532026767730713e-01
9.984906561872077813e-01,1.042458638548851013e-01
9.999106463191569372e-01,1.047602668404579163e-01
1.001316796139913645e+00,1.051193699240684509e-01
1.002709372843834545e+00,1.054047793149948120e-01
1.004088635961703613e+00,1.044173985719680786e-01
1.005454837651032385e+00,1.045851781964302063e-01
1.006808222972739975e+00,1.052483692765235901e-01
1.008149030154977588e+00,1.051461771130561829e-01
1.009477490844806091e+00,1.051517277956008911e-01
1.010793830348390543e+00,1.052350774407386780e-01
1.012098267860334744e+00,1.028073802590370178e-01
1.013391016682743118e+00,1.040116176009178162e-01
1.014672284434551708e+00,1.038826853036880493e-01
1.015942273251648320e+00,1.046280711889266968e-01
1.017201179978257652e+00,1.037694513797760010e-01
1.018449196350051489e+00,1.048477515578269958e-01
1.019686509169404287e+00,1.051588281989097595e-01
1.020913300473197838e+00,1.035133749246597290e-01
1.022129747693552471e+00,1.018117293715476990e-01
1.023336023811835194e+00,1.044043749570846558e-01
1.024532297506286493e+00,1.058549210429191589e-01
1.025718733293574214e+00,1.033640280365943909e-01
1.026895491664574278e+00,1.047783941030502319e-01
1.028062729214660687e+00,1.035151258111000061e-01
1.029220598768763262e+00,1.051118522882461548e-01
1.030369249501450923e+00,1.030847057700157166e-01
1.031508827052268540e+00,1.046079173684120178e-01
1.032639473636557392e+00,1.042871847748756409e-01
1.033761328151963976e+00,1.039390489459037781e-01
1.034874526280841200e+00,1.034883633255958557e-01
1.035979200588728721e+00,1.036880165338516235e-01
1.037075480619090939e+00,1.032681614160537720e-01
1.038163492984483849e+00,1.031323596835136414e-01
1.039243361454307957e+00,1.019304841756820679e-01
1.040315207039303358e+00,1.027997955679893494e-01
1.041379148072927530e+00,1.035900637507438660e-01
1.042435300289755062e+00,1.043013930320739746e-01
1.043483776901029003e+00,1.023490428924560547e-01
1.044524688667484824e+00,1.024433374404907227e-01
1.045558143969568254e+00,1.031399965286254883e-01
1.046584248875154666e+00,1.029918417334556580e-01
1.047603107204876816e+00,1.027484834194183350e-01
1.048614820595163311e+00,1.034551337361335754e-01
1.049619488559080827e+00,1.032653823494911194e-01
1.050617208545072678e+00,1.027846708893775940e-01
1.051608075993681224e+00,1.026087328791618347e-01
1.052592184392334707e+00,1.018874123692512512e-01
1.053569625328277137e+00,1.011843979358673096e-01
1.054540488539720267e+00,1.031339392066001892e-01
1.055504861965282259e+00,1.023830398917198181e-01
1.056462831791787016e+00,1.024798899888992310e-01
1.057414482500487862e+00,1.021640822291374207e-01
1.058359896911773346e+00,1.030776426196098328e-01
1.059299156228421301e+00,1.027465239167213440e-01
1.060232340077451818e+00,1.020376458764076233e-01
1.061159526550636167e+00,1.032959520816802979e-01
1.062080792243711658e+00,1.023739427328109741e-01
1.062996212294353260e+00,1.017238274216651917e-01
1.063905860418947302e+00,1.023518219590187073e-01
1.064809808948213199e+00,1.019329503178596497e-01
1.065708128861716952e+00,1.021114289760589600e-01
1.066600889821315512e+00,1.035986095666885376e-01
1.067488160203573511e+00,1.016035079956054688e-01
1.068370007131189237e+00,1.011021360754966736e-01
1.069246496503465371e+00,1.029409989714622498e-01
1.070117693025860461e+00,9.977973997592926025e-02
1.070983660238652879e+00,1.022348776459693909e-01
1.071844460544750355e+00,1.039937138557434082e-01
1.072700155236673503e+00,1.012263298034667969e-01
1.073550804522745095e+00,1.022033840417861938e-01
1.074396467552511725e+00,1.013901755213737488e-01
1.075237202441422957e+00,1.024465933442115784e-01
1.076073066294798375e+00,1.022802144289016724e-01
1.076904115231102077e+00,1.010151058435440063e-01
1.077730404404551035e+00,1.022633984684944153e-01
1.078551988027081077e+00,1.003312841057777405e-01
1.079368919389688930e+00,1.009877398610115051e-01
1.080181250883174737e+00,1.013400256633758545e-01
1.080989034018303929e+00,1.021462008357048035e-01
1.081792319445406880e+00,1.007825285196304321e-01
1.082591156973436775e+00,1.016843691468238831e-01
1.083385595588501893e+00,1.014695242047309875e-01
1.084175683471891194e+00,9.970694035291671753e-02
1.084961468017609398e+00,1.010059639811515808e-01
1.085742995849435566e+00,1.001692786812782288e-01
1.086520312837523372e+00,1.014244779944419861e-01
1.087293464114556185e+00,1.018933802843093872e-01
1.088062494091471377e+00,1.016590595245361328e-01
1.088827446472768523e+00,1.014664024114608765e-01
1.089588364271412813e+00,1.012229397892951965e-01
1.090345289823348551e+00,1.000279411673545837e-01
1.091098264801632300e+00,9.970332682132720947e-02
1.091847330230201418e+00,1.023846343159675598e-01
1.092592526497285554e+00,9.999805688858032227e-02
1.093333893368473086e+00,1.005965396761894226e-01
1.094071469999444712e+00,1.021157503128051758e-01
1.094805294948382857e+00,1.009033769369125366e-01
1.095535406188066219e+00,1.007768884301185608e-01
1.096261841117661895e+00,9.936105459928512573e-02
1.096984636574219074e+00,1.015937626361846924e-01
1.097703828843878959e+00,1.005245596170425415e-01
1.098419453672805135e+00,1.000948324799537659e-01
1.099131546277845484e+00,1.007786393165588379e-01
1.099840141356929868e+00,1.012291610240936279e-01
1.100545273099217125e+00,9.994543343782424927e-02
1.101246975194991817e+00,1.025998070836067200e-01
1.101945280845324060e+00,1.004329621791839600e-01
1.102640222771495315e+00,1.007286012172698975e-01
1.103331833224199032e+00,9.953656047582626343e-02
1.104020143992521019e+00,9.978914260864257812e-02
1.104705186412707318e+00,9.833069145679473877e-02
1.105386991376724026e+00,9.970159828662872314e-02
1.106065589340617494e+00,1.041854098439216614e-01
1.106741010332676245e+00,1.003812998533248901e-01
1.107413283961405481e+00,1.012918055057525635e-01
1.108082439423314636e+00,9.977195411920547485e-02
1.108748505510525950e+00,1.014083996415138245e-01
1.109411510618208085e+00,1.009626835584640503e-01
1.110071482751840533e+00,1.014649569988250732e-01
1.110728449534310380e+00,1.018329113721847534e-01
1.111382438212850987e+00,1.014492213726043701e-01
1.112033475665822113e+00,9.808010607957839966e-02
1.112681588409338840e+00,9.994896501302719116e-02
1.113326802603751275e+00,1.000446155667304993e-01
1.113969144059981486e+00,9.996351599693298340e-02
1.114608638245718319e+00,1.004849448800086975e-01
1.115245310291476555e+00,9.831178933382034302e-02
1.115879184996522389e+00,1.000551655888557434e-01
1.116510286834670795e+00,9.904418885707855225e-02
1.117138639959953661e+00,9.906134754419326782e-02
1.117764268212168011e+00,9.918110072612762451e-02
1.118387195122303002e+00,1.016753688454627991e-01
1.119007443917850786e+00,9.868685156106948853e-02
1.119625037528002576e+00,1.004833728075027466e-01
1.120239998588735686e+00,9.921813011169433594e-02
1.120852349447791330e+00,1.002328842878341675e-01
1.121462112169547609e+00,1.011183708906173706e-01
1.122069308539789922e+00,9.845196455717086792e-02
1.122673960070382337e+00,1.004401743412017822e-01
1.123276088003838824e+00,9.980407357215881348e-02
1.123875713317803449e+00,9.899987280368804932e-02
1.124472856729433090e+00,1.005931720137596130e-01
1.125067538699695335e+00,9.866495430469512939e-02
1.125659779437572894e+00,9.981643408536911011e-02
1.126249598904185412e+00,1.019488498568534851e-01
1.126837016816826464e+00,9.902969747781753540e-02
1.127422052652917728e+00,9.904292225837707520e-02
1.128004725653885432e+00,9.771210700273513794e-02
1.128585054828956213e+00,1.013450101017951965e-01
1.129163058958879917e+00,1.015084534883499146e-01
1.129738756599574678e+00,9.869714826345443726e-02
1.130312166085702730e+00,9.879781305789947510e-02
1.130883305534173378e+00,9.893000870943069458e-02
1.131452192847578475e+00,9.819082915782928467e-02
1.132018845717557953e+00,1.005331054329872131e-01
1.132583281628102956e+00,9.890174865722656250e-02
1.133145517858791695e+00,9.908583760261535645e-02
1.133705571487963581e+00,9.868720173835754395e-02
1.134263459395832951e+00,9.783244132995605469e-02
1.134819198267540630e+00,9.852032363414764404e-02
1.135372804596148866e+00,1.004341319203376770e-01
1.135924294685578095e+00,1.004167348146438599e-01
1.136473684653488192e+00,9.908196330070495605e-02
1.137020990434105094e+00,9.878440946340560913e-02
1.137566227780993255e+00,9.931963682174682617e-02
1.138109412269776577e+00,9.864103794097900391e-02
1.138650559300808940e+00,9.930700063705444336e-02
1.139189684101793443e+00,9.912150353193283081e-02
1.139726801730353012e+00,9.867532551288604736e-02
1.140261927076555271e+00,9.842755645513534546e-02
1.140795074865388337e+00,9.768315404653549194e-02
1.141326259659192210e+00,9.836305677890777588e-02
1.141855495860045533e+00,9.954975545406341553e-02
1.142382797712108600e+00,1.006595492362976074e-01
1.142908179303923966e+00,9.951785951852798462e-02
1.143431654570673972e+00,9.855473041534423828e-02
1.143953237296400527e+00,9.864653646945953369e-02
1.144472941116180920e+00,9.766738116741180420e-02
1.144990779518267665e+00,1.010219529271125793e-01
1.145506765846189046e+00,1.003242805600166321e-01
1.146020913300811239e+00,9.816586971282958984e-02
1.146533234942366697e+00,9.718418866395950317e-02
1.147043743692442108e+00,1.003290265798568726e-01
1.147552452335936390e+00,9.925729036331176758e-02
1.148059373522980486e+00,9.858788549900054932e-02
1.148564519770824965e+00,9.952720254659652710e-02
1.149067903465694540e+00,9.869477152824401855e-02
1.149569536864611718e+00,9.866634756326675415e-02
1.150069432097185373e+00,9.768073260784149170e-02
1.150567601167372223e+00,9.851553291082382202e-02
1.151064055955206333e+00,9.816575795412063599e-02
1.151558808218497543e+00,9.813521802425384521e-02
1.152051869594504563e+00,9.693849831819534302e-02
1.152543251601575669e+00,9.805069863796234131e-02
1.153032965640763852e+00,9.871292859315872192e-02
1.153521022997413992e+00,9.880704432725906372e-02
1.154007434842723168e+00,9.686303883790969849e-02
1.154492212235275650e+00,9.923444688320159912e-02
1.154975366122550140e+00,9.601151943206787109e-02
1.155456907342404582e+00,9.739269316196441650e-02
1.155936846624533443e+00,9.682843089103698730e-02
1.156415194591903672e+00,9.856154024600982666e-02
1.156891961762164467e+00,9.795511513948440552e-02
1.157367158549035047e+00,9.795886278152465820e-02
1.157840795263670230e+00,9.964610636234283447e-02
1.158312882116002251e+00,9.796125441789627075e-02
1.158783429216060368e+00,9.692107141017913818e-02
1.159252446575272710e+00,9.704905003309249878e-02
1.159719944107741041e+00,9.576590359210968018e-02
1.160185931631501077e+00,9.832595288753509521e-02
1.160650418869757949e+00,9.701645374298095703e-02
1.161113415452104114e+00,9.750418365001678467e-02
1.161574930915716619e+00,9.701273590326309204e-02
1.162034974706537271e+00,9.959649294614791870e-02
1.162493556180431042e+00,9.904380887746810913e-02
1.162950684604328710e+00,9.777767956256866455e-02
1.163406369157350850e+00,9.692070633172988892e-02
1.163860618931911839e+00,9.812001883983612061e-02
1.164313442934810539e+00,9.833613783121109009e-02
1.164764850088301218e+00,9.611650556325912476e-02
1.165214849231148264e+00,9.573157131671905518e-02
1.165663449119663797e+00,9.748329222202301025e-02
1.166110658428731517e+00,9.675687551498413086e-02
1.166556485752812344e+00,9.910317510366439819e-02
1.167000939606935406e+00,9.588523954153060913e-02
1.167444028427674585e+00,9.777714312076568604e-02
