# kappa, training_loss
0.000000000000000000e+00,1.309456229209899902e-01
3.464145456691185565e-01,1.234788596630096436e-01
4.397255345594427434e-01,1.198770850896835327e-01
4.959213738784609138e-01,1.188680976629257202e-01
5.362610153690370307e-01,1.182840168476104736e-01
5.677508242264721616e-01,1.176723837852478027e-01
5.935836873684025017e-01,1.172928512096405029e-01
6.154858605186642739e-01,1.170681267976760864e-01
6.344970487553226457e-01,1.166662797331809998e-01
6.512922146015693858e-01,1.169213652610778809e-01
6.663344619366085020e-01,1.163813471794128418e-01
6.799553619187223008e-01,1.162413358688354492e-01
6.924004843311191149e-01,1.160741746425628662e-01
7.038567872490741895e-01,1.162887215614318848e-01
7.144699025154138683e-01,1.160508617758750916e-01
7.243554842778460179e-01,1.157262176275253296e-01
7.336069110312603003e-01,1.156206950545310974e-01
7.423006626849900647e-01,1.156067252159118652e-01
7.505001671102213834e-01,1.154874488711357117e-01
7.582586109023825571e-01,1.153743639588356018e-01
7.656210320182599283e-01,1.154621094465255737e-01
7.726259037951372921e-01,1.154794767498970032e-01
7.793063518446233795e-01,1.148425191640853882e-01
7.856911014193228571e-01,1.149869412183761597e-01
7.918052238602539816e-01,1.150216832756996155e-01
7.976707311846878978e-01,1.148333549499511719e-01
8.033070544431711868e-01,1.144727915525436401e-01
8.087314320880979457e-01,1.147239431738853455e-01
8.139592279337163339e-01,1.144522726535797119e-01
8.190041934906203691e-01,1.144382581114768982e-01
8.238786859587116096e-01,1.141248941421508789e-01
8.285938505791826669e-01,1.139154434204101562e-01
8.331597741172669380e-01,1.140903756022453308e-01
8.375856147923950168e-01,1.137819737195968628e-01
8.418797128640177485e-01,1.133031621575355530e-01
8.460496852294391301e-01,1.135500967502593994e-01
8.501025067296479332e-01,1.132645010948181152e-01
8.540445803432260563e-01,1.133824437856674194e-01
8.578817980423255607e-01,1.134222075343132019e-01
8.616195937628388091e-01,1.129631623625755310e-01
8.652629896840740020e-01,1.132067665457725525e-01
8.688166368070671108e-01,1.129103004932403564e-01
8.722848506541474034e-01,1.124635785818099976e-01
8.756716427771503719e-01,1.130484268069267273e-01
8.789807486512628554e-01,1.123443767428398132e-01
8.822156524408963918e-01,1.124936044216156006e-01
8.853796090492916937e-01,1.122242510318756104e-01
8.884756638016891861e-01,1.123495548963546753e-01
8.915066700604431515e-01,1.120897084474563599e-01
8.944753050274635298e-01,1.122928634285926819e-01
8.973840839533145930e-01,1.123757436871528625e-01
9.002353729419551032e-01,1.123098209500312805e-01
9.030314005144558509e-01,1.121135279536247253e-01
9.057742680732863150e-01,1.127921193838119507e-01
9.084659593902721930e-01,1.124345511198043823e-01
9.111083492255320770e-01,1.122499257326126099e-01
9.137032111711950177e-01,1.124281659722328186e-01
9.162522248020913418e-01,1.117547377943992615e-01
9.187569822056224078e-01,1.118866279721260071e-01
9.212189939543865558e-01,1.121443882584571838e-01
9.236396945776678136e-01,1.123357564210891724e-01
9.260204475814165503e-01,1.122223734855651855e-01
9.283625500607041170e-01,1.121701002120971680e-01
9.306672369437204440e-01,1.119881644845008850e-01
9.329356849020791209e-01,1.117176488041877747e-01
9.351690159584273854e-01,1.124476790428161621e-01
9.373683008190515364e-01,1.120197921991348267e-01
9.395345619562557316e-01,1.124795675277709961e-01
9.416687764627273971e-01,1.120547056198120117e-01
9.437718786978341878e-01,1.116591319441795349e-01
9.458447627437922556e-01,1.128092259168624878e-01
9.478882846878655677e-01,1.117585822939872742e-01
9.499032647451778333e-01,1.114010959863662720e-01
9.518904892353082792e-01,1.116106212139129639e-01
9.538507124245969582e-01,1.113461703062057495e-01
9.557846582449563977e-01,1.122171729803085327e-01
9.576930218989962995e-01,1.122903227806091309e-01
9.595764713603646134e-01,1.111808195710182190e-01
9.614356487774080584e-01,1.121070384979248047e-01
9.632711717875344082e-01,1.117263287305831909e-01
9.650836347490061584e-01,1.115004867315292358e-01
9.668736098963145453e-01,1.116786599159240723e-01
9.686416484247524217e-01,1.117105558514595032e-01
9.703882815093295422e-01,1.117992252111434937e-01
9.721140212627441546e-01,1.115819215774536133e-01
9.738193616367313288e-01,1.118592396378517151e-01
9.755047792707590704e-01,1.115680038928985596e-01
9.771707342917204109e-01,1.118835881352424622e-01
9.788176710679769021e-01,1.112560331821441650e-01
9.804460189208462628e-01,1.115249767899513245e-01
9.820561927963840088e-01,1.113085597753524780e-01
9.836485939000877421e-01,1.117409914731979370e-01
9.852236102969553766e-01,1.116854846477508545e-01
9.867816174791387285e-01,1.112827807664871216e-01
9.883229789032732526e-01,1.112728044390678406e-01
9.898480464994052763e-01,1.115899235010147095e-01
9.913571611533007477e-01,1.107180267572402954e-01
9.928506531637877330e-01,1.113694757223129272e-01
9.943288426766678789e-01,1.107555180788040161e-01
9.957920400966236985e-01,1.108319982886314392e-01
9.972405464784466211e-01,1.116781309247016907e-01
9.986746538988189315e-01,1.103851124644279480e-01
1.000094645809797678e+00,1.107016801834106445e-01
1.001500797375073137e+00,1.109787896275520325e-01
1.002893375789996266e+00,1.115396767854690552e-01
1.004272640586308274e+00,1.114940717816352844e-01
1.005638843922440628e+00,1.113568246364593506e-01
1.006992230860199067e+00,1.108660772442817688e-01
1.008333039628588557e+00,1.115648597478866577e-01
1.009661501875491973e+00,1.105617061257362366e-01
1.010977842907866187e+00,1.114133745431900024e-01
1.012282281921079274e+00,1.113166958093643188e-01
1.013575032217971739e+00,1.112145185470581055e-01
1.014856301418190831e+00,1.107629686594009399e-01
1.016126291658309144e+00,1.109966710209846497e-01
1.017385199783213512e+00,1.110393330454826355e-01
1.018633217529214319e+00,1.104293689131736755e-01
1.019870531699303529e+00,1.109259277582168579e-01
1.021097324330959122e+00,1.110327690839767456e-01
1.022313772856877190e+00,1.108576580882072449e-01
1.023520050258982295e+00,1.107410565018653870e-01
1.024716325216053159e+00,1.116714924573898315e-01
1.025902762245278543e+00,1.116788536310195923e-01
1.027079521838038856e+00,1.111944466829299927e-01
1.028246760590195263e+00,1.104784086346626282e-01
1.029404631327150099e+00,1.104480996727943420e-01
1.030553283223929251e+00,1.104099601507186890e-01
1.031692861920520787e+00,1.107228919863700867e-01
1.032823509632694758e+00,1.107252389192581177e-01
1.033945365258513327e+00,1.105193048715591431e-01
1.035058564480732413e+00,1.107601076364517212e-01
1.036163239865282248e+00,1.109545007348060608e-01
1.037259520956005820e+00,1.108024716377258301e-01
1.038347534365827052e+00,1.114870607852935791e-01
1.039427403864502386e+00,1.105000302195549011e-01
1.040499250463118086e+00,1.100392788648605347e-01
1.041563192495467360e+00,1.111627593636512756e-01
1.042619345696450761e+00,1.109120026230812073e-01
1.043667823277627527e+00,1.103926599025726318e-01
1.044708736000040883e+00,1.104538664221763611e-01
1.045742192244434987e+00,1.106505095958709717e-01
1.046768298078975423e+00,1.108338609337806702e-01
1.047787157324576945e+00,1.106775179505348206e-01
1.048798871617942163e+00,1.108064055442810059e-01
1.049803540472403984e+00,1.103705242276191711e-01
1.050801261336665737e+00,1.104920133948326111e-01
