# kappa, accuracy
0.000000000000000000e+00,5.000000000000000000e-01
3.469485283301220191e-01,5.882222056388854980e-01
4.402848090270929937e-01,6.010000109672546387e-01
4.964896199044083747e-01,6.057222485542297363e-01
5.368338559844320068e-01,6.111666560173034668e-01
5.683264574332960173e-01,6.126666665077209473e-01
5.941611974786885630e-01,6.129444241523742676e-01
6.160647187854301210e-01,6.098889112472534180e-01
6.350769222773673395e-01,5.877777934074401855e-01
6.518728802321068772e-01,5.971111059188842773e-01
6.669157628137584171e-01,5.072777867317199707e-01
6.805371835778502021e-01,4.129999876022338867e-01
6.929827406885677998e-01,4.997777640819549561e-01
7.044394119358452500e-01,5.989999771118164062e-01
7.150528432841346538e-01,5.941666960716247559e-01
7.249386992618018777e-01,5.895555615425109863e-01
7.341903661652599000e-01,5.933889150619506836e-01
7.428843298803873285e-01,5.969444513320922852e-01
7.510840229340915997e-01,6.062222123146057129e-01
7.588426356024727815e-01,5.761666893959045410e-01
7.662052087904970277e-01,5.675555467605590820e-01
7.732102182247166944e-01,5.833888649940490723e-01
7.798907914735506708e-01,6.014444231986999512e-01
7.862756554075646109e-01,5.982778072357177734e-01
7.923898827171892423e-01,6.078333258628845215e-01
7.982554865540590905e-01,6.082222461700439453e-01
8.038918989292302975e-01,6.092222332954406738e-01
8.093163591138314850e-01,6.017777919769287109e-01
8.145442316242968994e-01,6.044444441795349121e-01
8.195892685768849661e-01,6.018888950347900391e-01
8.244638276966724799e-01,6.026111245155334473e-01
8.291790546824795438e-01,6.058889031410217285e-01
8.337450367001414397e-01,5.000000000000000000e-01
8.381709323212779283e-01,6.051111221313476562e-01
8.424650821162164016e-01,6.036111116409301758e-01
8.466351032577087432e-01,5.257777571678161621e-01
8.506879708316712474e-01,5.983889102935791016e-01
8.546300880352050156e-01,5.718333125114440918e-01
8.584673470360399961e-01,5.917778015136718750e-01
8.622051819456376665e-01,5.867778062820434570e-01
8.658486151013622401e-01,5.722222328186035156e-01
8.694022976469224506e-01,5.633888840675354004e-01
8.728705452337652826e-01,5.397222042083740234e-01
8.762573695308601973e-01,5.646111369132995605e-01
8.795665061199032797e-01,5.832222104072570801e-01
8.828014392623697582e-01,5.956110954284667969e-01
8.859654239501404405e-01,5.986666679382324219e-01
8.890615055895687568e-01,5.872222185134887695e-01
8.920925376173770571e-01,5.997222065925598145e-01
8.950611973037836400e-01,6.011111140251159668e-01
8.979699999622078321e-01,6.017222404479980469e-01
9.008213117545438298e-01,6.025555729866027832e-01
9.036173612553485279e-01,6.033333539962768555e-01
9.063602499165495097e-01,5.995555520057678223e-01
9.090519615557730582e-01,5.992222428321838379e-01
9.116943709756140102e-01,6.036111116409301758e-01
9.142892518076485286e-01,6.017777919769287109e-01
9.168382836633907074e-01,5.923888683319091797e-01
9.193430586644002478e-01,6.039999723434448242e-01
9.218050874151219043e-01,6.003888845443725586e-01
9.242258044745664813e-01,5.967777967453002930e-01
9.266065733764649037e-01,6.021666526794433594e-01
9.289486912418797315e-01,5.779444575309753418e-01
9.312533930233447554e-01,5.978333353996276855e-01
9.335218554152979742e-01,6.012777686119079590e-01
9.357552004618082675e-01,5.998888611793518066e-01
9.379544988892881685e-01,5.982778072357177734e-01
9.401207731889674735e-01,5.962222218513488770e-01
9.422550004713478033e-01,5.865555405616760254e-01
9.443581151125799433e-01,5.845555663108825684e-01
9.464310112107056083e-01,5.712777972221374512e-01
9.484745448679235968e-01,5.123333334922790527e-01
9.504895363134640007e-01,5.786666870117187500e-01
9.524767718802410466e-01,5.736666917800903320e-01
9.544370058472090301e-01,5.916666388511657715e-01
9.563709621582235920e-01,5.883333086967468262e-01
9.582793360272094940e-01,5.861666798591613770e-01
9.601627954385427710e-01,5.877222418785095215e-01
9.620219825507486666e-01,5.872777700424194336e-01
9.638575150108987799e-01,5.801666378974914551e-01
9.656699871864371509e-01,5.796666741371154785e-01
9.674599713205832563e-01,5.909444689750671387e-01
9.692280186169330847e-01,5.927777886390686035e-01
9.709746602584001796e-01,5.896111130714416504e-01
9.727004083652101007e-01,5.255555510520935059e-01
9.744057568962716243e-01,5.966110825538635254e-01
9.760911824978936169e-01,5.730555653572082520e-01
9.777571453034952231e-01,5.797777771949768066e-01
9.794040896876679003e-01,5.911666750907897949e-01
9.810324449776799405e-01,5.319444537162780762e-01
9.826426261252726446e-01,5.919444561004638672e-01
9.842350343413808211e-01,5.877222418785095215e-01
9.858100576962022243e-01,5.879999995231628418e-01
9.873680716868655782e-01,5.811111330986022949e-01
9.889094397747720810e-01,5.626111030578613281e-01
9.904345138945327420e-01,5.755000114440917969e-01
9.919436349362888983e-01,5.984444618225097656e-01
9.934371332030625945e-01,5.562777519226074219e-01
9.949153288446794807e-01,5.957221984863281250e-01
9.963785322696836477e-01,5.938888788223266602e-01
9.978270445365733377e-01,5.906111001968383789e-01
9.992611577255906541e-01,6.053333282470703125e-01
1.000681155292214131e+00,6.076111197471618652e-01
1.002087312403421970e+00,5.904444456100463867e-01
1.003479896257726711e+00,6.005555391311645508e-01
1.004859166389911129e+00,6.056666374206542969e-01
1.006225374961333685e+00,6.022777557373046875e-01
1.007578767036616973e+00,6.025000214576721191e-01
1.008919580847479569e+00,5.984444618225097656e-01
1.010248048044417812e+00,6.094444394111633301e-01
1.011564393936907447e+00,6.068333387374877930e-01
1.012868837722745052e+00,6.056110858917236328e-01
