# kappa, accuracy
0.000000000000000000e+00,4.925000071525573730e-01
3.463400520840242414e-01,5.832222104072570801e-01
4.396475048252416196e-01,5.963888764381408691e-01
4.958420896248600385e-01,6.006666421890258789e-01
5.361810886060400794e-01,6.014999747276306152e-01
5.676705069348731980e-01,6.023889183998107910e-01
5.935031075973019599e-01,6.032222509384155273e-01
6.154050922093908804e-01,6.036666631698608398e-01
6.344161384624108502e-01,6.035000085830688477e-01
6.512111935313473765e-01,6.029999852180480957e-01
6.662533520258949737e-01,6.026111245155334473e-01
6.798741791752895836e-01,6.039999723434448242e-01
6.923192407937619475e-01,6.046666502952575684e-01
7.037754921995418300e-01,6.040555834770202637e-01
7.143885632605689873e-01,6.028888821601867676e-01
7.242741066728251020e-01,6.037777662277221680e-01
7.335254998401581350e-01,6.052777767181396484e-01
7.422192218360791349e-01,6.061666607856750488e-01
7.504186998806675613e-01,6.062222123146057129e-01
7.581771200546044698e-01,6.063333153724670410e-01
7.655395199023683483e-01,6.067777872085571289e-01
7.725443724270987245e-01,6.072221994400024414e-01
7.792248029667395715e-01,6.082222461700439453e-01
7.856095365476195580e-01,6.096110939979553223e-01
7.917236443220370123e-01,6.105555295944213867e-01
7.975891381486194254e-01,6.122221946716308594e-01
8.032254489435823874e-01,6.138888597488403320e-01
8.086498150448171440e-01,6.148889064788818359e-01
8.138776001683678540e-01,6.165555715560913086e-01
8.189225557401248468e-01,6.171666383743286133e-01
8.237970388865412108e-01,6.183888912200927734e-01
8.285121947848080870e-01,6.196666955947875977e-01
8.330781101441335768e-01,6.218333244323730469e-01
8.375039431346924523e-01,6.243333220481872559e-01
8.417980339724584482e-01,6.258888840675354004e-01
8.459679995162123767e-01,6.271666884422302246e-01
8.500208145726888542e-01,6.286666393280029297e-01
8.539628820899087813e-01,6.303333044052124023e-01
8.578000940126717655e-01,6.313889026641845703e-01
8.615378842523156999e-01,6.336110830307006836e-01
8.651812749660440227e-01,6.345000267028808594e-01
