# kappa, training_loss
0.000000000000000000e+00,2.496064603328704834e-01
3.467279480459982688e-01,2.353855371475219727e-01
4.400537929583728802e-01,2.309070676565170288e-01
4.962549022923060105e-01,2.287418395280838013e-01
5.365972427593383998e-01,2.250460237264633179e-01
5.680886920719692146e-01,2.220518440008163452e-01
5.939226577728208278e-01,2.179573625326156616e-01
6.158256228811341826e-01,2.159293144941329956e-01
6.348374075191163257e-01,2.103561758995056152e-01
6.516330386825938126e-01,2.098132520914077759e-01
6.666756591884803740e-01,2.077372223138809204e-01
6.802968651005583123e-01,2.057758718729019165e-01
6.927422428739871130e-01,2.004811167716979980e-01
7.041987621651357721e-01,1.976874023675918579e-01
7.148120631123964230e-01,1.930499970912933350e-01
7.246978059614721523e-01,1.924515366554260254e-01
7.339493737901733317e-01,1.900042295455932617e-01
7.426432500186954666e-01,1.863764971494674683e-01
7.508428652531856651e-01,1.836645901203155518e-01
7.586014082512517742e-01,1.819266974925994873e-01
7.659639187015652162e-01,1.797671914100646973e-01
7.729688713449679449e-01,1.745862364768981934e-01
7.796493929425837299e-01,1.704285740852355957e-01
7.860342096974778370e-01,1.702837944030761719e-01
7.921483937433730915e-01,1.682151108980178833e-01
7.980139577639157045e-01,1.649439632892608643e-01
8.036503333738987953e-01,1.609171032905578613e-01
8.090747595066780651e-01,1.581139564514160156e-01
8.143026003889973774e-01,1.543589830398559570e-01
8.193476078872459212e-01,1.540323048830032349e-01
8.242221395098369152e-01,1.509611904621124268e-01
8.289373407667948168e-01,1.503361165523529053e-01
8.335032986586848880e-01,1.453710943460464478e-01
8.379291716118301148e-01,1.447862237691879272e-01
8.422233000683048143e-01,1.427208185195922852e-01
8.463933010872237706e-01,1.389386951923370361e-01
8.504461496534578835e-01,1.350984573364257812e-01
8.543882488739575898e-01,1.346968412399291992e-01
8.582254908357664913e-01,1.296955347061157227e-01
8.619633095779145604e-01,1.299725770950317383e-01
8.656067273725599476e-01,1.285308003425598145e-01
