# kappa, accuracy
0.000000000000000000e+00,5.546666383743286133e-01
3.464227816674610994e-01,6.003333330154418945e-01
4.397341613964386164e-01,6.044999957084655762e-01
4.959301393707051253e-01,6.022222042083740234e-01
5.362698518738533426e-01,6.032778024673461914e-01
5.677597038938172469e-01,6.056666374206542969e-01
5.935925960457880679e-01,6.052777767181396484e-01
6.154947900338313405e-01,6.077777743339538574e-01
6.345059939629101864e-01,6.089444160461425781e-01
6.513011720525568871e-01,6.103888750076293945e-01
6.663434292064731590e-01,6.123889088630676270e-01
6.799643372382394579e-01,6.162222027778625488e-01
6.924094663697279994e-01,6.178888678550720215e-01
7.038657749809309472e-01,6.194444298744201660e-01
7.144788951329448246e-01,6.209999918937683105e-01
7.243644811339263745e-01,6.253888607025146484e-01
7.336159115993504676e-01,6.261666417121887207e-01
7.423096665309276698e-01,6.274999976158142090e-01
7.505091738718061567e-01,6.294999718666076660e-01
7.582676202743052762e-01,6.307777762413024902e-01
7.656300437407806969e-01,6.321111321449279785e-01
7.726349176454468948e-01,6.340555548667907715e-01
7.793153676301586286e-01,6.346666812896728516e-01
7.857001189725292267e-01,6.367777585983276367e-01
7.918142430344342619e-01,6.370555758476257324e-01
7.976797518506790752e-01,6.370555758476257324e-01
8.033160764866568160e-01,6.384444236755371094e-01
8.087404554074164587e-01,6.397777795791625977e-01
8.139682524380598139e-01,6.401666402816772461e-01
8.190132190985430771e-01,6.411666870117187500e-01
8.238877125968849802e-01,6.412222385406494141e-01
8.286028781813518096e-01,6.417777538299560547e-01
8.331688026233692312e-01,6.427222490310668945e-01
8.375946441478114846e-01,6.433333158493041992e-01
8.418887430189347931e-01,6.444444656372070312e-01
8.460587161383006372e-01,6.469444632530212402e-01
8.501115383506837597e-01,6.463333368301391602e-01
8.540536126380435800e-01,6.462777853012084961e-01
8.578908309755554074e-01,6.472777724266052246e-01
8.616286273018251007e-01,6.473888754844665527e-01
8.652720237986045726e-01,6.488888859748840332e-01
8.688256714691344751e-01,6.481666564941406250e-01
8.722938858377400351e-01,6.481111049652099609e-01
8.756806784580674075e-01,6.492221951484680176e-01
8.789897848069496700e-01,6.512222290039062500e-01
8.822246890502989380e-01,6.518333554267883301e-01
8.853886460927256064e-01,6.522777676582336426e-01
8.884847012607240968e-01,6.511111259460449219e-01
8.915157079177985500e-01,6.522777676582336426e-01
8.944843432669141725e-01,6.527222394943237305e-01
8.973931225596069039e-01,6.531666517257690430e-01
9.002444119007314560e-01,6.553333401679992676e-01
9.030404398121850695e-01,6.542778015136718750e-01
9.057833076972016118e-01,6.553888916969299316e-01
9.084749993283148806e-01,6.558889150619506836e-01
9.111173894663001649e-01,6.554999947547912598e-01
9.137122517038958058e-01,6.551111340522766113e-01
9.162612656164996761e-01,6.572222113609313965e-01
9.187660232920408232e-01,6.570000052452087402e-01
9.212280353036098601e-01,6.562777757644653320e-01
9.236487361809504471e-01,6.562777757644653320e-01
9.260294894304421653e-01,6.571666598320007324e-01
9.283715921475582666e-01,6.582777500152587891e-01
9.306762792608651580e-01,6.573333144187927246e-01
9.329447274423287029e-01,6.581666469573974609e-01
9.351780587149277624e-01,6.592222452163696289e-01
9.373773437852596091e-01,6.596111059188842773e-01
9.395436051259207222e-01,6.573888659477233887e-01
9.416778198298740854e-01,6.593888998031616211e-01
9.437809222567465905e-01,6.593333482742309570e-01
9.458538064889991936e-01,6.589999794960021973e-01
