# kappa, training_loss
0.000000000000000000e+00,2.496322989463806152e-01
2.988057025077543449e-01,2.501762807369232178e-01
3.793404036046686967e-01,2.496354132890701294e-01
4.278443489503362396e-01,2.500009238719940186e-01
4.626631842576834353e-01,2.495782524347305298e-01
4.898436789832275040e-01,2.491233199834823608e-01
5.121415364440764506e-01,2.485688477754592896e-01
5.310466833908575879e-01,2.479751706123352051e-01
5.474565015608054974e-01,2.463856786489486694e-01
5.619535661082869504e-01,2.450533658266067505e-01
5.749375959286309179e-01,2.435873001813888550e-01
5.866947821126314855e-01,2.415100783109664917e-01
5.974370860658168025e-01,2.394023090600967407e-01
6.073258797766927231e-01,2.396058887243270874e-01
6.164868651886795670e-01,2.305259853601455688e-01
6.250198693721763510e-01,2.298923730850219727e-01
6.330054923650419996e-01,2.299720942974090576e-01
6.405097482874203552e-01,2.287387400865554810e-01
6.475873854313263234e-01,2.290760129690170288e-01
6.542843123370992720e-01,2.272193133831024170e-01
6.606394040344975016e-01,2.231263667345046997e-01
6.666858692787660523e-01,2.206256836652755737e-01
6.724523009076072144e-01,2.239461541175842285e-01
6.779634935588360056e-01,2.202984243631362915e-01
6.832410879663767256e-01,2.156586199998855591e-01
6.883040841796965736e-01,2.175712287425994873e-01
6.931692544591678828e-01,2.166756838560104370e-01
6.978514784981730834e-01,2.139098793268203735e-01
7.023640178721529681e-01,2.131596207618713379e-01
7.067187424744832969e-01,2.152058184146881104e-01
7.109263186788904454e-01,2.154214531183242798e-01
7.149963667382549515e-01,2.119687795639038086e-01
7.189375932648189860e-01,2.042306214570999146e-01
7.227579033808478881e-01,2.120668590068817139e-01
7.264644961721112848e-01,2.132520079612731934e-01
7.300639463412128549e-01,2.107931822538375854e-01
7.335622743878212892e-01,2.066061794757843018e-01
7.369650071975424321e-01,2.054015845060348511e-01
7.402772305706653011e-01,2.077182680368423462e-01
7.435036349441874748e-01,2.071182131767272949e-01
7.466485553388657603e-01,2.019925713539123535e-01
7.497160063850637490e-01,2.004472166299819946e-01
7.527097131374488326e-01,2.063548415899276733e-01
7.556331382718656231e-01,2.021702080965042114e-01
7.584895061624181700e-01,2.013165354728698730e-01
7.612818242585968065e-01,1.983951181173324585e-01
7.640129021178165836e-01,1.998623609542846680e-01
7.666853683953318566e-01,2.020287960767745972e-01
7.693016860490745623e-01,1.963237524032592773e-01
7.718641659798524124e-01,2.012174427509307861e-01
7.743749792962287826e-01,2.001962065696716309e-01
7.768361683672038165e-01,2.003265917301177979e-01
7.792496568036844096e-01,2.040779888629913330e-01
7.816172584909623078e-01,1.982150971889495850e-01
7.839406857784528837e-01,1.943763941526412964e-01
7.862215569193247156e-01,1.930532902479171753e-01
7.884614028409807629e-01,1.962993592023849487e-01
7.906616733173419398e-01,1.911509931087493896e-01
7.928237426052563430e-01,1.895142346620559692e-01
7.949489145999105721e-01,1.900643855333328247e-01
7.970384275576763988e-01,1.908444762229919434e-01
7.990934584292258558e-01,1.920887976884841919e-01
8.011151268408842618e-01,1.880528777837753296e-01
8.031044987579408767e-01,1.861740350723266602e-01
8.050625898599235164e-01,1.815293431282043457e-01
8.069903686545983890e-01,1.889785826206207275e-01
8.088887593545912580e-01,1.878879517316818237e-01
8.107586445380209339e-01,1.824143230915069580e-01
8.126008676123172014e-01,1.835307627916336060e-01
8.144162350984407439e-01,1.827966272830963135e-01
8.162055187509866805e-01,1.789730936288833618e-01
8.179694575281261093e-01,1.822087466716766357e-01
8.197087594239652608e-01,1.781561821699142456e-01
8.214241031746978283e-01,1.789796054363250732e-01
8.231161398488376912e-01,1.783859282732009888e-01
8.247854943308587927e-01,1.802585124969482422e-01
8.264327667067009608e-01,1.743405759334564209e-01
8.280585335588289686e-01,1.747539043426513672e-01
8.296633491778421243e-01,1.746257543563842773e-01
8.312477466969995232e-01,1.736377924680709839e-01
8.328122391554786397e-01,1.754849851131439209e-01
8.343573204956667988e-01,1.702843904495239258e-01
8.358834664993409769e-01,1.721756607294082642e-01
8.373911356671724926e-01,1.700022518634796143e-01
8.388807700456272221e-01,1.688441336154937744e-01
8.403527960049893553e-01,1.680169850587844849e-01
8.418076249719379511e-01,1.690898239612579346e-01
8.432456541198227740e-01,1.679044663906097412e-01
8.446672670195394250e-01,1.678281128406524658e-01
8.460728342536694147e-01,1.596978753805160522e-01
8.474627139963480937e-01,1.633839607238769531e-01
8.488372525611277419e-01,1.661331802606582642e-01
8.501967849189350224e-01,1.590197980403900146e-01
8.515416351880579215e-01,1.603018194437026978e-01
8.528721170979569610e-01,1.605206429958343506e-01
8.541885344285614634e-01,1.619003564119338989e-01
8.554911814265869774e-01,1.592335551977157593e-01
8.567803432003054942e-01,1.590987592935562134e-01
8.580562960940877337e-01,1.523299366235733032e-01
8.593193080439535114e-01,1.530078351497650146e-01
8.605696389152718284e-01,1.565266251564025879e-01
8.618075408236752777e-01,1.499959677457809448e-01
8.630332584401801954e-01,1.567614972591400146e-01
8.642470292814384836e-01,1.467245519161224365e-01
8.654490839859786400e-01,1.520078033208847046e-01
8.666396465772417956e-01,1.456014811992645264e-01
8.678189347141642696e-01,1.443242728710174561e-01
8.689871599300035276e-01,1.490005105733871460e-01
8.701445278600689059e-01,1.497790664434432983e-01
8.712912384589641679e-01,1.463872641324996948e-01
8.724274862079209880e-01,1.434105634689331055e-01
8.735534603127573794e-01,1.436742544174194336e-01
8.746693448929682146e-01,1.375722736120223999e-01
8.757753191624172429e-01,1.425910145044326782e-01
8.768715576020765790e-01,1.425432711839675903e-01
8.779582301252298882e-01,1.493747085332870483e-01
8.790355022355281767e-01,1.464245766401290894e-01
8.801035351782695582e-01,1.375156491994857788e-01
8.811624860852447227e-01,1.423462778329849243e-01
8.822125081134779556e-01,1.340523213148117065e-01
8.832537505781656861e-01,1.383424848318099976e-01
8.842863590801046669e-01,1.361755728721618652e-01
8.853104756278800114e-01,1.338923722505569458e-01
8.863262387550687738e-01,1.358054727315902710e-01
8.873337836327043204e-01,1.337593197822570801e-01
8.883332421772254239e-01,1.289181262254714966e-01
8.893247431541284609e-01,1.332087665796279907e-01
8.903084122775269948e-01,1.265842020511627197e-01
8.912843723058081480e-01,1.333915889263153076e-01
8.922527431335709469e-01,1.286183446645736694e-01
8.932136418800171729e-01,1.296364217996597290e-01
8.941671829739578081e-01,1.273885518312454224e-01
8.951134782355906205e-01,1.276046633720397949e-01
8.960526369551924386e-01,1.241429820656776428e-01
8.969847659688680030e-01,1.214865893125534058e-01
8.979099697314834039e-01,1.221133768558502197e-01
8.988283503869113344e-01,1.272193044424057007e-01
8.997400078357044029e-01,1.193450987339019775e-01
9.006450398003089663e-01,1.188760548830032349e-01
9.015435418879276241e-01,1.165654137730598450e-01
9.024356076511290681e-01,1.248395219445228577e-01
9.033213286463019909e-01,1.177759841084480286e-01
9.042007944900466443e-01,1.193558275699615479e-01
9.050740929135873136e-01,1.197855025529861450e-01
9.059413098152914179e-01,1.120782718062400818e-01
9.068025293113713969e-01,1.073479875922203064e-01
9.076578337848469902e-01,1.151473745703697205e-01
9.085073039328352973e-01,1.130973845720291138e-01
9.093510188122417848e-01,1.176050752401351929e-01
9.101890558839104139e-01,1.146176606416702271e-01
9.110214910553013912e-01,1.146929189562797546e-01
9.118483987217499420e-01,1.082428172230720520e-01
9.126698518063647292e-01,1.086670234799385071e-01
9.134859217986192048e-01,1.087582558393478394e-01
9.142966787916866345e-01,1.046168655157089233e-01
9.151021915185676425e-01,1.049999296665191650e-01
9.159025273870564643e-01,1.119180992245674133e-01
9.166977525135910909e-01,1.128937378525733948e-01
9.174879317560297176e-01,1.015008762478828430e-01
9.182731287453929081e-01,1.019855663180351257e-01
9.190534059166126646e-01,9.564079344272613525e-02
9.198288245383231532e-01,1.027254983782768250e-01
9.205994447417296112e-01,1.057281866669654846e-01
9.213653255485906302e-01,9.945055097341537476e-02
9.221265248983435692e-01,9.563927352428436279e-02
9.228830996744074033e-01,9.616955369710922241e-02
9.236351057296909861e-01,1.018014028668403625e-01
9.243825979113345914e-01,1.064883396029472351e-01
9.251256300847158220e-01,8.651234954595565796e-02
9.258642551567407564e-01,9.928787499666213989e-02
9.265985250984508648e-01,9.535776823759078979e-02
9.273284909669646803e-01,8.969885855913162231e-02
9.280542029267838666e-01,1.023608222603797913e-01
9.287757102704780054e-01,9.248635172843933105e-02
9.294930614387764134e-01,8.924070745706558228e-02
9.302063040400835314e-01,9.600283205509185791e-02
9.309154848694388695e-01,8.411168307065963745e-02
9.316206499269392705e-01,9.169594943523406982e-02
9.323218444356446977e-01,8.912762999534606934e-02
9.330191128589799821e-01,8.760140091180801392e-02
9.337124989176541767e-01,8.520745486021041870e-02
9.344020456061105095e-01,8.875662833452224731e-02
9.350877952085235867e-01,8.598593622446060181e-02
9.357697893143589463e-01,9.004173427820205688e-02
9.364480688335080627e-01,8.421563357114791870e-02
9.371226740110141229e-01,8.490815013647079468e-02
9.377936444414008976e-01,8.057759702205657959e-02
9.384610190826176979e-01,8.255908638238906860e-02
9.391248362696119623e-01,8.296769857406616211e-02
9.397851337275434647e-01,8.046091347932815552e-02
9.404419485846484683e-01,8.433435857295989990e-02
9.410953173847679265e-01,7.959525287151336670e-02
9.417452760995467242e-01,8.048353344202041626e-02
9.423918601403187267e-01,7.891684770584106445e-02
9.430351043696831859e-01,8.509597927331924438e-02
9.436750431127833849e-01,8.020327985286712646e-02
9.443117101682989567e-01,7.673816382884979248e-02
9.449451388191560941e-01,7.539410144090652466e-02
9.455753618429688645e-01,7.648671418428421021e-02
9.462024115222167353e-01,6.971747428178787231e-02
9.468263196541668592e-01,7.229559868574142456e-02
9.474471175605497786e-01,7.509815692901611328e-02
9.480648360969944344e-01,7.767624408006668091e-02
9.486795056622309152e-01,7.130178064107894897e-02
9.492911562070668330e-01,6.960839033126831055e-02
9.498998172431447617e-01,7.163207978010177612e-02
9.505055178514857372e-01,6.819571554660797119e-02
9.511082866908274758e-01,7.167330384254455566e-02
9.517081520057601995e-01,6.524772942066192627e-02
9.523051416346686171e-01,6.964380294084548950e-02
9.528992830174841666e-01,7.034357637166976929e-02
9.534906032032522960e-01,6.773091107606887817e-02
9.540791288575224405e-01,7.142448425292968750e-02
9.546648862695633619e-01,7.574285566806793213e-02
9.552479013594091795e-01,6.588389724493026733e-02
9.558281996847423079e-01,6.826838105916976929e-02
9.564058064476158583e-01,7.301734387874603271e-02
9.569807465010212733e-01,6.774713844060897827e-02
9.575530443553049720e-01,6.292031705379486084e-02
9.581227241844381126e-01,6.816843152046203613e-02
9.586898098321438022e-01,7.159443944692611694e-02
9.592543248178854176e-01,6.586241722106933594e-02
9.598162923427197013e-01,6.465280055999755859e-02
9.603757352950179627e-01,6.412547826766967773e-02
9.609326762560606028e-01,5.998715758323669434e-02
9.614871375055056291e-01,5.924278125166893005e-02
9.620391410267365995e-01,6.110780686140060425e-02
9.625887085120934383e-01,6.123324111104011536e-02
9.631358613679862346e-01,6.240142509341239929e-02
9.636806207198992391e-01,6.346645951271057129e-02
9.642230074172850607e-01,5.885520577430725098e-02
9.647630420383522809e-01,6.181323900818824768e-02
9.653007448947508173e-01,5.541312694549560547e-02
9.658361360361557013e-01,6.458182632923126221e-02
9.663692352547524900e-01,6.276729702949523926e-02
9.669000620896284204e-01,6.070096418261528015e-02
9.674286358310688616e-01,6.026601418852806091e-02
9.679549755247642828e-01,6.359981745481491089e-02
9.684790999759271823e-01,6.357121467590332031e-02
9.690010277533243066e-01,5.546431615948677063e-02
9.695207771932238261e-01,5.759111046791076660e-02
9.700383664032607989e-01,5.683322995901107788e-02
9.705538132662219208e-01,5.637760832905769348e-02
9.710671354437538927e-01,5.884428694844245911e-02
9.715783503799934051e-01,5.339569970965385437e-02
9.720874753051254036e-01,5.718270316720008850e-02
9.725945272388668572e-01,5.871358141303062439e-02
9.730995229938810276e-01,5.899202078580856323e-02
9.736024791791220157e-01,5.847280845046043396e-02
9.741034122031133613e-01,5.287169665098190308e-02
9.746023382771592525e-01,5.522259697318077087e-02
9.750992734184930066e-01,5.216545239090919495e-02
9.755942334533619364e-01,5.110305920243263245e-02
9.760872340200525965e-01,5.221962928771972656e-02
9.765782905718545237e-01,5.117686465382575989e-02
9.770674183799673562e-01,5.204622820019721985e-02
9.775546325363503319e-01,5.284481123089790344e-02
9.780399479565158316e-01,5.477407947182655334e-02
9.785233793822706305e-01,5.357719957828521729e-02
9.790049413844009729e-01,5.284824967384338379e-02
9.794846483653092406e-01,5.005539953708648682e-02
9.799625145615976640e-01,5.166658014059066772e-02
9.804385540466039606e-01,5.221114307641983032e-02
9.809127807328880122e-01,5.074327439069747925e-02
9.813852083746713584e-01,5.282235890626907349e-02
9.818558505702316141e-01,5.197684094309806824e-02
9.823247207642503698e-01,4.756923764944076538e-02
9.827918322501176807e-01,5.203391984105110168e-02
9.832571981721942578e-01,5.334042757749557495e-02
9.837208315280299153e-01,4.968760907649993896e-02
9.841827451705422725e-01,5.249934643507003784e-02
9.846429518101550427e-01,5.945460125803947449e-02
9.851014640168958003e-01,5.351898446679115295e-02
9.855582942224567766e-01,4.705891385674476624e-02
9.860134547222170198e-01,5.807540938258171082e-02
9.864669576772282511e-01,5.030139535665512085e-02
9.869188151161639722e-01,4.012340679764747620e-02
9.873690389372348220e-01,4.425539821386337280e-02
9.878176409100670741e-01,4.866528883576393127e-02
9.882646326775501588e-01,4.202023893594741821e-02
9.887100257576489915e-01,4.507237672805786133e-02
9.891538315451847696e-01,5.062929913401603699e-02
9.895960613135847961e-01,5.186852440237998962e-02
9.900367262166001048e-01,5.453266575932502747e-02
9.904758372899937768e-01,4.193781688809394836e-02
9.909134054531989477e-01,4.562563821673393250e-02
9.913494415109487257e-01,4.586825892329216003e-02
9.917839561548761340e-01,4.596073552966117859e-02
9.922169599650878524e-01,4.572442546486854553e-02
9.926484634117095363e-01,4.791323468089103699e-02
9.930784768564053788e-01,4.719834402203559875e-02
9.935070105538708063e-01,4.528973996639251709e-02
9.939340746532991933e-01,4.658762738108634949e-02
9.943596791998253748e-01,4.602125287055969238e-02
9.947838341359426240e-01,4.581603035330772400e-02
9.952065493028959819e-01,4.690689221024513245e-02
9.956278344420530502e-01,4.529307037591934204e-02
9.960476991962506910e-01,4.621473699808120728e-02
9.964661531111191906e-01,4.828152805566787720e-02
9.968832056363842176e-01,4.308358207345008850e-02
9.972988661271485755e-01,4.929153621196746826e-02
9.977131438451494194e-01,4.741882905364036560e-02
9.981260479599979307e-01,4.799643531441688538e-02
9.985375875503964549e-01,4.629508033394813538e-02
9.989477716053368761e-01,4.435135051608085632e-02
9.993566090252774536e-01,4.694162681698799133e-02
9.997641086233036711e-01,4.013908654451370239e-02
1.000170279126265882e+00,4.732367768883705139e-02
1.000575129175902411e+00,4.767590016126632690e-02
1.000978667329941674e+00,4.304947331547737122e-02
1.001380902063188527e+00,4.078143835067749023e-02
1.001781841768590864e+00,4.688969254493713379e-02
1.002181494758292324e+00,3.890969604253768921e-02
1.002579869264664358e+00,4.634149745106697083e-02
1.002976973441324748e+00,3.921321406960487366e-02
1.003372815364139026e+00,4.165073856711387634e-02
1.003767403032205463e+00,5.137277767062187195e-02
1.004160744368824965e+00,4.723849892616271973e-02
1.004552847222455858e+00,4.577896371483802795e-02
1.004943719367654031e+00,4.123441129922866821e-02
1.005333368505997083e+00,4.145054891705513000e-02
1.005721802266995146e+00,4.360068589448928833e-02
1.006109028208987288e+00,4.385241493582725525e-02
1.006495053820024133e+00,4.228285327553749084e-02
1.006879886518736278e+00,3.787027671933174133e-02
1.007263533655190502e+00,4.129194840788841248e-02
1.007646002511731087e+00,4.832877963781356812e-02
1.008027300303809604e+00,4.362604394555091858e-02
1.008407434180802698e+00,4.070117697119712830e-02
1.008786411226814561e+00,4.207131639122962952e-02
1.009164238461470742e+00,4.322297871112823486e-02
1.009540922840697075e+00,4.318350180983543396e-02
1.009916471257489290e+00,4.325144737958908081e-02
1.010290890542668407e+00,4.591358453035354614e-02
1.010664187465627029e+00,3.552956134080886841e-02
1.011036368735064306e+00,4.549991711974143982e-02
1.011407440999708252e+00,3.973995149135589600e-02
1.011777410849028724e+00,4.076488316059112549e-02
1.012146284813939978e+00,4.190070182085037231e-02
1.012514069367491887e+00,4.273726418614387512e-02
1.012880770925551621e+00,4.635006189346313477e-02
1.013246395847475556e+00,4.059693217277526855e-02
1.013610950436770963e+00,4.620774835348129272e-02
1.013974440941747046e+00,4.602747038006782532e-02
1.014336873556158869e+00,4.374217242002487183e-02
1.014698254419840184e+00,4.098558053374290466e-02
1.015058589619326712e+00,4.146789386868476868e-02
1.015417885188472980e+00,3.572889417409896851e-02
1.015776147109056282e+00,4.649074375629425049e-02
1.016133381311376649e+00,4.570309072732925415e-02
1.016489593674843928e+00,4.364320635795593262e-02
1.016844790028558876e+00,4.229273647069931030e-02
1.017198976151886702e+00,4.342323169112205505e-02
1.017552157775019284e+00,5.126327648758888245e-02
1.017904340579533162e+00,4.144883900880813599e-02
1.018255530198936887e+00,3.597500175237655640e-02
1.018605732219212578e+00,3.812229633331298828e-02
1.018954952179347728e+00,4.133624583482742310e-02
1.019303195571861886e+00,4.269299283623695374e-02
1.019650467843325359e+00,4.199339821934700012e-02
1.019996774394869465e+00,4.448867961764335632e-02
1.020342120582690137e+00,3.284492343664169312e-02
1.020686511718547074e+00,4.166002944111824036e-02
1.021029953070251128e+00,3.653419762849807739e-02
1.021372449862150589e+00,3.691872209310531616e-02
1.021714007275605240e+00,3.971685469150543213e-02
1.022054630449459323e+00,4.041539132595062256e-02
1.022394324480503602e+00,4.035672545433044434e-02
1.022733094423933675e+00,3.411677479743957520e-02
1.023070945293801604e+00,4.446796700358390808e-02
1.023407882063460228e+00,3.954503312706947327e-02
1.023743909666003704e+00,4.536844044923782349e-02
1.024079032994699823e+00,4.012571647763252258e-02
1.024413256903418112e+00,3.821140527725219727e-02
1.024746586207051502e+00,3.744853660464286804e-02
1.025079025681932432e+00,4.033602401614189148e-02
1.025410580066243860e+00,3.873569890856742859e-02
1.025741254060424046e+00,3.978567197918891907e-02
1.026071052327566901e+00,4.099328815937042236e-02
1.026399979493815229e+00,4.014771431684494019e-02
1.026728040148752408e+00,4.173638299107551575e-02
1.027055238845784091e+00,3.990726917982101440e-02
1.027381580102519676e+00,3.938321396708488464e-02
1.027707068401144452e+00,3.834340721368789673e-02
1.028031708188790860e+00,4.255251958966255188e-02
1.028355503877901755e+00,3.879789635539054871e-02
1.028678459846591009e+00,4.180957749485969543e-02
1.029000580438998336e+00,4.646305367350578308e-02
1.029321869965639458e+00,4.068817570805549622e-02
1.029642332703753604e+00,4.342877119779586792e-02
