# kappa, training_loss
0.000000000000000000e+00,2.493105232715606689e-01
2.987604852274811096e-01,2.413810491561889648e-01
3.792930361817921092e-01,2.389505356550216675e-01
4.277962186404299372e-01,2.322239279747009277e-01
4.626146632143107729e-01,2.345899045467376709e-01
4.897949204396836453e-01,2.328788787126541138e-01
5.120926182711754704e-01,2.270897477865219116e-01
5.309976505555610293e-01,2.261516004800796509e-01
5.474073823753375923e-01,2.297119200229644775e-01
5.619043795510186845e-01,2.296929955482482910e-01
5.748883553407100333e-01,2.276397049427032471e-01
5.866454972294415926e-01,2.253841161727905273e-01
5.973877642089802098e-01,2.226263880729675293e-01
6.072765265911054255e-01,2.237075418233871460e-01
6.164374851181830817e-01,2.237961888313293457e-01
6.249704659777208793e-01,2.207096368074417114e-01
6.329560685440405177e-01,2.207717150449752808e-01
6.404603064289636771e-01,2.193052470684051514e-01
6.475379275285197966e-01,2.210027426481246948e-01
6.542348400699924404e-01,2.190663367509841919e-01
6.605899188323849369e-01,2.176547050476074219e-01
6.666363723677231068e-01,2.179961502552032471e-01
6.724027933472728202e-01,2.138202190399169922e-01
6.779139762712326212e-01,2.190475463867187500e-01
6.831915617587517309e-01,2.125618457794189453e-01
6.882545497628128617e-01,2.154379636049270630e-01
6.931197124620909200e-01,2.161555141210556030e-01
6.978019294803298189e-01,2.144489139318466187e-01
7.023144623332446823e-01,2.133976072072982788e-01
7.066691808626955895e-01,2.110956609249114990e-01
7.108767513977387598e-01,2.112282514572143555e-01
7.149467941523305337e-01,2.100382447242736816e-01
7.188880157046387831e-01,2.128423005342483521e-01
7.227083211469723656e-01,2.136528044939041138e-01
7.264149095386587263e-01,2.114965170621871948e-01
7.300143555588725075e-01,2.099885046482086182e-01
7.335126796864492871e-01,2.077551335096359253e-01
7.369154087884084436e-01,2.114887535572052002e-01
7.402276286484029688e-01,2.073563635349273682e-01
7.434540296884973865e-01,2.078929692506790161e-01
7.465989469160041470e-01,2.077848762273788452e-01
7.496663949491513268e-01,2.085141986608505249e-01
7.526600988316239915e-01,2.065276056528091431e-01
7.555835212293035008e-01,2.066683322191238403e-01
7.584398865072342621e-01,2.079639881849288940e-01
7.612322021066505462e-01,2.055521458387374878e-01
7.639632775774275464e-01,2.043335586786270142e-01
7.666357415679206921e-01,2.043104022741317749e-01
7.692520570297358695e-01,2.115632593631744385e-01
7.718145348578708820e-01,2.046049833297729492e-01
7.743253461555423822e-01,2.058575898408889771e-01
7.767865332868225670e-01,2.045042514801025391e-01
7.792000198580691928e-01,2.040096819400787354e-01
7.815676197503669265e-01,2.031918615102767944e-01
7.838910453092353681e-01,2.072046548128128052e-01
7.861719147842302080e-01,2.002469748258590698e-01
7.884117590993988678e-01,2.060614824295043945e-01
7.906120280255419797e-01,2.037133127450942993e-01
7.927740958166025198e-01,2.025752067565917969e-01
7.948992663650579216e-01,1.973978281021118164e-01
7.969887779247512016e-01,2.001629918813705444e-01
7.990438074439917271e-01,2.022876292467117310e-01
8.010654745468941407e-01,2.009351551532745361e-01
8.030548451966765811e-01,2.007629573345184326e-01
8.050129350709258613e-01,2.007633745670318604e-01
8.069407126755856474e-01,1.981925517320632935e-01
8.088391022215701831e-01,2.007364183664321899e-01
8.107089862853881224e-01,2.010886073112487793e-01
8.125512082729543506e-01,1.997982859611511230e-01
8.143665747038014713e-01,1.988766789436340332e-01
8.161558573311790132e-01,1.988513469696044922e-01
8.179197951119874244e-01,2.018298357725143433e-01
8.196590960391331171e-01,1.973418891429901123e-01
