# kappa, accuracy
0.000000000000000000e+00,5.000000000000000000e-01
2.987446274012535152e-01,5.000000000000000000e-01
3.792764241008356185e-01,5.000000000000000000e-01
4.277793389399027202e-01,5.000000000000000000e-01
4.625976464442400071e-01,5.000000000000000000e-01
4.897778203541210407e-01,5.000000000000000000e-01
5.120754621872236623e-01,5.000000000000000000e-01
5.309804542476858069e-01,5.000000000000000000e-01
5.473901557755219693e-01,5.000000000000000000e-01
5.618871293169214187e-01,5.000000000000000000e-01
5.748710861524435334e-01,5.000000000000000000e-01
5.866282125022092009e-01,5.000000000000000000e-01
5.973704665112321566e-01,5.000000000000000000e-01
6.072592179030914528e-01,5.000000000000000000e-01
6.164201669988197407e-01,5.000000000000000000e-01
6.249531396762036950e-01,5.000000000000000000e-01
6.329387350767937681e-01,5.000000000000000000e-01
6.404429666340902827e-01,5.000000000000000000e-01
6.475205821052097965e-01,5.000000000000000000e-01
6.542174896076147217e-01,5.000000000000000000e-01
6.605725638323423077e-01,5.000000000000000000e-01
6.666190132601285123e-01,5.000000000000000000e-01
6.723854305038524659e-01,5.000000000000000000e-01
6.778966100154364405e-01,5.000000000000000000e-01
6.831741923737656430e-01,5.000000000000000000e-01
6.882371774979760826e-01,5.000000000000000000e-01
6.931023375380825913e-01,5.000000000000000000e-01
6.977845520933998458e-01,5.000000000000000000e-01
7.022970826586906190e-01,5.000000000000000000e-01
7.066517990577431130e-01,5.000000000000000000e-01
7.108593676039431930e-01,5.001111030578613281e-01
7.149294084975922337e-01,5.000000000000000000e-01
7.188706283049046686e-01,6.104444265365600586e-01
7.226909321076808723e-01,5.024444460868835449e-01
7.263975189559718215e-01,5.000000000000000000e-01
7.299969635207331775e-01,5.000000000000000000e-01
7.334952862734923640e-01,5.177222490310668945e-01
7.368980140747481977e-01,6.057222485542297363e-01
7.402102327023182271e-01,6.069999933242797852e-01
7.434366325730277225e-01,5.903888940811157227e-01
7.465815486894733510e-01,6.053888797760009766e-01
7.496489956656259279e-01,5.872777700424194336e-01
7.526426985413174897e-01,6.039444208145141602e-01
7.555661199789344140e-01,6.032778024673461914e-01
7.584224843403428729e-01,6.029999852180480957e-01
7.612147990638810091e-01,6.031666398048400879e-01
7.639458736967792429e-01,5.963333249092102051e-01
7.666183368849720514e-01,6.002777814865112305e-01
7.692346515778469840e-01,6.018333435058593750e-01
7.717971286683629195e-01,6.044999957084655762e-01
7.743079392578614550e-01,6.025000214576721191e-01
7.767691257086860590e-01,6.035000085830688477e-01
7.791826116255979873e-01,6.032778024673461914e-01
7.815502108882065313e-01,6.025000214576721191e-01
7.838736358406647176e-01,6.052777767181396484e-01
7.861545047312604728e-01,6.033333539962768555e-01
7.883943484828642712e-01,6.039444208145141602e-01
7.905946168651823980e-01,6.049444675445556641e-01
7.927566841311378676e-01,6.038333177566528320e-01
7.948818541722585396e-01,6.067222356796264648e-01
7.969713652415001404e-01,6.077222228050231934e-01
7.990263942863430335e-01,6.075555682182312012e-01
8.010480609301264820e-01,6.086111068725585938e-01
8.030374311353419836e-01,6.087222099304199219e-01
8.049955205788953405e-01,6.079999804496765137e-01
8.069232977660911743e-01,6.096666455268859863e-01
8.088216869072429871e-01,6.106666922569274902e-01
8.106915705782947734e-01,6.106111407279968262e-01
8.125337921846298439e-01,6.119999885559082031e-01
8.143491582452802025e-01,6.116111278533935547e-01
8.161384405130227560e-01,6.112222075462341309e-01
8.179023779443125308e-01,6.122221946716308594e-01
8.196416785316349429e-01,6.135555505752563477e-01
8.213570210096515778e-01,6.134444475173950195e-01
8.230490564454269187e-01,6.146666407585144043e-01
8.247184097220626731e-01,6.148889064788818359e-01
8.263656809241984869e-01,6.143333315849304199e-01
8.279914466330666745e-01,6.154444217681884766e-01
8.295962611380965912e-01,6.164444684982299805e-01
8.311806575714375533e-01,6.167777776718139648e-01
8.327451489712116572e-01,6.166111230850219727e-01
8.342902292788034746e-01,6.166111230850219727e-01
8.358163742750358560e-01,6.169444322586059570e-01
8.373240424596722908e-01,6.171110868453979492e-01
8.388136758783135694e-01,6.170555353164672852e-01
8.402857009004195410e-01,6.179999709129333496e-01
8.417405289518832268e-01,6.187777519226074219e-01
8.431785572053047684e-01,6.193888783454895020e-01
8.446001692308637843e-01,6.193888783454895020e-01
8.460057356104581094e-01,6.211110949516296387e-01
8.473956145175697285e-01,6.199444532394409180e-01
8.487701522651264208e-01,6.205555796623229980e-01
8.501296838234569941e-01,6.198889017105102539e-01
8.514745333102778924e-01,6.211666464805603027e-01
8.528050144545020750e-01,6.219444274902343750e-01
8.541214310355341732e-01,6.215555667877197266e-01
8.554240772995872488e-01,6.218333244323730469e-01
8.567132383544510121e-01,6.219444274902343750e-01
8.579891905440342192e-01,6.225555539131164551e-01
8.592522018039128184e-01,6.246111392974853516e-01
8.605025319990300403e-01,6.229444742202758789e-01
8.617404332446091386e-01,6.239444613456726074e-01
8.629661502112736526e-01,6.237778067588806152e-01
8.641799204152975644e-01,6.241666674613952637e-01
8.653819744948461068e-01,6.238333582878112793e-01
8.665725364730110236e-01,6.253888607025146484e-01
8.677518240083920142e-01,6.238889098167419434e-01
8.689200486339233587e-01,6.256111264228820801e-01
8.700774159846020872e-01,6.251111030578613281e-01
8.712241260147319810e-01,6.256111264228820801e-01
8.723603732052552795e-01,6.266666650772094727e-01
8.734863467617111077e-01,6.263889074325561523e-01
8.746022308033249981e-01,6.272222399711608887e-01
8.757082045437012408e-01,6.278333067893981934e-01
8.768044424635619283e-01,6.284444332122802734e-01
8.778911144759485863e-01,6.282777786254882812e-01
8.789683860842791852e-01,6.297222375869750977e-01
8.800364185336257972e-01,6.294999718666076660e-01
8.810953689555620638e-01,6.299444437026977539e-01
8.821453905069013279e-01,6.307222247123718262e-01
8.831866325026367370e-01,6.307222247123718262e-01
8.842192405433683122e-01,6.313333511352539062e-01
8.852433566374906526e-01,6.320555806159973145e-01
8.862591193183971816e-01,6.318888664245605469e-01
8.872666637569428527e-01,6.328333616256713867e-01
8.882661218693935767e-01,6.324444413185119629e-01
8.892576224210793079e-01,6.326110959053039551e-01
8.902412911259516282e-01,6.336666941642761230e-01
8.912172507422408962e-01,6.338333487510681152e-01
8.921856211643942602e-01,6.353333592414855957e-01
8.931465195114663969e-01,6.342222094535827637e-01
8.941000602121257357e-01,6.352777481079101562e-01
8.950463550864313778e-01,6.353889107704162598e-01
8.959855134245263697e-01,6.360555291175842285e-01
8.969176420623847790e-01,6.346666812896728516e-01
8.978428454547466853e-01,6.358333230018615723e-01
8.987612257453619913e-01,6.357222199440002441e-01
8.996728828346641782e-01,6.373333334922790527e-01
9.005779144449842510e-01,6.367777585983276367e-01
9.014764161834125655e-01,6.382222175598144531e-01
9.023684816024081234e-01,6.382222175598144531e-01
9.032542022582543684e-01,6.384444236755371094e-01
9.041336677674479683e-01,6.393888592720031738e-01
9.050069658611136214e-01,6.402222514152526855e-01
9.058741824375209362e-01,6.378333568572998047e-01
9.067354016127880945e-01,6.396111249923706055e-01
9.075907057698423541e-01,6.402778029441833496e-01
9.084401756057116639e-01,6.418889164924621582e-01
9.092838901772140048e-01,6.413888931274414062e-01
9.101219269451086280e-01,6.407222151756286621e-01
9.109543618167733614e-01,6.417222023010253906e-01
9.117812691874628284e-01,6.403889060020446777e-01
9.126027219802074208e-01,6.427778005599975586e-01
9.134187916844046518e-01,6.427778005599975586e-01
9.142295483931535127e-01,6.427778005599975586e-01
