# kappa, accuracy
0.000000000000000000e+00,6.768333315849304199e-01
2.988353181461659847e-01,7.790555357933044434e-01
3.793714270634159780e-01,7.985000014305114746e-01
4.278758719048316728e-01,8.119999766349792480e-01
4.626949630406326230e-01,8.184999823570251465e-01
4.898756132661612472e-01,8.255555629730224609e-01
5.121735752418699050e-01,8.341110944747924805e-01
5.310787972619493980e-01,8.380555510520935059e-01
5.474886719681616443e-01,8.446666598320007324e-01
5.619857806261060462e-01,8.490555286407470703e-01
5.749698458220100505e-01,8.521666526794433594e-01
5.867270610074912796e-01,8.535000085830688477e-01
5.974693891684519365e-01,8.573333621025085449e-01
6.073582033912081624e-01,8.631666898727416992e-01
6.165192064055512455e-01,8.614444732666015625e-01
6.250522258599381376e-01,8.650555610656738281e-01
6.330378622266673583e-01,8.638888597488403320e-01
6.405421299586981920e-01,8.648333549499511719e-01
6.476197776073094881e-01,8.638888597488403320e-01
6.543167139178079905e-01,8.672778010368347168e-01
6.606718140841297826e-01,8.642777800559997559e-01
6.667182869945733614e-01,8.638888597488403320e-01
6.724847255958124048e-01,8.649444580078125000e-01
6.779959246157635233e-01,8.649444580078125000e-01
6.832735248634979053e-01,8.686110973358154297e-01
6.883365264516539961e-01,8.678333163261413574e-01
6.932017016940936749e-01,8.686110973358154297e-01
6.978839303297941221e-01,8.676111102104187012e-01
7.023964739733001839e-01,8.646666407585144043e-01
7.067512025517166396e-01,8.676111102104187012e-01
7.109587824680164703e-01,8.654444217681884766e-01
7.150288340005654941e-01,8.666666746139526367e-01
7.189700637839149255e-01,8.668333292007446289e-01
7.227903769599435257e-01,8.653333187103271484e-01
7.264969726317336285e-01,8.698333501815795898e-01
7.300964255172284201e-01,8.665555715560913086e-01
7.335947561297364583e-01,8.651111125946044922e-01
7.369974913670334082e-01,8.650555610656738281e-01
7.403097170402993532e-01,8.694444298744201660e-01
7.435361235963099391e-01,8.672778010368347168e-01
7.466810460646237102e-01,8.690000176429748535e-01
7.497484990835499019e-01,8.642777800559997559e-01
7.527422077149464874e-01,8.708888888359069824e-01
7.556656346411814162e-01,8.683333396911621094e-01
7.585220042422899933e-01,8.691666722297668457e-01
7.613143239731684497e-01,8.677222132682800293e-01
7.640454033961677771e-01,8.711110949516296387e-01
7.667178711710599393e-01,8.676666617393493652e-01
7.693341902599182269e-01,8.687222003936767578e-01
7.718966715673547530e-01,8.684999942779541016e-01
7.744074862054329822e-01,8.671666383743286133e-01
7.768686765463798105e-01,8.672778010368347168e-01
7.792821662040807507e-01,8.687222003936767578e-01
7.816497690665815679e-01,8.663333058357238770e-01
7.839731974858489272e-01,8.677222132682800293e-01
7.862540697174164039e-01,8.669444322586059570e-01
7.884939166908839780e-01,8.670555353164672852e-01
7.906941881822154850e-01,8.671666383743286133e-01
7.928562584501614996e-01,8.676666617393493652e-01
7.949814313916820918e-01,8.686666488647460938e-01
7.970709452648043758e-01,8.668333292007446289e-01
7.991259770217474800e-01,8.651111125946044922e-01
8.011476462902847873e-01,8.681111335754394531e-01
8.031370190370605844e-01,8.643888831138610840e-01
8.050951109428738928e-01,8.620555400848388672e-01
8.070228905166842992e-01,8.668888807296752930e-01
8.089212819722381154e-01,8.668888807296752930e-01
