# kappa, training_loss
0.000000000000000000e+00,2.528259754180908203e-01
2.988000983677266409e-01,2.567346394062042236e-01
3.793345330246287728e-01,2.515845596790313721e-01
4.278383838363121749e-01,2.498682141304016113e-01
4.626571707256891819e-01,2.498840689659118652e-01
4.898376360213231306e-01,2.511695027351379395e-01
5.121354737016765579e-01,2.498119473457336426e-01
5.310406064400636783e-01,2.496611922979354858e-01
5.474504139099352074e-01,2.495701909065246582e-01
5.619474701090483304e-01,2.507359087467193604e-01
5.749314932341936801e-01,2.501873672008514404e-01
5.866886739293558639e-01,2.494986504316329956e-01
5.974309733009612877e-01,2.490765452384948730e-01
6.073197631297438948e-01,2.497797012329101562e-01
6.164807452102957219e-01,2.486707568168640137e-01
6.250137465036118556e-01,2.484958916902542114e-01
6.329993669653292132e-01,2.490789890289306641e-01
6.405036206526030229e-01,2.493513822555541992e-01
6.475812558083795523e-01,2.480379194021224976e-01
6.542781809342059773e-01,2.478312551975250244e-01
6.606332710287682319e-01,2.444563508033752441e-01
6.666797348221296104e-01,2.413102239370346069e-01
6.724461651313683452e-01,2.365920245647430420e-01
6.779573565772469834e-01,2.333888113498687744e-01
6.832349498794672016e-01,2.267834842205047607e-01
6.882979450755405404e-01,2.205912917852401733e-01
6.931631144157156532e-01,2.165782898664474487e-01
6.978453375847458728e-01,2.110663652420043945e-01
7.023578761506710233e-01,2.029781639575958252e-01
7.067126000004834152e-01,1.997219175100326538e-01
7.109201755023740743e-01,1.949433088302612305e-01
7.149902229044003965e-01,1.900712698698043823e-01
7.189314488145819304e-01,1.843902319669723511e-01
7.227517583514720956e-01,1.804631203413009644e-01
7.264583505975641398e-01,1.750091165304183960e-01
7.300578002525583976e-01,1.718336790800094604e-01
7.335561278135419583e-01,1.688069701194763184e-01
7.369588601638178416e-01,1.618983298540115356e-01
7.402710831016130477e-01,1.590570509433746338e-01
7.434974870620753018e-01,1.565845012664794922e-01
7.466424070642951882e-01,1.487414091825485229e-01
7.497098577371325012e-01,1.500446945428848267e-01
7.527035641338939431e-01,1.466115713119506836e-01
7.556269889291894470e-01,1.440676748752593994e-01
7.584833564960002938e-01,1.404236108064651489e-01
7.612756742827939682e-01,1.335012167692184448e-01
7.640067518460511575e-01,1.338821351528167725e-01
7.666792178401713453e-01,1.295354813337326050e-01
7.692955352223025400e-01,1.314297318458557129e-01
7.718580148925324735e-01,1.280241012573242188e-01
7.743688279587621626e-01,1.250356435775756836e-01
7.768300167893810171e-01,1.224979832768440247e-01
7.792435049947320502e-01,1.220374405384063721e-01
7.816111064595858693e-01,1.170363873243331909e-01
7.839345335328753439e-01,1.161919087171554565e-01
7.862154044673209663e-01,1.158535256981849670e-01
7.884552501899099175e-01,1.169435977935791016e-01
7.906555204741767540e-01,1.138648912310600281e-01
7.928175895766093051e-01,1.071648076176643372e-01
7.949427613920586611e-01,1.067196279764175415e-01
7.970322741765831775e-01,1.056517213582992554e-01
7.990873048805617884e-01,1.060789674520492554e-01
8.011089731300466976e-01,1.031120792031288147e-01
8.030983448900697041e-01,1.020946577191352844e-01
8.050564358399183718e-01,1.008913666009902954e-01
8.069842144871332001e-01,9.702850133180618286e-02
8.088826050441277893e-01,9.945821762084960938e-02
8.107524900888214425e-01,9.779734909534454346e-02
8.125947130284562059e-01,9.812182933092117310e-02
8.144100803838155711e-01,9.393797069787979126e-02
8.161993639093283459e-01,9.233021736145019531e-02
8.179633025630080878e-01,9.540624916553497314e-02
8.197026043388122574e-01,9.345271438360214233e-02
8.214179479727936606e-01,9.075030684471130371e-02
8.231099845333337273e-01,9.011104702949523926e-02
8.247793389047805013e-01,9.236452728509902954e-02
8.264266111729541286e-01,9.048898518085479736e-02
8.280523779202068058e-01,8.366127312183380127e-02
8.296571934370300383e-01,8.820419013500213623e-02
8.312415908565814471e-01,8.575023710727691650e-02
8.328060832179416950e-01,8.562639355659484863e-02
8.343511644634060698e-01,8.388625830411911011e-02
8.358773103746637290e-01,8.044860512018203735e-02
8.373849794523031687e-01,8.178017288446426392e-02
8.388746137427106619e-01,8.068031072616577148e-02
8.403466396160947927e-01,7.977013289928436279e-02
8.418014684990624552e-01,7.990853488445281982e-02
8.432394975648950242e-01,8.040229231119155884e-02
8.446611103844218205e-01,7.829929888248443604e-02
8.460666775401621820e-01,7.742528617382049561e-02
8.474565572061910634e-01,7.941836118698120117e-02
8.488310956960039011e-01,7.977710664272308350e-02
8.501906279804722910e-01,7.897461205720901489e-02
8.515354781778317061e-01,7.374722510576248169e-02
8.528659600174925970e-01,7.415961474180221558e-02
8.541823772793359915e-01,7.332666963338851929e-02
8.554850242100315860e-01,7.286264002323150635e-02
8.567741859178068520e-01,7.426226884126663208e-02
8.580501387469902097e-01,7.510161399841308594e-02
8.593131506335609515e-01,7.390746474266052246e-02
8.605634814428488877e-01,7.208197563886642456e-02
8.618013832904488636e-01,7.358352839946746826e-02
8.630271008473415772e-01,6.826780736446380615e-02
8.642408716301440696e-01,6.906295567750930786e-02
8.654429262773513098e-01,7.029148191213607788e-02
8.666334888123728986e-01,6.905458867549896240e-02
8.678127768941135134e-01,6.705965846776962280e-02
8.689810020558017545e-01,6.808771193027496338e-02
8.701383699327178700e-01,6.751682609319686890e-02
8.712850804794382009e-01,6.787312030792236328e-02
8.724213281771677764e-01,6.839932501316070557e-02
8.735473022316992964e-01,6.567008048295974731e-02
8.746631867625026535e-01,6.793544441461563110e-02
8.757691609834177271e-01,6.531132012605667114e-02
8.768653993753940945e-01,6.742732971906661987e-02
8.779520718516928834e-01,6.693874299526214600e-02
8.790293439159438948e-01,6.051956117153167725e-02
8.800973768134242592e-01,6.315766274929046631e-02
8.811563276759050156e-01,6.651283055543899536e-02
8.822063496603910204e-01,6.147082522511482239e-02
8.832475920820600512e-01,6.204214692115783691e-02
8.842802005416907640e-01,6.416177749633789062e-02
8.853043170478507307e-01,6.096073612570762634e-02
8.863200801341004631e-01,5.831508338451385498e-02
8.873276249714567854e-01,5.834478512406349182e-02
8.883270834763423718e-01,6.289250403642654419e-02
8.893185844142386109e-01,5.957822129130363464e-02
8.903022534992441894e-01,6.043325737118721008e-02
8.912782134897319075e-01,5.952718108892440796e-02
8.922465842802866920e-01,5.959054827690124512e-02
8.932074829900967794e-01,5.944283679127693176e-02
8.941610240479602734e-01,5.773732438683509827e-02
8.951073192740620632e-01,5.930573865771293640e-02
8.960464779586669870e-01,5.474796891212463379e-02
8.969786069378673510e-01,5.711714923381805420e-02
8.979038106665180319e-01,5.692851915955543518e-02
8.988221912884803988e-01,5.855267122387886047e-02
8.997338487042959576e-01,5.710023641586303711e-02
9.006388806364008515e-01,5.667561665177345276e-02
9.015373826919870215e-01,5.803759768605232239e-02
9.024294484236131675e-01,5.778036266565322876e-02
9.033151693876583233e-01,5.533957853913307190e-02
9.041946352007134147e-01,5.361375212669372559e-02
9.050679335939934012e-01,5.152129381895065308e-02
9.059351504658568199e-01,5.397300794720649719e-02
9.067963699325075622e-01,5.525943264365196228e-02
9.076516743769564854e-01,5.086858570575714111e-02
9.085011444963131400e-01,5.368403717875480652e-02
9.093448593474743324e-01,5.259880051016807556e-02
9.101828963912766968e-01,5.177803337574005127e-02
9.110153315351726677e-01,5.190489068627357483e-02
9.118422391744901434e-01,5.268539488315582275e-02
9.126636922323305701e-01,5.388182401657104492e-02
9.134797621981605165e-01,5.455091595649719238e-02
9.142905191651463648e-01,5.093310773372650146e-02
9.150960318662821891e-01,5.400262773036956787e-02
9.158963677093555633e-01,4.995498061180114746e-02
9.166915928107983724e-01,4.815661162137985229e-02
9.174817720284623723e-01,4.993767663836479187e-02
9.182669689933625756e-01,5.253660306334495544e-02
9.190472461404249893e-01,5.281463265419006348e-02
9.198226647382778953e-01,4.827126488089561462e-02
9.205932849181213129e-01,5.040499195456504822e-02
9.213591657017080605e-01,4.682122543454170227e-02
9.221203650284705011e-01,4.799201712012290955e-02
9.228769397818222808e-01,5.069648846983909607e-02
9.236289458146671461e-01,5.178214982151985168e-02
9.243764379741408188e-01,5.296719446778297424e-02
9.251194701256157948e-01,4.560807719826698303e-02
9.258580951759937117e-01,4.706120863556861877e-02
9.265923650963109326e-01,5.760709196329116821e-02
9.273223309436824380e-01,5.080708861351013184e-02
9.280480428826046735e-01,4.792613536119461060e-02
9.287695502056434460e-01,5.157152935862541199e-02
9.294869013535236313e-01,4.703912138938903809e-02
9.302001439346458955e-01,4.665468260645866394e-02
9.309093247440454189e-01,4.951214417815208435e-02
9.316144897818156023e-01,4.745677113533020020e-02
9.323156842710123016e-01,4.643613845109939575e-02
9.330129526750566837e-01,4.417126998305320740e-02
9.337063387146541382e-01,4.816635698080062866e-02
9.343958853842444512e-01,4.612774401903152466e-02
9.350816349679987871e-01,4.521882534027099609e-02
9.357636290553791314e-01,4.802229627966880798e-02
9.364419085562737388e-01,4.875567182898521423e-02
9.371165137157225766e-01,4.588640853762626648e-02
9.377874841282463070e-01,4.270768538117408752e-02
9.384548587517907992e-01,4.226599261164665222e-02
9.391186759213007162e-01,4.728577658534049988e-02
9.397789733619327235e-01,4.325690492987632751e-02
9.404357882019203085e-01,3.904752060770988464e-02
9.410891569851014271e-01,4.055294021964073181e-02
9.417391156831182997e-01,4.222223907709121704e-02
9.423856997073022379e-01,4.199008643627166748e-02
9.430289439202491630e-01,4.214596375823020935e-02
9.436688826471003599e-01,4.129526019096374512e-02
9.443055496865324638e-01,3.882204741239547729e-02
9.449389783214693361e-01,4.134788364171981812e-02
9.455692013295227127e-01,4.173111915588378906e-02
9.461962509931695076e-01,4.170332103967666626e-02
9.468201591096744307e-01,3.919331729412078857e-02
9.474409570007656933e-01,4.131465405225753784e-02
9.480586755220700157e-01,3.830985352396965027e-02
9.486733450723154881e-01,4.073498770594596863e-02
9.492849956023070579e-01,4.370354488492012024e-02
9.498936566236854118e-01,3.929319977760314941e-02
9.504993572174696981e-01,4.197726026177406311e-02
9.511021260423950796e-01,4.105700924992561340e-02
9.517019913430501132e-01,4.068884998559951782e-02
9.522989809578173981e-01,4.351183399558067322e-02
9.528931223266261519e-01,4.083122685551643372e-02
9.534844424985204903e-01,3.804018348455429077e-02
9.540729681390475170e-01,3.963465243577957153e-02
9.546587255374744396e-01,4.147333279252052307e-02
9.552417406138333789e-01,4.094985872507095337e-02
9.558220389258050842e-01,4.469850659370422363e-02
9.563996456754407793e-01,4.509880021214485168e-02
9.569745857157303526e-01,4.126374423503875732e-02
9.575468835570184467e-01,3.987337276339530945e-02
9.581165633732745546e-01,3.732100874185562134e-02
9.586836490082203399e-01,3.889840841293334961e-02
9.592481639813174032e-01,3.896559774875640869e-02
9.598101314936209327e-01,3.901557996869087219e-02
9.603695744335009055e-01,3.676091507077217102e-02
9.609265153822360572e-01,4.203777760267257690e-02
9.614809766194828411e-01,4.038265720009803772e-02
